"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NC,37,State House District 1,"=""37001""","7,843",76,"7,843","19,389,426","1,910","1,462,795","4,720","5,889,594",281,236,207,"7,543","32,008,999",149,"291,266","6,830",0,"3,380","4,517","2,846",283,"4,053","3,103",0,"1,685",500,"1,292","1,631",860,650,580,507,338,312,0
NC,37,State House District 2,"=""37002""","7,508",63,"7,508","18,080,358","2,060","1,538,404","4,375","5,413,179",450,328,166,"7,302","30,668,184",143,"176,009","6,553",0,"3,436","3,732","3,432",307,"4,333","2,786",0,"1,464",580,"1,204","1,517",982,817,814,660,464,309,0
NC,37,State House District 3,"=""37003""","8,102",74,"8,102","20,820,481","2,120","1,499,830","5,169","6,578,426",363,286,209,"7,905","34,997,523",129,"155,721","7,228",0,"4,002","3,857","3,832",297,"4,481","3,094",0,"1,357",634,"1,222","1,651","1,013",835,732,591,415,345,0
NC,37,State House District 4,"=""37004""","8,650",118,"8,650","22,848,243","2,436","1,771,024","5,663","7,271,580",402,369,205,"8,453","38,635,920",167,"187,697","7,622",0,"4,338","3,826","4,510",241,"4,692","3,520",0,"1,646",602,"1,294","1,695","1,220","1,028",943,761,529,369,0
NC,37,State House District 5,"=""37005""","9,123",84,"9,123","23,425,704","2,127","1,517,650","5,502","6,638,761",317,359,188,"8,940","38,477,375",86,"162,801","8,214",0,"4,363","5,463","3,126",397,"4,323","4,171",0,"1,357",604,"1,461","1,795","1,235",961,804,568,354,225,0
NC,37,State House District 6,"=""37006""","8,197",77,"8,197","19,962,499","1,908","1,371,142","4,747","5,702,259",243,147,170,"7,821","31,350,438",211,"333,825","6,774",0,"3,544","4,007","3,798",259,"4,840","2,710",0,"2,076",552,"1,350","1,847","1,014",732,600,438,264,178,0
NC,37,State House District 7,"=""37007""","9,021",141,"9,021","23,713,079","2,145","1,485,739","5,388","6,597,579",663,561,265,"8,810","38,140,018",184,"173,961","8,103",1,"5,023","4,095","4,551",352,"4,595","3,945",0,"1,610",656,"1,479","2,038","1,285","1,049",885,788,499,297,0
NC,37,State House District 8,"=""37008""","9,294",152,"9,294","24,655,079","2,144","1,522,437","5,733","7,097,003",598,508,244,"9,082","39,732,572",156,"197,687","8,297",58,"4,970","4,269","4,503",442,"4,952","3,814",0,"1,761",600,"1,562","2,117","1,358",991,872,713,476,305,0
NC,37,State House District 9,"=""37009""","6,763",105,"6,763","16,986,357","1,547","1,072,554","4,034","4,953,964",426,437,321,"6,609","27,510,651",126,"145,278","6,030",72,"3,269","3,615","2,857",231,"3,699","2,587",0,"1,282",538,"1,218","1,530",935,706,608,489,329,213,0
NC,37,State House District 10,"=""37010""","8,540",89,"8,540","21,875,601","2,337","1,702,982","5,341","6,728,787",421,334,199,"8,335","36,886,616",147,"170,908","7,576",2,"4,263","4,218","3,975",283,"4,706","3,367",0,"1,576",607,"1,289","1,737","1,167",996,929,741,503,378,0
NC,37,State House District 11,"=""37011""","5,608",168,"5,608","11,807,257","1,261","891,805","2,847","3,651,893",362,390,361,"5,326","19,401,742",275,"244,838","4,709",0,"1,907","3,010","2,301",276,"3,044","2,005",0,"1,479",613,"1,025","1,272",643,534,461,439,279,220,0
NC,37,State House District 12,"=""37012""","8,904",152,"8,904","23,504,370","2,284","1,570,550","5,619","7,026,744",428,369,228,"8,739","39,155,524",123,"146,528","8,043",0,"4,781","4,388","4,156",319,"4,856","3,607",0,"1,441",601,"1,404","1,896","1,198","1,067",991,691,441,298,0
NC,37,State House District 13,"=""37013""","6,518",2,"6,518","14,688,063","1,494","1,077,661","3,541","4,332,765",261,185,164,"6,171","23,854,387",252,"283,443","5,462",0,"2,612","3,269","2,851",251,"3,700","2,211",0,"1,676",593,"1,172","1,369",780,583,540,369,306,221,0
NC,37,State House District 14,"=""37014""","9,363",57,"9,363","23,535,050","2,904","2,120,155","6,405","8,348,860",675,520,566,"9,201","43,865,368",143,"134,245","8,754",0,"4,164","5,415","3,522",410,"4,285","4,465",0,"1,527",660,"1,286","1,672","1,070","1,160","1,018",923,746,728,36
NC,37,State House District 15,"=""37015""","7,639",38,"7,639","19,515,265","2,521","1,866,516","5,417","7,565,770",516,402,567,"7,472","37,788,532",159,"142,668","7,145",0,"3,187","4,488","2,720",389,"3,401","3,782",0,"1,291",468,960,"1,217",805,904,888,796,703,715,20
NC,37,State House District 16,"=""37016""","7,803",57,"7,803","19,356,610","2,223","1,722,482","4,936","6,374,808",393,298,325,"7,541","33,213,514",210,"247,202","6,905",0,"3,575","4,259","3,224",284,"4,341","3,028",0,"1,875",635,"1,199","1,526",996,777,695,697,510,579,24
NC,37,State House District 17,"=""37017""","6,401",1,"6,401","14,924,775","1,326","935,855","3,524","4,307,380",195,130,144,"6,056","22,678,613",305,"255,652","5,251",0,"2,816","2,740","3,388",215,"3,819","2,111",0,"2,000",688,"1,198","1,535",888,563,504,344,228,168,0
NC,37,State House District 18,"=""37018""","7,997",129,"7,997","18,307,487","1,700","1,219,712","4,450","5,374,966",434,355,374,"7,692","28,985,308",292,"266,432","6,871",0,"3,795","4,396","3,137",448,"4,292","3,061",0,"1,717",920,"1,505","1,891","1,059",773,601,514,386,267,0
NC,37,State House District 19,"=""37019""","5,368",44,"5,368","11,097,372","1,172","882,362","2,695","3,156,195",346,234,305,"5,038","17,589,047",297,"309,266","4,364",0,"2,018","3,007","2,055",276,"3,131","1,746",0,"1,551",599,"1,042","1,245",567,486,379,370,300,221,0
NC,37,State House District 20,"=""37020""","5,718",62,"5,718","12,107,306","1,277","956,346","2,974","3,582,945",378,289,354,"5,401","19,476,559",315,"311,519","4,723",0,"2,241","3,273","2,155",264,"3,255","1,932",0,"1,497",649,"1,075","1,313",655,518,441,433,308,249,0
NC,37,State House District 21,"=""37021""","10,006",215,"10,006","26,730,736","2,648","1,907,636","6,510","8,273,648",440,436,204,"9,812","44,341,810",148,"176,555","8,872",0,"5,244","4,371","5,261",325,"5,522","3,978",0,"1,781",708,"1,603","2,068","1,385","1,205","1,026",814,545,334,0
