"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ND,38,State House District 1,"=""38001""","1,098",44,"1,098","2,313,282",341,"276,136",607,"733,457",55,44,72,"1,070","4,570,020",25,"27,674",970,0,514,522,525,21,469,455,0,184,94,160,237,101,114,99,91,68,44,0
ND,38,State House District 2,"=""38002""",633,12,633,"1,430,065",180,"156,031",346,"485,066",15,12,19,608,"2,733,477",7,"24,166",494,0,203,260,280,6,266,221,0,93,25,43,80,27,30,27,24,18,12,0
ND,38,State House District 3,"=""38003""",889,12,889,"1,813,257",292,"237,003",495,"592,000",77,26,81,867,"3,595,159",18,"26,963",788,0,349,451,375,60,429,381,0,117,85,148,163,83,74,89,70,62,49,0
ND,38,State House District 4,"=""38004""",766,0,766,"1,933,440",268,"275,662",483,"681,910",0,0,0,740,"3,809,837",0,"32,041",661,0,297,189,362,74,320,311,0,65,23,52,63,39,35,27,31,27,30,0
ND,38,State House District 5,"=""38005""","1,077",13,"1,077","2,190,318",322,"259,112",580,"693,608",88,30,95,"1,045","4,186,160",28,"41,549",944,0,453,533,453,82,519,459,0,144,106,188,196,100,91,103,85,71,54,0
ND,38,State House District 6,"=""38006""",629,0,629,"1,368,801",180,"161,041",310,"467,006",21,0,30,578,"2,546,293",0,"34,245",442,0,118,143,279,1,240,140,0,130,30,34,33,1,26,1,1,1,0,0
ND,38,State House District 7,"=""38007""",579,10,579,"1,147,398",194,"150,460",315,"360,601",61,23,81,555,"2,202,767",24,"28,168",481,0,202,281,270,28,292,243,0,104,67,89,111,57,58,62,60,45,29,0
ND,38,State House District 8,"=""38008""",533,4,533,"1,083,916",164,"154,709",256,"367,969",18,7,24,500,"2,079,933",7,"41,712",405,0,104,210,229,8,251,148,0,76,19,25,54,16,17,18,17,13,9,0
ND,38,State House District 9,"=""38009""","1,906",39,"1,906","4,876,240",677,"538,643","1,293","1,630,667",58,0,27,"1,861","8,756,980",0,"36,983","1,597",0,762,437,936,492,977,871,0,288,191,268,261,199,197,222,142,120,85,0
ND,38,State House District 10,"=""38010""",539,0,539,"1,216,537",169,"159,720",268,"398,336",0,0,0,487,"2,305,406",0,"62,988",380,0,118,220,230,0,201,213,0,71,0,23,0,0,21,0,0,0,0,0
