"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NE,31,State Senate District 1,"=""31001""","2,207",0,"2,207","4,995,343",600,"537,044","1,187","1,693,376",66,18,104,"2,073","9,006,753",26,"107,848","1,820",0,667,754,"1,117",16,924,822,0,405,138,235,265,130,116,151,132,61,81,0
NE,31,State Senate District 2,"=""31002""","2,028",0,"2,028","4,401,709",618,"532,655","1,128","1,608,222",105,59,100,"1,945","8,282,069",30,"73,632","1,797",0,600,"1,109",809,18,955,799,0,366,119,207,234,143,138,141,142,95,109,0
NE,31,State Senate District 3,"=""31003""","2,501",0,"2,501","5,842,578",973,"797,266","1,660","2,289,118",292,164,229,"2,440","11,723,046",52,"59,847","2,299",0,832,"1,403",946,130,"1,181","1,181",0,411,157,251,374,262,281,291,303,271,281,13
NE,31,State Senate District 4,"=""31004""","1,251",0,"1,251","2,449,748",380,"300,662",651,"813,642",152,69,141,"1,180","4,562,194",48,"65,283","1,075",0,381,717,479,30,675,458,0,278,114,195,232,112,114,112,114,81,70,0
NE,31,State Senate District 5,"=""31005""","3,895",112,"3,895","10,077,539","1,222","922,577","2,545","3,580,114",273,118,138,"3,796","17,575,546",100,"98,825","3,456",0,"1,442","1,437","2,173",286,"1,901","1,736",0,650,299,563,725,513,454,454,370,258,247,0
NE,31,State Senate District 6,"=""31006""","2,162",7,"2,162","4,466,473",598,"453,113","1,136","1,477,449",227,136,185,"2,082","7,948,889",81,"74,843","1,887",0,705,"1,268",810,85,"1,042",890,0,381,237,353,427,245,210,216,200,149,119,0
NE,31,State Senate District 7,"=""31007""","4,113",142,"4,113","10,581,220","1,169","850,708","2,666","3,744,139",219,89,141,"4,019","18,141,715",83,"87,182","3,649",0,"1,581","1,461","2,335",317,"2,008","1,790",0,669,384,629,822,543,452,404,343,248,216,0
NE,31,State Senate District 8,"=""31008""","4,120",148,"4,120","10,488,809","1,062","760,395","2,538","3,534,490",299,169,211,"4,019","17,538,641",101,"88,953","3,660",0,"1,728","2,204","1,708",209,"1,946","1,836",0,665,357,662,874,531,472,433,377,232,175,0
NE,31,State Senate District 9,"=""31009""","3,004",112,"3,004","6,806,087",748,"544,458","1,657","2,195,707",197,143,187,"2,915","11,629,740",90,"69,635","2,604",0,"1,188","1,484","1,343",177,"1,399","1,310",0,465,321,549,640,353,331,273,240,163,129,0
NE,31,State Senate District 10,"=""31010""","2,839",40,"2,839","6,836,378",879,"650,931","1,802","2,387,800",326,161,234,"2,754","12,022,839",59,"82,022","2,542",0,"1,149","1,643","1,089",95,"1,409","1,237",0,488,209,426,515,364,306,287,267,194,165,0
NE,31,State Senate District 11,"=""31011""","6,175",161,"6,175","18,060,403","1,369","905,286","4,267","5,840,061",365,155,162,"6,102","28,064,672",62,"56,295","5,612",0,"3,471","2,957","2,714",504,"2,946","2,806",0,971,523,"1,123","1,430",953,693,612,418,257,152,0
NE,31,State Senate District 12,"=""31012""","2,663",24,"2,663","5,695,941",828,"654,428","1,494","1,851,364",280,140,206,"2,590","10,320,920",73,"71,845","2,386",0,961,"1,510","1,044",109,"1,286","1,121",0,450,224,430,533,307,254,297,259,191,160,0
NE,31,State Senate District 13,"=""31013""","4,157",87,"4,157","11,136,141","1,083","782,400","2,697","3,742,451",332,150,204,"4,067","18,323,835",80,"72,896","3,757",0,"1,945","2,291","1,633",218,"1,946","1,910",0,718,320,650,896,565,474,442,390,228,170,0
NE,31,State Senate District 14,"=""31014""","2,068",0,"2,068","4,558,842",710,"555,180","1,223","1,588,440",271,146,209,"2,010","8,580,414",56,"40,108","1,866",0,653,"1,214",762,86,"1,070",847,0,365,158,271,346,223,244,251,220,187,152,0
NE,31,State Senate District 15,"=""31015""","2,743",38,"2,743","6,170,880",868,"672,295","1,565","2,079,383",204,87,137,"2,661","11,504,940",60,"92,168","2,394",0,941,"1,270","1,381",21,"1,182","1,259",0,461,198,367,397,288,234,257,234,176,130,0
