"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NH,33,State House District Belknap County No.,"=""33001""",253,0,253,"436,239",59,"43,755",100,"124,571",0,0,0,219,"787,751",0,"31,160",177,0,61,149,102,0,136,82,0,97,22,55,53,22,1,1,0,0,0,0
NH,33,State House District Belknap County No.,"=""33002""",719,0,719,"1,497,234",193,"143,318",362,"429,444",52,0,30,679,"2,686,141",23,"46,520",594,0,235,446,253,0,323,330,0,170,91,109,153,76,75,84,60,0,0,0
NH,33,State House District Belknap County No.,"=""33003""","1,430",0,"1,430","2,933,336",388,"305,523",710,"833,865",77,56,82,"1,388","5,471,906",37,"45,813","1,193",0,526,861,502,58,555,688,0,195,173,230,275,145,142,142,111,83,72,0
NH,33,State House District Belknap County No.,"=""33004""",443,0,443,"864,851",141,"105,882",221,"260,173",23,14,17,421,"1,649,621",12,"22,320",365,0,136,284,144,14,183,205,0,93,56,78,79,28,28,31,51,19,14,0
NH,33,State House District Belknap County No.,"=""33005""",563,0,563,"1,046,410",165,"138,399",249,"298,232",1,0,0,517,"1,923,532",29,"52,577",430,0,110,342,208,0,301,204,0,167,47,25,73,33,30,30,1,0,0,0
NH,33,State House District Belknap County No.,"=""33006""",615,0,615,"1,250,335",191,"162,176",311,"362,528",54,30,31,596,"2,430,408",0,"19,116",510,0,181,377,198,0,254,275,0,119,68,87,95,79,60,61,54,44,43,0
NH,33,State House District Belknap County No.,"=""33007""",292,0,292,"594,678",88,"79,428",159,"196,874",0,0,21,275,"1,109,147",0,"18,985",238,0,58,163,125,0,153,114,0,87,23,22,40,28,0,30,26,23,0,0
NH,33,State House District Carroll County No.,"=""33101""",216,0,216,"361,888",44,"41,872",70,"94,960",0,0,0,198,"661,299",0,"16,669",144,0,0,113,66,0,114,44,0,52,0,0,17,0,0,0,0,0,0,0
NH,33,State House District Carroll County No.,"=""33102""","1,065",0,"1,065","2,102,000",266,"199,350",492,"570,817",0,38,40,973,"3,539,074",55,"76,302",794,0,311,618,390,15,534,395,0,267,122,160,232,123,110,104,75,0,0,0
NH,33,State House District Carroll County No.,"=""33103""",564,0,564,"1,141,446",142,"114,757",267,"345,924",0,7,7,520,"1,932,038",8,"46,798",439,0,107,307,203,7,328,144,0,128,16,40,64,20,17,16,11,0,0,0
NH,33,State House District Carroll County No.,"=""33104""",380,0,380,"786,150",100,"95,142",157,"218,533",1,0,23,343,"1,284,092",23,"46,097",276,0,53,170,169,0,208,83,0,124,1,42,49,26,21,1,22,0,0,0
NH,33,State House District Carroll County No.,"=""33105""",913,0,913,"1,925,255",248,"196,610",482,"600,471",0,21,22,854,"3,412,147",1,"52,529",738,0,304,555,329,0,453,378,0,222,88,107,138,59,27,54,0,0,0,0
NH,33,State House District Carroll County No.,"=""33106""",354,0,354,"643,517",94,"81,592",147,"185,083",23,0,25,318,"1,096,945",28,"40,899",261,0,85,200,147,0,191,125,0,134,34,43,51,27,0,36,22,0,0,0
NH,33,State House District Cheshire County No.,"=""33201""",719,0,719,"1,451,345",213,"188,023",344,"414,660",22,0,23,689,"2,829,599",0,"26,393",588,0,207,434,231,0,252,340,0,91,29,72,59,36,35,31,33,24,23,0
NH,33,State House District Cheshire County No.,"=""33202""",217,0,217,"393,330",58,"50,386",98,"114,669",4,2,5,202,"775,430",2,"17,662",178,0,58,136,59,2,72,102,0,34,8,32,33,5,4,4,19,3,2,0
NH,33,State House District Cheshire County No.,"=""33203""",221,0,221,"409,830",39,"45,162",109,"140,160",1,0,0,200,"790,152",0,"14,500",173,0,22,144,2,0,108,77,0,2,0,1,1,0,0,0,1,0,0,0
NH,33,State House District Cheshire County No.,"=""33204""",153,0,153,"274,086",38,"29,552",68,"75,935",11,7,14,146,"523,208",7,"4,952",125,0,48,98,50,5,57,76,0,24,24,29,32,14,13,13,11,9,7,0
NH,33,State House District Cheshire County No.,"=""33205""",316,0,316,"565,628",78,"61,015",141,"156,755",23,14,28,302,"1,079,995",14,"10,236",259,0,98,201,103,11,118,158,0,50,49,61,65,28,27,27,23,19,15,0
NH,33,State House District Cheshire County No.,"=""33206""",318,0,318,"569,751",78,"61,431",141,"157,848",23,14,29,304,"1,087,610",14,"10,294",260,0,99,203,104,11,118,159,0,51,50,61,66,28,27,27,23,19,15,0
NH,33,State House District Cheshire County No.,"=""33207""",318,0,318,"570,312",78,"61,492",141,"158,004",23,14,29,304,"1,088,680",14,"10,304",261,0,99,203,104,11,118,159,0,51,50,61,66,28,27,27,23,19,15,0
NH,33,State House District Cheshire County No.,"=""33208""",311,0,311,"557,420",76,"60,102",138,"154,432",22,14,28,297,"1,064,071",14,"10,072",255,0,97,199,102,11,116,155,0,50,49,60,65,28,27,26,22,18,15,0
NH,33,State House District Cheshire County No.,"=""33209""",513,0,513,"1,066,321",154,"145,869",271,"344,681",26,0,30,489,"2,033,058",0,"30,746",431,0,117,324,109,40,244,213,0,101,36,56,64,30,46,50,41,26,34,0
NH,33,State House District Cheshire County No.,"=""33210""",332,0,332,"630,500",118,"98,409",166,"197,541",20,0,0,318,"1,264,949",0,"7,399",276,0,109,225,99,0,135,163,0,73,25,55,60,21,0,0,21,0,0,0
NH,33,State House District Cheshire County No.,"=""33211""",386,0,386,"729,430",123,"111,856",195,"268,693",0,0,21,350,"1,383,110",22,"42,546",281,0,87,238,134,0,198,155,0,119,28,67,61,21,25,21,22,0,31,0
NH,33,State House District Cheshire County No.,"=""33212""",660,0,660,"1,363,922",197,"154,544",357,"405,741",49,25,33,634,"2,653,539",3,"16,039",567,0,250,436,214,3,245,339,0,96,62,100,119,69,72,66,53,38,8,0
NH,33,State House District Cheshire County No.,"=""33213""",386,0,386,"865,357",94,"70,045",217,"290,085",18,0,0,370,"1,597,205",0,"11,372",318,0,136,244,117,0,147,186,0,69,44,59,70,40,44,31,27,1,17,0
NH,33,State House District Coos County No. 1,"=""33301""",559,0,559,"1,055,531",88,"71,441",249,"279,669",0,0,0,526,"1,925,555",0,"24,077",388,0,127,236,259,0,205,247,0,121,55,100,66,33,23,0,0,0,0,0
NH,33,State House District Coos County No. 2,"=""33302""",358,0,358,"746,613",93,"71,632",184,"206,837",2,0,2,342,"1,416,945",0,"11,011",298,0,129,176,169,0,185,146,0,76,26,61,51,32,3,27,4,0,3,0
NH,33,State House District Coos County No. 3,"=""33303""",830,0,830,"1,660,465",190,"138,537",414,"443,929",32,40,40,795,"3,011,943",35,"27,085",698,0,338,320,472,38,569,204,0,167,141,161,153,100,88,58,51,45,31,0
NH,33,State House District Coos County No. 4,"=""33304""",368,0,368,"709,436",126,"99,479",187,"219,179",19,0,27,347,"1,406,144",5,"21,624",299,0,114,217,134,0,161,174,0,81,49,60,54,43,35,29,43,7,26,0
NH,33,State House District Coos County No. 5,"=""33305""",385,0,385,"746,232",95,"74,674",181,"216,534",0,0,19,359,"1,378,414",17,"26,720",303,0,97,228,133,0,159,154,0,92,45,43,42,38,29,24,19,21,0,0
NH,33,State House District Coos County No. 6,"=""33306""",244,0,244,"465,873",60,"54,044",106,"109,836",0,0,22,229,"872,514",0,"9,945",199,0,57,85,149,0,173,62,0,59,25,45,47,40,0,25,0,0,0,0
NH,33,State House District Grafton County No.,"=""33401""",727,0,727,"1,425,169",214,"161,809",354,"404,988",32,25,26,693,"2,738,543",21,"24,440",595,0,255,423,269,30,289,343,0,127,71,122,130,96,80,68,44,32,22,0
NH,33,State House District Grafton County No.,"=""33402""",271,0,271,"556,885",76,"63,535",123,"166,121",0,0,0,249,"1,059,293",0,"14,442",216,0,68,133,94,0,128,109,0,65,17,25,28,20,23,0,0,0,0,0
NH,33,State House District Grafton County No.,"=""33403""",326,0,326,"653,692",90,"84,691",162,"209,211",0,0,0,299,"1,237,238",0,"30,425",252,0,74,147,160,0,177,112,0,72,7,10,11,8,8,4,0,0,0,0
NH,33,State House District Grafton County No.,"=""33404""",402,0,402,"862,737",120,"100,639",193,"265,064",0,0,0,391,"1,653,195",0,"7,902",329,0,98,172,153,0,173,149,0,62,23,33,58,24,19,25,0,0,0,0
NH,33,State House District Grafton County No.,"=""33405""",290,0,290,"566,474",78,"54,319",144,"156,351",1,0,0,284,"1,012,738",1,"8,813",242,0,81,196,89,0,112,140,0,36,24,31,40,1,1,1,0,1,0,0
NH,33,State House District Grafton County No.,"=""33406""",330,0,330,"644,179",89,"67,531",159,"192,853",4,0,0,316,"1,184,243",2,"11,849",266,0,92,199,117,0,152,132,0,85,7,42,65,23,23,4,2,4,0,0
NH,33,State House District Grafton County No.,"=""33407""",275,0,275,"542,091",67,"47,670",130,"157,360",25,0,0,253,"926,359",22,"16,266",212,0,88,156,112,0,130,116,0,86,40,42,63,26,30,22,0,20,0,0
NH,33,State House District Grafton County No.,"=""33408""",473,0,473,"889,933",113,"80,253",207,"249,162",0,21,22,444,"1,566,794",0,"32,659",362,0,132,283,162,0,181,218,0,98,43,89,95,34,31,21,0,23,0,0
NH,33,State House District Grafton County No.,"=""33409""",705,0,705,"1,389,183",172,"136,391",352,"421,179",22,2,34,658,"2,523,904",30,"44,207",579,0,232,441,241,0,306,316,0,177,64,111,157,64,55,30,39,29,27,0
NH,33,State House District Grafton County No.,"=""33410""",242,0,242,"478,231",75,"60,449",122,"156,961",25,0,0,225,"934,768",0,"16,062",207,0,79,140,97,0,114,104,0,56,28,28,44,25,25,30,28,0,0,0
NH,33,State House District Grafton County No.,"=""33411""",372,0,372,"703,948",101,"79,811",174,"203,880",21,0,0,355,"1,365,021",0,"11,241",305,0,110,246,102,0,155,167,0,63,38,36,60,29,39,23,20,28,0,0
NH,33,State House District Grafton County No.,"=""33412""",155,0,155,"212,930",32,"28,079",37,"56,839",0,0,0,144,"449,794",0,"6,300",108,0,0,99,35,0,83,43,0,24,32,28,0,0,0,0,0,0,0,0
NH,33,State House District Grafton County No.,"=""33413""",746,0,746,"1,393,653",228,"181,840",355,"386,386",44,23,41,717,"2,724,300",21,"32,559",631,0,287,435,290,0,287,370,0,113,90,107,169,72,80,68,63,35,28,0
NH,33,State House District Hillsborough County,"=""33501""",657,0,657,"1,352,647",200,"152,644",336,"406,856",20,18,56,624,"2,513,436",25,"24,335",552,0,191,455,163,23,290,299,0,126,79,103,117,51,66,69,65,33,26,0
NH,33,State House District Hillsborough County,"=""33502""",539,0,539,"1,089,109",173,"142,098",286,"356,582",39,37,49,513,"2,157,016",7,"20,026",462,0,148,356,173,0,250,248,0,123,64,76,84,62,56,52,40,48,54,0
NH,33,State House District Hillsborough County,"=""33503""",274,0,274,"530,683",64,"59,762",124,"160,716",0,0,0,252,"934,857",0,"26,042",212,0,27,180,36,0,144,100,0,89,0,24,22,0,0,0,0,0,0,0
NH,33,State House District Hillsborough County,"=""33504""",495,0,495,"963,554",134,"110,080",247,"324,004",21,0,21,458,"1,797,308",0,"37,577",385,0,92,283,154,0,264,199,0,158,25,57,65,22,16,25,35,0,14,0
NH,33,State House District Hillsborough County,"=""33505""",250,0,250,"409,248",89,"75,188",100,"105,005",0,0,0,220,"805,336",0,"27,290",189,0,37,160,87,0,131,94,0,71,0,32,27,0,0,0,26,0,0,0
NH,33,State House District Hillsborough County,"=""33506""",807,6,807,"1,579,321",222,"182,784",390,"471,989",68,50,72,769,"3,018,958",38,"42,791",663,0,214,499,283,9,359,358,0,165,103,124,154,100,71,71,69,67,46,0
NH,33,State House District Hillsborough County,"=""33507""",411,0,411,"729,260",91,"67,870",161,"191,541",25,36,49,389,"1,324,633",22,"30,964",309,0,79,244,154,0,215,143,0,105,67,70,91,37,34,37,29,25,21,0
