"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NV,32,Assembly District 1,"=""32001""","6,367",122,"6,367","16,025,200","2,154","1,668,079","4,198","5,705,797",595,354,292,"6,212","28,568,865",147,"151,928","5,603",0,"2,530","3,149","3,135",82,"3,582","2,407",0,"1,497",374,740,"1,208",737,713,741,776,567,398,17
NV,32,Assembly District 2,"=""32002""","3,362",37,"3,362","6,897,184",933,"713,408","1,736","2,174,938",258,170,195,"3,112","11,806,327",249,"226,891","2,656",0,902,"1,604","1,703",24,"2,019","1,023",0,"1,068",361,540,671,355,309,312,348,243,176,0
NV,32,Assembly District 3,"=""32003""","7,276",236,"7,276","19,755,524","2,109","1,458,749","4,893","6,599,423",518,315,216,"7,086","32,487,977",190,"144,261","6,321",0,"3,512","2,767","4,388",121,"4,183","2,603",0,"1,758",448,"1,025","1,629","1,038",863,805,737,432,286,0
NV,32,Assembly District 4,"=""32004""","4,915",73,"4,915","11,297,745","1,621","1,274,761","2,982","3,859,925",486,339,307,"4,725","20,310,394",190,"173,164","4,268",0,"1,766","2,612","2,243",59,"2,660","1,907",0,"1,230",353,683,921,585,529,520,561,420,320,9
NV,32,Assembly District 5,"=""32005""","5,646",148,"5,646","12,380,044","1,548","1,131,554","3,092","3,909,648",423,324,249,"5,318","21,242,405",327,"282,169","4,547",0,"1,939","2,502","3,059",85,"3,245","1,880",0,"1,528",521,898,"1,171",686,566,575,610,382,230,0
NV,32,Assembly District 6,"=""32006""","8,970",332,"8,970","27,034,324","2,403","1,598,786","6,499","8,974,700",571,311,150,"8,847","42,202,190",118,"93,724","7,921",0,"4,883","2,845","5,956",155,"5,581","2,945",0,"2,427",466,"1,349","2,183","1,390","1,012",893,809,471,255,0
NV,32,Assembly District 7,"=""32007""","8,541",242,"8,541","24,360,886","2,630","1,833,862","6,062","8,483,046",750,421,260,"8,401","40,728,397",139,"117,530","7,551",0,"4,133","3,185","5,229",126,"5,013","3,088",0,"2,082",449,"1,075","1,782","1,228","1,079","1,004",926,593,384,7
NV,32,Assembly District 8,"=""32008""","6,473",193,"6,473","13,911,633","2,013","1,525,939","3,594","4,549,253",520,371,258,"6,078","24,953,674",393,"298,373","5,036",0,"1,983","2,681","3,720",72,"3,810","2,117",0,"1,803",540,"1,000","1,236",733,668,700,744,507,331,0
NV,32,Assembly District 9,"=""32009""","5,669",119,"5,669","12,780,847","1,771","1,326,936","3,317","4,317,547",495,361,282,"5,333","22,439,372",333,"297,653","4,591",0,"1,709","2,661","2,946",57,"3,393","1,879",0,"1,683",458,814,"1,077",683,581,593,643,477,330,0
NV,32,Assembly District 10,"=""32010""","8,094",391,"8,094","21,178,041","2,053","1,353,096","5,151","6,925,975",496,330,170,"7,787","34,394,289",295,"224,617","6,781",0,"3,908","2,673","5,283",130,"4,978","2,499",0,"2,074",607,"1,311","1,850","1,208",852,771,760,409,238,0
NV,32,Assembly District 11,"=""32011""","7,567",344,"7,567","22,851,094","1,981","1,276,852","5,490","7,669,258",396,233,127,"7,466","35,892,993",96,"68,975","6,612",0,"4,154","2,049","5,360",140,"4,806","2,318",0,"1,954",395,"1,125","1,864","1,192",941,746,660,374,215,3
NV,32,Assembly District 12,"=""32012""","8,041",240,"8,041","21,695,578","2,650","1,877,161","5,540","7,585,470",697,400,233,"7,879","37,392,589",162,"147,779","7,025",0,"3,713","2,875","5,047",118,"4,724","2,859",0,"1,830",414,"1,008","1,580","1,145",951,971,970,606,373,6
NV,32,Assembly District 13,"=""32013""","3,661",14,"3,661","8,277,284","1,201","970,503","2,234","2,990,909",312,239,240,"3,497","15,146,388",164,"173,044","3,140",0,"1,234","1,996","1,617",35,"2,017","1,378",0,991,307,501,679,393,378,384,364,328,305,0
NV,32,Assembly District 14,"=""32014""","8,113",288,"8,113","22,034,052","2,590","1,788,564","5,586","7,657,991",676,389,191,"7,936","37,676,980",165,"148,909","7,021",0,"3,818","2,633","5,363",115,"4,944","2,691",0,"1,876",419,"1,021","1,615","1,164",945,961,956,571,345,7
NV,32,Assembly District 15,"=""32015""","8,658",356,"8,658","22,860,535","2,380","1,579,398","5,670","7,647,766",594,375,177,"8,451","38,180,991",189,"140,217","7,394",0,"4,251","2,823","5,680",131,"5,309","2,689",0,"2,041",607,"1,285","1,905","1,259",957,902,866,509,273,1
NV,32,Assembly District 16,"=""32016""","7,949",369,"7,949","20,069,590","1,784","1,180,148","4,761","6,333,790",385,311,153,"7,726","32,529,160",197,"177,007","6,693",0,"3,899","2,708","5,043",133,"4,706","2,419",0,"1,838",632,"1,406","1,952","1,117",792,659,643,322,171,0
NV,32,Assembly District 17,"=""32017""","7,583",157,"7,583","20,362,941","2,622","1,961,003","5,320","7,479,477",802,462,364,"7,439","36,106,155",134,"154,044","6,803",0,"3,286","3,633","3,861",75,"4,177","2,994",0,"1,710",370,861,"1,386","1,000",893,931,914,627,511,9
NV,32,Assembly District 18,"=""32018""","6,378",163,"6,378","15,678,857","2,006","1,462,571","4,032","5,352,432",570,333,242,"6,212","27,668,850",166,"139,013","5,523",0,"2,733","2,727","3,561",90,"3,580","2,321",0,"1,369",431,883,"1,266",853,707,745,710,481,286,0
NV,32,Assembly District 19,"=""32019""","5,913",97,"5,913","15,887,067","1,804","1,319,970","3,986","5,591,933",311,232,180,"5,787","27,058,890",116,"107,587","5,149",0,"2,488","2,656","3,167",76,"3,092","2,417",0,"1,195",340,785,"1,156",880,724,583,550,394,336,3
NV,32,Assembly District 20,"=""32020""","7,264",262,"7,264","17,167,855","2,017","1,433,747","4,297","5,511,451",517,397,249,"7,033","29,509,895",224,"192,683","6,192",0,"3,102","2,983","4,138",118,"4,172","2,443",0,"1,652",543,"1,151","1,551",972,759,730,728,444,273,0
NV,32,Assembly District 21,"=""32021""","4,391",89,"4,391","9,157,827","1,250","951,273","2,317","2,962,150",349,267,229,"4,148","16,179,042",243,"197,811","3,615",0,"1,477","2,127","2,200",61,"2,458","1,522",0,"1,162",408,686,898,494,452,448,446,332,213,0
NV,32,Assembly District 22,"=""32022""","2,864",12,"2,864","5,710,441",837,"674,531","1,473","1,889,518",217,174,194,"2,672","10,081,991",191,"166,961","2,325",0,729,"1,521","1,300",25,"1,601","1,015",0,835,306,456,529,301,281,275,283,235,184,0
NV,32,Assembly District 23,"=""32023""","3,342",7,"3,342","7,004,357",884,"695,901","1,763","2,293,505",186,135,161,"3,183","12,166,945",140,"130,975","2,731",0,"1,010","1,776","1,449",46,"1,718","1,239",0,746,317,504,672,387,333,288,285,214,163,0
NV,32,Assembly District 24,"=""32024""","6,544",191,"6,544","14,559,599","1,763","1,258,950","3,642","4,632,568",242,248,181,"6,367","25,701,040",144,"136,022","5,407",0,"2,424","3,209","3,125",141,"2,661","3,001",0,797,664,"1,115","1,312",810,732,628,453,315,266,0
NV,32,Assembly District 25,"=""32025""","3,418",43,"3,418","6,661,142",971,"762,951","1,709","2,133,832",179,171,190,"3,260","12,120,306",145,"128,174","2,828",0,"1,071","1,994","1,360",45,"1,557","1,447",0,681,376,574,655,363,296,345,282,212,190,0
NV,32,Assembly District 26,"=""32026""","3,698",56,"3,698","7,686,295","1,111","819,349","1,942","2,490,376",169,144,145,"3,524","13,778,172",135,"169,178","2,966",0,"1,121","1,947","1,645",32,"1,716","1,553",0,704,392,589,698,406,413,368,278,212,159,0
NV,32,Assembly District 27,"=""32027""","5,524",110,"5,524","12,387,792","1,682","1,268,795","3,150","4,110,956",287,259,242,"5,373","22,465,936",142,"127,659","4,702",0,"1,997","2,911","2,468",117,"2,327","2,601",0,769,522,824,"1,014",669,621,595,498,370,314,0
NV,32,Assembly District 28,"=""32028""","8,580",333,"8,580","25,680,084","2,680","1,812,323","6,411","9,083,194",665,361,195,"8,461","42,585,687",119,"95,930","7,610",0,"4,408","2,614","5,850",115,"5,267","2,940",0,"2,112",372,"1,042","1,842","1,337","1,106",973,950,552,378,27
NV,32,Assembly District 29,"=""32029""","4,955",74,"4,955","10,825,004","1,430","1,100,112","2,720","3,498,615",347,291,254,"4,729","18,835,440",211,"192,755","4,164",0,"1,670","2,547","2,255",85,"2,619","1,840",0,"1,165",431,731,956,590,496,515,488,362,251,0
NV,32,Assembly District 30,"=""32030""","6,564",146,"6,564","15,287,194","2,188","1,641,039","3,977","5,064,575",316,248,234,"6,416","27,927,063",139,"123,211","5,573",0,"2,391","3,203","3,196",157,"2,741","3,171",0,786,517,971,"1,189",811,812,741,626,432,371,0
NV,32,Assembly District 31,"=""32031""","4,966",64,"4,966","11,254,861","1,768","1,373,076","2,973","3,890,178",325,238,245,"4,835","21,073,479",126,"130,108","4,258",0,"1,713","2,641","2,191",103,"2,159","2,351",0,703,398,663,825,554,570,608,538,414,341,0
NV,32,Assembly District 32,"=""32032""","4,053",9,"4,053","8,983,263","1,267","1,025,185","2,349","3,043,193",119,66,79,"3,938","16,666,947",45,"99,184","3,278",0,"1,466","1,806","1,973",73,"1,759","1,793",0,559,364,572,633,354,295,292,282,193,152,0
NV,32,Assembly District 33,"=""32033""","3,602",24,"3,602","8,536,847","1,210","945,353","2,243","2,929,181",61,43,78,"3,533","15,941,365",22,"52,473","3,069",0,"1,394","1,769","1,700",0,"1,268","1,806",0,304,236,421,543,378,343,244,253,148,179,0
NV,32,Assembly District 34,"=""32034""","5,821",143,"5,821","14,224,341","1,702","1,238,784","3,566","4,645,798",477,327,252,"5,583","24,045,500",237,"188,118","4,953",0,"2,337","2,618","3,097",101,"3,230","2,156",0,"1,459",422,843,"1,227",757,633,656,615,392,263,0
NV,32,Assembly District 35,"=""32035""","5,349",63,"5,349","11,531,192","1,816","1,456,171","3,142","4,063,746",544,350,333,"5,060","21,272,924",288,"269,150","4,425",0,"1,589","2,625","2,667",36,"3,169","1,780",0,"1,566",407,718,971,587,509,570,667,506,398,0
NV,32,Assembly District 36,"=""32036""","4,154",26,"4,154","9,666,361","1,025","814,042","2,398","3,178,102",133,90,103,"4,023","16,457,771",66,"95,203","3,476",0,"1,439","2,302","1,703",74,"2,115","1,616",0,836,333,590,829,491,310,285,246,171,167,0
NV,32,Assembly District 37,"=""32037""","4,466",78,"4,466","10,208,879","1,355","1,043,447","2,600","3,384,606",370,282,230,"4,251","17,697,210",205,"169,700","3,747",0,"1,606","2,199","2,195",55,"2,487","1,624",0,"1,189",368,648,844,533,452,474,480,333,235,13
NV,32,Assembly District 38,"=""32038""","4,953",42,"4,953","11,185,447","1,572","1,218,153","2,907","3,864,715",182,141,188,"4,843","20,733,887",70,"82,728","4,309",0,"2,105","2,578","2,291",0,"1,951","2,449",0,692,467,760,872,573,470,484,472,344,339,0
NV,32,Assembly District 39,"=""32039""","4,182",4,"4,182","8,838,138","1,258","974,094","2,263","2,959,099",234,129,151,"4,005","15,759,908",101,"177,330","3,439",0,"1,372","2,279","1,804",28,"2,058","1,675",0,854,405,663,753,422,384,415,403,247,253,0
NV,32,Assembly District 40,"=""32040""","4,739",62,"4,739","10,223,475","1,533","1,163,907","2,650","3,281,682",244,180,174,"4,573","18,322,183",121,"124,319","3,899",0,"1,673","2,523","2,104",85,"2,045","2,183",0,701,452,763,837,545,494,479,430,296,255,0
NV,32,Assembly District 41,"=""32041""","4,924",82,"4,924","10,644,493","1,544","1,181,617","2,773","3,583,167",451,324,270,"4,668","19,119,900",255,"220,373","4,088",0,"1,623","2,362","2,509",48,"2,779","1,750",0,"1,308",402,699,935,558,522,548,555,411,276,0
NV,32,Assembly District 42,"=""32042""","7,352",283,"7,352","16,258,301","2,071","1,470,264","4,086","5,149,311",508,365,210,"6,924","28,227,707",398,"350,976","5,774",0,"2,666","2,640","4,595",110,"4,455","2,259",0,"1,951",602,"1,200","1,507",930,753,732,740,478,256,0
