"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NY,36,Assembly District 1,"=""36001""","7,960",210,"7,960","17,082,183","2,103","1,476,261","4,156","4,998,433",286,217,235,"7,185","28,375,760",638,"784,429","5,417",0,"2,143","2,601","5,153",32,"5,190","2,042",0,"2,803",729,"1,348","1,607","1,033",606,560,490,318,240,0
NY,36,Assembly District 2,"=""36002""","6,128",67,"6,128","12,238,881","1,367","1,045,570","2,917","3,619,720",193,218,302,"5,718","21,351,163",258,"383,951","4,461",0,"1,803","1,891","4,051",57,"3,914","1,620",0,"1,640",722,"1,125","1,289",564,402,438,387,245,131,0
NY,36,Assembly District 3,"=""36003""","8,800",168,"8,800","20,069,417","2,111","1,594,283","4,976","6,199,019",571,468,393,"8,436","35,128,161",340,"326,681","7,054",0,"3,266","2,776","5,885",96,"5,358","2,697",0,"2,106",829,"1,558","1,894","1,042",839,761,730,543,428,0
NY,36,Assembly District 4,"=""36004""","5,388",92,"5,388","10,710,616","1,228","874,340","2,647","3,202,635",344,317,354,"5,104","19,337,439",255,"219,702","4,169",0,"1,377","1,769","3,532",52,"3,448","1,450",0,"1,261",603,"1,000","1,140",593,485,446,427,338,224,0
NY,36,Assembly District 5,"=""36005""","5,982",60,"5,982","11,616,633","1,394","1,084,569","2,776","3,382,377",357,397,427,"5,687","20,983,090",291,"265,490","4,555",0,"1,481","2,013","3,861",86,"3,589","1,758",0,"1,431",641,"1,119","1,235",613,524,531,540,405,327,0
NY,36,Assembly District 6,"=""36006""","16,397",522,"16,397","41,691,961","4,841","3,274,809","10,704","13,620,897","1,666",862,434,"15,872","76,772,805",515,"444,778","12,970",0,"6,370","3,401","12,799",191,"9,970","5,415",0,"3,346",959,"2,295","3,271","2,434","2,135","1,915","1,504","1,123",704,0
NY,36,Assembly District 7,"=""36007""","6,603",91,"6,603","13,593,342","1,516","1,099,383","3,323","4,096,750",391,345,386,"6,272","24,423,786",266,"286,084","5,012",0,"1,833","1,971","4,497",53,"4,037","1,921",0,"1,572",676,"1,195","1,427",668,572,550,466,392,273,0
NY,36,Assembly District 8,"=""36008""","3,485",1,"3,485","6,017,730",641,"466,040","1,343","1,645,664",147,254,285,"3,217","10,644,308",263,"230,327","2,330",0,577,"1,077","2,319",29,"2,366",793,0,"1,084",480,704,770,295,264,275,265,229,163,0
NY,36,Assembly District 9,"=""36009""","5,686",104,"5,686","10,995,814","1,265","915,078","2,700","3,290,412",412,357,410,"5,338","20,192,400",343,"283,191","4,252",0,"1,491","1,659","3,928",72,"3,692","1,489",0,"1,486",599,"1,103","1,209",590,501,495,472,399,265,0
NY,36,Assembly District 10,"=""36010""","5,803",132,"5,803","12,659,228","1,179","807,687","3,004","3,781,356",359,301,267,"5,403","21,256,343",379,"358,526","4,151",0,"1,854","1,344","4,332",83,"4,021","1,337",0,"1,731",594,"1,059","1,341",723,588,479,373,330,229,0
