"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OK,40,State House District 1,"=""40001""","4,496",71,"4,496","12,315,661","1,247","888,517","2,989","3,827,547",64,57,60,"4,381","19,945,929",64,"95,776","3,962",0,"2,442","1,356","2,981",57,"2,422","1,728",0,"1,040",298,616,861,601,528,408,252,179,118,0
OK,40,State House District 2,"=""40002""","3,986",21,"3,986","10,483,614","1,036","800,482","2,534","3,270,552",60,65,79,"3,867","16,760,230",90,"104,659","3,498",0,"2,020",917,"2,908",121,"2,233","1,497",0,"1,018",311,603,830,576,399,364,275,211,244,0
OK,40,State House District 3,"=""40003""","3,483",0,"3,483","9,252,973",874,"669,322","2,179","2,920,606",0,27,32,"3,364","14,706,273",53,"101,057","3,020",0,"1,676",837,"2,481",97,"1,970","1,284",0,897,282,537,695,551,341,276,247,160,176,0
OK,40,State House District 4,"=""40004""","3,684",51,"3,684","9,589,997",971,"690,329","2,363","3,112,578",83,92,157,"3,564","15,334,977",73,"95,140","3,276",0,"1,736","1,324","2,156",158,"2,400","1,075",0,852,326,557,691,539,420,328,248,153,176,0
OK,40,State House District 5,"=""40005""","3,435",0,"3,435","9,006,532",884,"654,952","2,167","2,883,208",31,16,52,"3,321","14,558,678",77,"78,259","3,049",0,"1,646","1,252","1,999",106,"1,906","1,292",0,832,246,521,609,447,400,262,193,157,143,0
OK,40,State House District 6,"=""40006""","3,140",22,"3,140","7,835,814",913,"708,779","1,952","2,575,528",60,48,95,"3,023","13,226,878",74,"92,748","2,727",0,"1,323","1,258","1,785",37,"1,644","1,234",0,758,237,452,492,348,329,241,202,150,175,0
OK,40,State House District 7,"=""40007""","3,885",37,"3,885","10,381,072","1,037","786,610","2,528","3,309,700",91,65,84,"3,795","17,259,467",46,"85,328","3,576",0,"2,062","1,488","2,310",44,"1,974","1,626",0,720,310,555,761,547,484,364,292,193,173,0
OK,40,State House District 8,"=""40008""","3,217",0,"3,217","8,102,911","1,017","840,025","2,104","2,752,418",65,58,134,"3,113","13,763,787",39,"106,150","2,879",0,"1,529","1,413","1,728",37,"1,797","1,237",0,782,260,449,562,406,339,272,276,243,249,0
OK,40,State House District 9,"=""40009""","2,639",0,"2,639","6,105,153",882,"719,418","1,629","2,183,968",139,132,156,"2,540","11,038,237",92,"84,003","2,351",0,"1,159","1,305","1,241",91,"1,455","1,013",0,576,211,331,456,291,264,260,261,199,238,0
OK,40,State House District 10,"=""40010""","3,106",0,"3,106","7,701,717",884,"671,607","1,909","2,516,268",88,50,111,"3,031","13,274,703",32,"64,504","2,790",0,"1,458","1,418","1,546",115,"1,491","1,375",0,585,233,388,540,370,272,230,218,163,136,0
OK,40,State House District 11,"=""40011""","2,851",0,"2,851","6,739,073",900,"710,199","1,718","2,252,075",148,117,163,"2,778","11,807,557",67,"59,606","2,550",0,"1,203","1,549","1,164",130,"1,390","1,227",0,518,229,429,497,327,319,266,256,232,166,0
OK,40,State House District 12,"=""40012""","3,101",4,"3,101","7,659,577",960,"744,447","1,963","2,597,887",138,103,140,"2,982","12,890,757",100,"112,360","2,764",0,"1,378","1,401","1,636",52,"1,742","1,185",0,689,265,471,531,359,329,288,241,206,222,0
OK,40,State House District 13,"=""40013""","3,638",52,"3,638","9,627,109",933,"680,453","2,328","2,985,050",108,82,107,"3,560","15,346,269",64,"64,549","3,296",0,"1,982","1,515","1,997",62,"2,039","1,310",0,705,305,544,744,507,376,309,226,191,134,0
OK,40,State House District 14,"=""40014""","3,382",38,"3,382","8,556,470",962,"762,606","2,146","2,831,080",138,87,125,"3,290","14,217,865",80,"72,846","3,023",0,"1,686","1,519","1,769",81,"1,939","1,228",0,664,262,486,634,456,354,332,256,235,211,0
OK,40,State House District 15,"=""40015""","3,572",0,"3,572","9,504,135",851,"663,624","2,247","3,026,230",14,37,50,"3,440","15,208,056",74,"106,111","3,145",0,"1,724",836,"2,587",42,"2,170","1,205",0,"1,176",242,514,715,494,351,225,199,116,128,0
OK,40,State House District 16,"=""40016""","3,635",20,"3,635","9,492,952","1,016","785,115","2,329","3,078,405",68,87,142,"3,530","16,009,885",73,"95,746","3,253",0,"1,731","1,523","1,958",114,"1,933","1,476",0,682,319,511,661,464,394,364,283,178,183,0
