"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OR,41,State House District 1,"=""41001""","4,878",17,"4,878","10,140,960","1,041","811,216","2,466","3,228,457",104,69,145,"4,561","16,349,971",253,"275,298","3,777",0,"1,540","2,674","1,848",272,"2,675","1,685",0,"1,104",556,891,970,529,391,356,299,161,184,0
OR,41,State House District 2,"=""41002""","5,227",42,"5,227","11,378,560","1,325","1,006,417","2,914","3,788,399",224,122,259,"5,025","18,973,590",163,"186,830","4,281",0,"1,901","3,113","1,788",267,"2,508","2,173",0,829,534,909,952,632,509,392,330,269,286,0
OR,41,State House District 3,"=""41003""","5,828",47,"5,828","12,842,696","1,304","962,934","3,161","4,119,734",238,129,233,"5,464","19,966,866",324,"278,058","4,690",0,"2,043","2,851","2,468",443,"3,433","1,893",0,"1,429",704,"1,044","1,145",643,498,451,375,276,258,0
OR,41,State House District 4,"=""41004""","5,423",48,"5,423","12,075,713","1,498","1,146,287","3,098","4,120,925",335,155,265,"5,187","19,866,665",235,"223,071","4,543",0,"1,774","2,857","2,345",206,"3,026","1,947",0,"1,178",593,922,963,627,585,507,485,352,342,0
OR,41,State House District 5,"=""41005""","5,501",49,"5,501","10,869,156","1,179","854,770","2,690","3,337,163",269,197,390,"5,104","16,609,086",395,"340,000","4,267",17,"1,605","3,017","2,140",332,"3,236","1,732",0,"1,524",816,"1,099","1,152",611,508,390,374,273,233,0
OR,41,State House District 6,"=""41006""","5,801",101,"5,801","12,949,706","1,552","1,122,429","3,345","4,234,654",379,219,322,"5,587","20,858,440",215,"196,497","4,893",42,"2,070","3,135","2,407",260,"3,057","2,229",0,"1,015",644,992,"1,120",719,634,554,464,340,321,0
OR,41,State House District 7,"=""41007""","5,037",62,"5,037","11,106,987","1,153","900,670","2,769","3,691,637",132,93,188,"4,801","17,949,425",123,"198,962","4,100",0,"1,798","2,964","1,712",188,"2,485","2,013",0,932,475,784,879,501,356,298,213,188,187,0
OR,41,State House District 8,"=""41008""","4,291",39,"4,291","7,827,051",903,"684,866","1,918","2,432,558",226,197,380,"4,018","12,735,157",238,"218,049","3,378",0,"1,196","2,766","1,180",262,"2,152","1,574",0,983,531,920,928,389,314,316,284,233,192,0
OR,41,State House District 9,"=""41009""","5,041",35,"5,041","10,576,106","1,126","813,613","2,613","3,373,243",184,130,194,"4,787","17,281,829",205,"198,552","4,010",0,"1,969","2,776","1,690",424,"2,502","1,932",0,896,569,974,"1,017",598,434,369,288,215,217,0
OR,41,State House District 10,"=""41010""","4,867",7,"4,867","10,147,982","1,148","873,146","2,515","3,236,451",109,37,129,"4,610","16,601,142",122,"202,819","3,793",0,"1,783","2,851","1,615",135,"2,116","1,974",0,844,408,798,907,469,357,323,202,133,116,0
OR,41,State House District 11,"=""41011""","3,868",24,"3,868","7,662,607",951,"736,053","1,973","2,625,471",151,155,254,"3,697","12,978,031",135,"156,617","3,159",0,"1,234","2,424","1,211",182,"1,894","1,560",0,710,411,692,716,374,306,262,231,195,191,0
OR,41,State House District 12,"=""41012""","5,886",94,"5,886","12,618,783","1,586","1,195,246","3,306","4,182,284",375,240,414,"5,701","21,298,703",179,"161,064","4,970",0,"2,148","3,671","1,856",355,"2,725","2,584",0,896,656,"1,015","1,089",683,597,598,477,358,342,0
OR,41,State House District 13,"=""41013""","4,178",51,"4,178","7,418,214",907,"690,912","1,858","2,283,637",249,220,371,"3,952","12,468,484",217,"188,524","3,358",0,"1,294","2,739","1,155",273,"2,014","1,619",0,812,558,862,881,407,337,321,307,231,186,0
OR,41,State House District 14,"=""41014""","5,443",76,"5,443","10,817,582","1,347","1,029,077","2,758","3,503,484",315,260,440,"5,197","17,991,872",244,"209,928","4,461",0,"1,870","3,472","1,629",338,"2,583","2,208",0,"1,046",645,"1,023","1,153",560,492,482,437,334,293,0
OR,41,State House District 15,"=""41015""","4,732",52,"4,732","10,093,925","1,276","972,522","2,619","3,407,078",294,233,329,"4,584","17,215,863",142,"114,931","3,951",0,"1,610","2,856","1,666",203,"2,257","2,026",0,717,491,830,920,524,479,412,371,271,329,0
OR,41,State House District 16,"=""41016""","3,092",46,"3,092","4,827,183",548,"437,693","1,173","1,497,988",148,226,379,"2,961","8,390,672",110,"91,725","2,475",0,698,"2,166",672,254,"1,471","1,197",0,602,547,693,672,232,225,195,176,156,147,0
OR,41,State House District 17,"=""41017""","4,829",32,"4,829","11,197,944","1,338","1,039,030","2,859","3,890,559",190,152,219,"4,681","19,008,904",89,"115,011","4,031",0,"1,961","2,788","1,822",126,"2,111","2,202",0,773,471,670,828,555,431,429,374,266,318,0
OR,41,State House District 18,"=""41018""","4,254",30,"4,254","9,981,301","1,338","1,028,873","2,629","3,693,160",168,116,229,"4,073","16,994,947",123,"178,949","3,396",0,"1,411","2,564","1,581",54,"1,929","1,985",0,796,273,577,712,498,474,430,372,252,324,0
OR,41,State House District 19,"=""41019""","4,346",82,"4,346","9,986,608","1,308","1,003,571","2,632","3,526,521",298,207,320,"4,202","16,846,293",126,"125,993","3,683",0,"1,605","2,831","1,420",89,"1,921","2,068",0,770,405,648,787,520,450,452,426,328,296,0
OR,41,State House District 20,"=""41020""","4,191",72,"4,191","9,118,571","1,242","954,270","2,364","3,207,173",251,213,331,"4,053","15,587,114",110,"106,807","3,470",0,"1,529","2,781","1,310",100,"1,778","1,992",0,682,503,652,711,469,421,447,366,301,299,0
OR,41,State House District 21,"=""41021""","6,556",225,"6,556","16,336,068","1,887","1,379,233","4,213","5,704,558",331,250,318,"6,399","26,928,341",148,"124,681","5,373",0,"2,415","4,076","2,297",150,"2,674","3,335",0,874,618,937,"1,192",846,780,673,554,402,384,0
OR,41,State House District 22,"=""41022""","5,934",201,"5,934","15,117,391","1,863","1,361,675","3,959","5,488,557",285,228,252,"5,784","25,128,525",148,"137,305","4,665",0,"1,962","3,549","2,183",190,"2,606","2,906",0,798,486,800,"1,022",771,794,653,550,417,407,0
OR,41,State House District 23,"=""41023""","4,336",40,"4,336","9,679,440","1,260","1,002,822","2,497","3,408,165",183,122,314,"4,206","16,556,386",59,"99,683","3,595",0,"1,592","2,727","1,428",102,"2,000","1,893",0,772,405,661,755,453,452,348,376,303,283,0
OR,41,State House District 24,"=""41024""","4,770",83,"4,770","11,047,812","1,483","1,152,818","2,889","3,888,160",279,142,275,"4,614","18,744,871",112,"148,982","3,957",0,"1,528","2,917","1,724",108,"2,253","2,097",0,771,462,693,796,518,517,499,401,337,331,0
OR,41,State House District 25,"=""41025""","4,494",86,"4,494","10,325,740","1,416","1,105,266","2,709","3,618,369",293,225,341,"4,359","17,565,209",128,"107,181","3,764",0,"1,519","2,940","1,450",96,"1,999","2,138",0,670,382,646,726,534,518,444,450,334,309,0
