"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
SC,45,State House District HD-001,"=""45001""","3,100",0,"3,100","7,333,764",784,"596,170","1,803","2,376,591",73,63,53,"2,973","12,002,353",106,"105,500","2,657",0,"1,261","1,019","2,037",0,"1,761","1,050",0,739,242,522,623,391,260,222,247,197,147,0
SC,45,State House District HD-002,"=""45002""","3,202",22,"3,202","7,754,148",786,"597,596","1,882","2,459,828",116,87,103,"3,089","12,574,763",98,"98,060","2,792",0,"1,482","1,187","1,951",28,"1,714","1,189",0,615,292,533,675,375,339,261,218,176,148,0
SC,45,State House District HD-003,"=""45003""","2,027",22,"2,027","4,187,107",455,"351,093","1,009","1,271,347",80,92,90,"1,958","6,964,173",31,"64,042","1,739",0,759,896,"1,050",29,939,807,0,389,213,395,424,242,173,154,116,94,98,0
SC,45,State House District HD-004,"=""45004""","3,693",10,"3,693","9,061,858","1,033","789,534","2,243","2,905,529",156,101,117,"3,579","14,761,694",108,"95,695","3,235",0,"1,660","1,304","2,244",124,"1,896","1,511",0,802,283,567,714,464,410,355,310,232,237,0
SC,45,State House District HD-005,"=""45005""","3,671",24,"3,671","8,969,390","1,038","792,813","2,273","2,898,488",222,128,156,"3,555","14,545,575",111,"94,899","3,211",0,"1,657","1,459","2,105",102,"1,920","1,460",0,816,279,568,718,493,400,343,313,244,239,0
SC,45,State House District HD-006,"=""45006""","3,687",27,"3,687","9,215,139",931,"705,147","2,231","2,803,755",204,157,146,"3,588","14,549,076",96,"94,319","3,256",0,"1,819","1,457","2,123",88,"2,157","1,250",0,769,320,593,825,486,388,318,297,206,194,0
SC,45,State House District HD-007,"=""45007""","3,798",31,"3,798","9,782,252","1,000","749,104","2,331","3,030,599",172,141,104,"3,687","15,527,025",109,"106,487","3,322",0,"1,931","1,401","2,329",50,"2,178","1,359",0,814,287,583,828,562,395,362,324,240,207,0
SC,45,State House District HD-008,"=""45008""","4,342",33,"4,342","11,205,299","1,056","788,863","2,614","3,352,809",208,147,122,"4,231","17,359,465",86,"81,556","3,851",0,"2,241","1,686","2,527",92,"2,612","1,399",0,913,342,739,985,600,464,378,329,240,199,0
SC,45,State House District HD-009,"=""45009""","3,792",30,"3,792","9,688,042","1,001","731,967","2,347","2,989,495",203,159,143,"3,687","15,236,902",99,"107,755","3,342",0,"1,926","1,463","2,240",72,"2,222","1,317",0,814,286,582,831,521,421,342,309,224,195,0
SC,45,State House District HD-010,"=""45010""","3,817",44,"3,817","9,648,217","1,049","790,324","2,380","3,025,735",247,151,151,"3,696","15,249,899",121,"110,403","3,363",7,"1,853","1,606","2,093",117,"1,972","1,536",0,847,284,606,802,544,407,376,318,259,211,0
SC,45,State House District HD-011,"=""45011""","4,335",35,"4,335","11,608,027","1,071","759,760","2,627","3,376,935",161,148,81,"4,230","17,718,905",74,"80,680","3,836",0,"2,380","1,567","2,627",73,"2,434","1,647",0,932,254,676,929,630,511,444,328,225,146,0
SC,45,State House District HD-012,"=""45012""","4,118",69,"4,118","11,146,848",904,"590,319","2,541","3,122,160",190,211,108,"4,040","16,754,492",53,"58,718","3,620",0,"2,146","1,648","2,219",195,"2,486","1,390",0,692,248,642,919,654,451,338,269,165,87,0
SC,45,State House District HD-013,"=""45013""","4,215",66,"4,215","11,189,977",997,"685,937","2,655","3,330,547",231,243,131,"4,122","17,113,269",62,"76,335","3,699",0,"2,044","1,851","2,171",171,"2,576","1,425",0,779,283,672,928,674,484,383,332,226,141,0
SC,45,State House District HD-014,"=""45014""","4,383",41,"4,383","11,457,079","1,098","786,393","2,720","3,421,244",221,173,117,"4,261","17,675,735",98,"103,835","3,832",28,"2,354","1,826","2,465",66,"2,461","1,640",0,791,291,648,921,670,512,422,357,201,166,0
SC,45,State House District HD-015,"=""45015""","4,091",69,"4,091","10,497,115","1,088","774,730","2,612","3,265,108",306,244,213,"3,987","16,711,778",104,"98,547","3,677",9,"2,029","1,978","2,053",58,"2,149","1,675",0,826,297,677,919,580,440,433,314,234,188,0
SC,45,State House District HD-016,"=""45016""","3,998",54,"3,998","10,096,957","1,062","765,516","2,487","3,161,568",269,197,160,"3,890","15,962,745",108,"92,788","3,533",9,"2,123","1,705","2,206",86,"2,113","1,583",0,705,300,611,817,586,481,397,342,246,203,0
SC,45,State House District HD-017,"=""45017""","3,583",17,"3,583","9,002,945",922,"688,720","2,180","2,954,904",168,112,132,"3,408","13,937,128",168,"163,976","3,039",33,"1,491","1,462","1,986",105,"2,080","1,245",0,955,298,559,708,471,376,344,289,227,200,0
SC,45,State House District HD-018,"=""45018""","3,150",41,"3,150","7,488,365",882,"675,114","1,886","2,443,383",202,143,169,"3,004","11,913,853",140,"145,455","2,656",0,"1,237","1,516","1,545",80,"1,771","1,141",0,772,237,484,605,406,327,311,285,215,191,10
SC,45,State House District HD-019,"=""45019""","4,115",89,"4,115","10,768,043",990,"685,224","2,568","3,326,672",220,142,124,"3,982","16,257,233",124,"110,692","3,552",8,"1,893","1,747","2,186",154,"2,258","1,508",0,923,332,696,903,616,456,380,262,207,144,0
