"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TX,48,State House District 1,"=""48001""","17,709",165,"17,709","46,783,055","4,485","3,354,999","11,121","14,033,131",544,375,268,"17,263","78,143,222",246,"394,874","15,824",104,"8,290","8,457","9,061",102,"8,623","7,721",0,"3,696","1,353","2,735","3,729","2,593","1,763","1,452","1,187",800,661,0
TX,48,State House District 2,"=""48002""","16,373",138,"16,373","41,794,878","4,337","3,272,529","10,240","13,586,277",596,462,439,"15,818","70,218,448",380,"520,438","14,228",0,"7,154","7,815","8,392",77,"8,247","6,849",0,"4,396","1,310","2,545","3,289","2,225","1,657","1,381","1,181",875,833,0
TX,48,State House District 3,"=""48003""","13,272",224,"13,272","34,913,467","3,669","2,855,524","8,480","11,656,822",749,527,513,"12,670","57,522,572",593,"695,111","11,423",0,"5,495","6,479","6,597",128,"7,426","4,958",0,"4,238",996,"1,908","2,692","1,969","1,384","1,232","1,123",878,802,0
TX,48,State House District 4,"=""48004""","15,971",164,"15,971","41,362,245","4,475","3,378,510","10,136","13,568,232",885,538,477,"15,402","70,384,290",464,"503,274","13,880",0,"7,530","7,390","8,488",0,"8,531","6,326",0,"4,525","1,270","2,328","3,217","2,293","1,739","1,478","1,432","1,111",901,0
TX,48,State House District 5,"=""48005""","15,566",88,"15,566","41,018,858","4,420","3,284,037","9,930","13,147,334",514,425,246,"15,073","69,292,629",365,"444,477","13,449",23,"6,759","7,457","8,021",1,"7,445","6,951",0,"3,796","1,200","2,229","3,049","2,167","1,844","1,533","1,147",817,765,0
TX,48,State House District 6,"=""48006""","15,367",250,"15,367","40,005,603","4,080","3,003,111","9,546","12,568,970",879,716,530,"14,951","67,037,860",382,"458,154","13,536",259,"7,063","6,752","8,361",146,"6,960","7,166",0,"3,333","1,149","2,304","3,248","2,310","1,787","1,449","1,199",907,750,0
TX,48,State House District 7,"=""48007""","15,275",163,"15,275","39,308,453","3,936","2,962,691","9,568","12,209,856",733,492,453,"14,883","67,419,793",306,"380,485","13,505",92,"7,355","7,160","7,817",210,"7,645","6,562",0,"3,249","1,299","2,351","3,238","2,311","1,626","1,353","1,109",849,767,0
TX,48,State House District 8,"=""48008""","14,571",151,"14,571","38,362,899","3,936","2,967,032","9,215","12,211,475",331,343,268,"14,264","66,725,841",128,"290,081","12,745",0,"7,006","6,423","7,920",69,"7,360","5,977",0,"3,170",979,"1,948","2,815","2,069","1,362","1,138","1,101",756,559,0
TX,48,State House District 9,"=""48009""","16,406",156,"16,406","42,761,492","4,118","3,019,430","10,200","12,873,936",405,400,248,"15,996","71,712,930",224,"354,951","14,305",60,"8,355","6,400","9,815",32,"7,974","7,140",0,"3,596","1,348","2,534","3,416","2,347","1,781","1,481",992,652,523,0
TX,48,State House District 10,"=""48010""","14,996",169,"14,996","39,165,409","4,517","3,490,176","9,663","13,160,292",996,853,650,"14,528","69,543,873",420,"486,159","13,279",0,"7,067","7,570","7,299",19,"7,975","6,059",0,"4,030",960,"1,918","2,762","2,137","1,609","1,556","1,421","1,102",949,0
