"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
UT,49,State House District 1,"=""49001""","2,659",0,"2,659","6,172,198","1,010","850,326","1,736","2,860,624",49,99,131,"2,585","11,535,152",22,"58,668","2,302",0,747,"1,188","1,193",52,"1,305",992,0,460,161,258,281,192,201,201,259,213,295,12
UT,49,State House District 2,"=""49002""","2,372",0,"2,372","5,904,020","1,096","964,942","1,890","3,560,717",82,210,350,"2,321","11,350,966",51,"64,525","2,193",0,585,"1,386",949,26,"1,632",660,0,797,109,172,269,199,190,213,248,313,569,86
UT,49,State House District 3,"=""49003""","2,596",24,"2,596","6,210,202",838,"676,439","1,737","2,862,260",70,174,260,"2,528","11,163,784",51,"58,501","2,328",0,632,"1,203","1,295",60,"1,537",917,0,639,129,301,342,255,241,216,219,206,356,2
UT,49,State House District 4,"=""49004""","3,106",58,"3,106","7,155,055",906,"705,649","1,960","3,022,793",108,288,321,"3,023","12,682,852",82,"68,618","2,773",0,840,"1,461","1,492",135,"1,683","1,200",0,649,234,442,512,362,329,321,277,240,325,18
UT,49,State House District 5,"=""49005""","2,370",17,"2,370","5,364,126",811,"666,960","1,545","2,570,376",58,189,201,"2,295","9,839,436",24,"77,845","2,100",0,504,"1,096","1,208",38,"1,416",808,0,644,125,259,314,204,194,221,217,218,328,6
UT,49,State House District 6,"=""49006""","1,987",18,"1,987","4,795,685",751,"630,591","1,398","2,361,730",86,175,224,"1,922","8,473,338",64,"82,631","1,753",0,486,"1,095",860,31,"1,262",636,0,637,125,225,273,196,189,211,193,183,354,38
UT,49,State House District 7,"=""49007""","2,565",25,"2,565","5,856,176",921,"760,925","1,621","2,372,549",114,147,162,"2,503","10,504,311",62,"44,033","2,264",0,781,"1,345","1,095",125,"1,339","1,054",0,453,188,340,411,288,260,258,264,227,300,14
UT,49,State House District 8,"=""49008""","3,044",50,"3,044","7,180,216","1,017","809,531","1,936","2,725,983",116,126,140,"2,966","12,427,875",58,"59,829","2,658",0,981,"1,516","1,357",167,"1,525","1,299",0,497,234,428,512,362,303,275,269,225,260,23
UT,49,State House District 9,"=""49009""","3,301",70,"3,301","7,766,398","1,065","834,163","2,071","2,894,763",140,162,163,"3,236","13,482,567",58,"51,849","2,916",0,"1,095","1,660","1,375",174,"1,618","1,390",0,462,255,482,565,387,335,313,290,257,277,28
UT,49,State House District 10,"=""49010""","2,824",52,"2,824","6,561,474",851,"612,874","1,717","2,455,856",111,152,141,"2,753","11,238,377",72,"53,883","2,456",0,956,"1,449","1,198",176,"1,356","1,223",0,437,255,429,551,346,308,261,249,189,214,22
