"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
VA,51,State House District 1,"=""51001""","6,892",0,"6,892","16,340,111","1,668","1,270,247","3,950","4,738,900",1,73,30,"6,731","27,785,470",24,"124,012","6,075",0,"3,169","2,844","3,571",333,"3,227","3,047",0,"1,288",630,"1,117","1,401",846,525,455,376,254,248,0
VA,51,State House District 2,"=""51002""","6,790",141,"6,790","16,818,275","2,165","1,598,865","4,445","6,118,418",567,515,357,"6,472","30,025,267",312,"355,963","5,808",0,"2,126","3,297","3,310",149,"3,874","2,475",0,"1,963",451,861,"1,170",842,766,758,725,567,525,23
VA,51,State House District 3,"=""51003""","6,365",0,"6,365","14,265,839","1,472","1,170,398","3,372","3,982,394",0,0,49,"6,160","24,987,457",42,"130,300","5,568",0,"3,035","2,608","3,384",93,"2,497","3,042",0,869,538,949,"1,209",734,439,414,278,260,198,0
VA,51,State House District 4,"=""51004""","6,621",0,"6,621","14,957,510","1,628","1,248,493","3,594","4,417,176",45,69,123,"6,423","26,037,954",101,"147,742","5,893",0,"2,655","3,316","3,189",0,"2,895","3,027",0,"1,172",602,"1,119","1,285",873,518,444,452,344,315,0
VA,51,State House District 5,"=""51005""","7,681",42,"7,681","17,048,139","1,845","1,411,968","4,122","5,023,097",110,105,139,"7,391","29,522,369",212,"228,154","6,711",0,"3,230","3,204","4,247",106,"3,505","3,266",0,"1,538",843,"1,302","1,535",977,703,591,502,413,384,0
VA,51,State House District 6,"=""51006""","7,659",11,"7,659","16,779,331","1,930","1,536,930","4,115","5,060,384",113,93,98,"7,396","30,104,536",150,"200,362","6,669",0,"3,282","2,970","4,482",86,"3,436","3,293",0,"1,396",728,"1,177","1,571",960,592,520,466,349,368,0
VA,51,State House District 7,"=""51007""","5,767",24,"5,767","11,946,297","1,516","1,184,077","3,053","3,757,267",185,144,179,"5,546","21,648,116",156,"198,004","5,022",0,"2,319","2,614","2,962",105,"2,746","2,379",0,"1,054",623,"1,017","1,091",608,429,447,387,268,260,0
VA,51,State House District 8,"=""51008""","5,185",51,"5,185","10,877,613","1,389","1,086,590","2,766","3,459,053",259,223,273,"4,997","19,604,522",145,"153,597","4,535",20,"1,912","2,954","2,093",97,"2,514","2,114",0,888,530,837,972,574,502,446,426,284,291,0
VA,51,State House District 9,"=""51009""","7,424",30,"7,424","17,147,800","1,870","1,394,270","4,136","5,261,638",181,119,110,"7,140","29,758,928",160,"221,940","6,378",8,"2,830","2,703","4,336",275,"4,263","2,609",0,"1,527",687,"1,181","1,432",956,750,591,472,290,268,0
VA,51,State House District 10,"=""51010""","3,262",83,"3,262","6,979,766",968,"749,026","1,749","2,339,988",181,168,152,"3,051","12,264,434",169,"202,150","2,669",0,879,"1,567","1,536",88,"1,894","1,049",0,862,284,447,558,330,294,324,252,238,183,0
VA,51,State House District 11,"=""51011""","10,120",175,"10,120","24,185,993","2,226","1,543,691","5,907","7,223,469",447,376,375,"9,926","40,538,611",174,"177,344","8,913",44,"4,621","5,489","4,216",415,"4,861","4,322",0,"1,397","1,132","1,882","2,310","1,378","1,142",892,664,406,285,0
VA,51,State House District 12,"=""51012""","4,054",33,"4,054","8,043,143",900,"714,476","1,983","2,441,768",110,146,194,"3,940","14,468,645",73,"80,099","3,552",0,"1,547","2,007","1,756",137,"1,693","1,753",0,614,489,781,785,420,290,259,256,218,187,0
VA,51,State House District 13,"=""51013""","5,831",189,"5,831","14,099,526","1,784","1,368,118","3,631","4,977,690",409,341,242,"5,451","23,393,089",379,"417,424","4,765",0,"1,375","2,216","3,529",70,"3,434","1,989",0,"1,867",395,817,"1,083",772,656,599,570,483,431,0
VA,51,State House District 14,"=""51014""","9,595",140,"9,595","23,685,885","2,060","1,419,010","5,483","6,671,525",372,308,235,"9,379","38,636,129",156,"163,433","8,474",68,"3,986","4,701","4,304",560,"5,507","3,376",0,"1,761",830,"1,758","2,376","1,388",938,751,594,426,270,0
VA,51,State House District 15,"=""51015""","7,037",10,"7,037","15,537,907","1,985","1,521,419","3,861","4,855,996",196,89,99,"6,755","27,904,761",142,"239,381","6,074",58,"2,535","3,499","3,417",61,"3,760","2,585",0,"1,375",622,"1,082","1,342",872,706,636,513,370,340,0
VA,51,State House District 16,"=""51016""","8,739",65,"8,739","21,095,074","2,062","1,473,403","4,915","6,010,228",331,244,175,"8,518","35,698,092",133,"154,529","7,731",54,"3,400","4,000","4,186",447,"4,845","3,204",0,"1,386",740,"1,423","1,847","1,277",902,760,609,381,307,0
VA,51,State House District 17,"=""51017""","5,889",25,"5,889","12,714,174","1,621","1,205,180","3,273","4,053,994",416,308,317,"5,709","22,872,913",171,"160,266","5,138",31,"2,182","3,370","2,368",147,"2,936","2,434",0,"1,076",580,966,"1,158",701,610,550,498,395,323,0
VA,51,State House District 18,"=""51018""","4,602",19,"4,602","10,056,859","1,247","1,010,316","2,524","3,262,695",193,120,141,"4,346","17,226,708",144,"250,979","3,815",0,"1,574","2,506","1,925",31,"2,471","1,559",0,"1,101",373,666,846,457,344,314,283,202,208,0
VA,51,State House District 19,"=""51019""","5,824",2,"5,824","12,566,755","1,583","1,214,596","3,136","3,846,221",160,146,161,"5,631","22,883,381",106,"136,101","5,079",8,"2,121","2,768","2,552",358,"2,860","2,351",0,995,569,875,"1,096",672,546,469,408,301,274,0
