"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WI,55,Assembly District 1,"=""55001""","3,207",0,"3,207","6,278,132",895,"717,939","1,521","1,973,202",115,62,157,"3,024","11,321,099",107,"165,669","2,544",0,681,"1,420","1,688",48,"1,812","1,067",0,828,307,438,453,261,242,228,188,153,194,0
WI,55,Assembly District 2,"=""55002""","2,994",1,"2,994","5,946,437",917,"750,369","1,457","1,847,431",127,108,210,"2,868","11,114,863",89,"118,955","2,444",0,748,"1,557","1,389",27,"1,633","1,108",0,565,243,445,521,274,240,249,223,162,170,0
WI,55,Assembly District 3,"=""55003""","3,102",20,"3,102","6,336,592",973,"811,261","1,647","2,143,856",164,127,271,"2,997","11,743,349",71,"86,034","2,579",0,787,"1,637","1,298",111,"1,643","1,157",0,451,281,464,496,309,256,278,277,229,237,0
WI,55,Assembly District 4,"=""55004""","3,918",46,"3,918","8,435,300","1,135","866,908","2,106","2,696,192",209,183,317,"3,794","14,944,636",125,"102,998","3,307",0,"1,201","1,973","1,798",101,"2,106","1,448",0,565,420,625,764,422,397,388,330,270,221,0
WI,55,Assembly District 5,"=""55005""","3,107",0,"3,107","6,282,805","1,036","872,901","1,608","2,004,431",168,127,248,"2,975","11,785,412",76,"109,378","2,546",0,812,"1,530","1,471",48,"1,773","1,096",0,574,322,441,556,317,315,303,303,220,257,0
WI,55,Assembly District 6,"=""55006""","3,821",0,"3,821","8,085,695","1,151","914,173","2,045","2,690,301",114,77,163,"3,648","14,454,362",101,"150,156","3,081",0,"1,000","1,712","1,890",110,"2,136","1,329",0,813,339,590,670,367,328,277,291,190,216,0
WI,55,Assembly District 7,"=""55007""","4,972",101,"4,972","11,345,821","1,446","1,124,445","2,865","3,738,418",247,254,286,"4,831","19,549,349",138,"121,697","4,209",4,"1,629","2,456","2,348",162,"2,381","2,149",0,812,454,816,975,562,529,510,464,330,240,0
WI,55,Assembly District 8,"=""55008""","6,385",315,"6,385","18,238,025","1,506","1,024,296","4,448","5,988,018",112,191,143,"6,289","28,574,712",96,"74,617","5,582",38,"2,897","2,416","3,695",274,"2,966","2,970",0,"1,091",584,"1,181","1,463",957,708,580,417,265,215,0
WI,55,Assembly District 9,"=""55009""","6,490",274,"6,490","17,540,671","1,811","1,317,283","4,360","5,970,211",186,249,197,"6,365","28,779,650",125,"110,763","5,627",21,"2,487","2,524","3,722",244,"3,106","2,923",0,"1,166",544,"1,060","1,324",884,745,722,540,352,302,0
WI,55,Assembly District 10,"=""55010""","7,243",222,"7,243","20,617,601","1,334","899,401","4,726","6,154,415",209,387,282,"7,116","30,085,668",125,"83,566","6,541",155,"3,834","4,149","2,729",365,"3,577","3,154",0,"1,537",635,"1,446","2,108","1,109",666,532,378,246,118,0
WI,55,Assembly District 11,"=""55011""","8,008",220,"8,008","23,563,300","1,930","1,341,959","5,616","7,487,829",310,508,319,"7,904","35,877,910",104,"90,131","7,305",174,"4,169","4,563","3,111",333,"3,889","3,701",0,"1,517",564,"1,318","1,972","1,297",877,750,622,361,234,0
WI,55,Assembly District 12,"=""55012""","7,770",191,"7,770","22,294,467","2,094","1,494,689","5,431","7,256,507",389,542,371,"7,656","34,838,042",114,"96,652","7,091",138,"4,000","4,450","3,031",289,"3,696","3,682",0,"1,401",542,"1,204","1,778","1,245",891,777,645,408,269,0
WI,55,Assembly District 13,"=""55013""","2,489",12,"2,489","4,778,366",643,"515,446","1,196","1,505,321",119,152,206,"2,383","8,436,088",99,"82,756","2,028",0,714,"1,409",996,75,"1,261",973,0,484,277,460,517,235,222,212,208,171,133,0
WI,55,Assembly District 14,"=""55014""","2,496",26,"2,496","5,424,218",651,"498,051","1,326","1,713,441",121,183,214,"2,396","9,049,040",100,"79,560","2,078",14,879,"1,429",990,69,"1,289","1,005",0,533,267,434,518,290,243,235,216,158,126,0
WI,55,Assembly District 15,"=""55015""","3,462",17,"3,462","6,897,535","1,018","814,913","1,761","2,158,998",208,194,273,"3,345","12,322,012",110,"112,186","2,913",0,"1,085","1,912","1,451",96,"1,653","1,481",0,561,366,604,690,352,330,321,303,250,192,0
WI,55,Assembly District 16,"=""55016""","8,230",283,"8,230","24,694,784","1,406","901,153","5,623","7,399,512",190,352,249,"8,127","35,498,279",77,"62,304","7,478",188,"4,524","4,620","3,145",455,"4,045","3,608",0,"1,718",705,"1,630","2,417","1,329",756,565,382,235,82,0
WI,55,Assembly District 17,"=""55017""","9,160",242,"9,160","26,997,423","2,177","1,502,626","6,370","8,420,762",347,593,370,"9,050","40,719,681",109,"80,627","8,415",191,"4,873","5,209","3,566",385,"4,507","4,156",0,"1,810",640,"1,534","2,247","1,519",996,845,714,406,242,0
WI,55,Assembly District 18,"=""55018""","8,643",300,"8,643","25,668,574","1,744","1,145,891","5,987","7,919,068",235,457,303,"8,535","38,002,825",92,"68,380","7,826",197,"4,606","4,766","3,481",397,"4,218","3,846",0,"1,703",720,"1,604","2,300","1,430",892,671,542,296,159,0
