"STATE","STATEFIPS","HOUSE DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WV,54,State House District 1,"=""54001""","3,043",0,"3,043","6,585,018",755,"572,318","1,563","1,912,109",45,64,164,"2,963","11,927,100",38,"62,345","2,603",0,"1,284","1,441","1,511",50,"1,398","1,263",0,443,330,541,659,358,272,223,192,180,154,0
WV,54,State House District 2,"=""54002""","1,334",1,"1,334","2,764,545",334,"271,861",662,"772,172",2,3,62,"1,291","5,125,572",2,"24,853","1,126",0,507,597,554,112,593,534,0,192,144,225,260,153,92,89,82,75,55,0
WV,54,State House District 3,"=""54003""","3,000",30,"3,000","6,324,729",652,"500,785","1,502","1,767,939",79,95,154,"2,919","11,002,076",72,"63,405","2,448",0,"1,117","1,404","1,152",432,"1,586","1,130",0,457,369,579,693,354,250,196,166,128,113,0
WV,54,State House District 4,"=""54004""","2,846",5,"2,846","6,376,174",683,"517,705","1,528","1,813,701",14,55,94,"2,789","11,413,245",39,"42,539","2,410",0,"1,203","1,329","1,278",172,"1,280","1,278",0,347,262,499,636,302,216,160,112,92,73,0
WV,54,State House District 5,"=""54005""","1,377",0,"1,377","2,994,947",339,"267,749",733,"868,387",0,0,0,"1,350","5,428,085",0,"23,550","1,125",0,470,673,561,33,485,579,0,141,116,175,196,105,60,53,47,37,46,0
WV,54,State House District 6,"=""54006""","1,236",0,"1,236","2,715,755",314,"260,993",665,"836,027",0,0,11,"1,201","5,029,209",0,"25,669","1,010",0,459,592,509,5,508,526,0,169,126,190,189,136,76,54,47,35,19,0
WV,54,State House District 7,"=""54007""","1,322",0,"1,322","2,939,514",374,"306,030",707,"880,345",0,0,23,"1,282","5,539,515",0,"31,478","1,092",0,522,518,618,23,581,526,0,210,114,150,164,107,67,66,64,35,52,0
WV,54,State House District 8,"=""54008""","1,362",0,"1,362","2,928,046",353,"271,458",734,"883,898",26,48,72,"1,317","5,338,221",22,"36,075","1,170",0,552,787,511,31,626,592,0,217,137,238,285,176,100,114,71,75,70,0
WV,54,State House District 9,"=""54009""","1,612",0,"1,612","3,673,649",413,"308,612",903,"1,118,279",6,5,34,"1,574","6,608,675",5,"26,899","1,356",0,575,870,661,25,755,700,0,248,113,231,301,172,108,107,83,72,37,0
WV,54,State House District 10,"=""54010""","5,698",46,"5,698","12,999,586","1,236","905,205","3,148","3,910,519",139,133,276,"5,560","22,227,619",124,"121,629","4,932",0,"2,418","3,356","2,004",274,"2,513","2,500",0,797,677,"1,073","1,259",754,521,441,321,275,287,0
WV,54,State House District 11,"=""54011""","1,529",0,"1,529","3,563,985",350,"285,451",877,"1,101,976",0,1,28,"1,480","6,354,641",1,"44,487","1,293",0,643,610,710,106,888,474,0,230,128,210,237,166,112,70,54,53,47,0
WV,54,State House District 12,"=""54012""","1,583",0,"1,583","3,555,391",385,"314,161",875,"1,094,920",0,20,52,"1,524","6,351,867",25,"66,263","1,307",0,620,731,760,57,746,685,0,310,122,242,290,160,121,78,64,63,75,0
