"metro","cbsa","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
"Abilene, TX","=""10180""","16,352",217,"16,352","41,236,147","4,626","3,580,772","10,303","13,859,767",853,531,791,"15,953","74,413,453",289,"393,998","14,648",22,"7,404","7,513","8,386",319,"7,574","7,416",0,"3,082","1,350","2,399","3,184","2,193","1,714","1,510","1,266",976,880,0
"Akron, OH","=""10420""","54,001",697,"54,001","123,565,039","12,475","9,414,272","29,457","36,949,141","1,950","2,784","3,235","52,245","208,592,798","1,543","1,424,054","46,425",57,"20,864","29,335","23,050","1,410","28,751","20,301",0,"11,297","5,985","9,937","11,968","6,561","4,897","4,600","3,909","2,914","2,297",0
"Albany, GA","=""10500""","22,832",361,"22,832","68,226,082","3,950","2,536,609","15,124","19,113,348","1,246","1,749",545,"22,546","105,026,401",233,"209,077","21,374",69,"15,239","8,049","14,374",271,"14,212","7,625",0,"6,427","1,257","3,946","5,917","3,869","2,539","1,917","1,263",836,520,0
"Albany, OR","=""10540""","8,706",85,"8,706","19,471,088","2,406","1,865,633","5,049","6,818,722",399,326,458,"8,429","33,292,653",218,"230,654","7,297",0,"3,200","5,110","3,193",311,"4,076","3,805",0,"1,357",849,"1,345","1,583",993,815,747,655,500,604,0
"Albany-Schenectady-Troy, NY","=""10580""","57,527",840,"57,527","123,560,375","14,328","10,907,459","30,796","37,220,056","3,369","2,161","3,418","55,525","217,253,624","1,415","1,635,471","48,230",0,"23,823","26,154","27,146","3,368","29,632","22,137",0,"10,370","6,495","10,296","11,725","5,915","5,062","4,829","4,181","2,896","1,896",0
"Albuquerque, NM","=""10740""","81,374","1,509","81,374","191,554,467","23,659","17,610,877","48,072","60,668,285","3,848","3,711","4,467","78,745","319,650,432","2,361","2,059,917","71,208",22,"32,309","42,334","34,235","4,162","37,775","36,838",0,"14,150","7,959","12,833","15,790","10,126","8,743","8,288","6,748","4,856","3,692",38
"Alexandria, LA","=""10780""","17,286",206,"17,286","46,342,247","4,429","3,234,449","11,111","13,566,424",781,479,432,"16,957","75,111,059",197,"277,932","15,671",111,"9,574","8,589","8,234",301,"8,815","7,336",0,"2,771","1,344","2,602","3,562","2,589","1,947","1,451","1,194",793,582,0
"Allentown-Bethlehem-Easton, PA-NJ","=""10900""","60,864",941,"60,864","138,318,123","16,200","12,060,771","34,384","42,743,785","3,857","2,625","3,170","58,775","247,133,798","1,779","1,943,881","51,545",0,"24,563","27,873","31,740",701,"29,997","24,883",0,"11,060","6,069","10,184","12,483","7,197","5,904","5,680","5,035","3,474","2,611",0
"Altoona, PA","=""11020""","10,483",48,"10,483","22,427,878","2,620","1,981,403","5,604","6,963,551",429,402,811,"10,173","42,140,654",227,"250,077","8,957",0,"3,736","5,289","4,927",139,"4,767","4,554",0,"1,440","1,247","1,822","2,150","1,262","1,010",873,670,617,557,0
"Amarillo, TX","=""11100""","24,948",452,"24,948","65,235,097","7,404","5,526,947","16,264","21,869,829","1,215",937,881,"24,289","113,382,466",517,"649,008","22,278",29,"11,223","13,106","11,415",145,"11,520","11,179",0,"4,865","1,846","3,476","4,891","3,403","2,819","2,729","2,038","1,373","1,277",0
"Ames, IA","=""11180""","3,581",0,"3,581","6,580,305",883,"736,109","1,676","2,248,013",189,238,436,"3,440","12,328,075",77,"125,012","3,105",0,"1,064","1,914","1,398",131,"1,674","1,404",0,588,389,622,603,262,216,184,219,169,184,0
"Anchorage, AK","=""11260""","23,112",350,"23,112","49,192,260","10,662","7,596,030","13,597","17,998,260","1,656","1,156","1,702","22,396","95,430,787",580,"788,701","20,262",41,"8,739","12,965","8,920",944,"13,432","7,538",0,"3,745","1,635","3,321","3,741","2,278","2,296","2,376","2,512","2,019","1,755",0
"Ann Arbor, MI","=""11460""","18,262",275,"18,262","37,374,117","3,599","2,697,800","8,941","11,501,307",813,"1,264","1,520","17,302","61,607,899",900,"764,902","15,122",74,"7,080","9,443","8,493",228,"9,648","6,771",0,"4,864","2,385","3,822","4,250","1,942","1,455","1,365","1,176",862,714,0
"Anniston-Oxford-Jacksonville, AL","=""11500""","12,425",139,"12,425","31,776,606","3,030","2,226,876","7,595","9,348,977",581,503,320,"12,133","53,013,710",214,"227,257","11,234",0,"6,224","4,986","6,954",331,"6,810","4,694",0,"2,517",970,"2,027","2,871","1,722","1,322","1,027",919,695,599,0
"Appleton, WI","=""11540""","12,823",30,"12,823","25,858,269","3,887","3,206,555","6,580","8,498,615",600,580,"1,039","12,328","47,333,120",354,"441,695","10,546",0,"3,215","6,732","5,447",478,"6,774","4,869",0,"2,180","1,345","2,038","2,269","1,241","1,146","1,119","1,165",876,896,0
"Asheville, NC","=""11700""","36,943",199,"36,943","79,548,482","8,753","6,535,863","19,259","24,272,387","1,556","1,056","1,646","34,728","129,406,282","2,003","1,932,467","30,111",0,"13,473","17,244","17,372","2,015","19,973","13,234",0,"10,462","3,948","6,682","8,151","4,437","3,288","3,062","2,443","1,891","1,645",0
"Athens-Clarke County, GA","=""12020""","18,145",274,"18,145","46,603,303","3,838","2,612,718","10,730","13,803,394",959,853,716,"17,578","71,960,083",471,"456,326","16,244",0,"8,666","9,097","8,605",301,"9,814","6,830",0,"4,898","1,480","3,136","4,389","2,488","2,018","1,439","1,119",782,645,0
"Atlanta-Sandy Springs-Roswell, GA","=""12060""","557,962","10,434","557,962","1,522,741,372","113,109","77,808,647","350,590","462,692,289","38,329","38,647","24,498","535,974","2,329,738,166","21,268","20,183,676","498,531",412,"278,482","240,456","310,121","5,836","360,150","168,008",0,"211,203","37,735","93,818","137,207","86,365","58,124","49,046","40,160","28,039","20,825",110
"Atlantic City-Hammonton, NJ","=""12100""","27,478",473,"27,478","67,241,867","6,960","4,738,026","16,359","19,878,911","1,905","1,502","1,106","26,760","116,874,762",639,"614,861","22,948",0,"11,217","10,965","16,007",259,"14,424","10,582",0,"4,887","2,116","4,041","5,738","3,929","3,206","2,851","2,210","1,422",959,0
"Auburn-Opelika, AL","=""12220""","13,280",145,"13,280","35,134,854","2,902","2,090,170","8,003","10,028,542","1,129",988,552,"13,027","57,362,856",221,"242,541","12,178",0,"6,941","4,693","8,253",279,"8,929","3,651",0,"3,120",790,"2,066","3,137","1,958","1,458","1,241","1,013",706,585,0
"Augusta-Richmond County, GA-SC","=""12260""","64,263",773,"64,263","173,509,313","14,265","9,957,693","41,222","52,563,084","4,116","3,645","2,333","62,776","274,287,808","1,264","1,332,860","58,454",335,"33,511","29,776","32,944","1,197","33,036","27,060",0,"15,018","4,424","10,764","15,552","9,550","6,768","5,580","4,665","3,195","2,399",0
"Austin-Round Rock, TX","=""12420""","128,144","2,966","128,144","295,244,164","38,224","29,531,152","73,906","98,360,056","8,010","5,858","7,929","121,896","507,039,030","5,915","6,161,212","107,386",50,"41,404","74,967","45,635","6,906","62,395","53,731",0,"31,235","11,514","19,803","25,424","15,135","13,469","12,707","11,444","8,413","6,689",72
"Bakersfield, CA","=""12540""","86,622","3,067","86,622","241,052,102","25,072","17,795,459","59,345","77,808,250","3,432","3,262","2,123","83,686","361,189,306","2,747","3,087,283","68,855",0,"34,461","26,301","57,901","2,034","46,297","35,400",0,"18,624","4,892","12,678","18,882","13,356","9,559","8,011","7,100","5,360","4,708",104
"Baltimore-Columbia-Towson, MD","=""12580""","199,560","4,533","199,560","476,300,283","48,825","35,149,565","119,346","148,913,419","18,787","10,884","7,912","192,765","778,328,655","6,247","5,843,137","170,180",240,"88,860","96,861","96,131","5,467","116,276","68,978",0,"53,904","17,244","34,124","43,354","23,959","20,154","19,583","17,695","11,932","7,429",0
"Bangor, ME","=""12620""","11,737",39,"11,737","23,982,604","2,919","2,231,334","5,995","7,166,727",378,315,578,"11,270","42,127,515",148,"402,490","9,848",0,"3,926","6,541","4,274",550,"5,335","5,096",0,"2,032","1,077","1,721","2,233","1,085",871,780,698,374,313,0
"Barnstable Town, MA","=""12700""","12,219",40,"12,219","22,008,110","2,724","2,117,420","5,225","6,231,812",624,344,439,"10,977","37,377,790",992,"1,240,188","8,779",0,"3,571","5,765","5,896",126,"6,301","4,094",0,"3,515","1,438","2,230","2,443",966,833,730,632,515,344,0
"Baton Rouge, LA","=""12940""","83,749","1,202","83,749","239,104,228","18,392","12,914,425","53,185","67,188,167","5,737","4,831","3,121","81,946","371,236,106","1,460","1,618,625","75,820",509,"45,564","40,096","41,513","1,544","51,424","28,390",0,"23,212","4,720","12,785","20,313","13,951","9,487","7,599","5,871","3,882","2,266",0
"Battle Creek, MI","=""12980""","12,826",244,"12,826","32,169,783","3,284","2,455,033","7,881","10,302,245",451,494,507,"12,522","53,743,789",262,"235,827","11,319",0,"5,702","6,698","5,881",218,"6,088","5,641",0,"2,272","1,218","2,117","2,704","1,817","1,205","1,077",904,674,604,0
"Bay City, MI","=""13020""","8,854",65,"8,854","19,036,496","2,039","1,509,769","4,577","5,473,758",219,311,393,"8,548","32,561,842",270,"224,785","7,493",0,"3,043","4,217","4,276",302,"4,611","3,352",0,"1,490","1,061","1,580","2,064","1,088",764,664,586,418,353,0
"Beaumont-Port Arthur, TX","=""13140""","38,676",673,"38,676","102,020,695","9,281","6,965,963","24,036","30,815,664","1,738","1,627",992,"37,759","170,691,411",793,"815,420","34,326",85,"20,364","17,046","21,152",149,"18,637","16,751",0,"8,967","3,127","6,392","8,579","5,774","3,718","3,124","2,674","2,036","1,667",0
"Beckley, WV","=""13220""","10,864",29,"10,864","24,926,142","2,473","1,906,601","6,007","7,367,438",94,106,234,"10,658","43,856,766",54,"150,780","9,339",0,"4,643","5,711","4,073",201,"3,817","5,145",0,"1,105",960,"1,522","1,885","1,045",729,548,452,294,252,0
"Bellingham, WA","=""13380""","12,357",137,"12,357","23,589,483","3,515","2,798,222","6,017","7,699,373",493,531,737,"11,715","41,836,706",519,"624,694","10,005",0,"3,032","8,204","3,574",458,"5,588","5,199",0,"2,475","1,491","2,129","2,327","1,143","1,075","1,068",975,823,727,0
"Bend-Redmond, OR","=""13460""","12,292",122,"12,292","24,567,013","3,082","2,350,888","6,239","7,889,680",723,509,913,"11,573","40,051,033",696,"686,614","9,957",0,"3,752","7,443","4,134",663,"6,271","4,638",0,"3,114","1,485","2,130","2,512","1,340","1,135","1,175",930,723,709,0
"Billings, MT","=""13740""","11,586",96,"11,586","24,629,903","3,255","2,548,496","6,300","8,107,714",687,384,769,"11,153","42,759,102",329,"440,805","9,649",0,"4,411","5,168","5,414",751,"6,153","4,139",0,"1,894","1,159","1,850","2,132","1,212","1,083","1,045",834,604,576,22
"Binghamton, NY","=""13780""","19,961",202,"19,961","44,324,699","4,642","3,488,439","10,821","13,625,318",633,569,"1,237","19,270","77,828,005",490,"546,425","17,302",0,"8,226","10,433","8,121","1,219","9,934","7,977",0,"3,719","2,282","3,664","4,276","2,291","1,785","1,500","1,291",909,858,0
"Birmingham-Hoover, AL","=""13820""","107,914","1,187","107,914","299,125,671","23,869","17,075,801","66,348","84,779,743","7,217","6,585","3,613","105,410","479,466,387","1,813","2,213,105","98,641",376,"62,695","39,535","65,750","1,908","63,804","38,518",0,"25,501","6,038","16,545","25,559","18,161","11,433","9,750","8,049","5,567","3,884",0
