"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AK,02,State Senate District A,"=""0200A""","1,597",0,"1,597","3,371,349",760,"591,641","1,033","1,447,943",129,82,146,"1,561","7,482,753",21,"35,847","1,471",0,569,"1,071",453,21,964,525,0,296,100,168,198,131,144,184,195,165,197,0
AK,02,State Senate District B,"=""0200B""","2,852",0,"2,852","6,350,674","1,324","910,510","1,843","2,645,051",230,162,229,"2,800","13,637,693",39,"54,340","2,621",0,"1,075","1,735",943,131,"1,600","1,022",0,357,161,345,430,203,271,358,385,306,244,0
AK,02,State Senate District C,"=""0200C""","1,628",0,"1,628","3,190,719",698,"526,265",859,"1,138,475",65,47,100,"1,564","6,143,615",28,"63,261","1,396",0,519,983,531,30,"1,022",467,0,352,65,252,255,107,109,103,103,71,62,0
AK,02,State Senate District D,"=""0200D""","1,636",0,"1,636","3,311,751",691,"471,705",886,"1,178,621",84,69,110,"1,545","6,042,747",68,"92,379","1,394",0,565,979,588,37,"1,050",402,0,378,109,273,289,160,130,115,116,115,129,0
AK,02,State Senate District E,"=""0200E""","2,309",0,"2,309","4,916,595","1,079","729,482","1,356","1,803,718",122,99,147,"2,211","8,990,157",70,"109,537","2,023",0,955,"1,227","1,029",20,"1,552",573,0,554,176,338,378,242,221,221,224,172,190,0
AK,02,State Senate District F,"=""0200F""","1,827",0,"1,827","4,132,093",911,"692,505","1,271","1,997,179",157,127,215,"1,791","9,521,588",29,"37,034","1,697",0,620,"1,101",632,76,956,763,0,323,58,166,196,139,184,230,259,236,278,0
AK,02,State Senate District G,"=""0200G""","2,990",61,"2,990","6,976,572","1,529","1,104,738","2,033","2,759,232",251,185,261,"2,944","14,324,763",45,"61,642","2,740",8,"1,164","1,730","1,087",173,"1,547","1,259",0,360,162,337,407,302,337,400,411,320,293,0
AK,02,State Senate District H,"=""0200H""","3,282",96,"3,282","7,111,467","1,499","1,032,157","1,887","2,409,663",187,133,188,"3,187","13,157,182",82,"101,078","2,847",15,"1,294","1,690","1,416",169,"1,898","1,033",0,441,261,510,578,346,349,338,340,256,173,0
AK,02,State Senate District I,"=""0200I""","3,102",90,"3,102","6,905,805","1,345","886,293","1,809","2,296,007",160,121,160,"3,031","12,498,417",63,"66,243","2,625",18,"1,330","1,628","1,249",184,"1,738","1,030",0,378,284,482,595,339,306,292,277,209,136,0
AK,02,State Senate District J,"=""0200J""","1,954",42,"1,954","3,837,268",883,"658,261","1,036","1,297,038",182,94,135,"1,891","7,349,121",58,"69,112","1,675",0,747,"1,114",690,75,"1,118",616,0,279,149,308,307,174,195,172,229,195,113,0
AK,02,State Senate District K,"=""0200K""","1,858",9,"1,858","3,707,246",845,"623,229","1,012","1,273,672",173,101,131,"1,791","7,175,904",44,"73,173","1,601",0,643,"1,061",728,48,"1,122",552,0,322,130,269,343,179,189,206,205,147,132,0
AK,02,State Senate District L,"=""0200L""","1,475",25,"1,475","2,921,912",654,"487,147",792,"983,313",132,85,130,"1,413","5,567,540",57,"74,331","1,298",0,524,828,589,55,910,430,0,267,125,232,243,161,142,142,176,135,102,0
AK,02,State Senate District M,"=""0200M""","1,908",26,"1,908","4,017,162",930,"693,605","1,158","1,545,753",166,120,167,"1,859","8,227,284",47,"67,020","1,709",0,691,"1,116",675,94,"1,083",659,0,279,117,259,277,184,192,226,224,200,175,0
AK,02,State Senate District N,"=""0200N""","1,327",2,"1,327","2,453,114",512,"364,458",641,"790,712",49,25,65,"1,257","4,479,058",20,"77,832","1,092",0,347,830,413,40,829,348,0,286,96,226,261,94,66,50,70,47,35,0
AK,02,State Senate District O,"=""0200O""","1,920",0,"1,920","3,763,471",782,"561,584","1,006","1,351,747",92,70,115,"1,770","6,474,868",113,"172,433","1,508",0,506,"1,232",627,0,"1,250",481,0,561,126,309,360,166,139,157,145,139,116,0
AK,02,State Senate District P,"=""0200P""","1,604",27,"1,604","2,801,310",665,"517,355",764,"898,849",75,40,82,"1,544","5,588,793",28,"73,192","1,342",0,563,"1,000",481,53,835,468,0,188,123,237,266,100,79,95,117,104,63,0
AK,02,State Senate District Q,"=""0200Q""","2,313",0,"2,313","4,251,511",969,"683,340","1,143","1,325,100",99,25,82,"2,159","8,104,666",88,"148,399","1,828",0,734,"1,277",821,104,"1,538",552,0,424,130,313,370,154,90,128,123,111,89,0
AK,02,State Senate District R,"=""0200R""","3,102",0,"3,102","6,576,886","1,432","885,555","1,774","2,341,340",66,51,78,"2,982","12,405,782",50,"100,806","2,444",0,745,"1,623",874,279,"2,040",620,0,504,110,438,226,113,126,135,113,117,142,0
AK,02,State Senate District S,"=""0200S""","3,109",0,"3,109","6,389,988","1,427","813,249","1,677","2,134,023",17,12,20,"2,999","11,231,409",21,"88,555","2,269",0,803,"1,127",691,835,"2,280",394,0,447,152,449,318,79,75,45,51,41,41,0
AK,02,State Senate District T,"=""0200T""","2,841",0,"2,841","5,892,041","1,208","823,777","1,502","2,007,957",0,0,0,"2,792","11,331,968",0,"53,122","2,378",0,"1,097","1,509",672,121,"1,640",577,0,114,52,282,175,1,22,47,0,24,0,0
