"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AR,05,State Senate District 1,"=""05001""","6,616",85,"6,616","16,470,262","2,193","1,718,595","4,277","5,824,645",400,289,293,"6,369","28,072,465",236,"264,279","5,704",0,"2,677","2,640","3,768",165,"3,697","2,475",0,"1,425",444,864,"1,171",835,800,710,610,512,484,21
AR,05,State Senate District 2,"=""05002""","6,514",40,"6,514","16,223,596","1,947","1,515,689","4,129","5,720,779",248,239,281,"6,256","27,290,338",214,"238,605","5,627",0,"2,740","2,362","3,976",74,"3,990","2,112",0,"1,647",463,913,"1,126",799,696,675,531,434,488,0
AR,05,State Senate District 3,"=""05003""","7,865",142,"7,865","20,799,709","2,555","1,910,732","5,307","7,266,606",351,243,221,"7,570","34,590,965",263,"269,409","6,647",0,"3,257","2,539","5,056",238,"4,635","2,795",0,"1,783",502,"1,060","1,413","1,111","1,033",862,661,516,550,3
AR,05,State Senate District 4,"=""05004""","6,513",113,"6,513","13,832,378","1,469","1,112,904","3,490","4,460,674",304,351,403,"6,263","23,155,906",242,"199,098","5,559",0,"2,768","3,143","3,133",200,"3,486","2,281",0,"1,385",694,"1,213","1,544",742,586,517,446,328,324,1
AR,05,State Senate District 5,"=""05005""","7,956",50,"7,956","19,726,411","2,067","1,602,239","4,800","6,418,958",153,135,136,"7,564","32,346,701",294,"305,413","6,641",0,"3,357","2,364","5,227",103,"5,075","2,265",0,"2,272",647,"1,201","1,473",967,758,713,472,360,373,0
AR,05,State Senate District 6,"=""05006""","8,474",64,"8,474","22,436,155","2,451","1,859,295","5,521","7,276,381",114,133,158,"8,201","37,380,755",109,"222,821","7,089",0,"3,373","2,626","5,557",92,"4,547","3,325",0,"1,813",603,"1,082","1,362","1,208",937,678,480,394,453,0
AR,05,State Senate District 7,"=""05007""","10,303",374,"10,303","29,171,644","3,240","2,300,435","7,363","10,130,336",356,297,246,"10,079","48,447,426",203,"195,657","8,898",0,"5,148","2,700","7,369",188,"6,304","3,448",0,"2,002",614,"1,389","1,969","1,530","1,474","1,187",818,566,520,22
AR,05,State Senate District 8,"=""05008""","7,988",96,"7,988","19,744,573","2,027","1,493,513","4,857","6,190,434",366,222,236,"7,800","32,315,789",149,"142,905","6,766",0,"3,331","2,622","4,666",620,"5,051","2,427",0,"1,551",714,"1,306","1,667","1,148",887,695,533,374,435,0
AR,05,State Senate District 9,"=""05009""","9,553",144,"9,553","25,919,223","2,599","1,890,085","6,324","8,424,002",326,173,165,"9,301","42,002,139",185,"213,278","8,208",0,"4,156","2,508","6,482",458,"5,932","3,075",0,"1,970",707,"1,366","1,771","1,429","1,273",860,609,459,537,0
AR,05,State Senate District 10,"=""05010""","8,819",29,"8,819","23,716,745","2,268","1,622,369","5,636","7,240,398",172,141,105,"8,510","37,745,999",159,"264,699","7,513",0,"4,533","2,602","5,974",39,"4,537","3,551",0,"2,127",530,"1,204","1,611","1,170","1,034",657,406,295,264,0
AR,05,State Senate District 11,"=""05011""","9,326",108,"9,326","25,256,652","2,621","1,903,825","6,096","7,524,081",196,192,86,"9,101","40,879,339",158,"195,362","8,223",24,"4,831","4,007","5,219",40,"4,526","4,079",0,"1,685",639,"1,398","1,830","1,347","1,226",786,534,393,334,0
AR,05,State Senate District 12,"=""05012""","8,194",65,"8,194","21,335,881","2,161","1,585,514","5,164","6,105,437",240,155,152,"8,032","35,054,216",87,"123,855","7,236",60,"4,344","3,267","4,801",61,"3,631","3,980",0,"1,292",546,"1,319","1,689","1,272",879,627,473,339,242,0
AR,05,State Senate District 13,"=""05013""","8,234",65,"8,234","20,723,281","2,182","1,627,982","5,042","6,444,722",253,215,235,"7,958","33,521,934",179,"235,115","7,122",0,"3,426","3,435","4,484",256,"4,690","2,972",0,"1,851",646,"1,232","1,658","1,061",839,677,538,434,378,0
AR,05,State Senate District 14,"=""05014""","7,802",65,"7,802","19,376,223","1,787","1,241,900","4,594","5,810,614",295,180,238,"7,483","30,127,894",295,"256,718","6,509",0,"3,379","3,332","4,012",358,"4,381","2,759",0,"1,878",707,"1,330","1,738","1,151",784,603,495,338,263,0
AR,05,State Senate District 15,"=""05015""","6,814",11,"6,814","16,896,688","1,696","1,284,581","4,179","5,333,428",279,215,239,"6,588","27,561,305",130,"217,988","5,954",0,"3,305","2,543","4,103",32,"3,479","2,716",0,"1,651",530,"1,030","1,327",831,573,505,385,306,288,0
AR,05,State Senate District 16,"=""05016""","7,959",55,"7,959","19,659,072","2,056","1,573,283","4,883","6,374,919",231,168,204,"7,677","33,094,370",126,"202,798","6,749",0,"2,997","2,830","4,497",312,"4,604","2,675",0,"1,753",620,"1,138","1,459",987,722,663,508,389,368,0
AR,05,State Senate District 17,"=""05017""","7,503",23,"7,503","17,610,296","1,730","1,291,069","4,312","5,620,161",212,176,212,"7,145","29,581,184",235,"278,347","6,336",0,"3,138","2,877","4,269",138,"4,069","2,672",0,"1,818",640,"1,196","1,431",932,640,572,414,382,366,0
AR,05,State Senate District 18,"=""05018""","7,077",8,"7,077","17,202,170","1,509","1,144,851","4,106","5,482,084",78,66,116,"6,698","27,379,965",169,"293,099","5,848",0,"2,938","2,173","4,603",6,"4,287","2,030",0,"2,255",525,"1,049","1,332",801,422,336,294,188,242,0
AR,05,State Senate District 19,"=""05019""","7,506",28,"7,506","18,648,093","1,760","1,366,390","4,410","5,868,766",113,85,137,"7,204","30,409,369",115,"259,635","6,294",0,"2,882","1,997","5,099",0,"4,185","2,471",0,"1,925",466,"1,048","1,352",894,614,405,327,249,241,0
AR,05,State Senate District 20,"=""05020""","8,568",48,"8,568","21,319,791","2,341","1,890,999","5,271","6,796,781",252,191,219,"8,293","36,087,832",126,"231,987","7,460",0,"4,078","2,493","5,905",0,"4,879","2,946",0,"1,856",704,"1,206","1,577","1,059",716,660,605,552,521,0
AR,05,State Senate District 21,"=""05021""","8,909",142,"8,909","23,775,065","2,073","1,505,297","5,718","7,414,953",425,387,384,"8,679","37,931,295",188,"217,877","8,030",0,"4,845","3,845","4,944",46,"4,763","3,569",0,"2,015",674,"1,451","2,099","1,348",852,764,639,463,403,0
AR,05,State Senate District 22,"=""05022""","9,719",99,"9,719","26,991,195","2,503","1,848,493","6,396","8,065,165",176,269,69,"9,528","43,356,230",99,"177,147","8,682",0,"5,689","3,549","5,803",202,"4,510","4,508",0,"1,630",622,"1,529","1,944","1,492","1,023",764,633,417,284,0
AR,05,State Senate District 23,"=""05023""","8,787",75,"8,787","24,013,029","2,053","1,509,143","5,499","6,823,027",158,145,142,"8,559","37,533,050",84,"172,778","7,554",0,"4,851","3,327","5,274",3,"5,097","3,036",0,"2,031",633,"1,364","1,873","1,389",896,679,471,352,261,0
AR,05,State Senate District 24,"=""05024""","13,282",213,"13,282","41,252,147","2,741","1,799,389","9,099","11,535,520",505,409,191,"13,097","60,063,914",97,"145,162","12,096",0,"8,478","5,080","7,738",389,"7,677","4,944",0,"3,500",650,"2,140","3,482","2,368","1,442","1,168",670,421,226,0
AR,05,State Senate District 25,"=""05025""","10,006",127,"10,006","28,082,303","2,419","1,741,163","6,390","8,030,938",481,369,176,"9,838","43,789,705",77,"148,432","8,984",0,"5,654","4,578","4,988",244,"5,268","4,023",0,"1,851",550,"1,455","2,323","1,447","1,017",897,646,418,201,0
AR,05,State Senate District 26,"=""05026""","9,232",25,"9,232","25,406,059","2,260","1,619,918","5,967","7,306,121",181,249,170,"9,058","39,965,998",59,"130,492","8,143",0,"5,109","3,644","5,501",1,"3,555","4,983",0,"1,537",592,"1,466","1,834","1,406",954,681,561,426,287,0
