"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AZ,04,State Senate District 1,"=""04001""","13,643",73,"13,643","29,231,246","3,448","2,612,069","7,108","9,675,117",520,436,677,"12,759","46,705,931",726,"733,342","10,762",0,"3,870","6,887","5,499","1,060","7,803","4,601",0,"3,739","1,427","2,233","2,635","1,606","1,192","1,142","1,069",694,699,0
AZ,04,State Senate District 2,"=""04002""","25,396",753,"25,396","76,240,488","6,566","4,606,632","17,894","24,796,886","1,006",926,905,"24,707","114,750,973",606,"589,162","22,441",32,"8,812","12,481","11,572","1,261","14,730","9,499",0,"6,017","1,253","3,369","5,461","4,290","3,194","2,665","2,002","1,380","1,164",16
AZ,04,State Senate District 3,"=""04003""","24,953",751,"24,953","69,202,459","6,455","4,536,510","16,423","22,234,268","1,208",901,966,"24,274","105,941,825",654,"520,336","22,077",19,"9,987","12,639","10,936","1,329","13,000","10,355",0,"5,124","1,742","3,750","5,331","3,976","3,069","2,491","2,001","1,360",935,7
AZ,04,State Senate District 4,"=""04004""","32,065",861,"32,065","90,630,990","8,705","6,100,700","22,651","29,877,248","1,180","1,081",736,"31,465","138,902,750",559,"516,940","25,291",0,"10,270","13,880","17,112","1,011","17,992","12,604",0,"4,957","1,612","4,517","6,648","5,325","3,934","3,204","2,773","2,001","1,687",66
AZ,04,State Senate District 5,"=""04005""","19,171",213,"19,171","46,570,233","4,449","3,173,226","11,129","14,906,700",800,433,611,"18,466","74,432,207",546,"577,497","16,309",0,"7,520","9,103","9,549",280,"9,616","7,558",0,"3,610","1,694","3,095","4,146","2,694","1,950","1,619","1,218",863,757,0
AZ,04,State Senate District 6,"=""04006""","16,051",158,"16,051","35,461,944","4,129","3,148,313","8,694","11,799,408",499,491,697,"15,266","57,485,944",565,"563,476","13,237",0,"5,778","7,493","7,360",798,"8,700","5,629",0,"3,677","1,557","2,673","3,204","1,774","1,512","1,286","1,143",837,677,0
AZ,04,State Senate District 7,"=""04007""","26,609",394,"26,609","71,236,862","7,021","5,186,607","17,754","23,750,203",380,380,456,"26,286","117,862,402",143,"209,779","23,931",0,"14,059","7,683","17,682",818,"15,873","9,095",0,"4,456","2,425","4,539","4,891","3,398","2,912","2,458","1,788","1,164",919,0
AZ,04,State Senate District 8,"=""04008""","15,539",290,"15,539","40,745,352","4,953","3,894,968","10,480","14,872,160",621,605,639,"15,160","67,372,734",282,"325,029","13,623",112,"6,539","8,161","6,964",274,"7,589","6,974",0,"2,806","1,029","2,122","2,771","2,008","1,702","1,520","1,374","1,144","1,067",60
AZ,04,State Senate District 9,"=""04009""","16,046",411,"16,046","35,618,589","3,639","2,589,866","8,527","10,829,227",846,791,"1,003","15,332","56,274,644",665,"564,733","13,591",0,"5,862","9,044","6,288",632,"7,999","6,376",0,"3,345","1,650","2,918","3,566","2,028","1,675","1,365","1,111",795,590,0
AZ,04,State Senate District 10,"=""04010""","18,653",399,"18,653","43,570,267","4,742","3,451,684","10,595","13,603,857","1,124",865,"1,035","17,919","69,606,511",700,"574,483","16,079",0,"7,169","10,613","7,223",739,"9,173","7,717",0,"3,568","1,718","3,061","3,937","2,448","2,026","1,814","1,478","1,039",778,0
AZ,04,State Senate District 11,"=""04011""","13,382",142,"13,382","32,563,989","4,174","3,246,821","8,377","11,727,578",748,638,850,"12,927","54,465,437",406,"399,494","11,640",32,"5,201","7,426","5,621",248,"6,783","5,649",0,"2,870","1,042","1,865","2,480","1,606","1,465","1,416","1,241",998,957,27
AZ,04,State Senate District 12,"=""04012""","11,341",101,"11,341","25,650,299","3,715","2,983,545","6,788","9,618,224",889,936,"1,042","10,719","43,026,179",606,"687,110","9,473",0,"3,311","6,360","4,766",170,"6,825","3,860",0,"3,492",887,"1,445","1,846","1,220","1,096","1,198","1,270","1,036","1,039",37
AZ,04,State Senate District 13,"=""04013""","16,157",233,"16,157","41,490,760","5,179","3,954,307","10,616","14,823,683",839,805,773,"15,617","69,021,011",485,"524,328","13,595",0,"5,596","7,579","8,062",396,"9,213","6,041",0,"3,372","1,059","1,949","2,820","2,089","1,731","1,759","1,606","1,312","1,279",35
AZ,04,State Senate District 14,"=""04014""","17,742",228,"17,742","46,455,917","4,720","3,587,148","11,338","15,597,732",565,617,728,"17,204","74,806,161",406,"380,412","15,203",0,"5,987","10,030","6,312","1,176","8,799","7,626",0,"3,524","1,230","2,665","3,653","2,331","1,711","1,444","1,310","1,055",977,0
AZ,04,State Senate District 15,"=""04015""","10,604",143,"10,604","21,968,231","2,911","2,282,358","5,464","6,960,201",744,667,807,"9,835","35,616,478",768,"753,296","8,324",0,"3,149","5,856","4,548",172,"6,241","3,479",0,"3,199","1,136","1,773","2,028","1,148","1,004","1,024",939,809,636,0
AZ,04,State Senate District 16,"=""04016""","14,376",148,"14,376","34,324,287","4,474","3,503,361","8,835","12,437,583",839,777,988,"13,784","56,988,350",578,"553,601","12,426",0,"5,299","8,109","5,947",286,"7,665","5,688",0,"3,360","1,151","2,014","2,615","1,708","1,516","1,520","1,401","1,082","1,122",20
AZ,04,State Senate District 17,"=""04017""","14,073",359,"14,073","33,493,518","4,411","3,386,000","8,485","11,231,695",898,781,880,"13,411","55,047,867",644,"677,757","11,674",0,"5,064","6,535","6,750",747,"8,422","4,768",0,"3,228","1,084","2,048","2,587","1,753","1,569","1,532","1,389","1,094",817,0
AZ,04,State Senate District 18,"=""04018""","13,791",271,"13,791","30,006,372","4,131","3,208,697","7,557","9,674,935","1,073",950,991,"13,139","50,148,466",640,"702,388","11,665",11,"5,179","7,505","5,892",348,"7,295","5,332",0,"2,971","1,198","2,162","2,699","1,549","1,513","1,421","1,306","1,031",731,0
AZ,04,State Senate District 19,"=""04019""","28,828","1,055","28,828","83,657,401","10,057","7,578,328","21,153","30,030,444","1,774","1,362","1,101","28,219","134,507,663",585,"675,673","25,557",62,"12,177","12,148","16,225",439,"16,146","11,673",0,"6,160","1,203","3,299","5,163","4,400","3,695","3,568","3,150","2,284","1,786",94
AZ,04,State Senate District 20,"=""04020""","20,947",570,"20,947","50,307,325","6,075","4,555,408","12,484","16,411,838","1,378","1,127","1,155","20,066","80,538,443",871,"799,154","17,688",41,"8,176","10,769","9,769",403,"11,235","8,096",0,"4,693","1,698","3,167","4,208","2,754","2,311","2,254","1,939","1,397","1,083",0
AZ,04,State Senate District 21,"=""04021""","17,639",283,"17,639","43,756,326","5,766","4,501,195","11,146","15,389,568","1,179","1,003","1,082","16,921","72,597,383",700,"607,042","15,158",27,"6,506","9,122","8,055",376,"9,638","6,956",0,"3,877","1,188","2,280","3,109","2,250","2,013","1,992","1,893","1,415","1,187",74
AZ,04,State Senate District 22,"=""04022""","10,043",87,"10,043","22,000,602","3,047","2,495,538","5,612","7,602,814",662,644,781,"9,483","37,003,465",538,"585,776","8,314",0,"3,047","5,675","4,154",196,"5,860","3,509",0,"2,838",965,"1,430","1,775","1,089",980,985,"1,032",895,787,5
AZ,04,State Senate District 23,"=""04023""","5,982",38,"5,982","9,659,757","1,148","930,166","2,161","2,557,458",290,332,471,"5,354","15,459,899",575,"579,321","4,264",0,"1,378","3,062","2,688",158,"3,759","1,545",0,"2,115",978,"1,251","1,317",484,392,403,388,325,154,0
AZ,04,State Senate District 24,"=""04024""","21,265",928,"21,265","54,434,641","5,375","3,793,667","13,025","17,403,660",892,919,819,"20,398","84,257,003",783,"646,781","17,858",68,"9,296","8,727","11,793",489,"11,641","7,756",0,"4,703","1,861","3,502","4,790","3,103","2,400","1,919","1,520","1,030",625,0
AZ,04,State Senate District 25,"=""04025""","17,705",470,"17,705","43,185,454","5,288","3,925,411","10,851","14,931,451",952,908,"1,084","17,078","69,791,336",613,"572,934","15,232",28,"6,943","8,993","8,282",384,"9,190","7,110",0,"3,794","1,444","2,638","3,314","2,305","2,029","1,930","1,617","1,198",986,20
AZ,04,State Senate District 26,"=""04026""","19,011",622,"19,011","44,901,901","5,222","3,810,071","11,170","14,799,102","1,016","1,001","1,063","18,356","72,427,691",613,"506,627","16,346",36,"7,996","9,422","8,987",530,"9,785","7,562",0,"3,567","1,656","3,170","3,999","2,366","2,131","1,851","1,521","1,095",810,13
AZ,04,State Senate District 27,"=""04027""","25,993","1,062","25,993","75,182,582","8,130","5,979,959","18,639","25,918,564","1,515","1,138",949,"25,427","118,586,455",533,"543,474","22,882",76,"12,115","11,541","13,895",481,"14,144","10,568",0,"5,283","1,381","3,501","5,144","4,052","3,283","2,988","2,475","1,694","1,246",23
AZ,04,State Senate District 28,"=""04028""","16,134",551,"16,134","37,765,113","4,032","2,922,929","9,161","12,161,258",893,747,813,"15,270","59,278,609",835,"709,042","13,186",31,"6,180","7,688","7,978",358,"9,034","5,682",0,"3,898","1,517","2,707","3,478","2,064","1,723","1,476","1,272",885,611,0
AZ,04,State Senate District 29,"=""04029""","32,537","1,507","32,537","98,729,879","10,370","7,374,760","24,290","34,358,391","1,517","1,215",938,"31,878","153,343,785",653,"628,109","28,699",119,"14,498","12,171","19,859",472,"18,053","13,272",0,"7,130","1,485","3,961","6,580","5,328","4,272","3,929","3,097","2,089","1,605",62
AZ,04,State Senate District 30,"=""04030""","30,019","1,688","30,019","89,403,083","7,835","5,402,691","21,298","29,563,058","1,183","1,110",818,"29,315","134,750,014",685,"634,929","25,903",156,"13,796","11,299","18,110",539,"16,627","11,815",0,"6,687","1,920","4,297","6,632","5,057","3,839","3,122","2,286","1,472","1,084",1
