"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CA,06,State Senate District 1,"=""06001""","52,874",375,"52,874","106,901,827","12,977","10,102,155","26,262","33,158,761","1,884","1,499","2,199","48,890","170,369,059","3,310","3,964,291","40,092",0,"15,142","26,734","23,649","1,179","27,685","18,580",0,"14,048","6,037","9,165","10,421","5,309","4,250","3,922","3,448","2,706","2,475",0
CA,06,State Senate District 2,"=""06002""","52,942",958,"52,942","107,528,336","13,712","10,503,933","26,512","32,992,943","1,803","1,387","1,713","48,227","170,429,963","3,958","4,535,682","36,519",0,"12,565","23,860","25,631","2,119","27,530","18,876",0,"14,253","5,821","9,351","10,395","5,183","4,318","3,991","3,455","2,656","2,174",0
CA,06,State Senate District 3,"=""06003""","55,187","1,287","55,187","115,810,620","16,282","12,696,146","29,540","36,845,841","2,699","2,383","2,505","52,371","198,404,435","2,650","2,655,752","42,038",0,"15,223","26,613","26,105","2,146","27,126","22,424",0,"11,414","5,247","9,086","10,711","6,037","5,119","5,075","4,738","3,894","3,323",21
CA,06,State Senate District 4,"=""06004""","78,141","1,867","78,141","182,966,567","21,625","16,476,452","45,303","59,426,929","3,019","2,673","3,166","73,957","287,766,540","3,885","4,562,043","60,092",53,"23,425","34,644","41,497","1,489","38,471","32,261",0,"18,079","7,217","12,518","15,072","9,468","7,902","7,173","6,613","5,100","4,805",25
CA,06,State Senate District 5,"=""06005""","88,690","2,501","88,690","223,271,085","25,700","19,323,855","55,636","72,039,940","3,070","3,576","3,125","85,385","356,670,937","3,127","3,584,145","69,245",23,"26,946","37,801","48,558","2,052","41,722","40,120",0,"17,364","6,829","14,106","17,520","11,880","9,513","8,603","7,521","5,995","5,322",89
CA,06,State Senate District 6,"=""06006""","90,203","3,305","90,203","225,703,802","22,906","17,075,226","54,002","70,401,468","3,907","4,202","3,674","85,944","346,337,354","4,183","3,983,825","70,181",0,"27,200","40,823","47,116","2,035","46,849","35,966",0,"22,929","7,911","15,463","19,940","11,872","8,928","7,957","7,529","5,537","4,238",69
CA,06,State Senate District 7,"=""06007""","41,083","1,312","41,083","86,895,075","10,465","8,029,164","21,288","26,763,343","1,859","2,023","1,687","38,090","140,168,520","2,941","2,971,052","29,844",0,"10,375","17,996","21,346","1,531","22,647","14,531",0,"11,360","4,498","7,342","8,510","4,678","3,559","3,526","3,181","2,735","2,169",32
CA,06,State Senate District 8,"=""06008""","82,132","2,077","82,132","204,348,303","22,165","16,560,342","49,681","64,763,641","2,901","3,006","2,829","78,521","318,909,977","2,982","3,709,575","64,948",16,"25,163","38,797","40,996","1,515","41,407","33,435",0,"18,368","6,517","13,001","16,768","10,852","8,159","7,288","6,375","4,750","4,068",79
CA,06,State Senate District 9,"=""06009""","71,123","3,096","71,123","152,801,428","16,272","12,340,845","35,686","44,085,512","2,645","3,420","2,852","65,086","238,276,992","5,985","5,169,214","48,825",65,"18,510","28,137","38,304","4,450","40,695","24,099",0,"21,349","7,767","14,034","16,297","8,462","6,321","5,675","5,112","3,884","2,788",0
CA,06,State Senate District 10,"=""06010""","52,468","2,523","52,468","105,387,429","13,893","11,072,931","25,001","30,759,004","2,169","2,767","1,968","48,101","174,257,322","4,262","4,267,986","35,956",0,"10,343","18,016","31,951","2,279","29,238","18,094",0,"14,236","5,246","9,243","10,654","5,841","4,860","4,686","4,568","3,615","2,867",0
CA,06,State Senate District 11,"=""06011""","53,604","2,403","53,604","92,324,386","9,700","7,503,057","19,181","23,131,250","1,466","2,173","2,112","47,070","143,758,124","6,385","5,197,613","29,192",0,"6,988","17,962","30,153","5,320","30,870","16,241",0,"17,225","7,071","11,766","12,522","5,703","4,092","3,662","3,290","2,603","1,988",0
CA,06,State Senate District 12,"=""06012""","98,698","3,194","98,698","264,410,598","31,570","22,757,089","66,629","87,973,072","3,283","4,147","2,387","95,756","416,683,655","2,748","3,160,527","72,326",0,"26,801","29,433","67,204","1,562","47,720","45,240",0,"16,150","5,763","13,303","18,729","14,355","11,552","10,391","9,032","7,101","6,330",183
CA,06,State Senate District 13,"=""06013""","30,802","1,321","30,802","57,679,633","7,701","5,967,380","13,557","16,773,447",892,"1,371","1,028","27,399","94,103,678","3,243","3,154,248","19,539",0,"4,656","11,412","17,564","1,461","17,474","9,971",0,"9,507","3,678","5,695","6,296","3,238","2,590","2,536","2,412","1,775","1,331",0
