"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CO,08,State Senate District 1,"=""08001""","9,130",106,"9,130","21,219,014","3,057","2,532,761","5,305","7,402,687",215,143,310,"8,680","37,192,670",175,"466,977","7,218",0,"2,371","3,993","4,388",226,"4,810","3,333",0,"1,991",498,"1,016","1,235",810,626,738,723,465,492,1
CO,08,State Senate District 2,"=""08002""","10,524",50,"10,524","23,683,171","2,921","2,288,799","6,159","8,516,655",369,370,651,"10,023","41,979,205",302,"400,591","8,993",0,"3,631","5,965","3,904",306,"5,717","3,709",0,"2,356",879,"1,432","1,732","1,043",852,861,774,672,700,0
CO,08,State Senate District 3,"=""08003""","13,932",193,"13,932","33,648,777","3,819","2,872,474","8,425","10,539,855",445,520,716,"13,612","56,122,975",315,"213,513","12,041",0,"6,071","6,586","6,642",675,"6,627","6,176",0,"2,037","1,522","2,364","2,758","1,731","1,518","1,331","1,126",828,679,0
CO,08,State Senate District 4,"=""08004""","4,414",0,"4,414","8,539,649","1,320","1,096,882","2,259","2,926,737",300,271,425,"4,124","14,900,088",257,"312,267","3,588",0,"1,240","2,760","1,587",29,"2,635","1,413",0,"1,391",410,676,851,397,360,363,416,378,348,0
CO,08,State Senate District 5,"=""08005""","7,896",40,"7,896","15,540,126","2,013","1,621,179","3,828","5,085,852",120,68,344,"7,318","26,084,564",427,"559,618","6,106",0,"2,035","3,852","3,778",157,"4,247","2,627",0,"2,478",826,"1,359","1,649",703,596,545,461,378,399,0
CO,08,State Senate District 6,"=""08006""","10,217",58,"10,217","21,520,783","2,591","1,984,354","5,327","6,916,355",348,185,501,"9,552","35,224,708",519,"598,079","8,110",0,"3,349","5,000","4,704",311,"5,277","3,887",0,"2,987","1,179","1,746","1,932","1,054",914,745,632,487,493,0
CO,08,State Senate District 7,"=""08007""","10,657",93,"10,657","22,772,176","2,736","2,122,160","5,866","7,569,067",564,404,652,"10,220","39,061,392",398,"434,525","8,869",0,"4,146","5,732","4,057",806,"5,485","4,181",0,"2,032","1,238","1,873","1,997","1,155","1,012",873,768,633,619,0
CO,08,State Senate District 8,"=""08008""","7,593",78,"7,593","14,917,045","2,106","1,662,021","3,719","4,854,781",123,62,235,"7,089","25,469,103",321,"480,297","5,868",0,"2,229","4,084","3,295",0,"3,887","2,603",0,"2,192",703,"1,134","1,583",620,512,513,475,302,234,0
CO,08,State Senate District 9,"=""08009""","5,960",8,"5,960","11,662,652","1,651","1,326,903","3,074","4,233,805",317,410,657,"5,623","21,177,457",306,"336,094","4,987",0,"1,771","3,743","1,996",151,"3,382","2,033",0,"1,658",616,999,"1,096",487,453,503,534,453,490,0
CO,08,State Senate District 10,"=""08010""","10,932",104,"10,932","23,420,442","3,251","2,554,476","6,176","8,170,755",731,709,"1,010","10,442","41,206,819",472,"447,993","9,498",0,"3,855","6,637","3,817",410,"5,674","4,286",0,"2,429","1,081","1,676","1,957","1,196","1,046","1,083","1,070",850,796,0
