"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CT,09,State Senate District 1,"=""09001""","11,965",387,"11,965","31,052,769","3,165","2,245,607","7,610","9,138,979",623,579,411,"11,753","52,101,043",202,"215,024","10,569",0,"5,971","4,762","6,392",807,"6,885","4,281",0,"2,239","1,074","2,108","2,750","1,548","1,279","1,160","1,010",632,336,0
CT,09,State Senate District 2,"=""09002""","10,563",336,"10,563","25,095,213","2,653","1,910,655","6,239","7,404,701",693,685,471,"10,353","43,771,045",193,"180,308","9,326",0,"5,044","4,372","5,259",915,"5,804","3,971",0,"2,046","1,074","1,919","2,349","1,300","1,084",997,890,607,300,0
CT,09,State Senate District 3,"=""09003""","7,353",130,"7,353","16,102,984","2,177","1,617,588","4,118","4,953,680",581,491,401,"7,073","29,852,577",253,"219,116","6,414",0,"2,845","3,573","3,413",304,"3,846","2,834",0,"1,388",715,"1,184","1,415",909,751,786,714,504,299,0
CT,09,State Senate District 4,"=""09004""","5,484",91,"5,484","10,960,511","1,476","1,123,658","2,761","3,254,312",365,356,310,"5,273","20,023,604",190,"166,409","4,705",0,"1,877","2,905","2,252",301,"2,827","2,077",0,"1,004",657,888,"1,074",530,494,460,503,358,214,0
CT,09,State Senate District 5,"=""09005""","3,380",5,"3,380","6,402,101",814,"624,506","1,533","1,840,495",147,225,223,"3,140","11,325,054",215,"220,921","2,615",0,812,"1,548","1,631",135,"2,083",953,0,926,414,588,691,330,252,220,277,204,109,0
CT,09,State Senate District 6,"=""09006""","9,490",201,"9,490","23,025,415","2,517","1,854,029","5,735","7,018,713",591,513,387,"9,200","40,361,795",267,"259,579","8,274",0,"4,237","3,964","4,417","1,058","4,595","4,084",0,"1,684",912,"1,572","1,990","1,178","1,056",937,812,565,350,0
CT,09,State Senate District 7,"=""09007""","4,116",30,"4,116","7,900,189","1,073","822,127","1,919","2,326,110",236,211,303,"3,930","14,704,049",122,"182,798","3,416",0,"1,312","2,147","1,606",286,"2,008","1,574",0,753,503,687,823,365,312,339,328,226,137,0
CT,09,State Senate District 8,"=""09008""","3,599",24,"3,599","6,633,800",874,"677,969","1,630","1,964,491",161,112,174,"3,378","11,970,912",106,"220,604","2,872",0,"1,009","2,019","1,425",37,"1,867","1,199",0,768,445,561,692,275,229,245,221,137,105,0
CT,09,State Senate District 9,"=""09009""","4,639",57,"4,639","8,624,416","1,130","885,699","2,145","2,508,548",344,309,314,"4,399","15,884,568",239,"251,861","3,783",0,"1,387","2,346","1,992",301,"2,372","1,694",0,934,604,920,929,447,424,381,391,305,230,0
CT,09,State Senate District 10,"=""09010""","9,482",294,"9,482","22,461,900","2,135","1,548,545","5,556","6,804,012",599,528,424,"9,252","39,235,755",229,"172,686","8,309",0,"4,613","4,816","3,912",754,"4,715","3,929",0,"1,880","1,059","1,844","2,111","1,269",893,839,700,454,301,0
CT,09,State Senate District 11,"=""09011""","7,925",193,"7,925","18,263,151","1,822","1,322,004","4,560","5,484,406",495,443,364,"7,713","32,210,976",207,"168,763","6,860",0,"3,616","3,905","3,413",592,"3,980","3,233",0,"1,532",902,"1,512","1,719",989,779,751,575,397,237,0
CT,09,State Senate District 12,"=""09012""","2,730",0,"2,730","4,294,836",522,"396,426",988,"1,181,653",93,162,245,"2,475","7,756,616",240,"232,827","2,025",0,621,"1,403","1,218",78,"1,596",793,0,778,443,550,553,240,139,155,163,117,78,0
CT,09,State Senate District 13,"=""09013""","7,127",142,"7,127","16,058,012","1,900","1,413,666","4,017","4,847,064",537,388,352,"6,926","28,973,715",184,"169,205","6,216",0,"3,086","3,282","3,441",351,"3,442","2,984",0,"1,190",773,"1,150","1,431",863,786,661,633,458,260,0
CT,09,State Senate District 14,"=""09014""","4,734",77,"4,734","9,455,590","1,095","827,913","2,256","2,744,044",257,298,329,"4,480","16,971,457",251,"246,742","3,807",0,"1,528","2,315","2,168",223,"2,587","1,645",0,"1,142",581,869,"1,003",521,456,400,349,283,157,0
CT,09,State Senate District 15,"=""09015""","12,420",318,"12,420","32,778,025","2,956","2,047,354","7,958","9,816,768",667,595,455,"12,148","54,850,247",260,"236,941","11,078",0,"5,797","5,263","6,727",400,"6,424","5,127",0,"2,686","1,174","2,141","2,722","1,901","1,357","1,207",848,628,344,0
CT,09,State Senate District 16,"=""09016""","5,715",73,"5,715","12,145,036","1,476","1,109,565","3,021","3,672,543",373,343,388,"5,479","21,909,139",236,"228,883","4,745",0,"1,915","2,766","2,712",157,"3,020","2,130",0,"1,254",673,980,"1,123",637,534,522,487,367,205,0
CT,09,State Senate District 17,"=""09017""","6,441",78,"6,441","13,647,977","1,673","1,281,875","3,470","4,135,807",438,376,362,"6,184","24,974,217",227,"222,013","5,424",0,"2,482","3,091","3,012",324,"3,309","2,507",0,"1,339",711,"1,108","1,272",727,577,643,486,432,275,0
CT,09,State Senate District 18,"=""09018""","6,191",36,"6,191","12,690,907","1,906","1,516,374","3,375","4,073,999",317,225,343,"5,992","24,569,787",86,"187,674","5,430",0,"2,290","3,600","2,391",119,"2,700","2,816",0,947,568,963,"1,106",634,510,546,493,401,375,0
CT,09,State Senate District 19,"=""09019""","6,829",75,"6,829","14,822,503","1,832","1,398,284","3,769","4,441,417",283,219,208,"6,619","27,354,922",98,"180,021","5,924",0,"2,857","3,613","2,996",161,"3,387","2,717",0,"1,033",750,"1,115","1,272",845,664,575,475,321,242,0
CT,09,State Senate District 20,"=""09020""","6,089",86,"6,089","13,080,868","1,599","1,203,131","3,274","3,847,155",264,256,256,"5,893","23,547,819",144,"172,863","5,217",0,"2,397","3,170","2,669",180,"3,030","2,387",0,"1,027",617,"1,131","1,212",678,602,495,416,309,256,0
CT,09,State Senate District 21,"=""09021""","4,398",35,"4,398","8,616,228","1,063","803,647","2,098","2,558,930",295,308,336,"4,109","15,475,954",287,"299,848","3,482",0,"1,267","1,956","2,212",219,"2,545","1,412",0,"1,174",506,834,847,458,410,430,368,315,220,0
CT,09,State Senate District 22,"=""09022""","7,545",200,"7,545","17,648,168","1,829","1,312,650","4,338","5,289,955",498,480,341,"7,155","30,599,028",390,"442,542","6,277",0,"2,863","2,920","4,242",377,"4,104","2,831",0,"1,979",774,"1,265","1,629",966,781,761,661,414,284,0
CT,09,State Senate District 23,"=""09023""","12,712",374,"12,712","31,599,536","3,244","2,282,486","7,813","9,339,321",824,679,484,"12,354","55,083,343",356,"352,447","11,205",0,"5,692","4,793","7,237",653,"6,505","5,169",0,"2,807","1,191","2,127","2,795","1,796","1,410","1,240","1,039",657,387,0
CT,09,State Senate District 24,"=""09024""","6,036",148,"6,036","12,978,408","1,727","1,288,570","3,259","4,006,268",477,384,264,"5,610","22,778,061",403,"490,353","4,861",0,"1,281","2,014","3,651",330,"3,461","2,105",0,"1,624",550,929,"1,161",695,636,641,543,422,328,0
CT,09,State Senate District 25,"=""09025""","5,530",132,"5,530","11,583,304","1,325","977,109","2,765","3,340,265",366,276,221,"5,014","19,333,942",501,"519,596","4,139",0,"1,370","1,987","2,947",517,"3,471","1,634",0,"1,773",618,"1,010","1,169",612,505,481,442,341,192,0
CT,09,State Senate District 26,"=""09026""","1,743",0,"1,743","2,884,089",273,"217,350",642,"771,909",35,58,126,"1,507","4,618,348",236,"243,354","1,124",0,237,758,885,67,"1,196",361,0,730,298,352,346,120,103,77,85,63,29,0
CT,09,State Senate District 27,"=""09027""","6,527",170,"6,527","14,019,554","1,611","1,167,075","3,385","4,131,381",436,372,219,"5,819","23,064,265",693,"726,263","4,757",0,"1,715","2,347","3,741",392,"4,190","1,831",0,"2,217",666,"1,160","1,362",773,628,579,555,407,246,0
CT,09,State Senate District 28,"=""09028""","2,075",0,"2,075","3,552,033",394,"300,774",804,"965,303",26,88,162,"1,818","5,741,005",203,"286,663","1,371",0,350,883,"1,080",73,"1,413",424,0,835,299,413,394,192,105,125,134,76,66,0
CT,09,State Senate District 29,"=""09029""","6,287",58,"6,287","13,314,779","1,824","1,405,684","3,371","3,942,448",289,162,220,"6,071","24,435,802",112,"164,066","5,425",0,"2,491","3,355","2,508",204,"2,768","2,705",0,909,688,"1,038","1,175",633,551,530,521,257,133,0
CT,09,State Senate District 30,"=""09030""","4,362",9,"4,362","8,046,461","1,093","892,095","1,937","2,352,291",208,162,214,"4,010","14,212,542",203,"373,158","3,455",0,"1,114","2,273","1,818",95,"2,349","1,385",0,"1,154",417,716,681,365,330,297,252,193,191,0
CT,09,State Senate District 31,"=""09031""","6,176",48,"6,176","12,654,936","1,691","1,310,018","3,222","3,767,349",423,300,412,"5,932","23,194,076",205,"248,107","5,326",0,"2,231","3,148","2,736",233,"3,077","2,432",0,"1,176",646,"1,060","1,220",634,636,544,523,398,332,0
CT,09,State Senate District 32,"=""09032""","3,089",0,"3,089","5,398,393",743,"573,703","1,293","1,626,010",99,203,230,"2,807","9,822,327",214,"284,085","2,313",0,723,"1,491","1,387",42,"1,800",886,0,882,368,522,539,275,190,234,242,143,120,0
CT,09,State Senate District 33,"=""09033""","3,473",0,"3,473","6,009,931",871,"690,987","1,466","1,688,820",130,97,141,"3,217","10,931,997",135,"277,104","2,758",0,988,"1,872","1,456",34,"1,793","1,203",0,900,340,610,676,195,180,170,250,167,69,0
CT,09,State Senate District 34,"=""09034""","4,784",79,"4,784","9,452,645","1,220","942,198","2,376","2,789,836",336,281,310,"4,555","17,435,711",226,"236,197","3,928",0,"1,590","2,324","2,249",210,"2,530","1,743",0,"1,034",589,847,983,488,450,437,429,302,231,0
CT,09,State Senate District 35,"=""09035""","4,564",31,"4,564","8,690,593","1,191","946,290","2,187","2,592,163",205,216,308,"4,312","16,127,953",179,"225,390","3,842",0,"1,440","2,593","1,785",88,"2,230","1,825",0,892,564,753,911,411,357,379,324,231,138,0
CT,09,State Senate District 36,"=""09036""","2,769",51,"2,769","5,426,806",549,"408,816","1,252","1,511,861",95,100,92,"2,396","8,514,030",352,"358,178","1,793",0,546,973,"1,598",151,"1,834",689,0,"1,058",369,617,563,216,187,170,139,113,80,0
