"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
FL,12,State Senate District 1,"=""12001""","48,727",367,"48,727","118,557,550","12,596","9,196,614","29,155","37,201,696","2,999","1,375","1,522","47,191","201,705,237","1,361","1,320,992","43,287",52,"19,908","26,677","19,999","1,721","24,991","19,369",0,"11,283","4,447","7,924","10,504","6,529","5,049","4,401","3,660","2,720","2,245",0
FL,12,State Senate District 2,"=""12002""","47,492",570,"47,492","120,026,631","11,791","8,640,514","29,043","37,647,856","2,945","1,806","1,843","46,183","199,753,189","1,211","1,155,069","42,584",0,"19,772","28,047","17,921","1,331","23,294","19,991",0,"10,702","3,934","8,049","10,703","6,616","4,889","4,124","3,494","2,728","2,259",0
FL,12,State Senate District 3,"=""12003""","45,307",345,"45,307","115,562,418","10,578","7,518,510","27,050","34,255,148","3,254","2,295","1,654","44,197","194,103,693",842,"998,849","40,457",36,"21,332","23,087","21,278",606,"21,156","20,220",0,"10,583","3,465","7,680","10,213","6,597","4,777","4,066","3,566","2,145","1,260",0
FL,12,State Senate District 4,"=""12004""","42,357",650,"42,357","99,028,099","10,670","7,967,969","24,367","31,184,199","3,388","2,363","2,212","40,676","170,410,131","1,620","1,539,978","36,920",49,"15,236","23,341","17,909",969,"21,715","16,743",0,"10,960","3,702","7,117","8,933","5,271","4,313","4,126","3,602","2,650","2,003",0
FL,12,State Senate District 5,"=""12005""","43,628",174,"43,628","109,404,740","10,283","7,401,376","25,967","33,756,665","1,996","1,151","1,017","42,116","182,513,457","1,269","1,159,208","37,782",29,"16,550","25,181","17,330",629,"20,816","18,689",0,"10,691","4,161","7,139","9,606","6,286","4,422","3,599","3,233","2,290","1,690",0
FL,12,State Senate District 6,"=""12006""","40,298",337,"40,298","94,942,541","8,664","6,208,759","22,266","28,277,945","2,027","1,543","1,591","38,566","155,204,107","1,558","1,463,734","34,294",77,"14,366","21,693","16,876","1,397","20,633","15,587",0,"10,850","4,262","7,139","9,363","5,541","3,915","3,165","2,507","1,831","1,560",0
FL,12,State Senate District 7,"=""12007""","40,561",383,"40,561","97,015,235","10,057","7,458,464","23,633","30,740,773","3,038","2,207","2,087","39,445","168,096,333",990,"900,108","36,379",51,"15,043","24,833","14,743",742,"18,642","18,066",0,"8,890","3,730","6,556","8,473","5,410","4,170","3,644","3,198","2,353","1,970",31
FL,12,State Senate District 8,"=""12008""","49,518",444,"49,518","120,649,891","10,748","7,645,628","28,259","36,013,128","3,033","1,874","1,918","47,684","198,849,719","1,635","1,459,999","42,837",113,"18,275","27,598","20,411","1,229","24,100","20,551",0,"12,975","4,844","8,602","11,387","6,984","5,029","4,089","3,245","2,333","1,728",0
FL,12,State Senate District 9,"=""12009""","66,531","1,114","66,531","181,270,629","14,943","10,290,325","42,910","55,585,306","5,075","3,667","2,585","65,190","295,406,699","1,281","1,178,161","60,894",103,"30,755","34,719","29,454","2,244","35,341","26,286",0,"17,558","4,972","11,083","15,981","9,720","7,369","6,313","5,049","3,334","2,201",0
FL,12,State Senate District 10,"=""12010""","43,345",633,"43,345","102,948,014","10,095","7,238,484","24,184","30,690,007","3,190","2,596","2,505","41,505","171,929,877","1,761","1,552,312","37,747",70,"15,079","23,862","18,907",438,"22,514","17,035",0,"12,863","3,819","7,171","9,555","5,807","4,456","4,054","3,426","2,453","1,811",0
