"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
GA,13,State Senate District 1,"=""13001""","17,570",153,"17,570","45,598,814","5,017","3,593,859","11,715","15,981,363","1,489","1,196","1,078","17,134","81,466,495",399,"382,340","16,196",1,"8,114","9,822","7,097",605,"8,882","7,641",0,"3,715","1,161","2,375","3,319","2,159","1,953","2,193","1,644","1,265","1,111",0
GA,13,State Senate District 2,"=""13002""","23,615",263,"23,615","63,607,359","4,847","3,185,849","15,065","19,096,364","1,678","1,363",924,"23,116","101,768,102",477,"423,455","21,674",20,"11,650","12,989","8,847","1,680","11,755","10,120",0,"4,654","1,924","4,057","5,652","3,659","2,478","2,194","1,452",964,614,0
GA,13,State Senate District 3,"=""13003""","18,226",159,"18,226","49,018,603","4,220","3,111,442","11,830","15,064,451","1,011",669,560,"17,864","80,101,610",256,"336,456","16,649",0,"9,619","10,161","7,660",278,"9,216","7,666",0,"3,909","1,333","3,064","4,252","2,682","1,900","1,557","1,145",914,857,0
GA,13,State Senate District 4,"=""13004""","18,546",136,"18,546","51,547,927","4,107","2,902,248","11,936","15,557,513","1,030",806,584,"18,090","80,272,324",356,"414,661","16,858",0,"10,163","7,831","10,479",123,"9,456","7,890",0,"4,613","1,201","3,069","4,450","2,906","1,943","1,620","1,202",808,721,0
GA,13,State Senate District 5,"=""13005""","24,222",750,"24,222","68,282,267","5,119","3,392,384","15,845","21,802,896","1,517","1,641",949,"22,451","98,799,992","1,742","1,745,484","20,362",0,"9,105","8,528","15,454",221,"17,063","6,183",0,"11,131","1,400","3,666","5,747","4,144","2,722","2,267","1,849","1,220",908,23
GA,13,State Senate District 6,"=""13006""","11,712",299,"11,712","28,031,883","2,152","1,415,424","6,507","8,352,528",823,835,664,"11,046","43,666,472",646,"531,545","10,213",11,"5,343","5,360","6,147",130,"7,548","3,378",0,"4,646","1,075","2,204","3,012","1,625","1,089",929,736,479,252,0
GA,13,State Senate District 7,"=""13007""","21,829",243,"21,829","62,282,515","4,998","3,483,480","14,414","18,357,574",754,549,294,"21,419","97,034,701",239,"337,153","19,371",0,"12,478","8,132","13,470",92,"11,024","9,420",0,"5,394","1,315","3,643","5,138","3,361","2,506","1,879","1,380",917,711,0
GA,13,State Senate District 8,"=""13008""","21,489",125,"21,489","59,744,157","4,840","3,383,209","14,075","18,168,888",890,882,596,"21,102","96,483,335",243,"313,600","19,514",91,"11,406","10,108","10,892",315,"10,938","9,065",0,"4,409","1,509","3,487","5,036","3,263","2,191","1,896","1,395","1,013",806,0
GA,13,State Senate District 9,"=""13009""","18,356",387,"18,356","49,281,203","4,271","2,996,255","11,745","16,083,131","1,299","1,470",969,"17,211","75,034,267","1,142","1,194,953","15,578",0,"6,829","7,379","10,806",143,"12,748","4,774",0,"7,954","1,195","2,639","3,924","2,796","2,036","1,875","1,590","1,226","1,018",14
GA,13,State Senate District 10,"=""13010""","26,540",401,"26,540","75,635,897","5,095","3,371,374","17,439","22,454,863","2,436","2,199","1,297","25,992","116,797,090",543,"451,279","24,763",9,"15,497","11,752","14,504",265,"17,054","8,348",0,"9,897","1,515","4,353","6,802","4,356","2,902","2,408","1,970","1,376",774,0
GA,13,State Senate District 11,"=""13011""","23,660",292,"23,660","69,325,695","5,074","3,364,969","15,586","19,997,256",773,914,371,"23,240","106,957,397",229,"385,399","21,387",1,"14,937","8,244","15,207",74,"13,045","9,370",0,"5,674","1,351","3,882","5,524","3,787","2,868","2,128","1,332",938,575,0
GA,13,State Senate District 12,"=""13012""","25,618",400,"25,618","77,793,368","4,393","2,704,038","16,974","21,165,435","1,182","1,764",486,"25,352","118,444,725",157,"198,042","23,967",64,"17,418","8,501","16,682",227,"15,662","8,817",0,"6,820","1,353","4,432","6,555","4,499","3,016","2,248","1,303",718,380,0
