"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
HI,15,State Senate District 1,"=""15001""","4,812",83,"4,812","11,489,314","1,198","891,848","2,880","3,769,471",233,159,195,"4,645","19,541,598",168,"121,522","3,958",0,"1,858","2,766","1,894",138,"2,159","2,178",0,905,627,869,921,598,466,472,374,270,182,0
HI,15,State Senate District 2,"=""15002""","4,240",56,"4,240","10,152,657",852,"623,921","2,384","3,188,240",83,74,106,"3,914","15,840,595",322,"230,140","3,125",0,"1,323","2,471","1,658",97,"2,200","1,660",0,"1,257",628,763,865,516,391,367,189,137,137,0
HI,15,State Senate District 3,"=""15003""","4,677",57,"4,677","10,771,832","1,305","1,018,251","2,703","3,710,169",143,28,104,"4,291","17,844,872",355,"331,347","3,487",0,"1,566","2,419","2,127",51,"2,569","1,701",0,"1,547",500,804,906,509,437,389,370,267,173,0
HI,15,State Senate District 4,"=""15004""","3,645",16,"3,645","8,360,746","1,123","938,898","2,096","2,895,207",61,34,91,"3,416","14,780,480",175,"203,528","2,844",0,"1,209","1,744","1,776",39,"1,853","1,432",0,939,340,505,593,338,306,292,300,220,157,0
HI,15,State Senate District 5,"=""15005""","5,061",114,"5,061","11,394,257","1,810","1,404,819","2,985","4,041,363",219,134,135,"4,882","21,398,558",146,"161,679","4,190",0,"1,801","2,341","2,611",88,"2,383","2,230",0,810,437,681,815,544,583,601,517,435,304,0
HI,15,State Senate District 6,"=""15006""","3,539",75,"3,539","6,755,705","1,085","899,550","1,742","2,203,776",129,94,133,"3,224","12,059,039",303,"332,244","2,578",0,971,"1,843","1,642",51,"1,787","1,328",0,"1,020",411,541,718,346,340,314,317,256,203,0
HI,15,State Senate District 7,"=""15007""","4,097",0,"4,097","8,547,286","1,043","808,294","2,183","2,827,947",172,34,129,"3,717","14,551,032",305,"288,110","3,007",0,"1,127","2,172","1,825",22,"2,396","1,341",0,"1,329",533,726,721,377,360,338,275,199,113,0
HI,15,State Senate District 8,"=""15008""","5,608",44,"5,608","11,759,132","1,781","1,423,986","3,040","3,945,142",181,109,109,"5,215","21,400,624",325,"295,665","4,158",0,"1,604","2,501","2,801",175,"2,965","2,065",0,"1,473",569,814,966,549,498,457,502,313,193,0
HI,15,State Senate District 9,"=""15009""","1,835",23,"1,835","3,047,430",364,"287,491",715,"882,674",97,94,111,"1,642","5,205,715",186,"171,595","1,178",0,431,950,799,26,"1,027",575,0,579,303,379,392,161,121,138,116,116,55,0
HI,15,State Senate District 10,"=""15010""","3,416",86,"3,416","6,317,188",717,"556,429","1,482","1,848,187",140,162,159,"3,091","10,531,516",324,"259,182","2,320",0,964,"1,563","1,726",127,"1,828","1,170",0,971,491,722,746,341,266,267,246,197,134,0
HI,15,State Senate District 11,"=""15011""","3,138",97,"3,138","5,458,985",637,"502,453","1,255","1,546,330",131,150,167,"2,806","8,934,987",313,"283,236","2,112",0,798,"1,428","1,558",134,"1,736","1,003",0,913,490,683,664,265,214,233,221,170,106,0
HI,15,State Senate District 12,"=""15012""","4,105",116,"4,105","6,783,328",780,"600,450","1,544","1,848,387",149,167,171,"3,633","11,269,587",465,"398,166","2,674",0,952,"1,737","2,190",160,"2,288","1,237",0,"1,270",639,888,919,370,277,291,275,194,131,0
HI,15,State Senate District 13,"=""15013""","5,542",168,"5,542","12,317,967","1,188","855,382","2,806","3,557,096",204,192,152,"5,121","19,575,713",410,"349,237","3,533",0,"1,433","1,884","3,334",263,"2,934","2,042",0,"1,387",643,"1,051","1,091",733,540,468,384,283,193,0
HI,15,State Senate District 14,"=""15014""","5,573",214,"5,573","13,814,327","1,573","1,146,809","3,483","4,582,325",227,234,201,"5,392","24,313,147",180,"129,836","4,477",0,"2,031","1,844","3,528",200,"2,605","2,558",0,756,536,892,"1,033",722,623,575,505,371,300,0
