"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IA,19,State Senate District 1,"=""19001""","3,690",0,"3,690","7,885,194","1,081","894,101","1,958","2,658,752",219,58,242,"3,460","14,662,924",58,"243,645","2,976",0,876,"1,270","2,044",0,"1,801","1,267",0,836,243,388,443,266,252,221,171,140,151,0
IA,19,State Senate District 2,"=""19002""","3,174",0,"3,174","6,635,254","1,012","869,878","1,759","2,632,571",152,21,155,"2,999","12,861,656",0,"182,512","2,522",0,666,888,"2,009",30,"1,720",981,0,756,296,273,318,203,142,181,189,131,222,0
IA,19,State Senate District 3,"=""19003""","3,933",22,"3,933","9,057,573","1,210","995,717","2,383","3,158,592",345,132,302,"3,791","17,018,525",74,"139,854","3,449",0,"1,267","1,305","2,411",111,"2,208","1,399",0,742,254,453,570,417,301,332,287,170,208,0
IA,19,State Senate District 4,"=""19004""","3,813",0,"3,813","8,524,146","1,089","898,607","2,126","3,012,545",181,47,213,"3,559","16,017,301",27,"230,730","3,118",0,957,"1,013","2,417",0,"2,067","1,180",0,899,228,386,445,316,232,258,169,149,148,0
IA,19,State Senate District 5,"=""19005""","4,190",32,"4,190","9,533,020","1,086","881,279","2,327","3,067,498",157,86,249,"3,983","17,402,306",64,"166,060","3,526",0,"1,215","1,574","2,195",114,"2,202","1,418",0,784,316,528,641,326,264,214,176,167,140,0
IA,19,State Senate District 6,"=""19006""","4,460",49,"4,460","9,887,370","1,460","1,162,938","2,540","3,600,623",174,82,149,"4,210","19,082,246",78,"231,429","3,715",0,"1,019","1,377","2,699",44,"2,264","1,640",0,"1,009",235,390,466,225,278,289,364,196,188,0
IA,19,State Senate District 7,"=""19007""","6,723",152,"6,723","16,547,168","2,032","1,502,481","4,185","5,551,348",475,202,309,"6,580","29,810,410",99,"135,047","5,938",0,"2,687","1,897","4,415",361,"3,558","2,705",0,859,655,985,"1,236",837,744,717,623,388,349,0
IA,19,State Senate District 8,"=""19008""","5,520",58,"5,520","12,869,017","1,698","1,265,756","3,279","4,269,075",368,181,277,"5,404","23,437,148",109,"92,551","4,962",0,"2,606","2,218","2,878",424,"2,780","2,326",0,702,551,838,"1,030",711,631,585,487,347,319,0
IA,19,State Senate District 9,"=""19009""","4,016",27,"4,016","8,915,058","1,192","995,316","2,191","3,133,054",100,28,121,"3,809","16,712,186",22,"201,024","3,319",0,943,"1,018","2,520",42,"2,067","1,318",0,733,247,304,398,202,200,192,200,142,171,0
IA,19,State Senate District 10,"=""19010""","3,252",0,"3,252","7,230,497","1,011","864,275","1,845","2,603,947",156,43,121,"3,052","13,698,581",2,"179,699","2,635",0,863,"1,147","1,755",66,"1,861",979,0,766,155,237,302,152,133,166,178,101,112,0
IA,19,State Senate District 11,"=""19011""","3,954",10,"3,954","8,693,143","1,170","919,057","2,195","2,976,095",181,92,152,"3,780","16,207,679",71,"194,705","3,306",0,"1,269","1,381","2,260",61,"2,111","1,406",0,748,305,439,542,274,292,243,215,157,139,0
IA,19,State Senate District 12,"=""19012""","3,899",0,"3,899","8,935,420","1,066","875,767","2,162","3,040,907",131,45,130,"3,721","16,374,344",22,"159,363","3,297",0,"1,336","1,336","2,166",2,"1,729","1,493",0,690,245,417,532,333,236,181,157,123,141,0
