"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ID,16,State Senate District 1,"=""16001""","3,931",0,"3,931","8,733,914",975,"774,338","2,133","3,006,466",78,108,155,"3,644","13,658,006",212,"259,707","3,119",0,"1,116","2,123","1,609",69,"2,265","1,318",0,"1,153",346,551,770,423,303,241,240,191,224,0
ID,16,State Senate District 2,"=""16002""","3,561",3,"3,561","7,658,741",984,"776,408","1,901","2,605,431",180,126,199,"3,345","12,302,692",177,"192,108","2,931",0,"1,070","2,014","1,240",287,"2,048","1,186",0,965,373,505,639,401,335,307,297,253,274,1
ID,16,State Senate District 3,"=""16003""","4,211",4,"4,211","9,671,952","1,254","988,389","2,478","3,433,570",272,188,304,"4,052","16,254,706",135,"144,954","3,634",0,"1,544","2,487","1,471",236,"2,243","1,660",0,909,387,571,746,495,409,419,336,302,325,23
ID,16,State Senate District 4,"=""16004""","4,161",21,"4,161","8,982,834","1,058","792,695","2,227","2,903,624",247,194,324,"3,972","14,708,258",176,"150,277","3,522",0,"1,379","2,512","1,276",357,"2,153","1,604",0,866,432,716,834,498,411,418,310,248,220,1
ID,16,State Senate District 5,"=""16005""","2,964",0,"2,964","5,949,013",717,"580,002","1,479","2,111,043",96,130,246,"2,825","10,217,212",72,"123,939","2,460",0,875,"1,874",913,46,"1,325","1,186",0,594,285,417,452,240,199,178,146,115,140,0
ID,16,State Senate District 6,"=""16006""","3,254",29,"3,254","6,998,496",903,"706,693","1,777","2,345,882",194,139,188,"3,138","12,082,454",91,"109,587","2,832",0,"1,071","1,783","1,252",142,"1,509","1,325",0,479,310,489,554,319,310,280,265,200,174,0
ID,16,State Senate District 7,"=""16007""","3,018",0,"3,018","6,299,413",611,"536,824","1,492","2,066,106",32,0,46,"2,843","10,307,774",56,"166,418","2,449",0,919,"1,357","1,519",4,"1,425","1,207",0,688,251,440,471,260,143,132,105,75,77,0
ID,16,State Senate District 8,"=""16008""","3,489",0,"3,489","7,744,248",865,"649,364","1,857","2,592,259",99,71,186,"3,296","12,291,295",135,"164,672","2,797",0,"1,086","1,716","1,605",1,"1,736","1,306",0,"1,016",286,553,692,346,251,239,191,157,187,0
ID,16,State Senate District 9,"=""16009""","4,040",5,"4,040","9,901,210","1,218","932,568","2,449","3,552,872",170,117,196,"3,864","16,213,093",114,"162,527","3,341",0,"1,423","1,628","2,348",5,"2,073","1,640",0,891,308,509,680,474,434,361,355,270,308,3
ID,16,State Senate District 10,"=""16010""","5,296",118,"5,296","14,062,174","1,709","1,275,469","3,588","5,221,454",295,222,363,"5,146","22,786,887",143,"125,070","4,650",2,"2,109","2,608","2,621",67,"2,576","2,428",0,913,349,667,903,698,642,585,516,410,416,9
