"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IL,17,State Senate District 1,"=""17001""","24,474",872,"24,474","65,974,926","5,642","3,893,262","15,280","20,270,791","1,527","1,333",891,"23,468","106,225,080","1,002","828,622","21,163",0,"7,902","8,067","15,739",668,"14,919","8,194",0,"7,354","1,575","4,019","5,691","3,555","2,684","2,386","2,073","1,438","1,008",35
IL,17,State Senate District 2,"=""17002""","21,469",609,"21,469","53,897,033","4,843","3,390,827","12,526","16,076,691","1,375","1,177","1,011","19,932","87,383,397","1,532","1,301,839","17,759",0,"7,499","8,295","12,660",514,"12,974","7,161",0,"7,120","1,694","3,907","5,041","2,944","2,305","1,969","1,700","1,166",699,17
IL,17,State Senate District 3,"=""17003""","24,982",807,"24,982","72,852,050","3,833","2,503,245","15,644","20,057,385","1,437","1,332",782,"24,317","107,685,299",627,"480,382","22,577",0,"12,289","11,616","12,478",828,"15,853","7,783",0,"8,808","1,890","4,982","7,308","3,794","2,204","1,710","1,368",912,445,5
IL,17,State Senate District 4,"=""17004""","25,872",542,"25,872","71,842,734","5,308","3,564,284","16,254","20,633,980","2,332","1,789","1,040","25,327","115,138,203",497,"422,223","23,477",0,"12,654","12,431","12,974",403,"15,551","8,894",0,"8,008","1,695","4,424","6,569","3,924","2,759","2,340","2,020","1,374",644,3
IL,17,State Senate District 5,"=""17005""","27,830",901,"27,830","82,284,115","4,588","2,982,635","17,722","22,800,973","1,916","1,573",963,"27,147","123,846,064",671,"535,191","25,260",0,"14,354","13,248","13,797",764,"16,944","9,417",0,"9,702","1,994","5,338","7,968","4,363","2,702","2,079","1,709","1,095",473,0
IL,17,State Senate District 6,"=""17006""","8,576",226,"8,576","13,963,871","1,204","875,477","3,021","3,787,970",316,453,815,"7,625","23,543,824",949,"690,041","6,561",0,"2,191","4,178","4,077",318,"5,083","2,500",0,"3,006","1,495","2,139","2,223",712,575,467,427,329,202,0
IL,17,State Senate District 7,"=""17007""","18,839",830,"18,839","38,837,163","2,902","2,010,084","8,437","11,073,417",755,"1,010","1,089","16,427","59,146,256","2,409","1,749,814","13,815",0,"4,987","6,624","11,399",815,"12,502","4,677",0,"7,766","2,565","4,240","4,685","2,218","1,556","1,236","1,022",804,485,0
IL,17,State Senate District 8,"=""17008""","16,939",707,"16,939","39,409,338","3,076","2,200,589","8,516","11,904,418",676,"1,007",763,"14,745","57,257,917","2,192","1,812,530","11,881",0,"3,027","4,689","11,928",273,"11,892","3,946",0,"7,835","1,764","3,163","3,726","2,290","1,615","1,390","1,251",927,777,0
IL,17,State Senate District 9,"=""17009""","8,680",218,"8,680","18,517,679","1,586","1,175,585","4,084","5,321,157",439,608,550,"7,865","28,997,694",794,"703,067","6,452",0,"1,970","3,200","5,246",175,"5,717","2,265",0,"3,402",997,"1,622","1,874","1,000",708,711,618,433,390,0
IL,17,State Senate District 10,"=""17010""","16,523",425,"16,523","34,809,221","3,602","2,647,550","7,972","10,308,356",749,959,746,"13,730","52,140,752","2,789","2,551,769","10,940",0,"2,673","5,225","11,055",205,"11,612","3,842",0,"7,726","1,546","3,177","3,644","1,992","1,518","1,459","1,318",995,832,0
IL,17,State Senate District 11,"=""17011""","23,053",721,"23,053","64,158,755","5,909","4,162,357","15,248","20,386,873","1,637","1,346",848,"22,267","105,193,111",783,"760,762","20,063",0,"7,900","8,023","14,530",495,"14,038","7,894",0,"6,837","1,300","3,418","5,171","3,389","2,636","2,374","2,104","1,510","1,093",35
IL,17,State Senate District 12,"=""17012""","22,479",634,"22,479","61,768,910","5,935","4,226,080","14,835","20,057,008","1,626","1,270",905,"21,569","101,441,529",909,"845,625","19,286",0,"7,051","7,766","14,346",323,"13,911","7,504",0,"6,851","1,345","3,195","4,766","3,352","2,727","2,385","2,003","1,525","1,124",25
IL,17,State Senate District 13,"=""17013""","26,863",724,"26,863","77,371,917","4,269","2,807,791","16,726","21,091,718","1,797","1,815","1,016","26,292","116,473,576",569,"382,303","24,668",0,"14,269","13,505","12,426",925,"16,730","8,735",0,"9,358","2,075","5,321","7,727","4,187","2,440","1,925","1,626","1,032",461,0
IL,17,State Senate District 14,"=""17014""","24,746",576,"24,746","69,696,287","4,674","3,183,734","15,574","19,501,780","1,802","1,733","1,036","24,346","108,845,625",394,"338,879","22,586",0,"12,396","12,515","11,745",445,"15,103","8,247",0,"8,162","1,753","4,527","6,713","3,666","2,436","2,078","1,736","1,108",665,0
IL,17,State Senate District 15,"=""17015""","26,560",489,"26,560","75,815,137","5,148","3,525,316","17,145","21,930,253","2,082","1,899","1,139","26,111","120,039,948",433,"356,553","24,374",0,"13,335","13,495","12,639",379,"16,228","8,886",0,"8,722","1,795","4,646","6,902","4,110","2,721","2,306","1,841","1,329",810,0
IL,17,State Senate District 16,"=""17016""","27,871",739,"27,871","80,892,195","5,155","3,532,438","17,771","23,124,198","1,847","1,753",952,"27,077","122,545,304",782,"735,626","24,837",0,"12,872","12,703","14,539",590,"17,894","8,606",0,"9,926","1,814","5,058","7,639","4,245","2,721","2,265","1,882","1,324",843,5
IL,17,State Senate District 17,"=""17017""","28,507",650,"28,507","81,412,275","5,520","3,785,511","18,233","23,069,378","2,154","1,955","1,141","28,081","127,951,032",382,"335,856","26,278",0,"14,664","13,935","13,946",606,"17,414","9,580",0,"9,230","1,819","5,097","7,707","4,336","2,829","2,416","2,068","1,386",745,0
IL,17,State Senate District 18,"=""17018""","15,581",278,"15,581","38,418,514","3,161","2,318,020","8,613","11,351,299",957,"1,123",928,"14,724","60,928,064",853,"809,157","12,959",0,"5,003","6,735","8,625",166,"9,855","4,630",0,"5,409","1,377","2,669","3,724","2,125","1,529","1,350","1,181",893,646,0
IL,17,State Senate District 19,"=""17019""","14,154",181,"14,154","35,783,854","2,831","1,992,254","8,271","10,707,950","1,087","1,210",921,"13,675","59,592,608",452,"457,795","12,444",0,"5,588","7,004","6,988",99,"8,822","4,390",0,"4,541","1,243","2,401","3,242","1,971","1,473","1,216","1,116",838,591,0
IL,17,State Senate District 20,"=""17020""","19,560",617,"19,560","44,993,629","4,461","3,220,882","10,560","13,632,453","1,062","1,027","1,053","17,616","74,113,567","1,940","1,567,833","15,382",0,"5,288","6,966","12,100",490,"11,977","6,218",0,"6,736","1,832","3,657","4,376","2,472","2,014","1,795","1,521","1,151",707,6
IL,17,State Senate District 21,"=""17021""","7,990",150,"7,990","16,637,791","1,809","1,335,294","3,958","5,194,868",452,594,619,"7,466","28,447,649",524,"470,124","6,385",0,"1,814","3,719","4,031",231,"4,997","2,366",0,"2,404",904,"1,436","1,627",863,728,723,677,503,435,0
IL,17,State Senate District 22,"=""17022""","17,427",468,"17,427","44,104,638","5,092","3,663,453","11,095","15,009,035","1,418","1,028",766,"16,762","76,867,660",646,"591,763","14,861",0,"5,703","6,032","11,006",372,"10,924","5,583",0,"4,218","1,129","2,293","3,343","2,419","2,086","1,950","1,671","1,242","1,084",12
IL,17,State Senate District 23,"=""17023""","13,583",294,"13,583","30,905,165","3,411","2,500,319","7,442","9,803,133",891,957,783,"12,675","52,353,797",898,"835,727","10,885",0,"3,189","5,184","8,174",174,"8,567","4,076",0,"4,211","1,231","2,158","2,697","1,652","1,362","1,335","1,213",965,849,0
IL,17,State Senate District 24,"=""17024""","7,760",181,"7,760","15,459,534","1,567","1,163,705","3,592","4,709,942",384,525,603,"7,165","25,911,347",592,"508,376","6,016",0,"1,694","3,533","4,038",181,"4,893","2,154",0,"2,495","1,049","1,459","1,618",769,626,662,577,459,363,0
IL,17,State Senate District 25,"=""17025""","9,855",123,"9,855","22,210,255","2,779","2,085,187","5,598","7,384,811",649,623,696,"9,422","39,923,379",401,"412,446","8,367",0,"2,766","4,484","5,153",157,"5,688","3,389",0,"2,395",903,"1,422","1,840","1,217","1,024","1,014",919,732,618,0
IL,17,State Senate District 26,"=""17026""","7,396",62,"7,396","15,026,009","1,730","1,309,658","3,619","4,679,964",401,488,513,"6,857","26,108,223",519,"523,814","5,722",0,"1,597","3,268","3,929",125,"4,487","2,277",0,"2,224",859,"1,326","1,450",768,693,621,594,494,449,4
IL,17,State Senate District 27,"=""17027""","9,966",282,"9,966","19,996,198","2,311","1,686,999","4,785","6,205,652",554,658,569,"8,759","31,978,223","1,200","1,134,228","7,089",0,"1,734","3,546","6,128",249,"6,511","2,677",0,"3,744","1,121","1,743","1,986","1,112",981,949,822,636,564,0
IL,17,State Senate District 28,"=""17028""","12,563",344,"12,563","26,256,258","2,982","2,187,934","6,167","7,975,388",777,900,688,"11,130","42,265,287","1,431","1,366,211","9,174",0,"2,256","4,397","7,959",184,"8,416","3,247",0,"4,760","1,215","2,155","2,558","1,417","1,265","1,177","1,074",896,771,0
IL,17,State Senate District 29,"=""17029""","7,806",191,"7,806","15,945,995","1,822","1,368,788","3,859","5,026,805",382,483,453,"6,919","26,272,288",865,"774,809","5,567",0,"1,355","2,813","4,884",53,"5,026","2,209",0,"2,894",847,"1,353","1,545",833,762,700,650,502,458,0
