"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IN,18,State Senate District 1,"=""18001""","8,913",86,"8,913","20,958,498","2,245","1,720,102","5,006","6,379,803",547,598,582,"8,612","36,468,893",300,"287,307","7,668",0,"3,222","4,496","4,313",69,"4,779","3,362",0,"1,939",805,"1,436","2,015","1,095",897,784,763,595,491,0
IN,18,State Senate District 2,"=""18002""","15,252",265,"15,252","44,465,965","3,212","2,247,357","10,116","13,252,980",699,752,603,"14,998","69,325,119",238,"230,208","13,877",0,"7,408","7,944","7,087",144,"8,347","5,888",0,"3,875","1,033","2,750","4,067","2,302","1,530","1,242","1,035",683,501,0
IN,18,State Senate District 3,"=""18003""","15,299",250,"15,299","44,459,658","2,830","2,007,138","9,872","12,765,227",617,681,657,"15,053","67,409,483",192,"212,212","13,891",0,"7,683","8,352","6,721",168,"8,313","5,892",0,"4,139","1,200","2,939","4,410","2,224","1,412","1,148",905,572,420,0
IN,18,State Senate District 4,"=""18004""","10,023",99,"10,023","24,072,575","2,291","1,730,065","5,687","7,174,475",366,426,580,"9,765","40,951,012",226,"216,214","8,838",0,"4,096","5,832","4,005",111,"4,647","4,303",0,"1,783","1,011","1,838","2,305","1,284",955,800,719,533,435,0
IN,18,State Senate District 5,"=""18005""","7,897",25,"7,897","17,164,234","2,038","1,636,806","4,142","5,294,659",224,237,503,"7,602","30,563,700",211,"300,161","6,688",0,"2,650","4,278","3,426",110,"3,739","3,337",0,"1,523",848,"1,315","1,595",797,603,556,520,436,488,0
IN,18,State Senate District 6,"=""18006""","6,875",18,"6,875","14,537,020","1,757","1,392,242","3,468","4,395,751",217,294,455,"6,534","25,997,592",262,"365,424","5,690",0,"2,046","3,369","3,306",21,"3,558","2,496",0,"1,504",623,"1,119","1,384",680,541,455,447,315,355,0
IN,18,State Senate District 7,"=""18007""","10,872",103,"10,872","24,984,277","3,075","2,366,590","6,230","8,173,966",371,314,466,"10,583","45,182,826",203,"233,948","9,442",0,"4,409","5,157","5,173",403,"5,404","4,392",0,"1,731","1,017","1,723","1,943","1,108",993,902,734,526,479,0
IN,18,State Senate District 8,"=""18008""","11,899",161,"11,899","29,734,392","2,999","2,328,103","7,178","9,352,492",423,405,543,"11,606","50,886,618",228,"246,155","10,529",0,"4,765","6,978","4,667",174,"5,612","5,209",0,"2,321","1,009","2,065","2,615","1,444","1,090",933,838,639,596,0
IN,18,State Senate District 9,"=""18009""","10,247",88,"10,247","23,868,738","3,398","2,723,290","6,094","8,510,648",379,325,510,"9,973","44,995,474",149,"257,380","9,074",0,"3,768","5,154","4,943",85,"4,908","4,529",0,"1,840",803,"1,455","1,829","1,161",947,"1,010",976,687,816,0
IN,18,State Senate District 10,"=""18010""","14,118",244,"14,118","37,277,382","3,349","2,427,463","8,677","11,466,987",621,546,679,"13,849","61,112,650",226,"189,294","12,697",0,"5,985","8,719","4,930",404,"6,435","6,409",0,"2,612","1,268","2,547","3,376","1,927","1,449","1,167",993,648,578,0
IN,18,State Senate District 11,"=""18011""","10,575",142,"10,575","25,074,308","3,198","2,486,838","6,244","8,007,404",601,432,652,"10,316","45,162,204",240,"208,453","9,456",0,"4,132","6,480","3,882",173,"4,768","4,915",0,"1,743",960,"1,646","2,092","1,294","1,114","1,071",938,718,638,0
IN,18,State Senate District 12,"=""18012""","10,222",173,"10,222","24,862,974","3,568","2,878,157","6,472","9,031,426",482,306,475,"9,966","46,594,224",227,"230,000","9,167",0,"4,143","5,270","4,741",147,"4,449","5,020",0,"1,753",775,"1,394","1,771","1,157","1,086","1,081","1,005",844,880,0
IN,18,State Senate District 13,"=""18013""","9,746",48,"9,746","21,981,648","3,235","2,645,265","5,690","8,148,420",253,157,451,"9,455","43,271,972",128,"249,814","8,338",0,"3,550","4,438","5,164",66,"4,793","4,124",0,"1,954",865,"1,274","1,580",995,846,881,827,687,803,0
IN,18,State Senate District 14,"=""18014""","10,888",132,"10,888","27,270,103","3,092","2,384,209","6,700","9,114,761",457,436,654,"10,588","47,872,397",196,"292,472","9,396",0,"3,919","5,933","4,650",256,"5,624","4,513",0,"2,322",830,"1,636","2,158","1,306","1,089","1,050",876,635,616,0
IN,18,State Senate District 15,"=""18015""","13,045",249,"13,045","33,761,162","3,250","2,436,901","8,149","10,886,033",657,610,876,"12,734","56,492,815",300,"256,858","11,325",0,"4,835","7,423","5,095",504,"6,474","5,577",0,"2,618","1,192","2,227","2,896","1,662","1,353","1,235",991,758,685,0
IN,18,State Senate District 16,"=""18016""","11,481",124,"11,481","27,111,382","2,993","2,285,351","6,714","8,747,694",573,510,813,"11,169","46,865,673",284,"263,909","9,840",0,"4,154","6,663","4,347",420,"5,514","4,889",0,"2,185","1,128","2,037","2,455","1,408","1,050","1,018",887,680,661,0
IN,18,State Senate District 17,"=""18017""","10,305",53,"10,305","23,591,259","2,909","2,294,274","5,863","7,594,920",365,305,606,"10,055","43,088,880",173,"205,684","9,034",0,"3,848","5,338","4,520",311,"4,455","4,857",0,"1,658","1,093","1,525","1,926","1,216",884,860,734,633,578,0
IN,18,State Senate District 18,"=""18018""","11,153",67,"11,153","26,074,527","3,277","2,548,776","6,480","8,730,053",271,237,383,"10,852","48,310,390",160,"258,840","9,735",0,"3,818","4,875","5,964",147,"5,143","4,953",0,"1,933","1,055","1,550","1,927","1,184",985,923,913,618,547,0
IN,18,State Senate District 19,"=""18019""","9,818",7,"9,818","22,232,896","2,797","2,241,475","5,557","7,403,018",342,200,519,"9,520","41,268,234",132,"273,316","8,401",0,"3,309","4,682","4,749",138,"4,508","4,305",0,"1,803",998,"1,382","1,699","1,030",886,830,745,588,577,0
IN,18,State Senate District 20,"=""18020""","5,937",38,"5,937","12,652,821","1,836","1,501,678","3,238","4,170,077",454,406,645,"5,615","22,427,225",320,"359,313","5,057",0,"1,937","3,579","2,204",116,"3,345","2,125",0,"1,566",557,890,"1,110",574,582,579,603,472,512,0
IN,18,State Senate District 21,"=""18021""","11,144",100,"11,144","25,858,645","2,846","2,278,746","6,273","7,949,580",328,298,564,"10,879","45,233,271",177,"236,341","9,773",0,"4,282","5,059","5,439",524,"5,942","4,267",0,"1,813","1,216","1,948","2,178","1,372",910,850,781,594,607,0
IN,18,State Senate District 22,"=""18022""","8,073",152,"8,073","18,282,996","2,134","1,621,483","4,583","5,989,572",491,421,566,"7,856","32,451,810",205,"208,631","7,117",0,"2,904","4,328","3,161",499,"4,170","3,106",0,"1,325",821,"1,323","1,683",873,772,694,610,484,443,0
IN,18,State Senate District 23,"=""18023""","9,625",30,"9,625","21,675,123","2,743","2,229,963","5,386","6,817,923",267,169,393,"9,316","39,898,826",121,"267,297","8,310",0,"3,740","4,299","4,968",126,"4,582","4,007",0,"1,536",877,"1,244","1,630",901,724,640,641,472,470,0
IN,18,State Senate District 24,"=""18024""","7,941",40,"7,941","17,528,019","2,529","2,043,299","4,483","5,748,461",536,433,619,"7,619","32,128,205",250,"331,633","6,874",0,"2,925","4,687","3,151",15,"4,227","3,069",0,"1,797",656,"1,071","1,336",862,726,774,713,625,537,0
IN,18,State Senate District 25,"=""18025""","13,563",158,"13,563","32,479,488","2,868","2,065,012","7,847","9,650,480",406,378,590,"13,294","54,637,266",243,"213,701","11,941",0,"6,148","7,855","5,185",449,"6,110","6,009",0,"2,108","1,589","2,587","3,248","1,702","1,218","1,091",838,570,458,0
IN,18,State Senate District 26,"=""18026""","9,782",19,"9,782","22,044,595","2,663","2,164,652","5,534","6,974,999",305,336,483,"9,485","40,016,046",183,"221,858","8,528",0,"3,952","5,512","3,992",94,"4,627","4,179",0,"1,768",956,"1,584","1,940","1,043",868,763,723,498,585,0
IN,18,State Senate District 27,"=""18027""","11,105",57,"11,105","25,668,506","2,880","2,256,857","6,258","7,969,239",246,206,451,"10,743","45,289,566",234,"316,229","9,493",0,"4,721","5,144","5,490",250,"5,369","4,627",0,"1,960","1,139","1,736","2,079","1,206",952,874,691,507,536,0
IN,18,State Senate District 28,"=""18028""","11,754",145,"11,754","28,365,111","3,251","2,455,622","6,987","8,841,731",726,538,646,"11,456","48,637,791",252,"276,980","10,514",2,"5,149","6,942","4,582",129,"5,819","4,874",0,"2,379","1,091","1,934","2,396","1,388","1,165","1,128","1,011",661,545,0
IN,18,State Senate District 29,"=""18029""","10,463",236,"10,463","25,695,134","2,951","2,150,443","6,406","8,213,815",997,719,702,"10,159","44,516,835",284,"299,723","9,409",0,"4,345","6,237","4,051",128,"5,598","4,159",0,"2,313",817,"1,595","2,111","1,390","1,210","1,184",966,681,413,0
IN,18,State Senate District 30,"=""18030""","8,603",179,"8,603","19,265,697","2,112","1,548,490","4,649","5,963,829",748,665,664,"8,221","32,819,432",380,"342,647","7,418",0,"3,312","5,434","3,014",117,"4,500","3,331",0,"1,979",905,"1,522","1,806",971,896,893,769,526,303,0
IN,18,State Senate District 31,"=""18031""","8,132",86,"8,132","19,624,172","2,179","1,632,855","4,825","6,202,735",693,540,607,"7,809","32,939,858",312,"311,211","7,145",0,"3,201","5,013","2,994",73,"4,441","3,129",0,"2,090",707,"1,289","1,731","1,010",831,795,752,500,398,0
IN,18,State Senate District 32,"=""18032""","12,612",260,"12,612","31,247,280","3,529","2,725,074","7,823","10,254,066",692,524,721,"12,226","53,172,287",382,"382,818","11,256",5,"5,632","7,183","5,244",145,"6,406","5,192",0,"2,710","1,188","2,053","2,661","1,548","1,300","1,199","1,050",867,692,4
IN,18,State Senate District 33,"=""18033""","17,463",504,"17,463","45,829,552","3,947","2,697,070","10,924","14,008,131","1,244",980,805,"17,140","74,093,753",321,"268,851","15,904",0,"8,319","10,103","6,979",381,"8,877","7,172",0,"3,704","1,556","3,166","4,215","2,519","1,875","1,654","1,254",786,417,0
IN,18,State Senate District 34,"=""18034""","21,241",485,"21,241","59,450,455","4,341","2,938,625","13,813","17,766,173","1,185",897,749,"20,947","92,283,657",285,"210,258","19,579",49,"10,868","12,432","8,245",564,"10,704","8,841",0,"4,681","1,957","4,079","5,455","3,118","2,153","1,770","1,374",807,473,0
IN,18,State Senate District 35,"=""18035""","15,366",407,"15,366","39,491,868","4,294","3,187,009","9,838","12,800,384",929,675,740,"15,029","67,736,881",324,"315,380","13,828",0,"6,990","8,492","6,711",128,"7,555","6,596",0,"3,144","1,266","2,389","3,300","2,074","1,684","1,618","1,314",938,713,0
IN,18,State Senate District 36,"=""18036""","13,707",488,"13,707","34,273,217","3,698","2,762,569","8,516","11,676,378",621,525,661,"13,358","59,032,719",316,"325,553","11,835",2,"5,726","7,260","6,184",194,"6,666","5,770",0,"2,579","1,257","2,281","2,811","1,651","1,452","1,402","1,164",821,704,57
IN,18,State Senate District 37,"=""18037""","9,383",18,"9,383","21,361,136","2,829","2,274,964","5,450","6,920,731",350,335,519,"9,058","38,690,888",240,"327,247","8,159",0,"4,131","4,961","4,289",26,"4,693","3,850",0,"1,967",920,"1,485","1,720","1,035",848,885,788,655,635,6
IN,18,State Senate District 38,"=""18038""","11,816",96,"11,816","27,563,641","2,690","2,047,983","6,675","8,309,964",482,449,620,"11,594","48,642,787",193,"181,782","10,486",0,"5,264","4,367","7,255",28,"6,501","4,102",0,"1,706","1,315","2,138","2,627","1,340","1,108",883,846,622,564,0
IN,18,State Senate District 39,"=""18039""","10,312",37,"10,312","23,832,350","2,873","2,241,975","5,907","8,119,064",232,117,241,"9,990","43,621,193",132,"290,462","8,635",0,"3,903","4,167","5,695",117,"5,112","4,050",0,"2,070",925,"1,507","1,728","1,012",732,792,638,565,518,0
IN,18,State Senate District 40,"=""18040""","8,062",73,"8,062","15,475,780","1,712","1,332,655","3,738","4,608,990",441,370,734,"7,745","26,827,179",301,"257,992","6,920",0,"2,688","4,741","2,698",554,"4,233","2,775",0,"1,648","1,119","1,670","1,766",767,632,602,528,398,383,0
IN,18,State Senate District 41,"=""18041""","9,744",76,"9,744","21,739,980","3,087","2,495,700","5,609","7,048,117",501,454,691,"9,402","39,819,329",317,"353,305","8,599",0,"4,043","5,407","4,092",175,"5,051","3,951",0,"1,786",978,"1,456","1,748","1,065","1,011",932,920,773,702,16
IN,18,State Senate District 42,"=""18042""","10,943",83,"10,943","24,749,055","3,108","2,514,203","6,167","7,840,001",297,296,486,"10,608","45,085,767",215,"288,863","9,404",0,"4,798","5,054","5,677",90,"5,108","4,698",0,"1,823","1,148","1,666","1,901","1,185",953,943,829,643,625,0
IN,18,State Senate District 43,"=""18043""","10,890",40,"10,890","24,888,054","3,188","2,575,985","6,109","7,821,185",266,225,393,"10,593","46,450,367",162,"253,854","9,495",0,"4,413","4,804","5,793",181,"5,545","4,362",0,"1,824","1,020","1,692","1,989","1,205","1,009",886,874,656,662,0
IN,18,State Senate District 44,"=""18044""","10,840",82,"10,840","24,061,384","2,985","2,382,610","6,031","7,648,246",332,278,434,"10,502","44,043,854",252,"298,488","9,481",0,"4,637","5,248","5,313",193,"5,324","4,487",0,"1,969","1,178","1,755","2,081","1,172",963,883,844,690,650,0
IN,18,State Senate District 45,"=""18045""","10,732",56,"10,732","24,186,851","3,105","2,433,675","6,010","7,427,608",326,244,388,"10,419","44,268,869",160,"301,762","9,497",0,"4,896","4,549","6,026",31,"5,341","4,384",0,"1,812","1,006","1,652","1,941","1,157",999,956,805,615,563,0
IN,18,State Senate District 46,"=""18046""","11,429",157,"11,429","26,239,178","3,153","2,404,388","6,576","8,037,245",594,437,576,"11,136","46,245,114",261,"262,894","10,107",0,"5,437","5,289","5,767",310,"5,963","4,403",0,"1,867","1,120","2,004","2,315","1,362","1,127","1,076",944,719,539,0
IN,18,State Senate District 47,"=""18047""","10,680",2,"10,680","23,995,850","3,018","2,457,695","5,929","7,471,085",216,137,247,"10,295","44,159,483",164,"338,393","9,218",0,"4,384","3,953","6,446",35,"5,454","4,157",0,"2,126",933,"1,485","1,894","1,109",799,818,692,492,491,0
IN,18,State Senate District 48,"=""18048""","9,457",21,"9,457","20,195,055","2,779","2,265,144","5,124","6,380,637",351,204,333,"9,217","38,750,062",106,"207,298","8,205",0,"3,744","3,841","5,315",159,"4,424","4,072",0,"1,148",950,"1,378","1,514",888,693,751,736,526,495,0
IN,18,State Senate District 49,"=""18049""","9,327",62,"9,327","20,599,106","2,333","1,849,636","5,106","6,261,951",466,271,391,"9,132","36,891,589",98,"166,141","8,229",0,"3,887","4,285","4,761",191,"4,270","4,047",0,"1,302","1,004","1,652","1,926","1,008",804,706,601,507,487,0
IN,18,State Senate District 50,"=""18050""","10,879",126,"10,879","25,256,633","2,686","2,034,733","6,179","7,657,521",790,387,556,"10,636","44,082,314",211,"186,855","9,594",0,"4,564","5,096","5,406",336,"5,037","4,824",0,"1,620","1,160","1,926","2,372","1,392","1,062",915,767,597,535,0
