"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
KS,20,State Senate District 1,"=""20001""","4,802",3,"4,802","11,297,970","1,406","1,173,161","2,736","3,994,763",127,51,131,"4,548","20,340,759",35,"188,530","3,894",0,"1,667","1,778","2,457",18,"2,188","1,741",0,812,278,503,612,346,362,267,221,187,135,0
KS,20,State Senate District 2,"=""20002""","4,885",6,"4,885","9,353,584","1,231","980,542","2,346","2,960,691",260,253,389,"4,706","16,374,018",139,"148,563","4,107",0,"1,598","2,951","1,673",221,"2,249","2,090",0,895,467,931,"1,013",415,330,326,308,198,194,0
KS,20,State Senate District 3,"=""20003""","4,678",20,"4,678","9,778,153","1,360","1,083,115","2,510","3,222,804",299,258,382,"4,507","17,431,955",122,"156,788","4,042",0,"1,720","2,660","1,844",139,"2,199","2,053",0,834,443,803,860,476,414,426,403,325,288,0
KS,20,State Senate District 4,"=""20004""","9,458",352,"9,458","26,467,811","2,697","1,904,438","6,453","8,780,246",370,316,243,"9,303","42,666,240",153,"132,704","8,256",0,"4,513","4,256","4,826",352,"4,635","4,252",0,"1,462",743,"1,451","1,937","1,429","1,124","1,013",857,498,360,0
KS,20,State Senate District 5,"=""20005""","4,846",26,"4,846","11,502,246","1,591","1,234,326","3,058","4,212,698",290,248,283,"4,745","21,112,440",88,"76,741","4,402",0,"2,210","2,613","2,052",155,"2,268","2,186",0,696,403,686,851,503,455,543,474,409,328,0
KS,20,State Senate District 6,"=""20006""","7,527",187,"7,527","19,883,708","2,360","1,755,585","4,999","6,735,569",316,227,278,"7,320","33,246,403",196,"172,735","6,518",0,"3,311","3,558","3,739",205,"3,530","3,527",0,"1,285",538,"1,178","1,464","1,032",913,808,711,457,351,0
KS,20,State Senate District 7,"=""20007""","2,867",13,"2,867","5,332,737",814,"654,840","1,364","1,704,411",204,172,260,"2,660","9,330,550",195,"183,188","2,260",0,860,"1,583","1,138",91,"1,590","1,010",0,727,344,474,569,278,239,266,258,191,183,0
KS,20,State Senate District 8,"=""20008""","3,155",62,"3,155","6,148,884",902,"716,754","1,551","1,903,183",278,269,286,"3,009","10,871,762",146,"136,818","2,604",0,961,"1,805","1,226",124,"1,648","1,259",0,681,302,539,602,318,310,321,327,238,191,0
KS,20,State Senate District 9,"=""20009""","3,957",61,"3,957","8,939,120","1,387","1,109,070","2,380","3,194,715",292,239,285,"3,807","15,925,207",131,"186,173","3,373",0,"1,360","2,104","1,698",140,"1,991","1,684",0,830,312,540,679,453,406,445,425,355,312,0
KS,20,State Senate District 10,"=""20010""","3,504",48,"3,504","7,394,292","1,077","833,587","1,917","2,382,184",245,198,209,"3,353","12,771,381",114,"149,076","2,906",0,"1,131","1,903","1,469",106,"1,809","1,444",0,758,313,583,673,380,349,333,348,217,163,0
KS,20,State Senate District 11,"=""20011""","1,435",2,"1,435","2,502,396",331,"262,873",589,"762,663",80,92,121,"1,326","4,390,329",78,"101,619","1,068",0,294,755,632,4,883,417,0,428,172,238,269,113,89,92,96,49,56,0
KS,20,State Senate District 12,"=""20012""","5,826",0,"5,826","13,557,856","1,682","1,372,728","3,409","4,644,003",146,119,177,"5,619","23,911,010",44,"194,758","4,930",0,"2,139","2,249","3,211",33,"2,603","2,525",0,"1,075",438,669,795,519,384,366,356,249,263,0
KS,20,State Senate District 13,"=""20013""","6,510",40,"6,510","15,892,282","1,705","1,273,366","3,905","5,118,992",263,132,240,"6,330","27,269,241",87,"142,747","5,722",0,"2,777","2,671","3,622",77,"3,096","2,841",0,"1,151",570,999,"1,113",772,631,528,404,293,330,0
KS,20,State Senate District 14,"=""20014""","5,015",1,"5,015","11,562,207","1,391","1,168,389","2,862","3,949,096",103,70,134,"4,845","20,341,418",38,"131,814","4,240",0,"1,972","1,963","2,640",32,"2,197","2,063",0,849,287,564,700,395,334,311,204,150,195,0
KS,20,State Senate District 15,"=""20015""","6,483",0,"6,483","15,298,052","1,787","1,395,967","3,779","5,029,228",252,161,210,"6,315","27,297,139",60,"134,378","5,597",0,"3,069","2,796","3,419",100,"2,759","3,069",0,"1,141",629,963,"1,058",729,632,575,478,356,282,0
KS,20,State Senate District 16,"=""20016""","3,626",15,"3,626","8,326,149","1,115","888,127","2,202","2,989,125",248,260,307,"3,521","15,167,490",79,"103,119","3,143",0,"1,328","1,968","1,517",71,"1,691","1,627",0,720,286,529,592,386,364,378,324,256,270,0
KS,20,State Senate District 17,"=""20017""","7,567",86,"7,567","18,670,913","2,467","1,849,430","4,991","7,160,130",509,413,556,"7,446","36,322,813",92,"110,670","6,841",0,"2,825","3,709","3,082",659,"3,198","3,777",0,814,478,928,"1,181",822,839,857,694,600,587,0
KS,20,State Senate District 18,"=""20018""","5,310",21,"5,310","11,669,103","1,440","1,106,139","2,998","4,060,670",272,210,260,"5,173","20,261,690",59,"103,871","4,392",0,"1,831","2,599","1,959",584,"2,565","2,248",0,791,597,844,949,543,462,436,348,295,243,0
KS,20,State Senate District 19,"=""20019""","6,632",97,"6,632","16,339,998","1,876","1,416,405","4,161","5,423,892",196,175,191,"6,476","27,430,520",57,"124,110","5,556",0,"2,508","3,019","2,832",681,"3,202","2,954",0,884,577,"1,039","1,270",732,653,515,393,278,259,0
KS,20,State Senate District 20,"=""20020""","4,993",15,"4,993","11,163,280","1,603","1,201,952","2,952","3,905,990",371,278,373,"4,848","19,937,430",89,"126,821","4,224",0,"1,724","2,714","1,740",452,"2,358","2,233",0,678,468,691,901,525,528,491,440,299,294,0
KS,20,State Senate District 21,"=""20021""","3,579",36,"3,579","7,282,728","1,110","883,786","1,897","2,422,996",303,240,289,"3,402","12,817,761",144,"180,992","2,981",0,"1,130","2,016","1,387",119,"1,822","1,466",0,745,300,565,690,369,330,347,358,270,205,0
KS,20,State Senate District 22,"=""20022""","5,767",59,"5,767","13,653,218","1,678","1,278,159","3,684","5,489,365",406,356,590,"5,638","27,253,482",95,"112,340","5,251",0,"1,991","3,281","1,838",545,"2,616","2,677",0,698,399,766,956,575,581,610,512,431,459,0
KS,20,State Senate District 23,"=""20023""","3,225",58,"3,225","6,995,137","1,094","865,589","1,854","2,447,623",259,230,262,"3,100","12,423,584",125,"132,987","2,706",0,967,"1,728","1,308",149,"1,747","1,252",0,724,272,432,542,362,319,376,330,269,265,0
KS,20,State Senate District 24,"=""20024""","5,941",46,"5,941","13,530,787","1,797","1,375,445","3,507","4,553,630",308,239,370,"5,787","24,505,537",122,"146,621","5,148",0,"2,064","2,454","3,030",357,"2,848","2,590",0,880,537,902,"1,030",671,596,569,440,386,360,0
KS,20,State Senate District 25,"=""20025""","8,195",187,"8,195","20,321,397","2,349","1,725,834","5,151","6,833,899",417,336,373,"8,004","34,562,475",190,"147,618","7,058",0,"3,473","3,942","3,930",322,"3,463","4,069",0,"1,221",761,"1,341","1,648","1,102",967,826,629,494,394,0
KS,20,State Senate District 26,"=""20026""","4,627",21,"4,627","10,970,287","1,527","1,243,777","2,870","3,896,511",328,234,296,"4,491","19,883,552",70,"123,724","4,081",0,"1,818","2,524","1,970",83,"2,044","2,198",0,765,376,591,766,531,490,469,446,306,362,0
KS,20,State Senate District 27,"=""20027""","3,523",21,"3,523","7,507,709","1,144","928,203","1,993","2,558,901",300,248,302,"3,392","13,756,801",90,"123,905","3,002",0,"1,123","1,954","1,444",85,"1,734","1,487",0,674,325,517,565,380,371,352,335,261,273,0
KS,20,State Senate District 28,"=""20028""","7,906",159,"7,906","20,702,650","2,407","1,792,623","5,300","7,226,040",474,388,389,"7,780","35,920,045",119,"104,956","7,021",0,"3,613","3,927","3,677",303,"3,227","4,140",0,"1,111",680,"1,128","1,480","1,090",942,825,708,526,492,0
KS,20,State Senate District 29,"=""20029""","7,818",195,"7,818","20,353,859","2,015","1,481,971","4,986","6,767,108",340,375,348,"7,650","33,470,283",154,"142,458","6,746",0,"3,555","3,854","3,536",408,"3,635","3,605",0,"1,266",747,"1,319","1,638","1,105",849,740,568,408,339,0
