"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
KY,21,State Senate District 1,"=""21001""","9,960",63,"9,960","23,677,970","2,247","1,668,473","5,697","7,106,335",206,189,288,"9,587","39,822,929",218,"315,369","8,585",0,"4,303","3,900","5,861",126,"5,278","3,773",0,"2,283",920,"1,638","2,164","1,241",780,650,490,311,320,0
KY,21,State Senate District 2,"=""21002""","9,390",64,"9,390","22,078,737","2,158","1,572,503","5,399","6,503,261",320,199,322,"9,121","37,234,200",186,"222,629","8,198",0,"4,258","4,273","4,747",299,"4,771","3,737",0,"1,701","1,022","1,712","2,035","1,203",892,648,549,406,401,0
KY,21,State Senate District 3,"=""21003""","12,284",53,"12,284","31,944,132","3,355","2,590,770","8,197","11,271,185",545,371,594,"12,016","58,173,975",178,"223,588","11,198",0,"6,124","5,553","6,016",594,"6,252","5,108",0,"1,912",914,"1,906","2,171","1,479","1,266","1,187","1,037",800,711,14
KY,21,State Senate District 4,"=""21004""","9,269",53,"9,269","21,686,784","2,357","1,858,819","5,355","6,551,571",155,133,227,"8,984","38,724,119",131,"223,410","8,012",0,"4,238","3,360","5,535",185,"4,211","4,177",0,"1,481",826,"1,556","1,841","1,105",778,670,539,389,359,0
KY,21,State Senate District 5,"=""21005""","10,958",0,"10,958","26,673,916","2,692","2,072,536","6,508","8,453,084",160,161,289,"10,482","46,543,635",238,"369,721","9,279",0,"4,263","3,673","6,970",129,"6,711","3,348",0,"2,969",908,"1,643","2,070","1,336",855,804,610,496,558,0
KY,21,State Senate District 6,"=""21006""","9,184",21,"9,184","21,837,915","2,195","1,694,855","5,222","6,518,624",95,97,203,"8,908","37,583,859",125,"197,454","8,042",36,"4,524","2,765","6,105",110,"4,891","3,404",0,"1,563",772,"1,416","1,743",940,701,540,441,356,347,0
KY,21,State Senate District 7,"=""21007""","11,378",170,"11,378","26,416,293","2,892","2,164,808","6,582","8,253,566",630,459,600,"11,073","45,698,464",287,"221,919","9,691",0,"5,077","4,184","6,677",492,"6,379","4,035",0,"2,336","1,289","1,966","2,310","1,386","1,087","1,014",885,679,519,0
KY,21,State Senate District 8,"=""21008""","9,585",122,"9,585","22,391,331","2,501","1,874,839","5,484","6,993,905",449,234,453,"9,332","39,617,145",192,"204,197","8,259",0,"3,629","3,833","4,645","1,030","4,762","4,006",0,"1,330",981,"1,588","1,937","1,137",970,828,743,467,458,0
KY,21,State Senate District 9,"=""21009""","12,000",46,"12,000","29,377,836","2,867","2,210,604","7,117","8,966,237",266,320,417,"11,481","49,495,293",387,"416,692","10,280",0,"5,222","3,030","8,610",169,"7,554","3,559",0,"3,604","1,124","1,907","2,470","1,459","1,035",929,879,626,575,0
KY,21,State Senate District 10,"=""21010""","11,489",105,"11,489","27,369,753","3,047","2,286,253","6,956","8,955,409",572,458,590,"11,185","49,323,077",213,"258,034","10,350",0,"5,182","5,641","5,397",354,"5,450","4,958",0,"1,866","1,031","1,903","2,315","1,431","1,141","1,030",811,682,650,0
