"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
LA,22,State Senate District 1,"=""22001""","12,111",142,"12,111","31,953,571","2,901","2,164,829","7,537","9,565,745",746,563,566,"11,709","50,673,050",376,"361,818","10,803",108,"5,874","6,272","5,628",103,"6,899","4,358",0,"3,533",897,"1,973","2,745","1,777","1,225","1,055",897,654,486,0
LA,22,State Senate District 2,"=""22002""","13,395",148,"13,395","39,685,700","2,941","2,015,188","8,598","10,591,856",824,861,323,"13,214","62,837,334",85,"155,228","12,366",8,"7,611","6,743","6,387",162,"7,822","5,031",0,"3,435",604,"1,868","3,104","2,577","1,656","1,200",897,526,217,0
LA,22,State Senate District 3,"=""22003""","18,581",401,"18,581","54,475,974","3,595","2,459,357","11,971","15,248,167","1,197","1,169",621,"18,040","83,800,799",500,"494,780","16,836",551,"10,035","7,838","10,070",570,"10,731","6,851",0,"5,903","1,123","3,091","4,917","3,289","2,034","1,590","1,213",758,394,0
LA,22,State Senate District 4,"=""22004""","17,402",388,"17,402","50,331,969","2,982","1,930,187","10,811","13,632,519","1,031","1,197",657,"16,951","77,094,878",438,"371,944","15,956",611,"9,770","7,652","8,951",747,"9,960","6,390",0,"5,315","1,147","3,104","4,895","3,135","1,851","1,348",991,579,224,0
LA,22,State Senate District 5,"=""22005""","10,705",243,"10,705","27,627,819","1,634","1,032,530","5,796","7,128,228",495,585,483,"10,310","42,354,144",367,"284,369","9,498",427,"5,739","4,821","5,314",531,"5,786","3,971",0,"2,930","1,043","2,152","3,004","1,744","1,022",739,477,302,85,0
LA,22,State Senate District 6,"=""22006""","12,613",197,"12,613","36,295,102","2,707","1,935,072","8,099","10,512,213",917,642,568,"12,306","56,203,485",282,"272,644","11,319",14,"6,747","5,701","6,718",142,"7,886","4,174",0,"3,572",732,"1,912","3,079","2,316","1,334","1,157",888,607,425,0
LA,22,State Senate District 7,"=""22007""","14,350",320,"14,350","41,668,294","3,057","2,066,115","9,331","12,015,739",969,999,526,"13,929","65,569,086",409,"388,886","12,966",462,"7,609","5,905","8,152",280,"8,225","5,424",0,"4,506",851,"2,180","3,538","2,522","1,687","1,311","1,005",652,386,0
LA,22,State Senate District 8,"=""22008""","16,394",321,"16,394","46,599,793","3,656","2,594,419","10,579","13,393,959","1,029",977,494,"15,757","73,221,874",579,"653,021","14,556",487,"8,289","6,325","9,799",192,"9,548","5,989",0,"5,191",906,"2,416","3,910","2,763","1,858","1,524","1,213",713,459,0
LA,22,State Senate District 9,"=""22009""","9,212",168,"9,212","21,171,256","1,887","1,332,684","4,857","6,007,833",695,538,438,"8,628","33,664,143",576,"493,238","7,661",171,"3,897","4,046","4,891",216,"5,185","3,209",0,"2,927",959,"1,669","2,238","1,290",909,781,652,414,237,0
LA,22,State Senate District 10,"=""22010""","10,750",207,"10,750","27,854,706","2,370","1,677,775","6,379","8,114,329",888,600,460,"10,167","43,462,329",570,"515,114","9,175",200,"4,841","4,242","6,304",178,"6,366","3,655",0,"3,471",800,"1,717","2,533","1,684","1,147",949,832,559,372,0
LA,22,State Senate District 11,"=""22011""","8,325",26,"8,325","20,609,634","2,071","1,569,473","4,828","6,125,445",581,337,488,"7,946","32,566,608",364,"383,659","7,217",0,"3,638","4,057","4,109",98,"4,933","2,829",0,"2,525",672,"1,315","1,866","1,207",831,724,616,500,405,0
LA,22,State Senate District 12,"=""22012""","13,540",214,"13,540","40,346,475","2,872","1,990,424","8,816","11,414,831",516,479,379,"13,209","61,040,914",290,"288,314","12,221",0,"7,884","5,398","7,956",13,"8,308","4,536",0,"4,003",779,"2,081","3,451","2,488","1,464","1,107",839,554,466,0
LA,22,State Senate District 13,"=""22013""","10,383",98,"10,383","26,885,638","2,764","2,162,220","6,536","8,287,962",768,373,508,"10,070","43,547,510",272,"303,123","9,303",0,"5,036","5,269","4,976",66,"6,501","3,338",0,"2,810",715,"1,601","2,288","1,474","1,017",959,880,686,588,0
LA,22,State Senate District 14,"=""22014""","16,239",346,"16,239","50,171,873","2,693","1,655,642","10,269","13,063,005",797,958,412,"16,026","73,395,129",199,"158,927","15,011",255,"9,901","6,712","8,859",569,"9,888","5,564",0,"4,589",920,"2,869","4,670","3,005","1,791","1,249",817,450,196,0
LA,22,State Senate District 15,"=""22015""","17,546",265,"17,546","53,407,874","3,629","2,429,500","11,622","14,800,096","1,336","1,225",613,"17,255","81,460,936",253,"281,642","16,078",179,"10,071","8,252","8,824",456,"11,008","5,973",0,"5,292",793,"2,540","4,391","3,197","2,200","1,756","1,264",826,395,0
LA,22,State Senate District 16,"=""22016""","9,765",206,"9,765","25,912,982","2,019","1,381,874","5,857","7,391,103",763,725,520,"9,445","40,688,778",306,"279,221","8,634",62,"4,860","4,953","4,488",235,"5,796","3,374",0,"2,730",712,"1,649","2,352","1,531","1,083",878,683,436,257,0
LA,22,State Senate District 17,"=""22017""","12,524",120,"12,524","36,285,467","2,874","2,024,690","7,914","9,842,713",649,533,226,"12,273","56,571,825",99,"189,618","11,251",0,"6,820","6,067","6,262",67,"7,693","4,293",0,"3,260",540,"1,633","2,851","2,107","1,475","1,109",772,509,174,0
