"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ME,23,State Senate District 1,"=""23001""","1,774",0,"1,774","3,048,440",472,"396,904",740,"945,294",108,50,203,"1,608","5,791,650",135,"182,540","1,388",0,488,"1,080",602,25,908,627,0,490,146,322,312,156,134,127,122,138,102,0
ME,23,State Senate District 2,"=""23002""","2,671",0,"2,671","5,437,479",778,"616,903","1,374","1,643,750",124,25,151,"2,486","9,685,643",134,"180,471","2,144",0,863,"1,489","1,057",26,"1,358","1,028",0,719,223,342,532,234,224,188,152,91,134,0
ME,23,State Senate District 3,"=""23003""","3,232",0,"3,232","6,939,017",947,"697,110","1,797","2,219,253",193,49,215,"3,077","12,274,305",120,"175,150","2,669",0,"1,176","1,888","1,184",111,"1,414","1,501",0,616,329,535,612,375,281,301,242,171,129,0
ME,23,State Senate District 4,"=""23004""","2,529",29,"2,529","5,081,394",634,"449,647","1,230","1,429,385",175,118,187,"2,392","8,556,697",136,"111,239","2,015",0,880,"1,480",889,134,"1,152","1,057",0,559,297,445,557,291,260,235,179,115,85,0
ME,23,State Senate District 5,"=""23005""","2,757",5,"2,757","5,230,774",733,"558,875","1,286","1,514,036",193,130,188,"2,601","9,162,228",155,"135,242","2,218",0,963,"1,623",987,120,"1,295","1,102",0,638,324,466,588,278,255,269,198,194,138,0
ME,23,State Senate District 6,"=""23006""","2,223",27,"2,223","4,336,250",568,"425,365","1,077","1,298,335",145,119,185,"2,094","7,550,058",120,"116,786","1,756",0,677,"1,274",835,91,"1,084",861,0,538,244,370,439,217,190,209,204,135,111,0
ME,23,State Senate District 7,"=""23007""","2,111",29,"2,111","4,091,498",526,"399,207",987,"1,160,309",140,97,181,"1,977","6,876,574",133,"149,569","1,651",0,671,"1,231",773,98,"1,074",813,0,539,269,365,463,213,184,201,161,96,93,0
ME,23,State Senate District 8,"=""23008""","3,171",214,"3,171","5,755,553",506,"338,450","1,282","1,627,677",96,153,248,"3,013","9,603,300",129,"114,137","2,341",0,976,"1,679","1,166",255,"1,579","1,091",0,660,500,745,825,278,228,182,135,92,62,0
ME,23,State Senate District 9,"=""23009""","2,851",126,"2,851","6,128,264",613,"440,562","1,460","1,802,836",127,151,213,"2,727","10,145,038",124,"110,395","2,201",0,938,"1,512","1,164",175,"1,454","1,088",0,659,359,577,677,308,257,223,206,139,99,0
ME,23,State Senate District 10,"=""23010""","1,888",0,"1,888","3,566,139",480,"388,493",870,"1,073,387",101,100,146,"1,752","6,303,040",128,"152,319","1,493",0,528,"1,106",627,140,988,715,0,516,174,347,375,201,146,106,149,116,110,0
ME,23,State Senate District 11,"=""23011""","1,392",0,"1,392","2,594,870",364,"283,893",630,"755,276",97,42,148,"1,274","4,486,079",89,"114,329","1,073",0,394,820,507,24,805,473,0,443,147,233,293,77,108,96,100,57,27,0
ME,23,State Senate District 12,"=""23012""","2,549",0,"2,549","5,220,317",827,"636,233","1,351","1,645,707",217,54,183,"2,432","9,402,545",77,"107,505","2,149",0,913,"1,548",912,45,"1,245","1,019",0,603,250,368,408,249,238,252,211,165,151,0
ME,23,State Senate District 13,"=""23013""","3,548",0,"3,548","7,571,687",947,"736,323","1,911","2,275,305",136,22,130,"3,341","12,942,141",88,"202,193","2,923",0,"1,232","1,932","1,469",72,"1,717","1,480",0,844,337,545,615,392,292,282,215,135,148,0
ME,23,State Senate District 14,"=""23014""","3,217",0,"3,217","6,886,121",712,"547,394","1,651","2,048,346",22,43,73,"3,027","11,635,838",52,"157,309","2,583",0,"1,086","1,532","1,526",1,"1,474","1,318",0,700,308,428,587,306,218,133,159,3,29,0
ME,23,State Senate District 15,"=""23015""","3,013",25,"3,013","6,569,036",868,"628,564","1,664","2,050,027",213,83,198,"2,887","11,280,811",76,"101,896","2,570",0,"1,175","1,663","1,121",161,"1,459","1,253",0,567,336,473,537,322,353,282,282,154,149,0
ME,23,State Senate District 16,"=""23016""","3,615",121,"3,615","9,102,222",809,"566,909","2,206","2,810,696",220,123,193,"3,546","14,564,893",63,"67,583","3,156",0,"1,594","1,679","1,604",291,"1,796","1,485",0,542,439,637,730,474,395,297,226,173,125,0
ME,23,State Senate District 17,"=""23017""","3,189",0,"3,189","7,030,539","1,011","762,501","1,840","2,264,337",230,21,166,"3,048","12,446,889",53,"121,347","2,707",0,"1,233","1,816","1,218",47,"1,447","1,471",0,611,276,447,500,389,319,351,260,136,117,0
ME,23,State Senate District 18,"=""23018""","2,861",0,"2,861","6,114,710",737,"593,981","1,464","1,834,931",42,37,61,"2,653","10,371,965",49,"172,807","2,278",0,946,"1,390","1,260",0,"1,266","1,148",0,691,154,311,451,185,132,153,98,47,42,0
ME,23,State Senate District 19,"=""23019""","2,676",0,"2,676","5,444,991",719,"561,100","1,371","1,648,299",96,88,108,"2,483","9,082,654",91,"178,470","2,162",0,855,"1,614",871,131,"1,347","1,073",0,705,283,460,506,255,219,192,142,121,89,0
ME,23,State Senate District 20,"=""23020""","2,957",0,"2,957","6,038,077",728,"567,528","1,439","1,803,210",29,0,63,"2,634","9,695,746",151,"340,041","2,154",0,878,"1,515","1,214",21,"1,674",923,0,"1,108",170,431,577,252,150,147,52,45,29,0
ME,23,State Senate District 21,"=""23021""","2,807",0,"2,807","5,823,079",807,"630,670","1,514","1,876,495",182,72,158,"2,681","10,458,168",53,"118,350","2,376",0,949,"1,765",961,31,"1,242","1,255",0,588,242,362,510,260,248,228,157,145,141,0
ME,23,State Senate District 22,"=""23022""","2,894",0,"2,894","5,956,639",709,"542,990","1,468","1,836,505",110,27,65,"2,589","9,540,109",210,"376,954","2,154",0,902,"1,644","1,147",0,"1,663",945,0,979,227,397,605,252,183,155,116,60,87,0
