"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MI,26,State Senate District 1,"=""26001""","27,282",622,"27,282","78,924,971","4,302","2,893,066","17,272","22,042,778",875,"1,650",876,"26,794","113,707,796",400,"364,565","24,465",31,"16,270","10,899","15,574",725,"17,265","8,498",0,"9,535","2,189","5,668","8,309","4,143","2,300","1,722","1,355",877,476,0
MI,26,State Senate District 2,"=""26002""","32,684","1,081","32,684","105,046,397","4,578","2,894,265","22,399","30,143,041","1,028","1,967",738,"31,923","145,882,154",747,"653,770","29,159",62,"19,059","11,618","20,359",683,"21,734","9,619",0,"13,136","2,092","6,372","10,410","5,573","2,889","2,183","1,551",980,569,0
MI,26,State Senate District 3,"=""26003""","35,824","1,096","35,824","114,840,847","4,941","3,217,047","24,309","33,778,417","1,026","2,174",976,"35,070","160,463,530",739,"503,985","30,295",133,"17,596","11,724","23,422",661,"23,609","10,627",0,"14,095","2,572","6,641","11,083","6,231","3,071","2,339","1,782","1,179",812,30
MI,26,State Senate District 4,"=""26004""","29,512",730,"29,512","85,965,349","5,233","3,670,079","18,988","24,764,355","1,022","1,800",917,"29,039","126,138,977",456,"348,971","26,367",69,"16,827","11,353","17,410",749,"18,227","9,747",0,"9,815","2,222","5,677","8,562","4,580","2,640","2,109","1,722","1,142",792,0
MI,26,State Senate District 5,"=""26005""","34,695",716,"34,695","101,000,622","6,009","4,169,174","22,266","29,252,234","1,603","2,418","1,224","33,876","148,768,416",815,"632,592","30,516",106,"18,939","13,731","20,267",697,"21,641","11,195",0,"12,003","2,617","6,322","9,762","5,547","3,280","2,675","2,096","1,417",948,0
MI,26,State Senate District 6,"=""26006""","25,895",360,"25,895","63,207,682","6,417","4,811,048","15,344","19,061,733","1,247","1,727","1,289","25,055","104,068,387",811,"730,268","22,337",39,"11,997","11,502","13,964",360,"13,981","10,012",0,"6,522","2,187","4,500","5,991","3,500","2,556","2,342","2,074","1,438","1,169",0
MI,26,State Senate District 7,"=""26007""","12,616",97,"12,616","25,837,966","2,956","2,329,214","6,187","7,782,913",579,"1,008",864,"11,887","44,149,109",725,"637,346","9,953",0,"3,803","6,011","6,383",163,"7,305","4,217",0,"3,571","1,354","2,272","2,790","1,412","1,038","1,079",976,849,733,0
MI,26,State Senate District 8,"=""26008""","16,744",113,"16,744","35,275,198","4,063","3,167,041","8,424","10,556,433",735,"1,093",972,"15,725","59,427,805",977,"954,752","12,972",0,"5,064","7,253","9,175",184,"9,886","5,484",0,"4,789","1,796","2,975","3,626","1,850","1,494","1,441","1,270","1,020",925,0
MI,26,State Senate District 9,"=""26009""","30,850",531,"30,850","78,823,762","7,074","5,137,052","18,415","23,873,142","1,575","2,116","1,308","29,641","126,095,786","1,202","1,029,245","25,782",109,"13,227","12,996","17,305",528,"17,682","11,045",0,"8,482","2,452","5,212","7,146","4,334","3,226","2,933","2,382","1,735","1,308",0
MI,26,State Senate District 10,"=""26010""","18,627",480,"18,627","43,023,569","4,001","2,999,510","9,702","12,904,248",732,"1,365",915,"17,458","68,303,819","1,148","1,170,110","12,038",0,"4,216","6,403","12,018",126,"11,696","5,511",0,"5,812","1,836","3,244","4,135","2,299","1,824","1,636","1,395","1,124","1,046",0
MI,26,State Senate District 11,"=""26011""","22,413",418,"22,413","50,531,792","4,627","3,405,559","11,733","14,818,061","1,399","1,967","1,318","21,270","81,706,220","1,119","903,147","17,902",0,"9,195","9,768","12,105",494,"13,454","7,302",0,"7,005","2,346","4,075","5,196","2,758","2,101","1,932","1,697","1,245",854,0
MI,26,State Senate District 12,"=""26012""","17,006",252,"17,006","42,433,520","3,526","2,517,189","9,862","12,741,386",523,"1,015",826,"16,335","66,330,943",591,"587,682","14,195",0,"7,398","7,980","8,625",248,"9,602","6,005",0,"4,821","1,725","3,097","4,259","2,290","1,499","1,289","1,044",668,518,0
MI,26,State Senate District 13,"=""26013""","10,113",74,"10,113","17,507,237","2,030","1,608,855","3,980","5,014,454",386,839,899,"9,181","29,449,710",925,"869,447","6,915",0,"2,138","4,698","5,190",118,"6,172","2,948",0,"3,313","1,377","2,027","2,277",907,779,764,751,577,538,0
MI,26,State Senate District 14,"=""26014""","16,305",69,"16,305","35,235,264","4,143","3,222,176","8,622","10,802,997",769,993,"1,212","15,494","59,807,220",762,"688,602","13,573",6,"5,450","7,899","8,167",138,"9,026","5,896",0,"4,332","1,684","2,880","3,459","1,943","1,532","1,416","1,302",994,960,0
MI,26,State Senate District 15,"=""26015""","11,466",64,"11,466","23,327,732","2,531","1,964,386","5,525","7,061,689",441,830,785,"10,644","39,306,309",774,"793,858","8,373",0,"3,188","5,177","6,109",0,"6,796","3,684",0,"3,584","1,289","2,155","2,434","1,278","1,031",980,823,700,623,0
MI,26,State Senate District 16,"=""26016""","20,713",198,"20,713","49,390,141","5,438","4,188,686","12,281","16,170,265",558,727,892,"19,952","85,028,273",492,"609,917","17,931",139,"8,519","9,967","9,432","1,032","10,389","8,764",0,"4,152","1,991","3,302","4,162","2,570","1,780","1,607","1,437","1,058",892,0
MI,26,State Senate District 17,"=""26017""","17,011",86,"17,011","38,308,477","4,490","3,457,888","9,459","12,033,037",427,623,889,"16,374","66,730,721",420,"470,881","14,444",38,"5,841","7,575","8,789",458,"8,748","6,890",0,"3,414","1,696","2,823","3,463","1,848","1,450","1,358","1,185",935,783,0
MI,26,State Senate District 18,"=""26018""","15,888",267,"15,888","33,154,413","3,070","2,289,688","7,927","10,211,037",748,"1,098","1,280","15,088","54,223,829",762,"644,300","13,244",74,"6,406","8,030","7,564",217,"8,374","5,923",0,"4,171","2,070","3,333","3,753","1,702","1,272","1,169",999,748,599,0
MI,26,State Senate District 19,"=""26019""","21,406",262,"21,406","51,396,930","5,942","4,610,223","12,886","16,979,045",656,745,"1,034","20,771","89,074,991",493,"509,933","18,659",0,"8,746","10,743","10,245",288,"10,443","9,173",0,"4,140","1,970","3,355","4,159","2,723","1,908","1,828","1,597","1,213","1,194",0
MI,26,State Senate District 20,"=""26020""","19,130",313,"19,130","44,739,191","4,350","3,278,029","10,845","14,225,328",819,947,"1,288","18,566","74,060,591",498,"489,821","16,661",0,"8,151","10,940","7,416",629,"9,676","7,667",0,"3,860","2,043","3,510","4,236","2,372","1,743","1,633","1,229",893,885,0
MI,26,State Senate District 21,"=""26021""","24,227",283,"24,227","60,258,042","6,108","4,645,457","14,230","18,885,541",530,790,825,"23,498","102,922,425",523,"620,335","21,090",0,"11,041","13,263","10,378",365,"10,694","11,410",0,"4,242","2,227","3,943","5,113","3,484","2,244","1,948","1,644","1,178","1,192",0
MI,26,State Senate District 22,"=""26022""","10,986",9,"10,986","20,823,647","2,759","2,213,276","5,086","6,378,257",442,603,"1,005","10,255","36,398,746",641,"645,876","8,756",0,"3,121","5,989","4,736",64,"5,963","3,876",0,"2,978","1,315","2,004","2,247","1,130",963,901,822,667,669,0
MI,26,State Senate District 23,"=""26023""","20,885",447,"20,885","49,290,489","4,500","3,358,196","11,789","15,082,467",839,995,"1,320","20,210","79,864,755",605,"534,582","17,896",306,"8,610","9,632","10,370",776,"11,872","7,164",0,"4,784","2,302","3,977","4,971","2,676","1,822","1,574","1,397",993,868,0
MI,26,State Senate District 24,"=""26024""","18,214",111,"18,214","40,779,624","4,736","3,689,194","10,127","13,129,599",662,812,"1,204","17,476","71,147,269",545,"604,240","15,357",64,"6,411","8,306","9,342",425,"9,830","6,889",0,"4,229","1,810","2,981","3,632","2,102","1,591","1,493","1,345",994,"1,053",0
MI,26,State Senate District 25,"=""26025""","19,898",70,"19,898","44,349,379","4,720","3,658,175","10,735","13,791,486",319,538,882,"18,950","75,645,426",558,"754,735","16,430",88,"7,023","8,437","11,068",171,"10,878","7,202",0,"4,919","2,053","3,387","4,061","2,030","1,635","1,358","1,121",737,798,0
MI,26,State Senate District 26,"=""26026""","22,640",225,"22,640","53,057,048","6,484","5,054,749","13,411","17,812,108",738,913,"1,250","21,762","92,935,090",685,"836,799","19,098",0,"8,727","10,504","11,411",620,"11,364","9,530",0,"4,766","2,133","3,567","4,366","2,790","2,291","2,179","1,864","1,418","1,508",0
MI,26,State Senate District 27,"=""26027""","29,747",625,"29,747","82,367,165","5,113","3,540,939","18,650","23,656,989",691,"1,298","1,238","29,042","120,824,587",668,"503,901","26,528",16,"15,272","12,951","16,300",381,"17,140","10,449",0,"8,803","2,847","5,968","8,219","4,419","2,683","1,997","1,430","1,081",893,0
MI,26,State Senate District 28,"=""26028""","19,534",232,"19,534","44,020,689","5,961","4,649,156","11,348","15,051,911",884,"1,093","1,530","18,791","78,858,120",694,"735,183","16,506",0,"6,624","9,290","9,498",701,"9,871","8,246",0,"4,054","1,760","2,956","3,656","2,314","2,038","1,959","1,792","1,431","1,481",0
MI,26,State Senate District 29,"=""26029""","22,639",574,"22,639","55,289,577","5,404","4,010,669","13,442","17,866,117",807,"1,155","1,531","21,873","90,444,576",733,"669,715","18,974",0,"9,142","10,659","10,369","1,500","11,638","9,144",0,"4,863","2,329","3,997","5,133","2,963","2,257","1,874","1,616","1,152","1,104",0
MI,26,State Senate District 30,"=""26030""","15,203",110,"15,203","33,282,185","5,183","4,266,515","8,897","12,109,960",738,912,"1,275","14,648","63,079,214",485,"563,701","12,957",0,"4,938","7,557","7,320",270,"7,518","6,613",0,"3,050","1,292","2,041","2,578","1,596","1,501","1,585","1,504","1,244","1,425",28
MI,26,State Senate District 31,"=""26031""","19,883",65,"19,883","43,975,478","4,812","3,614,543","10,588","13,423,935",412,696,"1,053","19,068","75,461,415",644,"643,401","16,676",0,"6,507","9,010","10,430",304,"10,409","7,690",0,"4,422","2,147","3,356","4,124","2,401","1,712","1,518","1,331","1,016",914,0
MI,26,State Senate District 32,"=""26032""","22,734",233,"22,734","56,729,942","4,828","3,580,477","13,309","16,727,558",666,991,"1,191","22,045","90,690,433",551,"542,319","19,813",71,"9,586","11,315","10,703",543,"11,988","8,986",0,"5,537","2,256","4,217","5,590","3,027","1,995","1,650","1,266",976,952,0
MI,26,State Senate District 33,"=""26033""","19,056",52,"19,056","42,827,916","4,505","3,468,856","10,609","13,721,866",269,457,984,"18,282","74,506,797",453,"661,648","16,223",33,"6,606","8,986","9,495",235,"9,342","7,953",0,"4,199","2,065","3,301","3,832","2,150","1,517","1,315","1,113",913,900,0
MI,26,State Senate District 34,"=""26034""","23,917",240,"23,917","58,985,511","6,046","4,498,211","14,366","18,591,437",756,945,"1,172","23,190","98,892,632",587,"570,967","20,797",0,"10,059","11,798","11,444",510,"11,502","10,447",0,"4,891","2,441","4,026","4,984","3,094","2,358","2,023","1,664","1,296","1,217",0
MI,26,State Senate District 35,"=""26035""","21,779",22,"21,779","48,335,400","4,842","3,705,773","11,757","15,241,662",360,394,852,"20,750","82,238,657",565,"753,752","18,328",0,"8,037","10,877","10,279",266,"11,009","8,599",0,"5,186","2,238","3,710","4,439","2,472","1,726","1,550","1,066",750,836,0
MI,26,State Senate District 36,"=""26036""","19,252",29,"19,252","40,779,651","4,150","3,207,093","9,879","12,483,716",390,453,853,"18,342","69,931,033",559,"628,087","16,272",0,"6,416","9,514","9,052",375,"9,056","7,947",0,"4,378","2,063","3,328","4,006","2,174","1,393","1,222",928,745,736,0
MI,26,State Senate District 37,"=""26037""","20,377",0,"20,377","43,036,750","5,112","3,858,376","10,570","13,532,324",693,514,984,"19,365","74,884,681",722,"786,290","17,312",0,"6,934","8,832","10,289",695,"10,483","7,501",0,"4,994","1,977","3,208","4,208","2,196","1,729","1,496","1,228",896,872,0
MI,26,State Senate District 38,"=""26038""","18,245",0,"18,245","36,141,131","3,969","3,127,048","8,805","11,235,378",381,510,"1,054","17,527","64,928,280",292,"473,511","15,209",0,"4,834","9,145","8,055",78,"8,583","6,834",0,"2,987","1,983","2,963","3,362","1,644","1,204","1,046",875,591,668,0
