"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MN,27,State Senate District 1,"=""27001""","5,207",0,"5,207","11,141,535","1,663","1,393,652","2,914","4,045,317",350,86,303,"4,941","20,372,788",35,"215,140","4,144",0,"1,450","1,497","3,094",66,"2,652","1,703",0,968,410,476,570,313,315,350,365,257,182,0
MN,27,State Senate District 2,"=""27002""","7,131",44,"7,131","16,799,228","1,911","1,492,851","4,293","5,913,097",261,35,275,"6,813","28,208,436",157,"305,597","6,020",0,"2,856","2,442","3,930",405,"4,099","2,436",0,"1,464",679,"1,006","1,039",703,517,463,375,274,244,0
MN,27,State Senate District 3,"=""27003""","4,316",0,"4,316","8,305,916","1,035","777,559","2,034","2,591,485",202,89,308,"4,074","14,310,307",171,"166,199","3,381",0,"1,089","1,916","1,691",464,"2,253","1,503",0,960,499,738,806,394,273,242,230,169,152,0
MN,27,State Senate District 4,"=""27004""","5,183",61,"5,183","11,017,212","1,410","1,116,509","2,815","3,833,447",394,175,503,"4,954","19,714,906",133,"230,664","4,342",0,"1,458","2,108","2,432",425,"3,045","1,646",0,918,598,718,813,411,429,431,384,223,208,0
MN,27,State Senate District 5,"=""27005""","6,391",46,"6,391","14,114,578","1,645","1,254,067","3,523","4,718,123",304,125,443,"6,123","23,837,933",164,"233,576","5,260",0,"2,385","2,336","3,449",421,"3,423","2,360",0,"1,162",752,"1,049","1,109",665,548,490,401,284,261,0
MN,27,State Senate District 6,"=""27006""","5,535",0,"5,535","11,184,574","1,301","995,249","2,748","3,342,339",217,88,274,"5,311","18,972,916",65,"161,308","4,356",0,"1,671","2,825","2,035",320,"2,871","1,971",0,700,577,839,982,440,362,263,247,146,127,0
MN,27,State Senate District 7,"=""27007""","5,351",0,"5,351","10,277,969","1,213","908,340","2,627","3,173,858",323,217,558,"5,180","17,575,003",113,"133,608","4,408",0,"1,746","2,953","1,542",830,"2,430","2,271",0,803,760,"1,096","1,180",557,468,396,323,253,221,0
MN,27,State Senate District 8,"=""27008""","5,494",0,"5,494","11,248,357","1,458","1,161,757","2,854","3,902,571",297,104,394,"5,130","19,622,179",191,"374,356","4,337",0,"1,165","1,705","3,043",493,"3,340","1,651",0,"1,422",550,736,864,425,391,360,311,229,260,0
MN,27,State Senate District 9,"=""27009""","5,988",0,"5,988","12,623,855","1,542","1,197,793","3,158","4,429,468",307,118,316,"5,576","21,726,491",228,"395,149","4,610",0,"1,257","2,051","3,458",317,"3,561","1,950",0,"1,921",673,797,903,536,413,429,310,248,291,0
MN,27,State Senate District 10,"=""27010""","5,879",0,"5,879","12,397,372","1,509","1,164,610","3,085","4,071,677",322,187,386,"5,540","20,970,658",244,"293,370","4,846",0,"1,711","2,768","2,565",403,"3,507","1,864",0,"1,433",617,831,"1,066",576,489,437,331,248,238,0
MN,27,State Senate District 11,"=""27011""","5,508",0,"5,508","11,612,944","1,542","1,179,996","2,975","3,864,631",212,117,277,"5,214","19,885,288",179,"276,480","4,444",0,"1,691","2,364","2,634",266,"2,937","1,983",0,"1,037",546,762,862,460,400,375,348,191,184,0
MN,27,State Senate District 12,"=""27012""","4,338",0,"4,338","8,929,005","1,146","937,870","2,224","3,174,627",187,19,223,"3,983","15,850,961",165,"355,698","3,259",0,826,"1,294","2,457",172,"2,492","1,272",0,"1,174",377,464,497,185,206,228,189,59,183,0
MN,27,State Senate District 13,"=""27013""","4,110",14,"4,110","8,253,149","1,253","1,016,444","2,209","2,895,640",441,139,440,"3,886","15,114,359",115,"203,376","3,328",0,858,"1,770","2,080",189,"2,400","1,438",0,"1,016",416,577,700,370,340,336,357,241,292,0
MN,27,State Senate District 14,"=""27014""","7,359",308,"7,359","16,420,688","1,886","1,397,329","4,130","5,458,147",456,348,606,"7,130","27,558,566",218,"206,692","6,090",0,"1,776","2,896","3,794",620,"4,096","2,651",0,"1,265",997,"1,274","1,477",841,722,698,570,353,328,0
MN,27,State Senate District 15,"=""27015""","4,941",1,"4,941","10,554,210","1,451","1,173,160","2,776","3,654,711",365,182,414,"4,677","18,400,602",172,"248,051","4,036",0,"1,241","2,202","2,431",136,"2,921","1,656",0,"1,312",532,700,809,513,427,429,383,286,323,0
MN,27,State Senate District 16,"=""27016""","5,072",34,"5,072","10,810,267","1,338","1,055,169","2,724","3,745,280",339,110,346,"4,761","19,153,819",128,"297,512","3,884",0,"1,167","1,404","3,071",214,"2,915","1,536",0,"1,018",512,593,721,391,353,287,224,173,134,0
MN,27,State Senate District 17,"=""27017""","5,973",138,"5,973","13,438,590","1,703","1,358,484","3,400","4,603,474",266,61,266,"5,713","23,688,476",89,"266,861","4,779",0,"1,797","1,934","3,712",130,"3,050","2,413",0,"1,017",554,717,822,497,393,424,346,198,186,0
MN,27,State Senate District 18,"=""27018""","4,866",0,"4,866","10,278,910","1,520","1,210,149","2,662","3,661,116",253,130,276,"4,584","18,348,692",150,"299,165","3,879",0,"1,456","1,717","2,967",3,"2,782","1,641",0,"1,073",352,558,695,351,326,341,319,236,221,0
MN,27,State Senate District 19,"=""27019""","5,239",87,"5,239","10,016,834","1,158","916,829","2,512","3,291,484",415,252,484,"5,047","17,508,508",157,"179,724","4,133",0,"1,344","2,133","2,465",560,"3,077","1,659",0,845,792,993,955,503,380,412,326,274,203,0
MN,27,State Senate District 20,"=""27020""","3,680",7,"3,680","7,731,423","1,161","913,959","2,092","2,748,628",322,106,315,"3,452","13,669,904",144,"242,264","2,967",0,947,"1,704","1,801",84,"2,055","1,309",0,863,323,467,555,339,367,326,269,256,211,0
MN,27,State Senate District 21,"=""27021""","4,493",0,"4,493","9,076,581","1,328","1,062,078","2,385","3,051,047",297,71,305,"4,235","16,175,010",75,"222,864","3,597",0,"1,230","1,791","2,437",108,"2,498","1,591",0,985,467,507,662,413,328,344,289,157,168,0
MN,27,State Senate District 22,"=""27022""","5,414",48,"5,414","12,240,569","1,733","1,473,292","3,086","4,592,069",241,61,216,"5,070","22,921,104",78,"327,168","4,097",0,"1,076","1,262","3,568",172,"2,633","2,036",0,"1,041",381,406,545,378,352,302,363,274,201,0
MN,27,State Senate District 23,"=""27023""","5,445",6,"5,445","11,642,166","1,512","1,184,483","2,908","3,929,619",268,76,299,"5,145","20,747,630",58,"246,991","4,376",0,"1,380","1,808","3,057",180,"2,940","1,843",0,"1,086",477,652,745,365,302,340,319,108,105,0
MN,27,State Senate District 24,"=""27024""","5,895",147,"5,895","13,263,459","1,820","1,389,662","3,489","4,606,217",484,214,401,"5,633","23,225,292",218,"226,180","4,747",0,"1,713","2,246","3,448",165,"3,114","2,362",0,"1,071",633,817,"1,010",663,609,609,455,371,313,0
MN,27,State Senate District 25,"=""27025""","4,642",69,"4,642","10,124,844","1,396","1,079,468","2,652","3,580,521",431,307,455,"4,458","18,153,042",138,"188,340","3,850",0,996,"1,942","2,331",316,"2,773","1,542",0,840,445,697,785,539,492,460,410,322,275,0
MN,27,State Senate District 26,"=""27026""","4,949",82,"4,949","10,844,424","1,433","1,080,134","2,754","3,719,070",395,215,396,"4,781","18,901,213",126,"144,092","4,069",0,"1,138","1,982","2,504",437,"3,005","1,594",0,893,550,781,870,539,524,458,396,303,245,0
MN,27,State Senate District 27,"=""27027""","6,343",63,"6,343","13,886,745","1,937","1,529,414","3,589","4,941,933",377,152,304,"6,091","25,505,306",120,"224,016","5,152",0,"1,430","1,976","3,610",492,"3,795","2,018",0,941,568,867,904,564,498,476,505,356,250,0
MN,27,State Senate District 28,"=""27028""","4,453",0,"4,453","8,607,458","1,054","822,588","2,131","2,828,899",288,95,270,"4,139","15,042,249",157,"268,448","3,559",0,986,"1,700","2,318",275,"2,688","1,301",0,"1,209",562,585,716,319,247,238,202,121,140,0
MN,27,State Senate District 29,"=""27029""","4,149",0,"4,149","8,309,713","1,305","1,069,272","2,244","2,942,924",381,129,438,"3,905","14,981,413",160,"207,723","3,292",0,"1,083","1,952","2,036",106,"2,353","1,494",0,957,470,583,725,408,378,403,311,291,291,0
MN,27,State Senate District 30,"=""27030""","3,482",0,"3,482","7,190,712","1,181","958,507","1,948","2,570,398",395,234,433,"3,301","12,886,031",174,"192,609","2,917",0,811,"1,718","1,647",84,"2,059","1,195",0,902,331,465,558,355,339,347,383,324,271,0
