"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MO,29,State Senate District 1,"=""29001""","10,631",67,"10,631","21,423,113","2,973","2,337,789","5,290","6,533,755",578,691,831,"9,880","36,844,703",747,"927,658","7,961",0,"2,907","5,495","4,906",217,"5,742","3,942",0,"2,720","1,048","1,721","2,246","1,215",992,992,969,742,653,0
MO,29,State Senate District 2,"=""29002""","9,078",43,"9,078","19,590,796","2,844","2,294,237","5,077","6,569,706",770,578,780,"8,736","36,089,440",312,"337,870","7,622",0,"2,776","5,367","3,587",83,"4,712","3,642",0,"1,981",742,"1,348","1,690",968,953,931,916,706,643,0
MO,29,State Senate District 3,"=""29003""","15,524",22,"15,524","36,931,747","3,946","2,969,390","9,084","11,663,925",445,369,524,"15,120","64,861,851",216,"335,719","12,944",0,"5,506","6,916","8,191",175,"8,024","6,070",0,"2,715","1,452","2,396","3,038","1,855","1,346","1,234",989,751,756,0
MO,29,State Senate District 4,"=""29004""","17,553",417,"17,553","43,748,034","3,577","2,441,909","10,042","12,344,225",690,941,838,"16,968","67,627,552",556,"474,997","14,678",0,"7,646","9,454","7,285",785,"8,965","7,151",0,"3,938","1,722","3,479","4,538","2,447","1,742","1,447","1,031",663,378,0
MO,29,State Senate District 5,"=""29005""","24,196",705,"24,196","67,316,396","4,500","2,821,280","15,395","19,189,377",760,"1,119",787,"23,622","100,497,565",512,"407,317","21,020",0,"11,958","12,981","10,189",966,"11,785","10,472",0,"5,297","2,096","4,822","6,748","3,738","2,492","1,836","1,257",692,305,0
MO,29,State Senate District 6,"=""29006""","14,225",81,"14,225","33,577,452","3,714","2,893,103","8,425","11,198,913",775,463,670,"13,732","59,435,754",251,"426,426","11,959",0,"4,683","7,270","6,563",75,"7,150","5,766",0,"3,032","1,139","2,008","2,456","1,644","1,233","1,232",917,645,652,0
MO,29,State Senate District 7,"=""29007""","14,297",254,"14,297","33,027,598","3,355","2,503,082","8,069","10,482,683",773,706,769,"13,750","54,002,386",498,"439,929","12,119",17,"6,052","7,897","5,778",537,"7,262","5,696",0,"2,711","1,489","2,678","3,201","1,689","1,373","1,287","1,061",711,415,0
MO,29,State Senate District 8,"=""29008""","9,753",0,"9,753","21,955,407","3,255","2,590,943","5,741","7,410,905",864,616,788,"9,399","39,314,804",310,"374,941","8,402",0,"3,204","5,452","4,091",145,"5,258","3,815",0,"1,978",819,"1,344","1,674","1,161","1,013","1,041","1,017",779,746,0
MO,29,State Senate District 9,"=""29009""","22,852",666,"22,852","60,713,451","5,526","3,868,521","14,738","18,769,392","1,109",876,731,"22,441","95,615,808",359,"305,297","19,806",26,"11,305","11,518","10,276","1,022","11,369","9,783",0,"3,719","2,140","4,143","5,204","3,293","2,524","2,190","1,660","1,006",559,0
MO,29,State Senate District 10,"=""29010""","14,443",23,"14,443","33,916,466","4,278","3,358,069","8,725","11,510,567",673,352,596,"13,983","61,510,945",208,"420,919","12,248",0,"5,500","7,589","6,306",178,"6,605","6,346",0,"2,479","1,282","2,008","2,483","1,539","1,277","1,220","1,162",767,794,0
MO,29,State Senate District 11,"=""29011""","16,605",289,"16,605","41,060,767","4,836","3,666,626","10,466","13,646,505",862,600,595,"16,205","70,209,126",319,"335,076","14,217",0,"6,875","8,640","7,471",424,"8,088","7,255",0,"2,592","1,570","2,649","3,286","2,201","1,762","1,663","1,438",983,816,0
MO,29,State Senate District 12,"=""29012""","12,346",7,"12,346","27,687,600","3,435","2,840,620","6,870","9,426,678",376,300,441,"11,709","50,488,158",196,"580,250","10,112",0,"3,893","4,604","6,643",191,"6,548","4,253",0,"2,585",914,"1,374","1,713",960,823,754,729,558,511,0
MO,29,State Senate District 13,"=""29013""","21,312",316,"21,312","57,432,264","5,737","4,051,241","14,057","17,888,254","1,763","1,674","1,053","20,953","94,287,557",356,"270,193","19,202",0,"9,529","12,856","7,862",577,"10,543","9,574",0,"4,128","1,434","3,163","4,544","3,150","2,576","2,411","2,008","1,221",732,0
MO,29,State Senate District 14,"=""29014""","23,388",468,"23,388","64,506,147","5,508","3,734,910","15,190","18,987,088","1,418","1,426",923,"22,998","101,435,432",372,"291,767","20,937",0,"11,206","13,573","9,020",785,"11,134","10,838",0,"4,387","1,785","3,983","5,464","3,646","2,818","2,310","1,721","1,026",519,0
MO,29,State Senate District 15,"=""29015""","6,562",35,"6,562","12,719,610","1,656","1,289,633","3,103","3,875,307",353,452,577,"6,183","22,358,734",363,"329,682","5,047",0,"1,762","3,708","2,714",105,"3,565","2,356",0,"1,640",763,"1,138","1,379",675,551,526,546,445,378,0
MO,29,State Senate District 16,"=""29016""","15,949",44,"15,949","37,728,808","4,371","3,391,433","9,753","13,267,791",664,722,832,"15,398","67,914,152",401,"510,142","13,785",0,"6,178","7,679","7,556",471,"7,617","6,850",0,"3,516","1,392","2,403","2,880","1,895","1,494","1,395","1,156","1,000","1,144",0
MO,29,State Senate District 17,"=""29017""","12,846",118,"12,846","29,174,433","4,145","3,295,755","7,601","9,734,953",904,642,821,"12,419","51,868,399",394,"427,099","10,892",22,"4,710","6,548","5,873",327,"6,398","5,369",0,"2,384","1,120","1,872","2,379","1,466","1,415","1,377","1,250",928,818,0
