"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MT,30,State Senate District 1,"=""30001""","1,518",0,"1,518","3,245,181",318,"253,486",750,"1,012,205",0,0,33,"1,409","5,084,644",88,"90,812","1,199",0,502,773,661,0,674,626,0,370,172,268,316,159,105,84,71,33,65,0
MT,30,State Senate District 2,"=""30002""","1,767",0,"1,767","3,791,405",407,"314,952",906,"1,239,479",86,45,102,"1,672","6,055,855",85,"94,006","1,462",0,543,917,761,66,921,608,0,475,151,325,372,172,142,135,116,90,97,1
MT,30,State Senate District 3,"=""30003""","1,898",0,"1,898","4,241,046",484,"371,270","1,062","1,459,330",107,50,114,"1,801","6,897,514",89,"93,596","1,593",0,611,976,805,83,"1,046",649,0,492,163,304,381,208,170,168,145,112,113,6
MT,30,State Senate District 4,"=""30004""","1,670",0,"1,670","3,794,573",461,"346,239",968,"1,323,756",108,47,110,"1,585","6,242,219",85,"80,509","1,411",0,558,891,694,85,942,584,0,406,155,275,318,208,168,168,147,113,109,9
MT,30,State Senate District 5,"=""30005""","2,274",0,"2,274","4,890,449",587,"443,928","1,211","1,697,571",66,29,97,"2,103","7,913,659",131,"135,367","1,822",0,666,"1,168",989,53,"1,359",714,0,703,222,370,478,257,185,160,151,98,100,5
MT,30,State Senate District 6,"=""30006""","1,883",0,"1,883","4,513,156",463,"350,955","1,109","1,475,065",55,22,61,"1,795","7,175,989",62,"72,460","1,552",0,744,807,968,56,928,752,0,450,191,268,372,211,154,141,110,92,59,0
MT,30,State Senate District 7,"=""30007""","1,605",0,"1,605","3,429,650",345,"269,692",793,"1,132,601",6,4,9,"1,508","5,472,319",3,"83,905","1,323",0,527,908,648,4,788,553,0,425,80,228,286,129,45,37,30,6,5,0
MT,30,State Senate District 8,"=""30008""","2,597",30,"2,597","6,845,336",709,"561,093","1,764","2,258,347",49,2,53,"2,544","11,269,030",19,"47,628","2,297",0,"1,564",926,"1,528",112,"1,006","1,377",0,401,302,428,416,303,262,237,171,116,74,0
MT,30,State Senate District 9,"=""30009""","1,142",0,"1,142","2,356,183",288,"222,627",573,"796,011",39,22,46,"1,077","4,052,963",17,"69,832",896,0,251,466,540,54,600,374,0,253,85,157,151,70,53,54,46,37,42,0
MT,30,State Senate District 10,"=""30010""","1,636",14,"1,636","3,740,045",493,"380,557",980,"1,315,139",99,66,109,"1,587","6,980,857",28,"49,193","1,384",0,591,759,601,154,715,709,0,224,128,233,261,153,135,144,116,109,109,0
MT,30,State Senate District 11,"=""30011""","1,876",13,"1,876","4,060,461",524,"387,823","1,069","1,378,669",116,72,127,"1,832","7,442,272",39,"34,981","1,552",0,701,898,695,268,829,839,0,204,243,299,344,198,172,166,137,122,119,0
MT,30,State Senate District 12,"=""30012""","1,409",4,"1,409","3,132,714",384,"277,593",799,"1,029,739",80,44,86,"1,370","5,526,948",34,"30,715","1,185",0,577,680,556,157,634,635,0,153,142,235,302,159,134,112,95,77,72,0
MT,30,State Senate District 13,"=""30013""","1,398",0,"1,398","3,028,186",408,"320,036",795,"1,019,316",89,51,104,"1,356","5,443,555",38,"44,268","1,185",0,495,682,579,123,671,613,0,206,129,228,239,158,121,123,105,85,96,0
MT,30,State Senate District 14,"=""30014""","1,079",0,"1,079","2,478,915",315,"243,462",610,"837,398",0,0,0,"1,036","4,206,399",0,"44,639",832,0,424,354,658,1,465,469,0,252,75,149,176,89,28,67,73,18,18,0
MT,30,State Senate District 15,"=""30015""","1,053",0,"1,053","2,217,753",283,"237,681",509,"732,228",39,24,54,961,"3,624,605",30,"92,865",716,0,242,390,476,29,479,308,0,163,69,130,157,80,71,74,52,40,41,0
MT,30,State Senate District 16,"=""30016""","2,124",25,"2,124","5,471,767",643,"531,905","1,449","1,850,191",44,1,29,"2,088","9,681,391",1,"34,505","1,846",0,"1,174","1,055","1,009",2,623,"1,317",0,206,254,340,288,212,208,176,152,109,87,0
MT,30,State Senate District 17,"=""30017""","1,306",0,"1,306","3,083,174",349,"270,672",757,"996,948",56,32,57,"1,262","5,307,992",35,"40,883","1,039",0,593,551,663,57,500,651,0,209,143,219,243,152,127,98,89,61,56,0
MT,30,State Senate District 18,"=""30018""","1,070",0,"1,070","2,300,147",304,"245,641",566,"777,807",26,0,53,966,"4,056,459",0,"59,010",793,0,298,392,556,0,396,441,0,212,73,96,134,40,61,45,31,24,4,0
