"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NC,37,State Senate District 1,"=""37001""","17,685",163,"17,685","43,543,405","4,306","3,228,293","10,557","13,075,441",615,514,418,"16,971","70,496,356",407,"667,608","15,075",0,"8,007","9,256","7,584",465,"9,995","6,190",0,"4,182","1,157","2,857","3,734","1,988","1,494","1,319","1,033",694,634,0
NC,37,State Senate District 2,"=""37002""","16,700",110,"16,700","40,425,947","4,289","3,076,979","10,082","12,788,962",793,589,519,"16,097","68,418,168",464,"493,940","14,618",0,"7,603","8,219","7,563",658,"9,245","6,196",0,"3,318","1,368","2,644","3,408","2,013","1,694","1,492","1,194",902,759,0
NC,37,State Senate District 3,"=""37003""","23,343",300,"23,343","62,276,255","5,032","3,416,905","13,970","16,553,217",937,850,366,"22,951","99,511,444",170,"321,845","21,058",86,"12,182","11,993","10,145",881,"11,108","10,829",0,"3,346","1,504","3,919","5,271","3,372","2,497","2,124","1,488",784,352,0
NC,37,State Senate District 4,"=""37004""","25,841",424,"25,841","69,356,726","5,795","3,895,808","15,771","18,692,079","1,560","1,307",479,"25,404","110,282,702",343,"384,787","23,273",131,"14,227","13,217","11,547",913,"12,757","11,648",0,"4,252","1,793","4,430","5,906","3,910","3,079","2,531","1,932","1,103",563,0
NC,37,State Senate District 5,"=""37005""","22,903",467,"22,903","62,308,008","5,308","3,635,137","14,572","18,120,670","1,135","1,091",634,"22,527","100,312,484",289,"320,632","20,673",202,"12,340","11,426","10,528",825,"12,269","9,387",0,"3,990","1,485","3,852","5,293","3,305","2,582","2,286","1,623","1,012",627,0
NC,37,State Senate District 6,"=""37006""","20,926",103,"20,926","52,861,169","6,679","4,964,576","14,418","19,362,484","1,423","1,110","1,311","20,505","99,686,605",364,"356,250","19,475",0,"9,105","12,100","7,803",941,"9,687","9,953",0,"3,604","1,424","2,771","3,603","2,350","2,460","2,303","2,091","1,764","1,771",81
NC,37,State Senate District 7,"=""37007""","18,214",279,"18,214","46,867,928","4,772","3,403,407","11,380","14,221,748","1,059",964,639,"17,820","78,081,071",327,"351,890","16,278",85,"9,063","9,354","8,089",663,"9,690","7,429",0,"3,329","1,365","2,944","3,850","2,519","2,075","1,925","1,556","1,053",748,0
NC,37,State Senate District 8,"=""37008""","18,638",125,"18,638","45,674,081","4,474","3,239,006","10,927","13,475,435",738,541,524,"17,900","72,241,195",589,"614,871","15,916",0,"8,992","8,950","8,928",638,"10,827","6,689",0,"4,809","1,721","3,207","4,072","2,533","1,856","1,622","1,263",827,696,0
NC,37,State Senate District 9,"=""37009""","15,595",189,"15,595","33,085,742","3,263","2,380,145","8,037","9,518,130",950,714,881,"14,760","52,450,486",795,"776,106","12,931",0,"6,350","8,834","5,882",813,"8,699","5,425",0,"3,959","1,822","3,050","3,716","1,794","1,405","1,120","1,046",770,564,0
NC,37,State Senate District 10,"=""37010""","20,521",289,"20,521","54,154,349","5,482","4,075,383","13,215","17,056,196",863,702,373,"20,007","89,143,657",356,"463,154","17,954",0,"10,164","8,304","11,444",604,"12,049","7,531",0,"4,197","1,491","3,187","4,244","3,034","2,385","1,953","1,693","1,155",809,0
NC,37,State Senate District 11,"=""37011""","18,991",319,"18,991","49,123,739","4,786","3,528,305","11,650","14,489,287","1,249","1,002",521,"18,516","79,886,729",377,"442,657","16,852",0,"9,723","8,709","9,143",980,"10,290","7,637",0,"3,793","1,360","3,075","4,043","2,673","2,061","1,779","1,570","1,115",796,0
NC,37,State Senate District 12,"=""37012""","20,530",273,"20,530","52,633,992","6,004","4,496,979","13,528","18,216,835","1,130",875,828,"20,018","92,070,744",425,"477,387","18,273",39,"9,654","9,668","9,774",975,"11,142","8,219",0,"3,822","1,590","3,112","3,980","2,690","2,164","2,075","1,814","1,398","1,361",27
NC,37,State Senate District 13,"=""37013""","25,547",488,"25,547","72,395,951","6,064","4,088,928","16,781","20,570,025","1,056",819,402,"25,071","112,103,869",361,"397,489","22,912",0,"15,275","10,322","14,385",678,"13,805","10,549",0,"6,073","1,606","4,399","6,133","3,984","2,921","2,369","1,771","1,018",644,0
NC,37,State Senate District 14,"=""37014""","23,219",586,"23,219","61,404,713","5,822","4,099,769","14,822","19,267,369","1,995","1,734","1,115","22,527","97,614,283",674,"697,618","20,797",195,"11,275","11,027","10,799","1,323","13,552","8,446",0,"6,080","1,632","3,604","4,999","3,326","2,589","2,393","2,057","1,430",897,0
NC,37,State Senate District 15,"=""37015""","9,287",167,"9,287","19,533,449","2,380","1,821,484","4,833","6,020,675",787,720,685,"8,798","33,010,476",479,"465,739","7,772",0,"3,393","5,029","3,699",479,"5,372","3,181",0,"2,523",902,"1,532","1,866","1,054",910,907,833,612,438,0
NC,37,State Senate District 16,"=""37016""","12,311",347,"12,311","25,980,788","2,850","2,077,372","6,332","8,043,467",860,903,855,"11,664","42,910,381",639,"574,285","10,367",10,"4,401","6,621","5,032",640,"6,867","4,348",0,"3,360","1,304","2,232","2,744","1,413","1,164","1,083",992,668,525,0
NC,37,State Senate District 17,"=""37017""","8,793",133,"8,793","18,885,723","2,437","1,882,287","4,821","6,245,005",642,580,678,"8,336","32,261,458",439,"483,851","7,337",0,"2,902","4,909","3,470",394,"5,166","2,974",0,"2,482",791,"1,448","1,721",992,849,838,827,626,609,0
NC,37,State Senate District 18,"=""37018""","16,688",273,"16,688","41,426,945","4,524","3,372,313","10,208","13,195,577","1,123",938,769,"16,082","67,535,614",585,"604,484","14,580",18,"7,383","8,590","7,151",926,"9,613","6,123",0,"4,244","1,383","2,597","3,371","2,251","1,797","1,636","1,538","1,080",899,0
NC,37,State Senate District 19,"=""37019""","22,358",261,"22,358","59,191,249","6,132","4,413,182","15,108","20,170,369","1,620","1,420","1,333","21,957","105,253,254",337,"349,424","20,821",0,"11,143","12,023","9,044","1,202","10,957","10,061",0,"4,349","1,614","3,329","4,327","2,890","2,466","2,537","2,099","1,571","1,297",0
NC,37,State Senate District 20,"=""37020""","20,082",482,"20,082","51,161,610","5,017","3,567,565","12,249","15,530,023","1,531","1,217",843,"19,569","83,688,115",471,"450,816","17,874",88,"10,134","10,113","8,907",991,"10,126","8,734",0,"4,225","1,513","3,303","4,472","2,691","2,103","2,111","1,753","1,136",647,0
NC,37,State Senate District 21,"=""37021""","24,618",395,"24,618","65,297,462","6,130","4,311,957","16,291","20,749,159","1,770","1,507","1,257","24,214","112,033,042",383,"335,856","22,944",0,"13,149","13,437","9,976","1,154","12,202","10,879",0,"4,961","1,909","3,970","5,428","3,335","2,647","2,410","2,034","1,539","1,168",26
NC,37,State Senate District 22,"=""37022""","17,384",340,"17,384","41,848,274","4,199","3,037,565","9,975","12,479,069","1,092",911,664,"16,841","69,137,227",450,"468,860","15,106",42,"8,122","8,213","8,227",816,"9,292","6,928",0,"3,712","1,467","2,956","3,933","2,228","1,674","1,574","1,340",933,596,0
NC,37,State Senate District 23,"=""37023""","11,933",194,"11,933","26,013,805","2,905","2,129,805","6,284","7,902,619",662,504,632,"11,336","42,903,769",540,"516,735","9,966",1,"4,325","5,830","5,128",874,"6,562","4,466",0,"2,817","1,232","2,170","2,494","1,432","1,086","1,091",871,626,430,0
NC,37,State Senate District 24,"=""37024""","18,885",298,"18,885","46,783,713","5,147","3,742,542","11,385","14,293,920","1,149",692,465,"18,363","77,035,392",445,"518,021","16,468",0,"8,686","9,121","9,197",443,"9,718","7,849",0,"3,848","1,452","3,021","4,062","2,633","2,042","1,904","1,477","1,170",860,0
NC,37,State Senate District 25,"=""37025""","22,136",287,"22,136","58,297,493","5,348","3,816,618","13,572","16,911,871","1,117",619,340,"21,622","94,596,082",367,"478,211","19,646",1,"12,684","9,440","12,091",397,"10,802","9,934",0,"4,224","1,603","3,404","4,939","3,517","2,356","1,908","1,603","1,008",836,0
NC,37,State Senate District 26,"=""37026""","15,340",157,"15,340","35,348,182","3,834","2,880,873","8,570","10,557,730",937,663,547,"14,819","59,152,974",452,"474,985","13,254",26,"6,846","7,546","7,217",455,"8,780","5,480",0,"3,267","1,451","2,648","3,136","1,921","1,538","1,428","1,293",956,693,0
NC,37,State Senate District 27,"=""37027""","18,870",379,"18,870","46,735,224","4,358","3,160,989","11,102","14,036,603","1,382","1,166",805,"18,222","75,560,593",601,"614,432","16,325",69,"8,432","9,118","9,050",596,"10,324","7,243",0,"4,474","1,510","3,178","4,298","2,618","1,949","1,753","1,476","1,033",784,0
NC,37,State Senate District 28,"=""37028""","26,575",743,"26,575","70,384,103","5,171","3,532,656","16,247","20,600,746","1,714","1,606",942,"25,917","109,838,295",640,"562,578","23,485",214,"13,316","12,752","12,880",898,"14,234","10,596",0,"6,077","2,081","4,886","6,736","3,971","2,668","2,159","1,775","1,207",735,0
NC,37,State Senate District 29,"=""37029""","18,150",215,"18,150","44,881,891","4,794","3,480,115","11,068","14,244,020",918,554,522,"17,485","75,635,688",596,"596,947","15,571",2,"7,747","7,852","9,422",785,"10,237","6,739",0,"4,162","1,527","2,843","3,695","2,537","1,965","1,723","1,391","1,051",959,7
NC,37,State Senate District 30,"=""37030""","17,178",112,"17,178","40,967,623","4,467","3,345,231","9,887","12,487,193",550,286,227,"16,367","68,621,156",612,"720,937","14,655",0,"7,480","6,347","10,035",567,"9,497","6,451",0,"4,206","1,422","2,708","3,338","2,324","1,735","1,543","1,140",829,768,0
NC,37,State Senate District 31,"=""37031""","15,150",195,"15,150","35,350,142","3,839","2,880,701","8,590","10,790,837",900,676,585,"14,568","59,233,364",540,"559,933","13,030",1,"6,317","7,167","7,328",566,"8,155","5,871",0,"3,523","1,311","2,500","3,199","2,017","1,601","1,442","1,201",913,732,0
NC,37,State Senate District 32,"=""37032""","21,649",540,"21,649","56,577,676","4,662","3,170,376","13,271","16,661,648","1,278","1,118",741,"21,171","89,429,155",473,"418,214","19,323",31,"10,680","10,625","9,780","1,191","11,249","8,838",0,"4,621","1,810","3,897","5,291","3,222","2,313","1,858","1,450",992,662,0
NC,37,State Senate District 33,"=""37033""","19,764",283,"19,764","49,027,310","5,277","3,866,677","11,792","14,776,794","1,024",584,458,"19,165","81,453,040",510,"567,691","17,251",23,"9,462","7,620","11,133",908,"10,818","7,678",0,"4,218","1,672","3,152","4,118","2,720","2,138","1,948","1,604","1,105",952,0
