"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NE,31,State Senate District 1,"=""31001""","2,208",0,"2,208","4,996,025",601,"537,146","1,188","1,693,590",66,18,104,"2,074","9,008,105",26,"107,889","1,820",0,667,754,"1,117",16,924,822,0,405,138,235,265,130,116,151,132,61,81,0
NE,31,State Senate District 2,"=""31002""","2,030",0,"2,030","4,403,312",620,"532,857","1,130","1,608,859",105,59,100,"1,946","8,284,953",30,"73,663","1,798",0,600,"1,110",809,18,956,799,0,366,119,207,234,144,138,141,142,95,109,0
NE,31,State Senate District 3,"=""31003""","2,500",0,"2,500","5,838,643",973,"796,734","1,659","2,287,692",292,164,229,"2,438","11,715,579",52,"59,836","2,297",0,832,"1,402",945,130,"1,180","1,181",0,411,157,251,373,262,281,291,303,271,281,13
NE,31,State Senate District 4,"=""31004""","1,251",0,"1,251","2,449,245",380,"300,606",651,"813,475",152,69,141,"1,180","4,561,280",48,"65,273","1,075",0,381,717,479,30,675,458,0,278,114,195,232,112,114,112,114,81,70,0
NE,31,State Senate District 5,"=""31005""","3,895",112,"3,895","10,076,114","1,221","922,462","2,545","3,579,627",273,118,138,"3,795","17,573,097",100,"98,810","3,456",0,"1,442","1,436","2,172",286,"1,901","1,736",0,650,299,563,725,513,454,454,370,258,247,0
NE,31,State Senate District 6,"=""31006""","2,162",7,"2,162","4,465,110",598,"452,968","1,136","1,476,994",227,136,185,"2,081","7,946,427",81,"74,818","1,886",0,705,"1,268",809,85,"1,041",889,0,381,237,353,427,245,210,216,200,149,119,0
NE,31,State Senate District 7,"=""31007""","4,113",142,"4,113","10,580,552","1,169","850,653","2,666","3,743,911",219,89,141,"4,018","18,140,567",83,"87,175","3,649",0,"1,581","1,461","2,335",317,"2,008","1,790",0,669,384,629,822,543,452,404,343,248,216,0
NE,31,State Senate District 8,"=""31008""","4,136",149,"4,136","10,536,099","1,066","762,765","2,549","3,549,805",300,169,212,"4,035","17,612,110",101,"89,128","3,675",0,"1,737","2,211","1,715",210,"1,954","1,844",0,667,358,665,878,534,473,435,378,233,175,0
NE,31,State Senate District 9,"=""31009""","3,003",112,"3,003","6,804,088",748,"544,295","1,656","2,195,024",196,143,187,"2,914","11,626,305",89,"69,613","2,603",0,"1,187","1,484","1,343",177,"1,398","1,310",0,465,321,548,640,353,331,272,240,163,128,0
NE,31,State Senate District 10,"=""31010""","2,842",40,"2,842","6,841,489",880,"651,468","1,803","2,389,495",326,161,234,"2,756","12,032,049",59,"82,112","2,544",0,"1,150","1,644","1,090",95,"1,410","1,238",0,489,209,426,515,365,307,287,268,194,165,0
NE,31,State Senate District 11,"=""31011""","6,161",161,"6,161","18,018,060","1,366","903,288","4,257","5,826,419",364,155,162,"6,089","27,999,550",62,"56,166","5,599",0,"3,463","2,950","2,708",503,"2,939","2,799",0,969,522,"1,121","1,427",951,691,611,417,257,152,0
NE,31,State Senate District 12,"=""31012""","2,663",24,"2,663","5,695,941",828,"654,428","1,494","1,851,364",280,140,206,"2,590","10,320,920",73,"71,845","2,386",0,961,"1,510","1,044",109,"1,286","1,121",0,450,224,430,533,307,254,297,259,191,160,0
NE,31,State Senate District 13,"=""31013""","4,144",87,"4,144","11,100,339","1,080","779,830","2,689","3,730,789",331,149,203,"4,054","18,265,644",80,"72,624","3,745",0,"1,938","2,283","1,628",217,"1,939","1,904",0,715,319,648,893,564,473,440,389,228,169,0
