"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NH,33,State Senate District 1,"=""33001""","4,300",0,"4,300","8,485,417","1,103","850,631","2,085","2,377,874",89,66,137,"4,078","15,846,574",82,"183,368","3,459",0,"1,345","2,155","1,889",69,"2,125","1,678",0,904,463,660,644,414,292,239,161,108,83,0
NH,33,State Senate District 2,"=""33002""","3,663",0,"3,663","7,235,993",920,"737,501","1,726","2,141,502",94,37,104,"3,422","13,146,749",87,"225,611","2,909",0,"1,028","2,159","1,266",14,"1,616","1,556",0,863,311,514,637,259,231,179,123,95,41,0
NH,33,State Senate District 3,"=""33003""","3,958",0,"3,958","7,891,641","1,038","845,484","1,861","2,307,563",24,66,138,"3,651","13,701,663",114,"294,819","3,047",0,981,"2,267","1,438",22,"2,027","1,376",0,"1,012",302,451,641,278,202,247,157,24,0,0
NH,33,State Senate District 4,"=""33004""","3,448",0,"3,448","6,747,936",920,"724,533","1,705","1,991,386",234,161,272,"3,304","12,755,719",132,"159,493","2,939",0,"1,125","2,189","1,111",128,"1,459","1,583",0,569,398,592,695,378,319,289,263,205,167,0
NH,33,State Senate District 5,"=""33005""","3,060",0,"3,060","6,096,168",887,"732,710","1,534","1,816,411",190,65,94,"2,938","11,853,113",56,"100,843","2,594",0,"1,145","1,713","1,242",24,"1,265","1,423",0,484,379,461,545,309,289,260,230,184,105,0
NH,33,State Senate District 6,"=""33006""","4,056",0,"4,056","8,355,700","1,153","918,538","2,100","2,526,784",181,103,208,"3,893","15,744,897",76,"164,774","3,418",0,"1,386","2,495","1,422",77,"1,737","1,843",0,685,430,542,749,429,318,327,280,225,144,0
NH,33,State Senate District 7,"=""33007""","4,161",0,"4,161","8,558,790","1,207","972,379","2,161","2,556,050",261,146,213,"4,013","16,215,105",65,"151,641","3,500",0,"1,397","2,546","1,395",147,"1,672","1,982",0,697,454,650,753,422,367,384,355,234,203,0
NH,33,State Senate District 8,"=""33008""","3,134",0,"3,134","6,228,624",841,"724,616","1,533","1,905,939",91,86,138,"2,941","11,828,433",69,"184,502","2,571",0,869,"1,897",948,24,"1,429","1,285",0,660,226,383,438,200,182,188,176,135,120,0
NH,33,State Senate District 9,"=""33009""","2,239",0,"2,239","4,276,499",633,"532,428","1,023","1,249,670",91,36,121,"2,085","7,933,209",48,"158,053","1,758",0,442,"1,377",642,94,"1,116",888,0,591,194,300,352,150,126,132,144,74,60,0
NH,33,State Senate District 10,"=""33010""","3,596",0,"3,596","6,951,440",965,"787,398","1,735","2,046,584",211,92,188,"3,433","13,400,774",68,"122,894","2,971",0,"1,125","2,281","1,105",53,"1,359","1,731",0,533,354,552,579,265,265,244,248,150,112,0
NH,33,State Senate District 11,"=""33011""","2,302",0,"2,302","4,137,382",647,"525,996","1,045","1,204,734",162,124,229,"2,171","7,989,652",113,"120,664","1,862",0,570,"1,420",772,78,"1,087",963,0,511,295,375,427,220,185,241,226,140,110,0
NH,33,State Senate District 12,"=""33012""","2,303",0,"2,303","4,321,717",669,"536,761","1,101","1,385,674",95,84,131,"2,152","8,170,465",112,"188,239","1,835",0,531,"1,337",830,84,"1,135",930,0,540,222,389,403,153,176,168,210,113,145,0
NH,33,State Senate District 13,"=""33013""","4,542",77,"4,542","9,630,851","1,224","924,753","2,385","2,876,800",275,226,249,"4,382","17,784,333",154,"194,651","3,827",0,"1,523","2,475","1,725",333,"1,880","2,157",0,700,536,776,900,530,462,426,416,253,173,0
NH,33,State Senate District 14,"=""33014""","2,178",0,"2,178","4,066,444",647,"515,255",998,"1,146,798",140,136,200,"2,062","7,830,828",106,"133,833","1,774",0,579,"1,326",774,72,987,952,0,452,269,347,394,230,175,231,200,133,126,0
NH,33,State Senate District 15,"=""33015""","3,430",57,"3,430","6,605,626",872,"661,415","1,619","2,019,643",214,164,235,"3,295","12,381,836",88,"98,416","2,738",0,887,"2,157","1,019",215,"1,420","1,596",0,581,478,602,617,330,249,307,248,211,150,0
NH,33,State Senate District 16,"=""33016""","3,211",41,"3,211","6,391,731",849,"650,277","1,589","1,942,549",252,160,204,"3,080","12,073,929",106,"142,560","2,668",0,"1,012","1,889","1,201",103,"1,403","1,454",0,566,377,553,592,310,270,295,276,170,116,0
NH,33,State Senate District 17,"=""33017""","3,229",0,"3,229","6,268,824",959,"791,845","1,572","1,899,323",133,60,186,"3,072","12,167,677",33,"167,976","2,692",0,963,"2,016","1,112",23,"1,408","1,452",0,646,352,516,616,291,211,256,241,159,90,0
NH,33,State Senate District 18,"=""33018""","4,659",100,"4,659","10,354,794","1,275","943,593","2,612","3,197,062",331,225,272,"4,517","18,977,544",125,"136,531","3,876",0,"1,504","2,507","1,919",180,"1,955","2,164",0,746,560,775,885,577,477,436,414,271,206,0
NH,33,State Senate District 19,"=""33019""","2,557",0,"2,557","4,813,932",732,"566,266","1,211","1,365,130",197,148,224,"2,420","9,208,904",110,"152,853","2,053",0,762,"1,472",973,97,"1,197","1,076",0,505,302,421,502,229,210,213,198,173,108,0
NH,33,State Senate District 20,"=""33020""","3,982",66,"3,982","8,176,142","1,061","828,973","2,023","2,464,518",289,195,246,"3,850","15,268,618",120,"138,575","3,305",0,"1,296","2,296","1,491",140,"1,613","1,861",0,621,516,688,739,462,393,378,310,245,162,0
NH,33,State Senate District 21,"=""33021""","1,909",0,"1,909","3,097,801",406,"335,878",716,"858,373",86,88,145,"1,783","5,819,097",77,"107,964","1,465",0,429,"1,246",494,125,896,721,0,399,294,352,392,118,121,110,99,79,79,0
NH,33,State Senate District 22,"=""33022""","2,281",0,"2,281","3,966,354",599,"459,052",941,"1,091,348",151,134,199,"2,101","7,533,260",169,"193,810","1,721",0,596,"1,182","1,021",52,"1,153",839,0,521,281,427,455,204,202,215,179,134,95,0
NH,33,State Senate District 23,"=""33023""","2,263",0,"2,263","4,069,164",583,"467,562",960,"1,118,173",90,66,138,"2,101","7,491,757",92,"163,795","1,728",0,580,"1,326",840,60,"1,102",880,0,554,258,398,453,156,124,198,154,74,67,0
NH,33,State Senate District 24,"=""33024""","2,261",0,"2,261","4,066,355",530,"427,217",938,"1,101,914",38,39,119,"2,103","7,317,290",58,"157,606","1,735",0,605,"1,305",804,77,987,902,0,486,275,422,478,137,129,108,127,75,49,0
