"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NY,36,State Senate District 1,"=""36001""","16,684",323,"16,684","34,490,370","4,077","2,943,691","8,381","10,148,738",664,594,699,"15,373","59,139,486","1,007","1,276,894","11,905",0,"4,582","5,335","10,914",106,"10,820","4,314",0,"5,016","1,706","2,957","3,439","1,901","1,232","1,220","1,077",717,452,0
NY,36,State Senate District 2,"=""36002""","11,459",118,"11,459","22,010,992","2,382","1,734,564","5,164","6,356,926",591,726,807,"10,723","38,725,268",705,"623,375","8,333",0,"2,642","3,563","7,669",130,"7,450","2,938",0,"3,139","1,373","2,183","2,501","1,145","1,011",922,885,726,533,0
NY,36,State Senate District 3,"=""36003""","24,931",595,"24,931","58,977,703","6,615","4,704,466","14,807","18,682,449","2,005","1,286",944,"24,008","106,584,393",864,"793,271","19,631",0,"9,101","6,506","18,057",280,"15,106","7,884",0,"5,523","1,981","4,010","5,147","3,236","2,752","2,508","2,112","1,609","1,154",0
NY,36,State Senate District 4,"=""36004""","21,392",490,"21,392","47,043,445","5,305","3,775,567","11,760","14,609,619","1,820","1,318","1,144","20,369","84,918,552",981,"870,325","16,655",0,"6,876","5,836","15,218",271,"13,462","6,250",0,"5,203","1,855","3,627","4,524","2,565","2,149","2,106","1,901","1,493",967,0
NY,36,State Senate District 5,"=""36005""","11,479",187,"11,479","23,630,860","2,150","1,489,550","5,433","6,902,738",553,545,563,"10,469","39,083,846",935,"911,205","7,728",0,"2,857","2,713","8,499",144,"8,017","2,543",0,"3,743","1,345","2,212","2,501","1,205","1,008",869,717,579,416,0
NY,36,State Senate District 6,"=""36006""","21,357",558,"21,357","48,786,657","4,709","3,234,620","11,888","14,729,873","1,854","1,397",940,"20,246","83,603,089","1,091","897,115","16,204",0,"7,852","4,755","16,208",373,"13,877","5,987",0,"5,755","1,806","3,884","4,878","2,738","2,116","1,902","1,716","1,269",861,0
NY,36,State Senate District 7,"=""36007""","14,529",380,"14,529","30,078,641","2,846","1,981,362","6,839","8,719,461",831,862,589,"13,085","48,728,036","1,404","1,273,181","9,641",0,"3,074","3,171","11,072",188,"10,186","3,295",0,"4,872","1,403","2,792","3,069","1,692","1,229","1,242","1,064",773,563,0
NY,36,State Senate District 8,"=""36008""","21,504",571,"21,504","48,644,022","4,586","3,076,018","11,766","14,469,814","1,824","1,487",971,"20,392","84,483,628","1,107","871,559","16,614",0,"8,351","4,815","16,311",355,"14,905","5,110",0,"5,824","1,908","4,029","4,803","2,866","2,201","1,909","1,737","1,253",768,0
NY,36,State Senate District 9,"=""36009""","16,967",363,"16,967","35,991,270","3,310","2,320,735","8,425","10,611,240","1,249","1,100",913,"15,691","59,702,754","1,260","1,064,940","12,416",0,"4,793","4,046","12,536",245,"11,604","4,087",0,"5,439","1,765","3,302","3,783","1,969","1,481","1,368","1,322",898,608,0
NY,36,State Senate District 10,"=""36010""","42,786","1,724","42,786","104,685,702","8,938","6,241,124","24,365","29,785,754","3,613","2,028","1,290","39,540","160,159,832","3,235","2,579,154","33,250",0,"15,686","8,188","33,371","1,172","28,415","11,762",0,"14,831","3,486","8,024","9,906","5,932","4,467","3,791","3,280","2,467","1,310",0
