"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OH,39,State Senate District 1,"=""39001""","24,893",66,"24,893","55,427,945","7,465","6,085,603","13,834","17,894,971",546,700,"1,243","24,165","104,481,167",421,"669,436","21,720",1,"8,572","12,730","11,367",353,"11,826","10,682",0,"3,965","2,220","3,574","4,193","2,647","2,014","1,981","1,742","1,349","1,325",0
OH,39,State Senate District 2,"=""39002""","22,984",90,"22,984","49,490,613","5,939","4,675,269","12,083","15,133,140",727,966,"1,361","22,222","89,016,962",470,"685,559","19,586",97,"7,684","13,276","8,983",328,"11,211","9,296",0,"3,886","2,313","3,840","4,532","2,548","2,030","1,676","1,544","1,177",968,0
OH,39,State Senate District 3,"=""39003""","33,240",627,"33,240","85,566,956","9,029","6,743,670","20,881","27,608,613","1,997","1,823","1,912","32,297","141,555,211",926,"800,750","29,148",116,"13,749","18,888","13,702",548,"17,459","13,292",0,"7,804","2,859","5,182","7,160","4,574","3,588","3,378","2,837","2,041","1,436",0
OH,39,State Senate District 4,"=""39004""","25,141",370,"25,141","60,653,314","6,962","5,378,747","15,117","19,349,288","1,210","1,304","1,439","24,419","104,648,508",708,"739,697","21,812",57,"10,405","13,717","10,774",577,"13,903","9,316",0,"4,998","2,383","4,059","5,108","3,228","2,663","2,352","2,072","1,635","1,331",0
OH,39,State Senate District 5,"=""39005""","36,068",437,"36,068","93,366,175","8,401","6,144,198","21,986","28,349,969","1,303","1,578","1,435","35,240","154,559,687",613,"686,678","32,021",164,"15,425","21,349","13,422","1,078","18,428","14,807",0,"7,023","3,362","6,008","8,387","5,005","3,545","3,054","2,399","1,701","1,232",0
OH,39,State Senate District 6,"=""39006""","25,969",213,"25,969","59,595,853","6,872","5,310,860","14,863","18,726,546","1,462","1,486","1,718","25,123","104,332,125",820,"753,535","22,506",53,"9,391","16,284","9,005",598,"13,176","10,444",0,"4,985","2,584","4,234","5,535","3,220","2,613","2,349","2,123","1,641","1,443",0
OH,39,State Senate District 7,"=""39007""","17,636",105,"17,636","38,759,843","4,684","3,715,980","9,659","12,089,741",783,883,"1,296","16,899","67,767,955",688,"710,546","14,890",46,"6,349","10,186","7,029",282,"9,847","6,270",0,"3,821","1,874","2,880","3,651","2,080","1,622","1,514","1,433","1,117",967,0
OH,39,State Senate District 8,"=""39008""","27,780",375,"27,780","68,942,604","7,509","5,676,027","16,876","22,038,321","1,620","1,519","1,656","27,071","118,983,718",658,"583,764","24,170",83,"11,337","16,680","10,477",511,"14,239","11,319",0,"5,158","2,583","4,467","5,748","3,669","2,910","2,739","2,383","1,699","1,163",0
OH,39,State Senate District 9,"=""39009""","39,046",713,"39,046","101,404,277","8,331","5,908,921","24,180","30,639,075","1,825","1,831","1,728","38,285","163,940,921",688,"574,604","34,577",56,"17,661","24,041","13,682","1,223","20,204","15,544",0,"7,256","4,319","7,331","9,542","5,634","3,757","3,128","2,528","1,596",843,0
OH,39,State Senate District 10,"=""39010""","26,388",234,"26,388","61,887,869","6,961","5,311,868","15,403","19,868,020",898,"1,070","1,348","25,644","109,384,989",620,"655,065","23,024",242,"10,589","15,517","9,583",930,"12,873","11,001",0,"4,386","2,892","4,370","5,279","3,340","2,624","2,276","1,929","1,511","1,358",0
