"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OK,40,State Senate District 1,"=""40001""","7,625",59,"7,625","20,074,940","2,047","1,542,873","4,884","6,434,237",123,91,148,"7,412","33,119,170",113,"179,129","6,836",0,"3,766","2,814","4,581",107,"3,973","3,067",0,"1,626",585,"1,086","1,355",981,889,626,491,351,319,0
OK,40,State Senate District 2,"=""40002""","5,690",7,"5,690","13,489,786","1,902","1,541,605","3,577","4,712,810",286,253,343,"5,499","24,020,109",172,"181,114","5,113",0,"2,581","2,827","2,677",179,"3,019","2,312",0,"1,188",453,733,976,665,600,571,543,442,465,0
OK,40,State Senate District 3,"=""40003""","8,095",51,"8,095","21,664,280","2,199","1,670,576","5,299","7,018,661",89,66,158,"7,831","34,553,002",126,"198,527","7,178",0,"4,179","2,332","5,403",160,"5,388","2,225",0,"2,156",603,"1,167","1,534","1,103",931,702,548,399,445,0
OK,40,State Senate District 4,"=""40004""","8,104",21,"8,104","21,296,035","2,075","1,592,465","5,091","6,667,664",60,92,112,"7,855","34,018,723",162,"213,331","7,118",0,"4,009","1,961","5,777",224,"4,580","3,021",0,"2,083",613,"1,248","1,659","1,224",792,682,539,373,429,0
OK,40,State Senate District 5,"=""40005""","8,508",71,"8,508","22,981,124","2,161","1,590,554","5,535","7,161,667",100,86,97,"8,237","37,112,110",93,"198,679","7,463",0,"4,334","2,564","5,662",68,"4,571","3,230",0,"2,108",575,"1,221","1,619","1,115",899,629,444,331,260,0
OK,40,State Senate District 6,"=""40006""","7,594",34,"7,594","19,384,283","2,055","1,582,923","4,793","6,250,951",119,98,160,"7,383","33,078,329",64,"177,157","6,733",0,"3,821","2,912","4,196",309,"3,822","3,138",0,"1,655",537,"1,080","1,384",941,701,640,471,394,297,0
OK,40,State Senate District 7,"=""40007""","6,922",31,"6,922","17,623,070","1,843","1,425,556","4,358","5,569,984",69,93,115,"6,727","29,784,079",83,"169,892","6,000",0,"3,134","2,067","4,320",307,"3,878","2,570",0,"1,733",506,953,"1,175",812,559,432,442,258,228,0
OK,40,State Senate District 8,"=""40008""","7,742",25,"7,742","20,151,349","2,030","1,559,440","4,832","6,423,096",108,155,216,"7,502","33,584,529",157,"172,835","6,885",0,"3,826","2,769","4,676",138,"4,476","2,709",0,"1,796",643,"1,135","1,439","1,030",771,710,516,386,333,0
OK,40,State Senate District 9,"=""40009""","7,850",131,"7,850","20,342,472","2,057","1,521,898","5,028","6,510,781",273,210,312,"7,658","32,669,598",163,"156,832","7,058",0,"4,048","3,302","4,264",244,"4,600","2,704",0,"1,489",707,"1,194","1,534","1,131",831,713,572,417,373,0
OK,40,State Senate District 10,"=""40010""","6,810",43,"6,810","17,234,368","2,041","1,597,450","4,338","5,816,449",176,134,197,"6,618","29,602,891",100,"173,444","6,067",0,"3,351","3,260","3,225",115,"3,262","2,979",0,"1,253",557,992,"1,178",802,689,640,537,390,374,0
OK,40,State Senate District 11,"=""40011""","10,575",255,"10,575","29,554,357","2,534","1,801,132","7,060","9,291,308",318,297,290,"10,405","45,705,242",142,"127,120","9,636",0,"5,963","4,976","4,894",585,"5,254","4,562",0,"1,960",947,"1,805","2,390","1,536","1,199",980,696,438,310,0
OK,40,State Senate District 12,"=""40012""","6,664",30,"6,664","16,243,626","2,111","1,699,840","4,126","5,501,982",250,184,252,"6,466","28,396,565",110,"178,943","5,961",0,"3,231","3,126","3,367",115,"3,476","2,747",0,"1,381",488,946,"1,215",725,654,624,616,444,462,0
OK,40,State Senate District 13,"=""40013""","7,154",60,"7,154","17,641,770","2,080","1,660,621","4,407","5,820,399",197,133,129,"6,950","30,502,065",111,"159,087","6,284",0,"3,668","2,662","4,133",174,"3,928","2,640",0,"1,544",610,988,"1,298",818,628,580,484,351,341,0
