"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OR,41,State Senate District 1,"=""41001""","10,123",59,"10,123","21,557,236","2,372","1,820,999","5,391","7,029,508",329,191,405,"9,602","35,386,203",417,"462,704","8,072",0,"3,447","5,796","3,643",540,"5,192","3,864",0,"1,936","1,092","1,803","1,925","1,163",902,750,630,430,471,0
OR,41,State Senate District 2,"=""41002""","11,212",95,"11,212","24,829,823","2,792","2,101,148","6,237","8,210,641",570,284,497,"10,614","39,689,377",557,"499,489","9,199",0,"3,804","5,687","4,796",647,"6,437","3,826",0,"2,598","1,292","1,958","2,101","1,266","1,078",954,856,626,597,0
OR,41,State Senate District 3,"=""41003""","11,333",151,"11,333","23,890,008","2,739","1,983,777","6,053","7,596,123",650,416,714,"10,721","37,583,821",611,"537,656","9,187",59,"3,686","6,168","4,560",594,"6,310","3,972",0,"2,545","1,463","2,096","2,278","1,334","1,145",946,841,615,556,0
OR,41,State Senate District 4,"=""41004""","9,328",101,"9,328","18,931,404","2,057","1,585,231","4,687","6,123,239",359,291,568,"8,818","30,680,129",361,"416,971","7,477",0,"2,993","5,729","2,892",450,"4,635","3,587",0,"1,915","1,006","1,703","1,806",889,670,614,497,420,378,0
OR,41,State Senate District 5,"=""41005""","9,908",42,"9,908","20,725,905","2,274","1,687,355","5,128","6,610,828",293,167,323,"9,398","33,887,313",326,"401,258","7,804",0,"3,752","5,629","3,305",558,"4,618","3,907",0,"1,740",976,"1,771","1,924","1,067",791,692,490,347,333,0
OR,41,State Senate District 6,"=""41006""","9,752",119,"9,752","20,277,643","2,536","1,930,863","5,278","6,806,347",526,395,668,"9,396","34,270,135",314,"317,609","8,127",0,"3,382","6,094","3,067",537,"4,619","4,143",0,"1,605","1,066","1,706","1,804","1,057",903,860,708,552,533,0
OR,41,State Senate District 7,"=""41007""","9,624",127,"9,624","18,241,302","2,255","1,720,619","4,617","5,789,162",564,480,811,"9,152","30,469,947",461,"398,554","7,822",0,"3,165","6,212","2,785",611,"4,599","3,828",0,"1,858","1,202","1,886","2,034",967,829,804,744,565,479,0
OR,41,State Senate District 8,"=""41008""","7,821",98,"7,821","14,915,307","1,823","1,409,694","3,791","4,903,224",443,458,708,"7,542","25,596,859",252,"206,577","6,424",0,"2,307","5,020","2,337",457,"3,727","3,222",0,"1,319","1,037","1,522","1,591",756,704,608,547,428,476,0
OR,41,State Senate District 9,"=""41009""","9,101",63,"9,101","21,222,639","2,682","2,071,796","5,499","7,599,346",359,269,449,"8,772","36,075,805",212,"294,455","7,442",0,"3,378","5,363","3,410",181,"4,047","4,196",0,"1,572",745,"1,249","1,543","1,056",907,861,748,520,644,0
OR,41,State Senate District 10,"=""41010""","8,533",154,"8,533","19,097,069","2,550","1,957,050","4,994","6,730,427",549,421,651,"8,251","32,419,944",236,"232,609","7,150",0,"3,133","5,610","2,728",189,"3,697","4,059",0,"1,452",908,"1,300","1,497",989,871,899,792,628,595,0
