"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
PA,42,State Senate District 1,"=""42001""","23,941",739,"23,941","54,918,018","4,657","3,197,594","12,896","16,026,603","1,245","1,158","1,405","22,727","90,326,259","1,195","930,999","19,295",0,"8,930","10,916","12,152",812,"12,611","9,052",0,"5,143","2,843","4,982","5,869","2,947","2,157","1,841","1,510","1,052",535,0
PA,42,State Senate District 2,"=""42002""","38,898","1,368","38,898","107,915,408","9,693","6,727,699","26,248","33,224,688","2,758","2,230","1,657","37,820","176,364,451","1,074","920,128","33,922",43,"16,975","16,347","21,594",954,"21,975","14,713",0,"8,479","2,950","6,564","8,874","5,819","4,333","3,861","3,099","2,106","1,248",0
PA,42,State Senate District 3,"=""42003""","36,282","1,173","36,282","97,388,421","8,826","6,037,512","24,021","29,377,800","2,882","2,076","1,614","35,510","162,501,232",770,"641,783","32,292",22,"17,108","17,569","17,566","1,142","19,681","14,518",0,"6,744","3,161","6,373","8,216","5,375","3,925","3,489","2,890","1,859",965,0
PA,42,State Senate District 4,"=""42004""","20,740",344,"20,740","47,985,740","5,278","3,743,518","12,297","14,965,800","2,328","1,780","1,441","20,143","87,012,418",562,"474,979","18,331",0,"9,082","11,496","8,585",630,"11,223","8,134",0,"3,786","1,980","3,492","4,195","2,613","2,138","2,132","1,974","1,403",731,0
PA,42,State Senate District 5,"=""42005""","22,860",713,"22,860","54,652,886","5,854","4,228,353","13,466","17,000,409","1,688","1,601","1,448","21,685","93,561,856","1,172","1,047,762","18,383",2,"7,295","9,692","12,713",438,"13,329","7,902",0,"5,739","2,063","3,904","4,739","2,960","2,364","2,245","2,030","1,477","1,036",0
PA,42,State Senate District 6,"=""42006""","14,935",139,"14,935","30,320,915","3,808","2,927,628","7,495","9,230,745",974,982,"1,062","14,114","55,354,248",806,"772,189","11,730",0,"4,198","6,742","7,891",217,"8,502","5,028",0,"3,387","1,603","2,657","3,076","1,649","1,420","1,354","1,241",961,755,0
PA,42,State Senate District 7,"=""42007""","25,444",670,"25,444","62,599,116","5,861","4,040,912","15,601","18,851,701","2,296","1,615","1,339","24,846","108,167,039",547,"470,778","22,866",1,"12,337","13,859","10,461","1,040","12,334","11,197",0,"4,204","2,573","4,767","5,615","3,440","2,471","2,280","2,011","1,325",571,0
PA,42,State Senate District 8,"=""42008""","33,798","1,005","33,798","86,367,040","8,042","5,468,516","21,573","26,652,045","3,176","2,297","1,705","32,976","149,748,572",797,"648,257","30,144",27,"16,714","16,530","16,006","1,166","17,038","14,517",0,"6,440","2,996","5,843","7,516","4,802","3,625","3,305","2,860","1,892",932,0
PA,42,State Senate District 9,"=""42009""","16,460",217,"16,460","38,856,254","4,309","3,244,265","9,667","12,157,660",906,711,907,"15,971","67,866,517",365,"474,102","13,833",0,"6,641","8,415","7,421",466,"8,184","6,874",0,"2,847","1,744","2,813","3,372","1,973","1,661","1,463","1,283",911,660,0
PA,42,State Senate District 10,"=""42010""","9,054",54,"9,054","16,415,623","2,259","1,802,269","4,011","4,958,127",600,597,772,"8,342","30,511,307",616,"661,772","6,635",0,"2,219","4,315","4,405",119,"5,154","2,840",0,"2,291","1,107","1,673","1,750",772,679,742,742,537,478,0
