"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
RI,44,State Senate District 1,"=""44001""","3,370",100,"3,370","8,616,487",859,"617,850","2,062","2,531,518",161,183,146,"3,261","14,385,424",103,"106,398","2,873",0,"1,303","1,010","2,191",158,"2,049","1,080",0,811,273,593,785,473,343,311,255,166,108,0
RI,44,State Senate District 2,"=""44002""","5,667",243,"5,667","15,708,935","1,432","950,281","3,702","4,492,259",219,304,164,"5,519","25,226,329",149,"124,613","4,829",0,"2,008","1,268","4,167",232,"3,929","1,432",0,"1,438",409,955,"1,408",900,667,538,403,230,152,0
RI,44,State Senate District 3,"=""44003""","1,027",59,"1,027","1,834,140",155,"100,150",429,"515,429",45,43,92,936,"3,092,943",91,"72,861",726,0,288,470,496,62,551,370,0,273,168,247,284,98,71,53,52,32,1,0
RI,44,State Senate District 4,"=""44004""","2,754",62,"2,754","6,716,201",712,"514,486","1,627","1,980,235",150,153,140,"2,664","11,461,356",90,"76,773","2,339",0,"1,047",899,"1,707",148,"1,609",934,0,617,251,492,603,380,282,272,223,146,99,0
RI,44,State Senate District 5,"=""44005""","4,265",180,"4,265","11,207,575","1,070","727,766","2,669","3,296,824",157,197,149,"4,130","18,294,727",134,"128,988","3,616",0,"1,589","1,104","2,961",200,"2,734","1,199",0,"1,064",367,770,"1,004",616,472,396,320,177,127,0
RI,44,State Senate District 6,"=""44006""","3,381",114,"3,381","8,901,182",833,"544,127","2,098","2,550,770",141,184,127,"3,267","14,523,697",113,"92,029","2,850",0,"1,198",875,"2,355",152,"2,261",915,0,841,284,580,825,522,380,319,242,138,79,0
RI,44,State Senate District 7,"=""44007""","3,659",158,"3,659","9,669,047",950,"644,806","2,319","2,854,076",142,174,123,"3,551","15,867,173",108,"99,029","3,104",0,"1,338",934,"2,557",168,"2,355","1,024",0,910,303,652,834,530,413,354,286,161,122,0
RI,44,State Senate District 8,"=""44008""","3,079",56,"3,079","7,124,471",890,"652,252","1,795","2,125,133",183,167,154,"2,996","12,906,295",83,"71,383","2,610",0,"1,142","1,050","1,867",162,"1,707","1,118",0,561,256,496,646,415,363,316,278,185,120,0
RI,44,State Senate District 9,"=""44009""","2,449",29,"2,449","5,027,444",659,"500,897","1,270","1,441,028",136,96,161,"2,374","9,135,758",75,"63,177","2,063",0,974,"1,186","1,158",105,"1,066","1,084",0,384,283,476,516,271,235,217,219,136,96,0
RI,44,State Senate District 10,"=""44010""","1,479",0,"1,479","2,759,388",369,"295,726",654,"727,347",72,73,111,"1,390","4,991,596",89,"73,215","1,155",0,452,686,697,97,738,585,0,318,197,283,320,147,133,129,95,93,79,0
RI,44,State Senate District 11,"=""44011""","1,116",0,"1,116","1,984,574",280,"211,666",498,"566,551",65,65,90,"1,045","3,750,822",71,"59,830",858,0,311,570,468,78,553,440,0,244,149,222,221,116,93,88,89,75,62,0
RI,44,State Senate District 12,"=""44012""","1,496",3,"1,496","2,997,756",402,"323,588",763,"951,823",102,74,113,"1,406","5,558,105",71,"84,688","1,192",0,517,762,642,86,742,614,0,338,144,274,293,151,136,136,121,94,85,0
RI,44,State Senate District 13,"=""44013""","1,702",25,"1,702","3,646,779",367,"269,124",873,"1,059,636",72,44,83,"1,599","6,142,266",103,"96,801","1,394",0,721,868,716,103,848,674,0,369,239,362,422,173,116,115,97,67,50,0
RI,44,State Senate District 14,"=""44014""","2,371",20,"2,371","4,933,859",658,"507,161","1,235","1,381,312",127,95,146,"2,275","8,938,340",97,"95,866","1,909",0,858,882,"1,331",159,"1,267",908,0,425,248,409,486,301,252,221,197,156,90,0
RI,44,State Senate District 15,"=""44015""","3,780",95,"3,780","9,432,253","1,070","759,656","2,314","2,754,006",211,208,161,"3,697","16,689,272",82,"63,881","3,205",0,"1,501","1,112","2,469",199,"2,190","1,328",0,717,301,613,791,556,476,411,313,203,110,0
RI,44,State Senate District 16,"=""44016""","4,218",193,"4,218","11,380,145","1,153","795,105","2,727","3,339,152",161,171,106,"4,129","19,295,271",83,"83,755","3,583",0,"1,646",972,"2,983",241,"2,596","1,387",0,830,326,675,868,708,518,418,315,193,132,0
RI,44,State Senate District 17,"=""44017""","1,562",5,"1,562","3,194,412",395,"312,963",767,"941,442",88,74,75,"1,499","5,893,705",48,"49,943","1,259",0,461,622,850,61,836,556,0,309,156,261,301,168,138,129,128,94,53,0
RI,44,State Senate District 18,"=""44018""","2,168",23,"2,168","4,564,510",601,"453,083","1,150","1,350,401",130,119,129,"2,094","8,368,542",74,"71,061","1,789",0,770,827,"1,213",129,"1,163",804,0,404,215,377,462,262,222,208,185,143,81,0
