"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
SC,45,State Senate District 1,"=""45001""","7,081",28,"7,081","16,546,319","1,718","1,304,017","4,031","5,261,512",226,198,198,"6,810","27,014,740",212,"227,956","6,106",0,"3,027","2,598","4,339",34,"3,807","2,551",0,"1,489",622,"1,231","1,482",844,659,537,513,389,313,0
SC,45,State Senate District 2,"=""45002""","9,084",55,"9,084","21,951,969","2,509","1,920,791","5,477","7,031,583",451,289,340,"8,803","35,730,265",256,"241,871","7,944",1,"4,013","3,456","5,317",263,"4,670","3,654",0,"1,975",723,"1,427","1,770","1,189",976,845,729,585,584,0
SC,45,State Senate District 3,"=""45003""","9,833",81,"9,833","24,641,837","2,534","1,912,434","5,950","7,544,004",563,408,380,"9,550","38,900,410",256,"262,942","8,677",2,"4,802","3,969","5,575",233,"5,695","3,381",0,"2,122",803,"1,582","2,171","1,305","1,052",879,798,597,515,0
SC,45,State Senate District 4,"=""45004""","11,284",93,"11,284","29,476,276","2,875","2,111,850","6,995","8,988,137",520,414,306,"10,992","46,028,232",263,"251,480","9,931",0,"5,846","4,281","6,720",223,"6,593","3,952",0,"2,334",820,"1,814","2,474","1,685","1,224","1,051",900,641,533,0
SC,45,State Senate District 5,"=""45005""","8,787",72,"8,787","21,251,767","2,425","1,839,912","5,277","6,965,519",508,345,388,"8,367","33,524,234",406,"413,492","7,422",25,"3,571","3,918","4,614",204,"5,039","3,108",0,"2,253",680,"1,354","1,708","1,116",930,875,770,604,540,13
SC,45,State Senate District 6,"=""45006""","9,349",159,"9,349","23,308,817","2,361","1,678,575","5,663","7,391,501",588,393,389,"8,957","35,792,748",386,"368,287","7,999",20,"4,020","4,286","4,697",358,"5,232","3,376",0,"2,251",771,"1,555","2,044","1,315","1,009",910,700,525,429,0
SC,45,State Senate District 7,"=""45007""","11,308",186,"11,308","29,201,454","2,634","1,808,218","6,930","8,744,610",726,503,413,"11,005","44,266,118",295,"253,083","10,007",32,"5,781","4,951","5,847",463,"6,124","4,229",0,"2,278",870,"1,914","2,628","1,702","1,259","1,026",772,572,383,0
SC,45,State Senate District 8,"=""45008""","8,543",111,"8,543","19,700,208","2,272","1,678,138","4,914","6,243,060",735,493,520,"8,215","31,628,169",320,"315,860","7,324",0,"3,603","4,202","3,899",392,"4,716","3,123",0,"1,833",759,"1,289","1,750","1,074",933,839,710,546,476,0
SC,45,State Senate District 9,"=""45009""","10,650",103,"10,650","27,251,364","2,786","2,026,659","6,604","8,328,274",612,456,363,"10,356","42,701,051",274,"253,185","9,376",37,"5,718","4,434","5,987",197,"5,771","4,118",0,"1,928",740,"1,614","2,198","1,592","1,226","1,019",887,588,497,0
SC,45,State Senate District 10,"=""45010""","10,647",178,"10,647","28,525,062","2,522","1,725,781","6,595","8,309,351",517,534,294,"10,406","43,250,610",184,"198,152","9,326",0,"5,483","4,306","5,871",362,"6,254","3,810",0,"2,036",668,"1,669","2,324","1,643","1,250",997,794,555,346,0
