"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
SD,46,State Senate District 1,"=""46001""","1,816",1,"1,816","4,297,221",504,"426,474","1,093","1,523,135",86,5,56,"1,679","8,027,408",3,"89,571","1,469",0,614,648,977,3,756,777,0,281,147,175,200,105,124,139,93,53,38,0
SD,46,State Senate District 2,"=""46002""","1,211",5,"1,211","2,660,604",396,"320,394",646,"1,061,902",38,13,33,"1,079","5,177,994",9,"95,613",918,0,170,386,544,7,524,350,0,248,30,73,112,29,56,70,52,24,17,0
SD,46,State Senate District 3,"=""46003""","1,729",23,"1,729","3,840,202",537,"424,429","1,034","1,363,571",212,74,188,"1,669","7,532,519",49,"47,895","1,490",0,570,937,733,41,706,877,0,296,167,256,311,165,199,190,178,136,98,0
SD,46,State Senate District 4,"=""46004""","1,173",6,"1,173","2,472,482",339,"283,130",616,"970,288",65,6,32,"1,064","4,831,201",2,"85,597",886,0,148,315,608,4,510,307,0,184,42,68,94,50,42,9,37,8,7,0
SD,46,State Senate District 5,"=""46005""","1,746",0,"1,746","3,691,745",494,"401,883",982,"1,296,140",202,90,172,"1,709","7,247,438",36,"27,927","1,545",0,520,745,947,54,815,794,0,285,241,275,300,198,179,160,142,133,111,0
SD,46,State Senate District 6,"=""46006""","1,286",4,"1,286","2,941,397",456,"368,623",835,"1,133,828",231,61,195,"1,239","5,887,045",14,"44,323","1,145",3,345,734,532,9,591,628,0,259,68,153,212,114,129,172,128,101,98,0
SD,46,State Senate District 7,"=""46007""","1,148",0,"1,148","2,208,656",299,"242,059",598,"810,612",128,85,140,"1,117","4,355,887",29,"41,320","1,015",0,308,552,544,52,467,558,0,175,163,214,215,101,101,97,91,77,71,0
SD,46,State Senate District 8,"=""46008""","1,287",0,"1,287","2,593,500",353,"303,375",652,"974,077",100,27,97,"1,197","5,140,906",33,"85,001","1,022",0,256,452,641,41,617,434,0,288,84,126,149,81,68,96,70,55,61,0
SD,46,State Senate District 9,"=""46009""","1,942",18,"1,942","4,316,526",633,"496,445","1,199","1,605,679",226,99,177,"1,890","8,627,209",38,"56,050","1,707",10,568,"1,086",812,32,752,995,0,255,152,272,308,191,200,224,193,125,100,0
SD,46,State Senate District 10,"=""46010""","1,659",34,"1,659","3,623,895",593,"486,818","1,009","1,359,840",218,102,182,"1,618","7,403,626",26,"54,505","1,450",8,456,908,704,32,674,830,0,222,134,205,256,162,187,176,195,146,137,0
SD,46,State Senate District 11,"=""46011""","1,529",16,"1,529","3,260,482",518,"405,226",931,"1,199,672",243,110,203,"1,487","6,572,340",42,"49,379","1,352",13,427,880,611,37,617,790,0,221,136,209,260,152,176,173,178,128,107,0
SD,46,State Senate District 12,"=""46012""","1,673",12,"1,673","3,415,940",519,"414,610",933,"1,215,049",225,102,199,"1,626","6,768,917",44,"51,150","1,446",15,449,921,700,47,680,837,0,252,182,241,278,164,180,171,168,135,100,0
SD,46,State Senate District 13,"=""46013""","1,353",4,"1,353","2,717,971",396,"321,879",731,"951,218",168,72,155,"1,317","5,277,910",36,"33,845","1,150",15,373,728,574,47,545,669,0,221,177,211,233,140,145,131,124,112,75,0
SD,46,State Senate District 14,"=""46014""","2,130",66,"2,130","4,713,036",705,"557,206","1,280","1,704,058",210,119,172,"2,085","9,315,516",44,"50,252","1,849",20,627,"1,128",941,61,843,"1,057",0,253,208,309,358,233,228,234,246,178,127,0
SD,46,State Senate District 15,"=""46015""","2,692",68,"2,692","5,771,002",799,"635,562","1,554","1,971,639",236,120,182,"2,648","11,272,802",43,"35,608","2,341",32,864,"1,411","1,174",101,988,"1,366",0,281,294,447,496,271,278,282,241,183,134,0
SD,46,State Senate District 16,"=""46016""","1,183",0,"1,183","2,575,454",361,"304,244",678,"907,437",107,2,90,"1,126","4,968,835",0,"70,483","1,018",0,293,551,612,0,582,492,0,252,0,123,173,74,79,100,65,24,26,0
SD,46,State Senate District 17,"=""46017""","1,138",0,"1,138","2,249,255",271,"229,413",596,"828,801",53,53,95,"1,078","4,321,164",24,"54,439",945,0,194,567,474,0,553,418,0,261,105,145,123,43,55,42,39,40,38,0
SD,46,State Senate District 18,"=""46018""","1,538",0,"1,538","3,285,180",423,"337,329",837,"1,086,751",143,62,146,"1,481","6,394,592",47,"55,679","1,287",0,420,703,722,35,665,657,0,236,183,222,242,146,142,140,112,81,78,0
SD,46,State Senate District 19,"=""46019""","1,080",0,"1,080","2,279,962",257,"263,607",568,"876,636",2,1,2,978,"4,349,680",1,"91,325",843,0,79,386,607,1,624,270,0,318,3,4,48,2,2,2,2,1,1,0
SD,46,State Senate District 20,"=""46020""","1,770",0,"1,770","3,726,858",466,"386,573",986,"1,350,065",127,60,152,"1,686","7,176,256",41,"77,378","1,448",24,451,675,999,31,"1,090",502,0,401,189,241,261,135,129,115,115,85,89,0
SD,46,State Senate District 21,"=""46021""","1,710",0,"1,710","4,272,947",384,"280,779","1,049","1,523,463",21,0,42,"1,576","7,277,976",54,"115,379","1,343",0,550,399,"1,126",92,"1,073",455,0,496,153,205,226,164,123,63,58,0,0,0
SD,46,State Senate District 22,"=""46022""","1,801",67,"1,801","4,511,917",562,"446,118","1,142","1,744,761",132,40,80,"1,727","8,613,147",39,"87,125","1,510",0,426,750,969,0,951,642,0,246,142,195,208,164,203,220,188,93,81,0
SD,46,State Senate District 23,"=""46023""","1,082",0,"1,082","2,351,113",258,"218,589",535,"840,001",24,0,30,971,"4,175,626",0,"104,515",755,0,205,305,629,0,533,311,0,312,44,69,130,39,39,41,2,0,0,0
SD,46,State Senate District 24,"=""46024""","1,481",0,"1,481","3,195,503",437,"358,985",843,"1,048,211",158,38,87,"1,435","6,071,268",30,"40,438","1,273",0,522,697,659,82,569,715,0,198,164,221,212,115,159,128,101,66,53,0
SD,46,State Senate District 25,"=""46025""","1,440",22,"1,440","3,165,493",500,"406,567",870,"1,164,052",163,52,127,"1,388","6,319,448",22,"62,760","1,254",2,343,795,612,22,618,707,0,229,73,137,182,91,124,120,136,102,81,0
SD,46,State Senate District 26,"=""46026""","2,961",0,"2,961","7,575,010",788,"619,342","1,937","2,568,518",31,0,27,"2,906","13,434,228",1,"42,091","2,577",0,"1,612",949,"1,753",138,938,"1,660",0,215,433,412,409,288,258,164,133,58,34,0
SD,46,State Senate District 27,"=""46027""","2,874",37,"2,874","7,614,438",861,"661,726","2,000","2,754,665",25,0,0,"2,826","13,707,058",0,"31,512","2,558",0,"1,899",524,"2,016",201,"1,152","1,484",0,332,359,401,401,218,237,237,149,131,38,0
SD,46,State Senate District 28,"=""46028""","2,342",0,"2,342","5,633,117",664,"525,167","1,472","1,995,781",87,37,70,"2,247","10,167,669",42,"90,882","1,942",0,987,681,"1,228",233,"1,002","1,005",0,378,264,293,281,183,132,162,129,85,85,0
SD,46,State Senate District 29,"=""46029""","2,079",2,"2,079","4,636,956",643,"507,812","1,240","1,786,242",175,65,155,"2,000","8,944,793",26,"100,299","1,782",0,602,"1,117",803,43,"1,040",849,0,464,155,265,276,164,146,171,109,138,156,0
SD,46,State Senate District 30,"=""46030""","1,580",0,"1,580","3,251,097",360,"270,399",812,"1,096,970",49,14,81,"1,473","5,716,178",31,"83,798","1,295",0,427,837,648,13,716,649,0,355,157,215,268,165,90,86,76,20,45,0
SD,46,State Senate District 31,"=""46031""","1,735",0,"1,735","3,288,491",398,"304,928",825,"1,025,137",104,54,139,"1,640","5,986,288",47,"88,805","1,402",0,540,993,695,21,805,703,0,346,246,360,332,171,121,107,90,67,70,0
SD,46,State Senate District 32,"=""46032""","2,545",50,"2,545","5,564,105",607,"439,787","1,470","1,765,739",181,99,166,"2,498","9,877,933",47,"46,869","2,253",0,"1,092","1,357","1,020",168,"1,235","1,092",0,277,403,489,501,295,236,214,169,130,103,0
SD,46,State Senate District 33,"=""46033""","1,759",21,"1,759","3,742,243",472,"358,153","1,011","1,243,498",146,64,151,"1,707","6,836,400",35,"49,215","1,536",0,656,998,658,104,883,736,0,271,244,323,332,197,158,164,127,106,101,0
