"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TN,47,State Senate District 1,"=""47001""","20,313",197,"20,313","49,446,033","4,779","3,504,897","11,783","14,565,522",399,403,450,"19,686","83,000,971",551,"502,469","18,141",79,"8,320","8,415","11,745",48,"9,892","8,392",0,"4,879","2,029","3,521","4,534","2,927","2,004","1,504","1,265","1,014",942,0
TN,47,State Senate District 2,"=""47002""","18,175",60,"18,175","41,935,417","4,412","3,270,342","10,209","12,753,363",696,534,595,"17,433","70,036,543",631,"672,161","15,935",42,"6,457","9,097","8,712",240,"9,175","7,096",0,"4,375","1,699","3,136","3,976","2,451","1,793","1,480","1,338",993,931,0
TN,47,State Senate District 3,"=""47003""","17,114",111,"17,114","37,618,028","3,877","2,888,539","9,194","11,177,249",506,574,722,"16,501","64,631,868",516,"510,470","14,997",37,"6,355","9,132","7,551",275,"7,757","7,302",0,"3,547","1,923","3,186","3,703","2,080","1,540","1,313","1,206",901,856,0
TN,47,State Senate District 4,"=""47004""","17,452",79,"17,452","40,338,886","3,922","2,913,640","9,775","11,999,604",463,525,672,"16,855","67,793,542",542,"562,930","15,496",129,"7,340","8,599","8,588",177,"8,497","7,135",0,"3,878","1,850","3,189","3,904","2,183","1,638","1,361","1,124",947,862,0
TN,47,State Senate District 5,"=""47005""","16,420",105,"16,420","38,757,267","4,022","3,035,116","9,515","12,144,313",669,509,622,"15,867","65,223,216",491,"499,909","14,469",7,"6,064","8,472","7,319",533,"8,162","6,679",0,"3,801","1,620","2,833","3,571","2,137","1,584","1,357","1,174",931,920,0
TN,47,State Senate District 6,"=""47006""","15,465",161,"15,465","36,123,871","3,361","2,475,516","8,635","11,011,272",687,601,668,"14,898","59,373,420",534,"542,542","13,613",27,"5,752","7,713","7,149",527,"8,232","5,664",0,"4,004","1,666","2,866","3,649","1,863","1,527","1,197","1,020",776,734,0
TN,47,State Senate District 7,"=""47007""","14,596",185,"14,596","33,082,015","3,106","2,268,417","7,928","10,087,470",722,618,723,"14,016","54,563,189",543,"575,480","12,755",39,"5,094","7,669","6,175",642,"7,474","5,524",0,"3,469","1,574","2,731","3,473","1,773","1,323","1,143",948,756,643,0
TN,47,State Senate District 8,"=""47008""","18,805",30,"18,805","46,057,720","4,493","3,483,525","11,146","14,031,225",160,338,343,"18,146","77,681,365",509,"552,625","16,672",4,"7,763","7,598","11,077",32,"9,457","7,715",0,"4,892","1,753","3,186","4,065","2,579","1,738","1,521","1,199","1,006","1,050",0
TN,47,State Senate District 9,"=""47009""","18,727",105,"18,727","44,784,491","4,657","3,531,560","10,936","13,964,497",371,405,483,"18,056","76,026,188",467,"590,663","16,401",69,"7,564","8,416","9,940",217,"9,210","7,824",0,"4,210","1,873","3,132","3,826","2,396","1,809","1,614","1,274",981,952,0
TN,47,State Senate District 10,"=""47010""","20,554",261,"20,554","50,896,022","4,687","3,303,594","12,113","14,995,470",841,765,744,"19,987","83,820,012",456,"514,129","18,188",141,"9,608","9,779","10,000",643,"10,455","8,233",0,"4,056","2,014","3,791","4,813","2,826","2,202","1,628","1,351",913,728,0
TN,47,State Senate District 11,"=""47011""","14,418",103,"14,418","32,656,609","3,723","2,856,790","8,137","10,146,540",888,708,769,"13,792","56,601,492",571,"572,860","12,510",33,"5,330","7,580","6,313",404,"7,330","5,706",0,"3,305","1,377","2,406","2,956","1,758","1,421","1,262","1,116",917,819,0
TN,47,State Senate District 12,"=""47012""","19,065",51,"19,065","48,015,117","4,516","3,393,949","11,518","14,641,248",220,250,339,"18,403","79,212,490",441,"572,476","16,985",0,"7,948","8,055","10,633",237,"8,789","8,582",0,"5,023","1,686","3,281","4,105","2,632","1,846","1,507","1,071",879,896,0
TN,47,State Senate District 13,"=""47013""","17,548",260,"17,548","41,061,774","5,710","4,547,683","10,828","14,074,969","1,512",993,"1,161","16,957","74,133,007",573,"614,409","15,710",53,"6,433","9,951","7,319",257,"8,200","7,930",0,"3,854","1,396","2,547","3,186","2,051","1,792","1,935","1,724","1,488","1,237",0
TN,47,State Senate District 14,"=""47014""","17,884",190,"17,884","42,106,079","5,255","4,096,876","10,618","13,694,679",884,575,695,"17,243","74,795,364",496,"661,815","15,884",0,"7,082","8,456","8,961",285,"8,315","7,939",0,"3,932","1,601","2,767","3,490","2,148","1,744","1,587","1,390","1,169",991,0
TN,47,State Senate District 15,"=""47015""","19,883",100,"19,883","48,818,176","4,545","3,340,987","11,556","15,080,616",538,545,645,"19,015","81,309,100",728,"793,514","17,595",0,"7,752","7,737","11,795",239,"10,481","7,609",0,"6,094","1,714","3,284","4,302","2,573","1,890","1,601","1,285",967,924,0
TN,47,State Senate District 16,"=""47016""","20,197",103,"20,197","49,012,540","5,186","3,965,018","12,025","14,952,188",480,365,431,"19,409","82,289,074",568,"642,733","17,601",0,"8,346","7,900","12,060",120,"10,136","8,200",0,"5,210","1,866","3,586","4,134","2,648","1,793","1,529","1,359","1,041",993,0
TN,47,State Senate District 17,"=""47017""","17,189",76,"17,189","40,342,122","4,756","3,710,857","10,081","12,999,316",759,443,643,"16,465","70,778,811",576,"633,274","15,095",0,"6,545","7,656","9,246",143,"8,539","6,968",0,"4,482","1,548","2,649","3,352","2,084","1,586","1,463","1,230","1,060",913,0
TN,47,State Senate District 18,"=""47018""","16,645",145,"16,645","39,291,051","4,772","3,684,806","9,926","12,712,590","1,181",677,886,"15,971","68,175,477",631,"697,277","14,668",76,"6,518","8,720","7,678",187,"7,998","7,161",0,"3,974","1,506","2,638","3,376","2,051","1,711","1,680","1,472","1,056",972,22
TN,47,State Senate District 19,"=""47019""","26,992",753,"26,992","68,877,656","6,339","4,520,946","16,410","21,121,974","1,493","1,214","1,267","26,124","112,101,327",823,"761,667","23,621",49,"11,070","14,192","11,382","1,309","13,946","10,607",0,"6,330","2,368","5,003","6,233","3,669","2,804","2,563","1,913","1,259",789,8
TN,47,State Senate District 20,"=""47020""","14,273",287,"14,273","31,542,738","3,589","2,725,737","7,639","9,906,422",952,720,947,"13,461","53,196,683",768,"767,078","12,063",9,"4,649","7,954","5,829",379,"7,360","5,525",0,"3,799","1,469","2,639","3,024","1,641","1,338","1,327","1,090",827,631,0
TN,47,State Senate District 21,"=""47021""","21,830",668,"21,830","52,881,731","5,463","3,972,894","12,800","16,859,400","1,321","1,124","1,227","20,787","87,228,791","1,036","979,406","18,573",8,"7,485","11,586","9,404",803,"11,669","8,264",0,"5,758","2,031","3,795","4,803","2,844","2,298","2,202","1,691","1,171",830,14
TN,47,State Senate District 22,"=""47022""","23,292",152,"23,292","59,541,421","6,733","5,010,321","15,687","21,812,377","1,501","1,309","1,811","22,837","111,561,737",382,"478,493","21,650",0,"9,313","13,525","8,776",937,"10,308","11,286",0,"4,304","1,666","3,445","4,209","2,724","2,477","2,508","2,167","1,821","1,598",70
TN,47,State Senate District 23,"=""47023""","6,909",34,"6,909","13,935,916","1,908","1,548,542","3,507","4,709,018",471,323,545,"6,396","24,259,786",499,"554,751","5,610",0,"1,675","4,004","2,608",203,"3,910","2,289",0,"2,250",753,"1,101","1,275",704,562,596,606,514,510,0
TN,47,State Senate District 24,"=""47024""","19,875",86,"19,875","49,608,347","4,873","3,582,442","11,844","14,888,061",572,476,523,"19,322","85,753,777",269,"451,297","17,746",0,"8,445","9,201","10,363",33,"8,148","9,714",0,"4,058","1,665","3,201","4,112","2,853","1,875","1,663","1,239",846,745,0
TN,47,State Senate District 25,"=""47025""","17,916",73,"17,916","43,378,110","5,052","3,951,940","10,693","13,802,885",773,357,617,"17,217","73,962,819",507,"716,758","15,641",0,"7,377","8,787","8,969",58,"9,057","7,330",0,"4,716","1,581","2,843","3,603","2,159","1,677","1,712","1,523","1,143",950,0
TN,47,State Senate District 26,"=""47026""","20,942",117,"20,942","54,259,872","5,236","3,861,653","12,716","15,864,201",846,605,396,"20,349","91,126,100",304,"521,421","18,636",0,"9,146","9,312","11,289",75,"10,698","8,616",0,"5,221","1,388","3,092","4,340","2,795","2,110","1,780","1,490",952,674,0
TN,47,State Senate District 27,"=""47027""","21,888",256,"21,888","57,727,370","5,373","3,869,268","13,527","16,882,038","1,069",819,575,"21,413","97,234,891",345,"409,324","19,794",0,"10,430","10,812","10,926",58,"9,554","10,428",0,"4,233","1,635","3,549","4,953","3,189","2,227","1,931","1,615","1,114",744,0
TN,47,State Senate District 28,"=""47028""","18,727",104,"18,727","45,758,373","5,025","3,851,184","11,203","14,285,045",682,446,551,"18,057","78,545,122",489,"651,165","16,622",0,"7,199","8,659","9,708",225,"9,370","7,744",0,"4,584","1,498","2,892","3,717","2,388","1,873","1,621","1,379","1,015",943,22
TN,47,State Senate District 29,"=""47029""","35,407",648,"35,407","112,028,888","5,397","3,307,962","22,634","29,180,997","1,811","2,031",759,"34,975","165,074,321",411,"342,563","32,928",166,"22,013","13,951","20,356",958,"21,677","11,850",0,"12,191","1,754","6,044","11,098","6,652","3,526","2,628","1,879","1,058",452,0
TN,47,State Senate District 30,"=""47030""","33,342",650,"33,342","107,392,814","5,535","3,422,840","22,329","29,454,360","1,749","1,921",704,"32,900","158,571,801",427,"362,809","30,860",81,"20,659","13,358","19,256",659,"19,848","11,712",0,"11,595","1,535","5,471","10,327","6,377","3,465","2,537","1,867","1,075",532,0
TN,47,State Senate District 31,"=""47031""","16,458",248,"16,458","42,855,922","3,829","2,724,816","10,053","13,097,267","1,587","1,557",848,"15,938","71,251,353",492,"521,684","14,638",12,"7,528","8,248","7,962",218,"9,467","6,005",0,"5,262","1,017","2,449","3,716","2,413","1,756","1,771","1,454",974,671,0
TN,47,State Senate District 32,"=""47032""","14,989",165,"14,989","38,397,996","3,836","2,887,877","9,224","11,925,129","1,201","1,013",703,"14,554","65,413,485",366,"470,466","13,394",0,"6,433","7,352","7,476",77,"8,247","5,687",0,"4,147",985,"2,201","3,320","2,039","1,611","1,535","1,322",969,772,0
TN,47,State Senate District 33,"=""47033""","34,901",631,"34,901","107,410,082","6,738","4,176,604","23,213","30,216,396","2,772","2,787",936,"34,427","166,538,263",454,"399,436","32,588",108,"20,874","14,340","19,788",760,"21,060","12,377",0,"11,695","1,451","5,245","9,514","6,512","4,134","3,377","2,435","1,389",640,0
