"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TX,48,State Senate District 1,"=""48001""","80,238",841,"80,238","209,344,865","21,082","15,670,336","50,279","64,738,874","3,210","2,463","1,740","78,151","354,002,069","1,470","1,968,520","70,670",538,"37,606","36,498","42,660",499,"38,627","35,467",0,"17,392","6,313","12,150","16,612","11,688","8,768","7,230","5,683","4,063","3,550",0
TX,48,State Senate District 2,"=""48002""","82,522","1,402","82,522","221,955,985","23,150","17,109,460","53,694","72,891,051","5,247","3,917","2,690","79,663","372,451,862","2,474","2,994,471","72,091",173,"38,622","36,544","44,942",644,"44,402","32,733",0,"23,936","5,206","11,416","16,714","12,194","9,198","8,351","7,316","5,328","4,244",29
TX,48,State Senate District 3,"=""48003""","77,494",874,"77,494","203,810,693","20,362","15,327,700","48,900","63,761,046","2,581","1,965","1,499","75,430","343,799,927","1,486","1,918,841","67,980",308,"37,739","35,196","41,395",414,"37,117","34,295",0,"18,605","6,065","11,751","15,958","11,180","7,905","6,635","5,511","4,074","3,505",0
TX,48,State Senate District 4,"=""48004""","63,606","1,105","63,606","164,410,997","16,497","12,587,612","39,553","52,254,643","3,674","3,052","2,354","61,368","274,838,943","2,095","2,403,740","55,595",0,"28,744","30,463","32,080",619,"33,150","25,399",0,"17,513","5,061","9,995","13,642","8,961","6,474","5,658","5,010","3,965","3,410",0
TX,48,State Senate District 5,"=""48005""","59,634",781,"59,634","147,370,472","17,831","13,646,024","36,695","48,763,744","4,007","2,815","3,073","57,703","257,817,981","1,588","2,068,888","51,602",44,"23,820","33,382","24,585","1,255","29,547","25,529",0,"14,065","4,354","8,303","11,425","7,725","6,508","5,894","5,275","3,997","3,266",24
TX,48,State Senate District 6,"=""48006""","102,815","2,794","102,815","300,776,572","27,182","19,944,581","69,847","96,792,565","6,006","5,156","2,269","98,246","475,804,035","4,520","5,180,726","88,741",57,"49,162","31,289","68,236","2,967","63,343","34,420",0,"35,992","5,109","14,238","24,127","17,366","11,164","10,054","8,512","6,378","5,076",37
TX,48,State Senate District 7,"=""48007""","64,178","1,477","64,178","162,950,352","18,317","14,008,387","40,161","54,222,410","5,834","4,828","3,216","60,648","273,775,933","3,484","4,173,755","55,406",83,"24,452","29,026","33,612","1,439","39,176","21,275",0,"21,906","4,213","8,527","12,617","9,077","7,067","6,698","6,231","4,922","4,307",119
TX,48,State Senate District 8,"=""48008""","46,134","1,375","46,134","109,079,084","12,253","9,146,391","26,335","34,978,750","3,768","3,476","2,540","43,454","183,801,704","2,643","2,872,600","38,823",65,"17,340","22,474","22,904",613,"26,603","16,249",0,"15,423","3,820","6,715","9,233","6,283","5,028","4,733","4,192","3,219","2,538",0
TX,48,State Senate District 9,"=""48009""","84,099","1,990","84,099","224,441,055","24,225","17,635,615","55,126","74,544,257","5,750","5,611","3,423","81,090","383,573,367","2,947","3,375,456","74,036",322,"39,731","33,871","48,733","1,332","47,967","31,124",0,"26,074","4,946","11,227","16,979","13,222","10,147","9,074","7,760","5,605","4,382",66
TX,48,State Senate District 10,"=""48010""","88,011","2,173","88,011","243,711,897","23,092","16,601,895","57,846","78,593,255","5,331","5,186","3,292","85,518","404,980,161","2,432","2,734,762","78,067",365,"44,435","34,450","51,596","1,777","50,210","32,507",0,"27,704","5,483","12,725","19,328","14,228","10,147","8,921","7,352","5,156","4,083",29
