"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
UT,49,State Senate District 1,"=""49001""","9,895",380,"9,895","26,268,028","3,275","2,383,821","6,882","9,988,712",393,370,336,"9,671","43,757,689",219,"211,631","8,496",17,"3,412","3,775","5,772",312,"5,151","4,121",0,"1,696",606,"1,295","1,738","1,310","1,301","1,116",925,699,698,41
UT,49,State Senate District 2,"=""49002""","6,410",175,"6,410","11,897,204","1,229","876,726","2,928","3,891,839",179,394,466,"6,117","19,889,497",283,"202,839","5,164",2,"1,901","3,248","2,781",347,"3,321","2,245",0,"1,335",840,"1,427","1,535",610,533,483,346,271,203,0
UT,49,State Senate District 3,"=""49003""","8,872",348,"8,872","20,851,637","2,425","1,755,437","5,291","7,257,814",397,440,443,"8,573","34,222,812",285,"245,773","7,321",0,"2,843","3,913","4,624",330,"4,550","3,535",0,"1,718",788,"1,457","1,734","1,110","1,001",871,731,538,484,9
UT,49,State Senate District 4,"=""49004""","4,474",43,"4,474","8,601,476","1,087","840,199","2,179","2,936,666",212,322,393,"4,217","14,600,939",257,"223,919","3,594",0,"1,122","2,471","1,837",166,"2,532","1,508",0,"1,213",514,821,919,449,404,390,376,309,274,0
UT,49,State Senate District 5,"=""49005""","9,621",285,"9,621","24,711,039","3,383","2,472,292","6,585","9,508,866",462,418,377,"9,401","42,111,775",220,"203,930","8,399",0,"3,341","4,012","5,354",255,"4,968","4,066",0,"1,660",577,"1,207","1,631","1,285","1,227","1,118",970,766,773,59
UT,49,State Senate District 6,"=""49006""","7,403",147,"7,403","17,707,840","2,557","1,940,919","4,783","6,836,423",380,416,425,"7,199","30,472,215",204,"207,629","6,460",0,"2,354","3,578","3,601",223,"3,976","2,938",0,"1,453",514,983,"1,276",862,855,853,757,579,655,65
UT,49,State Senate District 7,"=""49007""","6,656",68,"6,656","16,120,111","2,378","1,910,524","4,616","7,587,579",200,516,632,"6,479","28,648,180",163,"168,278","5,950",0,"1,909","3,256","3,215",173,"3,941","2,325",0,"1,723",454,764,"1,016",707,679,649,683,633,948,117
UT,49,State Senate District 8,"=""49008""","7,230",201,"7,230","15,939,971","2,129","1,597,430","4,149","5,541,345",384,410,461,"6,957","26,774,405",267,"244,612","6,089",0,"2,264","3,613","3,346",225,"3,633","2,904",0,"1,515",647,"1,165","1,426",783,764,736,668,477,454,0
UT,49,State Senate District 9,"=""49009""","4,806",31,"4,806","9,966,499","1,459","1,152,231","2,611","3,703,322",204,324,365,"4,573","16,882,584",222,"256,874","3,959",0,"1,232","2,633","2,030",109,"2,681","1,646",0,"1,244",431,743,888,468,459,439,443,378,426,0
UT,49,State Senate District 10,"=""49010""","4,681",53,"4,681","10,495,502","1,742","1,394,281","3,033","4,536,760",283,393,409,"4,538","18,970,425",143,"165,708","4,113",0,"1,269","2,521","2,069",84,"2,784","1,624",0,"1,240",310,545,714,495,490,513,513,467,565,68
