"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
VA,51,State Senate District 1,"=""51001""","19,537",298,"19,537","47,296,163","5,332","3,889,248","12,232","15,653,827","1,723","1,336","1,169","19,188","83,801,754",335,"276,590","18,027",51,"8,375","13,125","5,624",744,"9,120","8,869",0,"3,164","1,534","2,975","3,919","2,585","2,262","2,042","1,691","1,301","1,063",7
VA,51,State Senate District 2,"=""51002""","22,131",327,"22,131","55,025,680","5,509","3,957,074","13,960","17,602,101","1,814","1,517","1,194","21,790","95,117,144",327,"326,235","20,478",42,"10,091","14,795","6,599",706,"10,782","9,676",0,"3,915","1,793","3,736","4,706","3,105","2,295","2,161","1,813","1,329","1,074",18
VA,51,State Senate District 3,"=""51003""","12,962",44,"12,962","28,143,053","3,575","2,779,804","7,244","9,121,389",753,570,661,"12,540","50,781,901",276,"373,088","11,405",0,"4,587","8,294","3,833",480,"6,568","4,991",0,"2,228","1,095","2,031","2,398","1,431","1,150","1,135",965,767,727,0
VA,51,State Senate District 4,"=""51004""","14,323",23,"14,323","32,763,253","3,870","2,946,106","8,185","10,330,700",581,426,417,"13,790","56,605,486",266,"450,911","12,472",0,"5,519","8,532","5,033",235,"7,057","5,685",0,"2,718","1,078","2,202","2,674","1,651","1,093","1,143",980,717,534,0
VA,51,State Senate District 5,"=""51005""","26,574",446,"26,574","69,308,570","6,149","4,303,425","16,832","21,359,801","2,030","1,619","1,269","26,210","115,613,601",335,"304,122","24,735",220,"12,440","17,351","8,528",638,"13,644","11,019",0,"4,874","1,959","4,568","6,265","3,879","2,740","2,445","2,110","1,386","1,072",15
VA,51,State Senate District 6,"=""51006""","18,313",158,"18,313","44,571,627","4,358","3,100,167","11,046","13,953,429",907,804,781,"17,790","76,647,064",204,"378,117","16,321",57,"8,160","10,885","6,642",316,"8,454","7,986",0,"2,775","1,246","2,811","3,840","2,103","1,875","1,502","1,078",650,505,0
VA,51,State Senate District 7,"=""51007""","18,797",222,"18,797","42,739,368","5,466","4,147,522","11,249","14,490,839","1,908","1,408","1,397","18,275","78,947,659",514,"472,086","17,209",73,"7,227","12,402","5,903",453,"9,132","8,093",0,"3,507","1,424","2,744","3,634","2,199","1,961","1,998","1,919","1,467","1,242",23
VA,51,State Senate District 8,"=""51008""","15,970",171,"15,970","36,047,695","4,396","3,315,514","9,406","12,281,399","1,371","1,117","1,188","15,515","65,992,875",444,"378,563","14,465",41,"5,912","10,281","5,250",404,"8,049","6,534",0,"3,093","1,283","2,426","3,208","1,933","1,609","1,624","1,481","1,150","1,079",0
VA,51,State Senate District 9,"=""51009""","21,711",389,"21,711","52,275,955","4,883","3,402,560","12,774","15,343,675","1,625","1,169",882,"21,253","85,892,094",408,"350,726","19,633",15,"10,310","13,327","7,956",345,"10,406","9,312",0,"4,075","2,080","4,102","5,055","2,863","2,242","1,991","1,531","1,094",552,0
VA,51,State Senate District 10,"=""51010""","14,205",251,"14,205","31,306,022","3,556","2,639,956","7,748","9,590,399","1,025",915,859,"13,702","53,001,578",496,"489,665","12,448",44,"5,657","8,702","5,205",241,"7,252","5,657",0,"3,122","1,434","2,534","3,108","1,673","1,379","1,335","1,144",865,600,0
VA,51,State Senate District 11,"=""51011""","15,007",219,"15,007","34,980,498","4,393","3,361,480","8,947","11,357,970","1,201",947,839,"14,550","60,939,762",443,"455,003","13,339",19,"5,780","9,152","5,624",200,"7,644","6,269",0,"3,196","1,224","2,288","2,866","1,847","1,583","1,543","1,486","1,139",857,0
VA,51,State Senate District 12,"=""51012""","11,860",251,"11,860","25,208,131","3,077","2,292,477","6,257","8,067,296",953,772,708,"11,241","42,824,691",588,"633,105","9,963",0,"3,601","6,822","4,781",174,"6,427","4,366",0,"2,960","1,124","1,877","2,478","1,296","1,171","1,193","1,060",843,590,0
VA,51,State Senate District 13,"=""51013""","6,724",200,"6,724","14,345,134","1,820","1,447,994","3,597","4,862,483",416,452,379,"6,206","24,420,937",475,"548,546","5,412",0,"1,491","3,132","3,360",132,"4,109","2,001",0,"2,259",576,"1,019","1,215",743,622,639,607,523,453,0
VA,51,State Senate District 14,"=""51014""","14,044",143,"14,044","32,497,040","3,809","2,896,285","8,369","10,746,321","1,259",964,911,"13,713","58,606,040",279,"289,715","12,783",26,"5,596","9,097","4,661",246,"7,359","5,575",0,"2,777","1,066","2,123","2,785","1,648","1,393","1,352","1,217",973,893,11
VA,51,State Senate District 15,"=""51015""","19,840",80,"19,840","47,995,417","5,078","3,724,671","11,358","13,872,197",621,413,306,"19,317","81,624,196",190,"403,238","17,520",27,"8,210","10,555","8,686",280,"10,034","8,134",0,"3,033","1,383","2,936","3,989","2,466","1,861","1,696","1,317",826,512,0
VA,51,State Senate District 16,"=""51016""","25,687",513,"25,687","64,395,835","6,499","4,674,280","16,170","19,980,191","2,070","1,456",997,"25,279","108,716,618",402,"330,688","23,491",162,"12,540","15,386","9,834",441,"12,294","11,437",0,"4,167","2,140","4,285","5,544","3,604","2,846","2,577","2,055","1,450","1,010",0
VA,51,State Senate District 17,"=""51017""","15,353",195,"15,353","35,265,685","4,388","3,340,326","8,930","11,481,799",939,665,708,"14,766","60,985,754",542,"599,514","13,364",0,"5,664","9,252","5,316",657,"7,910","6,077",0,"3,175","1,417","2,405","3,016","1,882","1,532","1,476","1,307",999,796,0
VA,51,State Senate District 18,"=""51018""","22,867",334,"22,867","60,279,875","5,403","3,837,949","14,564","18,321,840","1,686","1,149",794,"22,553","100,517,745",214,"227,459","21,150",115,"11,328","14,830","7,644",262,"11,356","9,776",0,"3,829","1,500","3,574","5,062","3,455","2,346","2,123","1,678","1,080",808,0
