"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
VT,50,Addison State Senate District,"=""50ADD""","2,338",0,"2,338","4,224,845",632,"525,693","1,032","1,289,580",26,26,128,"2,136","7,756,167",99,"174,355","1,693",0,508,"1,171",959,63,"1,205",818,0,563,193,266,313,133,119,112,127,106,33,0
VT,50,Bennington State Senate District,"=""50BEN""","3,292",0,"3,292","6,763,862",870,"659,888","1,630","1,998,356",97,39,151,"3,052","12,049,023",129,"167,133","2,546",0,"1,079","1,748","1,243",66,"1,353","1,402",0,717,367,544,532,314,245,217,203,78,53,0
VT,50,Caledonia State Senate District,"=""50CAL""","3,338",0,"3,338","7,024,197",882,"753,822","1,744","2,263,789",68,28,127,"3,092","12,538,868",72,"215,198","2,559",0,855,"1,602","1,528",33,"1,640","1,237",0,894,239,334,364,224,189,169,137,105,79,0
VT,50,Grand-Isle-Chittenden State Senate Distr,"=""50CGI""","1,139",0,"1,139","2,065,595",337,"276,851",523,"618,815",104,52,90,"1,074","3,953,376",39,"65,612",894,0,325,691,358,49,502,489,0,223,108,154,170,91,87,96,80,63,37,0
VT,50,Chittenden State Senate District,"=""50CHI""","7,233",93,"7,233","12,973,620","1,764","1,393,349","3,152","3,836,595",396,267,713,"6,797","23,706,332",331,"396,668","5,282",0,"1,856","3,798","2,773",541,"3,582","2,765",0,"1,533","1,010","1,317","1,469",589,508,583,500,341,268,0
VT,50,Essex-Orleans State Senate District,"=""50E-O""","3,627",0,"3,627","7,764,956",890,"717,027","1,841","2,362,744",39,22,72,"3,363","13,699,724",62,"207,513","2,753",0,"1,094","1,469","1,818",23,"2,026","1,118",0,968,242,399,523,212,240,167,93,59,28,0
VT,50,Franklin State Senate District,"=""50FRA""","3,531",0,"3,531","7,283,864","1,069","857,784","1,859","2,274,806",163,81,186,"3,318","13,524,729",133,"186,163","2,795",0,"1,164","1,751","1,610",56,"1,423","1,627",0,820,285,507,583,320,268,254,215,197,152,0
VT,50,Lamoille State Senate District,"=""50LAM""","1,799",0,"1,799","3,451,005",498,"401,290",869,"1,063,791",107,0,125,"1,674","6,369,468",74,"98,544","1,423",0,516,"1,022",693,25,792,752,0,448,211,259,310,136,113,137,97,22,21,0
VT,50,Orange State Senate District,"=""50ORA""","1,419",0,"1,419","2,757,011",342,"306,973",655,"891,755",29,0,34,"1,289","5,004,727",1,"102,627","1,039",0,354,742,478,30,673,453,0,370,81,93,130,69,71,62,53,42,20,0
VT,50,Rutland State Senate District,"=""50RUT""","4,692",28,"4,692","8,918,914","1,156","924,133","2,191","2,605,915",61,53,236,"4,429","16,202,966",116,"211,995","3,583",0,"1,458","2,303","2,130",69,"2,402","1,679",0,"1,048",506,769,825,321,284,201,195,186,85,0
VT,50,Washington State Senate District,"=""50WAS""","3,912",0,"3,912","7,030,369","1,089","911,369","1,790","2,120,304",157,64,231,"3,613","12,856,096",131,"222,768","2,940",0,"1,076","2,187","1,330",151,"1,878","1,499",0,986,426,526,600,228,272,221,209,125,95,0
VT,50,Windham State Senate District,"=""50WDM""","3,218",0,"3,218","6,037,385",780,"640,241","1,380","1,686,745",94,57,187,"2,977","10,627,048",126,"179,370","2,351",0,990,"1,591","1,144",137,"1,538","1,090",0,771,299,483,503,219,171,192,157,107,57,0
VT,50,Windsor State Senate District,"=""50WSR""","4,068",0,"4,068","7,793,465","1,079","852,312","1,868","2,299,235",86,49,179,"3,728","14,046,134",191,"293,225","3,102",0,"1,394","2,123","1,625",63,"1,833","1,595",0,975,393,535,577,206,206,202,197,102,34,0
