"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WA,53,State Senate District 1,"=""53001""","5,266",88,"5,266","9,321,574","1,465","1,191,969","2,356","2,919,618",296,331,418,"4,917","16,819,570",343,"377,762","4,187",0,"1,092","3,206","1,809",229,"2,559","2,038",0,"1,290",694,921,"1,033",452,427,448,484,389,364,0
WA,53,State Senate District 2,"=""53002""","9,583",71,"9,583","21,386,780","3,325","2,724,385","5,832","8,036,799",504,467,666,"9,324","42,244,523",207,"282,758","8,511",0,"3,063","6,313","2,996",207,"4,050","4,621",0,"1,553",891,"1,248","1,487",977,944,990,961,918,950,9
WA,53,State Senate District 3,"=""53003""","13,677",242,"13,677","30,564,494","3,636","2,707,102","7,649","9,921,208",658,491,906,"13,270","52,751,401",372,"342,161","11,741",32,"4,841","8,295","4,864",488,"5,415","6,654",0,"2,027","1,677","2,261","2,564","1,569","1,493","1,326","1,096",808,673,0
WA,53,State Senate District 4,"=""53004""","10,797",69,"10,797","23,671,087","3,350","2,591,257","6,070","7,947,620",644,449,818,"10,404","41,706,783",341,"372,720","9,292",0,"3,344","6,732","3,831",169,"4,664","5,016",0,"2,027","1,111","1,589","1,888","1,186","1,173","1,144",958,827,760,0
WA,53,State Senate District 5,"=""53005""","4,057",18,"4,057","7,466,844","1,168","961,587","1,885","2,340,826",143,156,255,"3,820","13,698,643",154,"217,596","3,287",0,963,"2,542","1,363",90,"1,922","1,599",0,996,517,697,768,354,299,308,323,261,233,0
WA,53,State Senate District 6,"=""53006""","9,154",78,"9,154","19,915,996","2,715","2,146,183","5,190","6,841,159",558,457,800,"8,843","36,142,148",274,"292,782","7,901",0,"2,734","5,733","3,068",294,"3,840","4,394",0,"1,638","1,034","1,390","1,522",941,938,911,834,651,691,0
WA,53,State Senate District 7,"=""53007""","9,716",37,"9,716","22,150,886","2,674","2,120,791","5,449","7,463,726",181,153,474,"9,320","38,203,320",203,"332,182","8,062",0,"2,670","6,008","3,316",66,"3,969","4,565",0,"1,862",874,"1,351","1,567","1,050",767,744,621,526,563,0
WA,53,State Senate District 8,"=""53008""","10,573",280,"10,573","25,452,092","3,304","2,474,924","6,537","8,654,037",591,531,551,"10,375","44,905,088",175,"177,141","9,355",40,"3,263","6,216","4,107",234,"4,304","5,302",0,"1,509",988,"1,562","1,839","1,392","1,257","1,121",972,723,668,0
WA,53,State Senate District 9,"=""53009""","9,662",179,"9,662","23,011,213","3,099","2,390,233","5,984","8,304,527",456,384,459,"9,406","40,824,494",179,"252,763","8,340",14,"2,442","5,262","4,045",120,"3,806","4,898",0,"1,304",684,"1,193","1,539","1,062",936,890,801,579,579,27
WA,53,State Senate District 10,"=""53010""","7,974",79,"7,974","16,662,228","2,707","2,138,844","4,518","6,151,298",478,378,476,"7,601","32,250,616",355,"323,866","6,794",0,"2,271","5,205","2,516",185,"3,488","3,689",0,"1,535",775,"1,122","1,307",698,738,793,824,623,716,27
