"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WI,55,State Senate District 1,"=""55001""","9,313",21,"9,313","18,581,724","2,790","2,281,662","4,631","5,971,288",407,298,639,"8,899","34,215,783",267,"370,878","7,575",0,"2,218","4,620","4,377",187,"5,092","3,335",0,"1,846",833,"1,350","1,471",846,739,755,689,544,602,0
WI,55,State Senate District 2,"=""55002""","10,845",46,"10,845","22,802,994","3,322","2,653,925","5,759","7,390,669",491,386,728,"10,417","41,183,014",302,"362,539","8,934",0,"3,013","5,215","5,160",259,"6,015","3,873",0,"1,952","1,081","1,656","1,990","1,105","1,040",968,925,680,693,0
WI,55,State Senate District 3,"=""55003""","17,849",690,"17,849","47,131,050","4,763","3,466,234","11,674","15,698,596",545,694,626,"17,488","76,913,165",359,"307,095","15,420",64,"7,015","7,397","9,766",680,"8,455","8,043",0,"3,070","1,583","3,057","3,763","2,403","1,982","1,813","1,421",947,757,0
WI,55,State Senate District 4,"=""55004""","23,022",634,"23,022","66,477,789","5,358","3,736,190","15,774","20,899,532",908,"1,438",972,"22,677","100,805,322",343,"270,357","20,938",466,"12,003","13,163","8,871",987,"11,162","10,537",0,"4,456","1,741","3,968","5,859","3,651","2,434","2,058","1,645","1,015",621,0
WI,55,State Senate District 5,"=""55005""","8,453",56,"8,453","17,109,529","2,314","1,829,568","4,286","5,380,492",448,529,693,"8,129","29,823,747",309,"274,876","7,024",14,"2,679","4,753","3,440",240,"4,206","3,461",0,"1,579",910,"1,499","1,727",877,796,768,727,580,452,0
WI,55,State Senate District 6,"=""55006""","26,029",825,"26,029","77,353,814","5,326","3,549,439","17,978","23,737,263",772,"1,401",922,"25,710","114,210,693",278,"211,290","23,716",576,"14,001","14,593","10,190","1,237","12,770","11,609",0,"5,230","2,064","4,768","6,964","4,279","2,644","2,081","1,638",937,483,0
WI,55,State Senate District 7,"=""55007""","10,503",141,"10,503","20,504,574","2,602","2,020,443","5,020","6,354,517",429,675,827,"10,023","35,443,765",477,"424,549","8,566",8,"3,101","5,635","4,454",415,"5,125","4,193",0,"1,920","1,232","2,034","2,438","1,079",906,853,770,628,480,0
WI,55,State Senate District 8,"=""55008""","7,532",87,"7,532","16,659,454","1,880","1,453,168","4,033","5,154,516",368,505,503,"7,221","27,511,795",275,"282,732","6,238",65,"2,534","4,329","2,968",173,"3,881","2,995",0,"1,583",712,"1,293","1,606",862,694,627,569,457,318,0
WI,55,State Senate District 9,"=""55009""","10,672",79,"10,672","21,798,420","3,101","2,545,838","5,593","7,431,154",388,410,681,"10,298","40,175,656",264,"298,427","8,766",0,"2,911","5,372","5,059",183,"5,058","4,568",0,"1,752","1,125","1,731","1,930","1,060",823,824,765,748,737,0
WI,55,State Senate District 10,"=""55010""","9,404",0,"9,404","19,317,231","2,739","2,223,130","4,871","6,205,199",477,287,816,"8,893","33,681,534",312,"490,628","7,867",0,"2,942","4,309","4,872",105,"5,163","3,410",0,"2,168",875,"1,394","1,640",923,775,756,641,495,433,0
