"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WV,54,State Senate District 1,"=""54001""","7,917",33,"7,917","16,830,571","1,869","1,445,331","4,004","4,785,903",132,170,394,"7,700","30,131,601",119,"162,915","6,627",0,"3,111","3,672","3,454",636,"3,820","3,148",0,"1,177",896,"1,443","1,726",906,648,527,456,396,333,0
WV,54,State Senate District 2,"=""54002""","8,462",12,"8,462","18,636,316","2,037","1,625,127","4,472","5,478,058",32,76,140,"8,252","33,908,432",53,"159,258","7,039",0,"3,111","4,078","3,432",228,"3,697","3,363",0,"1,012",717,"1,213","1,406",840,492,351,278,213,205,0
WV,54,State Senate District 3,"=""54003""","9,694",46,"9,694","21,948,565","2,262","1,700,115","5,354","6,611,046",170,186,415,"9,456","38,460,017",151,"198,689","8,340",0,"4,012","5,450","3,629",369,"4,358","4,171",0,"1,379","1,002","1,667","1,989","1,193",807,734,537,468,443,0
WV,54,State Senate District 4,"=""54004""","7,799",0,"7,799","17,578,906","1,884","1,537,506","4,355","5,391,195",86,99,227,"7,559","31,630,945",59,"209,234","6,681",0,"3,343","3,544","3,851",198,"3,385","3,639",0,"1,211",610,"1,104","1,489",767,547,433,345,317,325,0
WV,54,State Senate District 5,"=""54005""","9,953",81,"9,953","21,976,267","2,224","1,657,925","5,437","6,464,272",240,279,424,"9,735","38,210,890",141,"165,209","8,666",0,"4,302","5,141","4,358",404,"3,879","4,831",0,"1,390","1,222","2,011","2,186","1,254",857,728,578,404,370,0
WV,54,State Senate District 6,"=""54006""","10,720",44,"10,720","26,738,630","2,165","1,677,521","6,302","7,854,898",82,187,178,"10,498","44,727,308",116,"160,004","9,217",0,"5,426","4,999","4,895",171,"4,268","4,907",0,"1,492",911,"1,553","1,995","1,283",757,571,411,314,267,0
WV,54,State Senate District 7,"=""54007""","8,409",4,"8,409","20,685,570","1,743","1,458,655","4,930","6,092,489",7,7,10,"8,237","35,767,288",3,"164,607","7,250",0,"4,195","3,715","4,122",11,"3,007","3,981",0,760,464,964,"1,247",721,412,292,208,157,194,0
WV,54,State Senate District 8,"=""54008""","10,006",23,"10,006","22,254,742","2,231","1,657,650","5,398","6,502,882",262,183,345,"9,793","38,859,723",105,"159,725","8,739",0,"4,695","5,828","3,761",261,"3,451","5,081",0,"1,147","1,166","1,860","2,129","1,224",943,706,588,387,349,0
WV,54,State Senate District 9,"=""54009""","8,713",29,"8,713","20,288,143","1,876","1,496,859","4,817","5,965,631",73,83,141,"8,545","35,004,585",54,"143,370","7,315",0,"3,636","3,655","3,634",441,"3,576","3,645",0,901,708,"1,164","1,461",825,517,423,271,183,187,0
WV,54,State Senate District 10,"=""54010""","9,447",0,"9,447","21,337,361","2,237","1,753,561","5,136","6,445,696",21,23,135,"9,223","37,932,291",21,"151,347","8,079",0,"3,762","5,377","3,346",98,"3,541","4,252",0,"1,218",763,"1,239","1,515",848,613,468,363,236,255,0
WV,54,State Senate District 11,"=""54011""","10,208",1,"10,208","22,694,658","2,264","1,900,627","5,369","6,751,822",71,102,188,"9,906","41,143,147",124,"234,622","8,459",0,"3,429","4,688","4,675",196,"3,947","4,513",0,"1,374",903,"1,386","1,699","1,022",682,506,355,290,236,0
WV,54,State Senate District 12,"=""54012""","9,605",42,"9,605","21,114,029","2,198","1,809,784","5,132","6,262,641",88,90,288,"9,360","38,280,522",97,"195,014","8,040",0,"3,890","5,315","3,661",189,"4,072","4,169",0,"1,190",806,"1,490","1,747",917,562,487,381,333,291,0
WV,54,State Senate District 13,"=""54013""","7,340",104,"7,340","14,216,437","1,550","1,171,875","3,473","4,174,257",236,277,504,"7,121","25,718,772",196,"182,476","6,314",0,"2,896","4,673","2,424",150,"3,525","2,760",0,"1,012",909,"1,505","1,553",824,546,470,422,316,272,0
WV,54,State Senate District 14,"=""54014""","9,789",32,"9,789","21,776,153","2,421","1,866,196","5,278","6,590,259",83,121,288,"9,468","39,879,826",55,"247,093","8,293",0,"3,359","4,735","4,565",194,"4,655","3,946",0,"1,592",870,"1,424","1,726","1,144",788,575,408,307,355,0
WV,54,State Senate District 15,"=""54015""","9,268",3,"9,268","20,374,714","2,537","2,025,867","5,126","6,419,695",229,210,267,"8,958","37,576,723",165,"253,272","7,991",0,"3,484","4,654","4,180",211,"4,741","3,452",0,"1,780",913,"1,478","1,642",921,754,689,612,563,484,0
WV,54,State Senate District 16,"=""54016""","9,052",59,"9,052","19,590,706","2,333","1,829,094","5,000","6,154,230",259,289,366,"8,817","35,214,500",161,"210,526","7,880",0,"3,908","5,337","3,286",338,"4,365","3,567",0,"1,486","1,077","1,737","1,745",978,823,736,651,512,461,0
WV,54,State Senate District 17,"=""54017""","8,722",26,"8,722","19,559,054","2,057","1,584,287","4,773","5,788,092",260,192,342,"8,564","34,595,572",54,"138,047","7,577",0,"3,928","5,122","3,061",178,"2,976","4,424",0,972,822,"1,435","1,741",986,772,624,518,359,304,0
