"STATE","STATEFIPS","slds_id","district","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WY,56,State Senate District 1,"=""56001""",854,0,854,"1,908,075",230,"206,446",496,"653,264",34,11,22,819,"3,576,315",2,"33,751",734,0,343,391,448,8,429,327,0,163,44,78,112,57,44,48,35,30,27,0
WY,56,State Senate District 2,"=""56002""","1,050",0,"1,050","2,334,504",298,"248,231",596,"742,979",0,0,42,992,"4,146,161",36,"39,344",868,0,313,591,379,0,436,472,0,202,111,159,174,86,77,63,54,45,52,0
WY,56,State Senate District 3,"=""56003""","1,316",0,"1,316","2,886,594",375,"286,763",742,"956,569",51,21,66,"1,255","5,100,134",23,"68,040","1,060",0,421,679,536,23,521,588,0,285,149,181,216,142,96,95,58,62,75,0
WY,56,State Senate District 4,"=""56004""","1,172",0,"1,172","2,411,788",396,"310,225",663,"850,630",103,54,92,"1,142","4,784,121",30,"34,640","1,036",0,412,758,365,49,479,557,0,163,129,178,194,120,110,131,121,94,87,0
WY,56,State Senate District 5,"=""56005""",940,0,940,"1,911,037",301,"239,792",522,"666,464",81,46,76,916,"3,751,720",24,"25,352",831,0,328,606,297,36,397,433,0,142,106,151,162,98,85,95,96,75,67,0
WY,56,State Senate District 6,"=""56006""","1,117",1,"1,117","2,252,094",337,"270,468",583,"774,837",55,32,53,"1,074","4,291,473",17,"38,425",932,0,337,673,337,25,473,468,0,141,113,141,145,70,59,65,67,51,46,0
WY,56,State Senate District 7,"=""56007""","1,600",6,"1,600","3,406,442",554,"427,518",926,"1,194,866",132,67,114,"1,564","6,699,911",36,"45,137","1,405",0,584,"1,015",506,79,640,779,0,196,172,237,265,169,157,190,162,124,117,0
WY,56,State Senate District 8,"=""56008""","1,960",23,"1,960","4,326,472",630,"487,297","1,146","1,463,106",129,73,116,"1,926","8,123,355",34,"36,554","1,699",0,764,"1,179",670,111,811,933,0,224,210,311,354,229,191,214,185,133,126,0
WY,56,State Senate District 9,"=""56009""","1,126",0,"1,126","1,911,114",211,"175,207",481,"620,403",64,83,112,"1,086","3,551,855",36,"24,166",951,0,238,709,314,90,598,422,0,207,163,231,232,101,74,65,62,50,58,0
WY,56,State Senate District 10,"=""56010""",893,0,893,"1,502,135",174,"138,546",382,"490,763",55,69,93,860,"2,782,376",31,"18,405",732,0,198,547,242,76,460,320,0,155,135,190,193,84,63,55,51,41,49,0
WY,56,State Senate District 11,"=""56011""",956,1,956,"2,023,092",298,"238,299",492,"655,039",1,1,26,921,"3,746,840",1,"18,132",699,0,303,442,315,1,288,391,0,90,71,131,129,61,52,56,51,42,34,0
WY,56,State Senate District 12,"=""56012""","1,040",22,"1,040","2,254,273",319,"238,255",602,"723,492",34,30,43,"1,024","4,208,466",16,"11,512",879,0,440,538,470,30,359,548,0,120,128,189,205,124,102,93,83,63,46,0
WY,56,State Senate District 13,"=""56013""",949,6,949,"2,062,886",285,"215,812",539,"668,062",10,33,48,929,"3,900,950",5,"12,404",805,0,379,515,421,9,330,505,0,91,94,156,201,93,92,68,77,55,43,0
WY,56,State Senate District 14,"=""56014""",742,3,742,"1,529,930",225,"187,140",380,"517,371",10,9,13,713,"2,897,046",2,"24,035",604,0,225,381,296,4,318,284,0,135,49,114,107,34,28,23,22,18,15,0
WY,56,State Senate District 15,"=""56015""","1,204",0,"1,204","2,732,627",345,"278,452",690,"940,685",37,35,47,"1,171","4,968,949",0,"35,444","1,024",0,458,641,559,0,459,589,0,138,94,149,157,112,94,69,66,65,58,0
WY,56,State Senate District 16,"=""56016""",829,0,829,"1,768,189",241,"216,235",442,"692,165",0,0,26,767,"3,075,681",3,"52,843",620,0,107,383,302,0,418,199,0,277,43,87,89,28,36,3,0,0,35,0
WY,56,State Senate District 17,"=""56017""",870,0,870,"1,422,247",219,"171,964",357,"529,475",28,0,55,788,"2,619,968",63,"67,440",642,0,95,376,431,29,475,253,0,292,111,164,190,43,80,81,46,30,27,0
WY,56,State Senate District 18,"=""56018""","1,143",0,"1,143","2,280,132",322,"252,349",593,"725,304",45,41,67,"1,072","3,946,343",71,"74,434",918,0,391,479,653,0,540,479,0,315,107,211,250,117,117,96,93,73,74,0
WY,56,State Senate District 19,"=""56019""","1,067",0,"1,067","2,374,147",325,"262,132",596,"835,493",24,30,43,"1,016","4,248,038",34,"45,070",890,0,361,429,552,0,463,431,0,266,108,127,180,55,76,78,73,36,71,0
WY,56,State Senate District 20,"=""56020""","1,086",0,"1,086","2,313,238",285,"235,556",573,"766,207",0,21,22,"1,034","4,158,272",0,"41,049",886,0,290,556,442,0,486,412,0,190,99,152,154,101,75,61,65,31,52,0
WY,56,State Senate District 21,"=""56021""","1,154",0,"1,154","2,324,194",328,"262,746",586,"778,835",73,25,53,"1,114","4,259,128",32,"41,814",961,0,378,579,440,43,535,446,0,200,110,172,191,107,88,75,74,64,64,0
WY,56,State Senate District 22,"=""56022""",999,0,999,"1,982,058",279,"235,112",511,"663,502",42,14,51,948,"3,571,450",43,"59,040",833,0,309,493,460,25,481,385,0,240,106,180,204,96,88,71,74,37,71,0
WY,56,State Senate District 23,"=""56023""",934,0,934,"2,127,689",308,"248,460",569,"690,273",60,19,46,913,"4,041,928",18,"20,511",826,0,449,452,470,6,403,444,0,130,84,146,157,95,93,84,80,54,45,0
WY,56,State Senate District 24,"=""56024""","1,234",0,"1,234","2,752,373",404,"317,302",726,"876,702",85,28,55,"1,204","5,162,433",13,"27,198","1,076",0,599,551,656,13,581,538,0,201,127,202,245,148,110,108,97,67,55,0
WY,56,State Senate District 25,"=""56025""","1,806",3,"1,806","4,049,927",562,"466,190","1,069","1,384,824",41,26,47,"1,771","7,611,036",30,"33,255","1,565",29,"1,030",648,"1,111",0,745,860,0,196,247,254,231,150,157,143,122,102,94,0
WY,56,State Senate District 26,"=""56026""","1,505",18,"1,505","3,234,389",424,"356,417",847,"1,039,999",64,27,57,"1,457","5,999,399",29,"53,212","1,248",40,649,605,870,0,736,575,0,207,186,285,229,137,142,118,108,84,81,0
WY,56,State Senate District 27,"=""56027""","1,440",2,"1,440","3,091,163",456,"359,932",794,"955,394",97,34,46,"1,409","5,814,643",22,"27,517","1,244",0,572,775,594,44,651,643,0,171,151,231,259,152,138,137,119,56,78,0
WY,56,State Senate District 28,"=""56028""","1,464",12,"1,464","3,007,876",414,"315,737",757,"920,955",86,38,60,"1,425","5,505,108",34,"36,494","1,241",0,582,799,582,71,660,626,0,173,161,291,282,153,146,115,111,73,71,0
WY,56,State Senate District 29,"=""56029""","1,376",2,"1,376","2,987,710",444,"349,675",792,"1,007,725",83,31,49,"1,346","5,541,744",23,"30,663","1,180",0,551,747,557,72,647,595,0,209,138,244,261,159,133,137,90,97,91,0
WY,56,State Senate District 30,"=""56030""","1,012",5,"1,012","2,174,677",308,"240,179",551,"705,467",70,27,44,987,"3,997,517",23,"28,968",847,0,398,545,392,49,463,418,0,143,105,183,186,114,102,90,82,59,59,0
