"STATE","STFIPS","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14","STATEFIPS"
AK,02,"44,638",377,"44,638","92,878,934","20,159","14,056,856","25,496","33,625,394","2,437","1,649","2,562","43,096","179,735,310",973,"1,619,336","37,958",41,"15,490","24,861","15,189","2,547","26,973","12,771",0,"7,108","2,685","6,192","6,472","3,373","3,366","3,645","3,762","3,110","2,709",0,"=""02"""
AL,01,"506,112","4,501","506,112","1,409,510,277","111,779","79,446,695","314,442","398,111,237","27,328","27,136","13,927","494,522","2,246,920,144","8,416","9,926,912","461,202","1,110","279,907","186,161","307,942","8,194","292,939","185,176",0,"120,394","29,403","77,226","121,090","82,670","54,804","43,560","34,645","24,058","18,190",0,"=""01"""
AR,05,"295,379","3,290","295,379","770,698,286","76,179","56,243,515","186,775","239,584,978","11,454","9,387","8,544","286,933","1,245,872,454","5,730","7,168,190","257,314",85,"142,953","115,290","169,895","5,846","161,340","112,230",0,"63,382","21,585","45,069","59,960","41,219","31,061","25,440","19,576","14,463","12,350",46,"=""05"""
AZ,04,"565,684","14,787","565,684","1,457,445,863","160,163","118,722,934","359,694","489,544,309","28,031","24,587","25,859","546,027","2,320,997,618","17,962","17,342,026","482,428",850,"220,758","268,000","277,878","16,571","308,830","218,393",0,"122,062","42,193","83,401","112,828","78,200","63,838","57,296","48,607","35,475","28,796",560,"=""04"""
CA,06,"3,056,820","98,427","3,056,820","7,342,939,214","780,683","569,293,145","1,739,041","2,240,387,252","119,695","146,139","108,456","2,853,656","11,253,957,639","195,149","182,003,590","2,281,659","1,693","854,023","988,971","1,983,189","71,022","1,799,990","1,028,882",0,"866,634","257,891","515,008","656,359","401,869","309,933","275,070","242,521","183,494","151,732","2,766","=""06"""
CO,08,"349,763","5,883","349,763","770,097,803","101,006","78,599,172","195,961","258,756,652","16,351","14,939","23,001","332,202","1,304,552,096","15,519","16,545,590","288,395",0,"120,316","176,237","157,711","12,591","184,682","132,746",0,"82,485","34,201","56,081","67,229","38,162","32,859","32,350","29,657","22,665","19,548",176,"=""08"""
CT,09,"218,343","3,968","218,343","477,372,066","55,447","41,346,427","118,144","142,133,007","12,806","11,478","10,803","208,348","843,717,684","8,645","9,662,589","183,067",0,"81,593","100,548","104,578","11,170","115,741","81,569",0,"47,698","23,528","38,041","44,688","25,015","20,638","19,415","17,277","12,204","7,853",0,"=""09"""
DC,11,"53,625","1,974","53,625","126,157,105","11,809","8,168,122","31,107","37,147,602","5,040","2,575","2,308","51,611","203,218,689","1,975","1,419,524","45,948",0,"26,998","24,184","27,327","1,938","30,605","18,968",0,"13,456","5,877","10,922","12,300","6,311","4,936","4,615","4,098","2,828","1,280",0,"=""11"""
DE,10,"73,609","1,105","73,609","172,774,911","19,966","14,627,188","43,646","54,620,100","6,075","3,720","3,036","71,670","301,169,249","1,691","1,742,140","64,105",46,"29,325","40,033","27,498","5,762","34,253","32,508",0,"11,316","6,956","12,150","14,718","9,237","8,091","7,492","6,261","4,419","2,973",0,"=""10"""
FL,12,"2,078,144","45,342","2,078,144","5,199,137,818","436,460","300,590,831","1,201,085","1,537,099,812","140,785","126,158","77,812","1,970,414","8,556,996,810","103,446","90,320,307","1,781,479","3,447","798,595","876,490","1,160,620","32,801","1,238,492","690,039",0,"700,931","172,358","357,359","489,046","318,818","215,365","179,905","144,306","99,260","69,901",82,"=""12"""
