"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AK,02,"=""99501""","1,319",31,"1,319","2,625,543",519,"327,436",671,"815,287",71,50,76,"1,281","4,737,934",38,"30,896","1,059",0,580,701,527,91,731,425,0,158,166,258,271,153,117,114,117,78,44,0
AK,02,"=""99502""","1,227",25,"1,227","2,441,836",577,"423,185",681,"837,405",136,69,95,"1,192","4,713,725",35,"36,353","1,083",0,505,737,446,44,703,428,0,188,94,206,194,114,133,110,156,132,86,0
AK,02,"=""99503""","1,389",39,"1,389","2,903,450",637,"423,218",756,"943,921",67,45,79,"1,348","5,327,895",41,"42,318","1,196",0,581,672,641,76,798,442,0,184,131,229,262,145,153,148,154,97,66,0
AK,02,"=""99504""","3,016",62,"3,016","6,765,557","1,498","1,089,482","1,904","2,535,134",269,168,217,"2,956","13,212,572",60,"85,348","2,716",0,"1,211","1,727","1,132",157,"1,654","1,142",0,374,195,419,454,333,325,364,377,303,235,0
AK,02,"=""99505""",507,0,507,"1,389,232",270,"224,299",451,"872,795",49,53,63,507,"3,647,621",0,0,506,0,175,308,168,31,175,320,0,71,0,0,0,24,54,80,93,94,113,0
AK,02,"=""99506""",814,0,814,"2,053,255",487,"365,503",706,"1,029,469",81,81,140,813,"5,267,074",0,362,805,0,251,527,227,60,301,506,0,97,0,0,26,44,97,160,176,126,166,0
AK,02,"=""99507""","1,850",36,"1,850","3,723,045",839,"624,023","1,014","1,255,371",167,114,158,"1,773","7,091,637",77,"92,045","1,644",0,681,"1,022",754,74,"1,144",541,0,326,147,284,300,208,180,188,224,181,136,0
AK,02,"=""99508""","3,543",132,"3,543","8,525,665","1,677","1,138,322","2,283","2,977,940",200,160,188,"3,486","15,597,178",57,"63,516","3,172",41,"1,519","1,891","1,443",209,"2,002","1,267",0,396,263,502,670,416,424,399,357,294,205,0
AK,02,"=""99509""",97,0,97,"115,502",24,"19,622",29,"37,563",0,0,0,87,"243,428",0,"8,345",54,0,0,38,55,0,57,0,0,30,0,29,0,0,0,0,0,0,0,0
AK,02,"=""99510""",23,0,23,"41,789",8,"5,946",9,"12,843",0,0,0,22,"71,127",0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
