"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AR,05,"=""71601""","2,715",63,"2,715","8,045,028",547,"376,347","1,784","2,206,291",122,134,58,"2,696","12,095,957",0,"23,974","2,527",0,"1,713","1,397","1,249",69,"1,456","1,093",0,554,174,479,741,451,287,259,173,107,42,0
AR,05,"=""71602""","1,920",22,"1,920","5,246,615",481,"353,013","1,228","1,570,337",127,78,50,"1,878","8,257,565",42,"54,574","1,734",0,"1,049",877,"1,017",26,"1,052",741,0,424,116,287,439,303,219,211,169,111,59,0
AR,05,"=""71603""","4,277",81,"4,277","11,888,211","1,102","795,053","2,788","3,439,380",297,245,122,"4,212","19,037,966",64,"52,575","3,928",0,"2,545","2,179","1,963",135,"2,281","1,784",0,800,272,665,"1,000",634,524,456,352,247,124,0
AR,05,"=""71611""",151,0,151,"374,697",36,"25,512",75,"91,571",0,0,0,146,"575,094",0,"2,864",109,0,65,87,59,0,67,63,0,22,0,26,30,24,0,0,0,0,0,0
AR,05,"=""71612""",41,0,41,"108,014",9,"7,621",24,"34,732",0,0,0,40,"164,203",0,271,34,0,0,0,23,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71613""",97,0,97,"228,561",30,"19,661",57,"63,781",0,0,0,95,"360,857",0,"1,806",77,0,39,50,41,0,48,43,0,0,0,0,24,0,0,0,0,0,0,0
AR,05,"=""71630""",59,0,59,"178,027",21,"11,867",39,"42,667",0,0,0,58,"289,248",0,"1,232",51,0,31,34,25,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71631""",74,0,74,"213,132",21,"15,442",51,"65,355",0,0,0,73,"338,450",0,"1,938",68,0,30,37,36,0,28,41,0,0,0,0,0,21,0,0,0,0,0,0
AR,05,"=""71635""","1,329",0,"1,329","3,678,591",270,"196,062",862,"1,012,198",37,40,42,"1,306","5,547,673",23,"11,305","1,182",0,805,387,938,0,521,723,0,279,116,266,320,213,129,88,76,63,55,0
AR,05,"=""71638""",500,0,500,"1,436,927",113,"78,088",337,"410,262",0,0,0,499,"2,215,722",0,318,461,0,231,298,199,0,184,285,0,73,39,81,121,92,60,42,33,23,0,0
AR,05,"=""71639""",923,0,923,"2,668,529",204,"137,862",621,"787,203",47,29,0,904,"4,070,824",0,"13,786",818,0,575,314,607,0,505,367,0,186,61,154,250,146,93,67,75,51,24,0
AR,05,"=""71640""",476,0,476,"1,454,328",104,"61,949",299,"358,349",0,0,0,471,"2,141,065",0,"4,616",423,0,283,281,186,0,209,244,0,94,33,95,103,101,58,36,21,0,0,0
AR,05,"=""71642""",64,0,64,"159,083",9,"11,079",41,"51,475",0,0,0,63,"270,548",0,0,56,0,47,0,46,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71643""",193,0,193,"544,888",39,"28,261",107,"142,623",0,0,0,192,"833,103",0,192,173,0,125,76,117,0,108,71,0,35,0,32,47,30,24,0,0,0,0,0
AR,05,"=""71644""",103,0,103,"263,709",34,"26,146",67,"84,534",0,0,0,103,"476,361",0,0,90,0,50,45,54,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71646""",639,0,639,"1,767,015",183,"144,107",418,"541,147",0,0,25,627,"2,825,628",0,"10,977",570,0,425,167,471,0,248,345,0,131,42,111,116,99,80,56,46,47,42,0
AR,05,"=""71647""",202,0,202,"527,881",41,"33,133",119,"163,565",0,0,0,196,"841,091",0,"3,714",149,0,93,56,146,0,76,99,0,40,0,37,43,24,32,0,0,0,0,0
AR,05,"=""71652""",117,0,117,"308,441",33,"25,707",67,"85,814",0,0,0,112,"493,967",0,"3,232",101,0,64,50,65,0,45,66,0,0,0,0,28,0,0,0,0,0,0,0
AR,05,"=""71653""",626,0,626,"1,847,526",165,"111,380",430,"539,799",0,34,0,615,"2,839,497",0,"9,696",540,0,310,354,272,0,236,355,0,104,38,89,146,108,79,62,40,38,25,0
AR,05,"=""71654""",611,0,611,"1,693,466",155,"114,306",399,"496,438",0,26,0,595,"2,633,887",0,"11,652",543,0,337,286,318,0,233,336,0,126,50,105,128,105,73,48,41,36,25,0
AR,05,"=""71655""","1,543",25,"1,543","4,161,839",383,"265,647","1,019","1,206,158",88,78,54,"1,507","6,580,869",36,"26,054","1,385",0,900,580,957,0,615,816,0,270,119,268,355,244,153,143,115,88,54,0
AR,05,"=""71657""",131,0,131,"336,076",29,"20,010",71,"92,034",0,0,0,128,"533,336",0,"1,887",111,0,68,48,83,0,47,74,0,0,0,0,24,0,0,0,0,0,0,0
AR,05,"=""71658""",108,0,108,"275,274",32,"23,448",61,"70,447",0,0,0,107,"439,438",0,"1,630",94,0,66,43,65,0,40,58,0,0,0,23,0,0,0,0,0,0,0,0
AR,05,"=""71660""",91,0,91,"203,407",25,"18,172",51,"55,550",0,0,0,88,"369,155",0,443,79,0,50,42,49,0,32,48,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71661""",44,0,44,"138,274",9,"6,791",27,"35,207",0,0,0,44,"213,543",0,0,42,0,36,0,30,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71663""",83,0,83,"263,539",27,"20,693",63,"80,084",0,0,0,82,"413,424",0,552,75,0,53,25,58,0,32,49,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71665""",490,0,490,"1,218,497",133,"96,945",289,"357,929",0,21,0,474,"2,033,040",0,"12,840",425,0,221,221,264,0,215,243,0,105,45,79,91,65,56,50,42,35,25,0
AR,05,"=""71667""",819,0,819,"2,143,708",243,"186,750",518,"659,537",22,29,24,800,"3,607,383",0,"20,061",731,0,448,243,575,0,364,404,0,163,58,111,158,123,89,79,88,60,50,0
AR,05,"=""71670""",145,0,145,"322,400",37,"26,078",72,"86,769",0,0,0,138,"546,335",0,"6,080",118,0,74,63,79,0,69,60,0,29,0,26,26,0,0,0,0,0,0,0
AR,05,"=""71671""","1,075",0,"1,075","2,998,972",253,"165,266",710,"891,344",35,33,27,"1,060","4,727,233",0,"6,061",927,0,500,465,609,0,345,643,0,139,78,182,212,195,156,106,62,57,27,0
AR,05,"=""71674""",67,0,67,"189,725",9,"13,163",48,"55,721",0,0,0,66,"290,406",0,"2,109",58,0,48,21,46,0,40,25,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71675""",218,0,218,"530,167",65,"44,604",133,"150,780",0,0,0,214,"928,483",0,"4,949",192,0,111,78,140,0,92,111,0,46,0,38,45,32,22,0,24,0,0,0
AR,05,"=""71676""",99,0,99,"280,148",9,"11,651",63,"66,177",0,0,0,99,"395,786",0,0,90,0,64,36,61,0,32,63,0,0,0,0,0,24,0,0,0,0,0,0
AR,05,"=""71677""",39,0,39,"125,567",5,"3,003",23,"31,475",0,0,0,37,"180,414",0,565,34,0,24,0,28,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71701""","2,186",45,"2,186","5,677,392",550,"404,744","1,364","1,634,959",74,69,67,"2,155","9,262,812",31,"35,464","1,914",0,"1,256",669,"1,483",34,"1,086",934,0,285,172,410,476,314,257,197,152,126,78,0
AR,05,"=""71711""",60,0,60,"152,981",23,"15,716",35,"46,229",0,0,0,60,"275,868",0,0,54,0,32,22,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71720""",271,0,271,"664,047",74,"57,940",156,"180,212",0,0,0,265,"1,094,469",0,"2,139",232,0,153,97,174,0,125,129,0,44,29,48,46,38,30,33,22,0,0,0
AR,05,"=""71724""",62,0,62,"153,279",9,"15,419",36,"38,460",0,0,0,62,"270,501",0,0,58,0,36,21,41,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,"=""71725""",84,0,84,"206,258",28,"21,631",49,"51,089",0,0,0,83,"361,514",0,402,73,0,32,52,31,0,33,43,0,0,0,0,0,0,0,0,0,0,0,0
