"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AZ,04,"=""85001""",38,0,38,"68,304",9,"6,976",9,"17,632",0,0,0,34,"109,169",0,"4,349",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,"=""85002""",21,0,21,"34,583",7,"4,481",4,"4,837",0,0,0,9,"49,006",0,"1,339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,"=""85003""",721,32,721,"1,775,523",130,"81,768",410,"539,447",0,33,34,683,"2,597,773",38,"21,919",607,0,337,353,346,22,404,250,0,195,86,170,202,98,56,38,34,27,0,0
AZ,04,"=""85004""",348,0,348,"731,827",72,"47,467",176,"220,641",0,0,0,331,"1,167,737",0,"14,178",286,0,146,183,155,0,192,115,0,86,60,72,67,47,37,27,22,0,0,0
AZ,04,"=""85005""",73,0,73,"201,267",9,"11,669",43,"52,607",0,0,0,65,"273,512",0,"5,191",49,0,24,22,45,0,48,22,0,28,0,0,0,0,0,0,0,0,0,0
AZ,04,"=""85006""","3,106",164,"3,106","8,805,173",828,"570,242","2,106","2,853,928",116,105,84,"3,028","13,166,325",78,"58,777","2,689",0,"1,477","1,153","1,889",64,"1,759","1,148",0,726,240,487,727,506,366,302,225,156,88,0
AZ,04,"=""85007""","1,759",88,"1,759","4,817,525",382,"254,318","1,118","1,581,614",50,59,52,"1,720","7,269,745",39,"39,328","1,526",0,929,710,999,50,961,621,0,352,178,319,429,260,191,161,107,75,37,0
AZ,04,"=""85008""","7,412",417,"7,412","21,531,521","1,999","1,365,086","5,170","7,100,154",289,347,231,"7,191","33,083,513",221,"171,542","6,371",57,"3,557","2,594","4,686",131,"4,044","2,906",0,"1,508",459,"1,058","1,699","1,323",992,721,548,364,231,0
AZ,04,"=""85009""","6,594",433,"6,594","21,556,917","1,790","1,175,309","5,060","7,176,587",195,156,109,"6,491","31,684,610",103,"91,349","5,761",0,"3,225","2,126","4,373",95,"3,758","2,603",0,"1,538",299,877,"1,529","1,263",896,687,503,299,227,0
AZ,04,"=""85011""",34,0,34,"61,615",6,"3,869",9,"16,370",0,0,0,29,"83,355",0,"1,264",23,0,0,0,0,0,27,0,0,22,0,0,0,0,0,0,0,0,0,0
