"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CA,06,"=""90001""","8,074",354,"8,074","24,455,828","2,041","1,354,502","5,631","7,425,891",319,398,137,"7,776","35,346,227",298,"259,772","6,561",35,"3,155","1,198","6,805",71,"5,671","2,171",0,"2,652",362,"1,241","1,977","1,365",960,809,641,407,294,0
CA,06,"=""90002""","8,550",353,"8,550","27,397,439","1,934","1,262,820","6,208","8,184,420",320,406,139,"8,307","38,191,735",241,"232,469","7,160",96,"3,755","1,518","6,944",88,"6,002","2,311",0,"3,116",336,"1,444","2,365","1,510",877,755,551,417,277,0
CA,06,"=""90003""","11,328",528,"11,328","35,855,139","2,574","1,670,328","8,045","10,536,282",428,540,161,"10,923","49,822,898",404,"382,172","9,435",123,"5,071","2,138","9,013",177,"7,920","3,090",0,"4,216",498,"1,973","2,974","1,943","1,296","1,002",805,496,331,0
CA,06,"=""90004""","6,432",255,"6,432","13,773,765","1,170","831,981","2,818","3,415,474",145,283,239,"5,525","18,783,078",903,"692,240","4,400",0,"1,445","1,280","5,042",110,"4,634","1,330",0,"2,643",648,"1,327","1,669",850,599,456,377,300,194,0
CA,06,"=""90005""","3,682",171,"3,682","7,602,248",625,"411,913","1,514","1,845,830",104,151,131,"3,114","10,148,943",568,"424,663","2,400",0,738,760,"2,816",106,"2,631",734,0,"1,488",446,833,914,478,316,271,185,137,99,0
CA,06,"=""90006""","7,232",310,"7,232","17,090,682","1,392","945,883","3,535","4,345,886",174,273,168,"6,314","22,994,676",918,"648,543","4,813",0,"1,832","1,132","5,911",189,"5,239","1,533",0,"2,804",699,"1,540","1,776","1,043",715,537,416,302,195,0
CA,06,"=""90007""","3,814",165,"3,814","9,494,742",798,"527,206","2,093","2,553,964",126,214,115,"3,527","13,596,267",286,"208,391","2,849",0,"1,252",807,"2,916",91,"2,539","1,059",0,"1,326",341,761,945,572,367,339,235,153,96,0
CA,06,"=""90008""","3,983",112,"3,983","10,828,074",725,"468,423","2,419","2,991,178",173,278,101,"3,825","15,464,349",156,"117,660","3,258",40,"1,913","1,220","2,708",55,"2,628","1,142",0,"1,565",332,835,"1,115",555,335,302,265,164,79,0
CA,06,"=""90009""",153,0,153,"249,401",24,"17,206",53,"67,877",0,0,0,131,"392,131",22,"16,328",89,0,28,44,102,0,111,32,0,74,30,35,29,0,0,0,0,0,0,0
CA,06,"=""90010""",255,0,255,"400,326",26,"15,400",69,"81,454",0,0,0,187,"512,143",68,"56,590",127,0,0,63,186,0,210,27,0,143,50,67,63,24,0,0,0,0,0,0
CA,06,"=""90011""","13,367",651,"13,367","40,893,174","3,412","2,174,038","9,277","12,106,742",428,614,260,"12,796","57,966,089",568,"478,189","10,415",54,"5,064","2,059","11,135",173,"9,010","3,925",0,"4,387",580,"2,105","3,279","2,442","1,614","1,302",931,651,443,0
CA,06,"=""90012""","2,497",134,"2,497","5,312,412",315,"199,012","1,007","1,244,816",55,73,93,"2,236","7,354,156",257,"198,233","1,762",0,330,518,"1,820",159,"1,302",903,0,652,284,562,620,385,224,170,140,70,42,0
CA,06,"=""90013""",720,28,720,"835,856",40,"18,790",147,"174,042",0,21,45,632,"1,151,196",88,"60,524",532,0,317,253,433,34,516,92,0,257,157,291,175,29,29,0,0,0,0,0
CA,06,"=""90014""",447,0,447,"450,373",27,"17,253",65,"88,445",0,0,28,377,"658,280",70,"51,045",294,0,167,167,257,23,314,46,0,182,101,165,113,0,0,0,0,0,0,0
CA,06,"=""90015""","1,817",105,"1,817","4,597,772",350,"230,137",994,"1,228,517",37,77,38,"1,649","6,459,448",168,"120,325","1,254",0,581,361,"1,416",40,"1,258",458,0,634,162,376,469,270,213,132,101,53,39,0
CA,06,"=""90016""","6,005",164,"6,005","15,197,773","1,311","894,913","3,446","4,187,395",264,426,162,"5,576","22,002,048",427,"347,183","4,672",29,"2,237","1,448","4,455",102,"4,078","1,612",0,"2,295",445,"1,157","1,482",797,591,541,491,308,184,0
CA,06,"=""90017""","2,066",111,"2,066","5,209,692",353,"214,192","1,094","1,367,706",35,78,67,"1,889","7,153,551",177,"111,873","1,509",0,684,386,"1,591",89,"1,494",450,0,741,222,481,516,326,190,132,101,61,37,0
CA,06,"=""90018""","6,874",248,"6,874","17,893,721","1,518","1,050,206","3,955","4,857,652",284,396,182,"6,316","25,259,713",557,"434,182","5,190",29,"2,421","1,367","5,383",124,"4,794","1,779",0,"2,644",506,"1,310","1,650","1,003",721,625,514,301,237,0
CA,06,"=""90019""","6,243",187,"6,243","13,838,891","1,227","873,703","2,935","3,536,720",194,337,237,"5,519","19,389,611",721,"591,743","4,364",0,"1,802","1,392","4,725",126,"4,342","1,486",0,"2,543",624,"1,283","1,540",814,558,494,409,300,212,0
CA,06,"=""90020""","4,143",235,"4,143","8,152,479",671,"501,115","1,675","2,056,998",88,200,157,"3,485","11,065,682",657,"517,051","2,705",0,660,858,"3,190",95,"2,911",842,0,"1,756",515,901,"1,005",514,355,272,264,186,127,0
CA,06,"=""90021""",243,0,243,"451,831",26,"15,234",92,"119,825",0,0,0,211,"624,345",32,"21,690",163,0,82,61,172,0,160,51,0,100,43,75,62,24,0,0,0,0,0,0
CA,06,"=""90022""","8,419",302,"8,419","22,667,827","2,241","1,557,144","5,230","6,787,473",316,445,176,"8,041","34,547,042",378,"343,956","6,574",0,"2,523","1,529","6,685",205,"5,547","2,473",0,"2,232",499,"1,303","1,801","1,315","1,006",856,723,501,396,0
CA,06,"=""90023""","5,740",244,"5,740","16,112,023","1,577","1,052,605","3,675","4,786,728",226,296,129,"5,514","24,014,012",226,"188,952","4,444",0,"1,855",898,"4,708",134,"3,841","1,673",0,"1,529",298,887,"1,267",964,691,606,456,312,245,0
CA,06,"=""90024""",825,59,825,"789,255",50,"42,610",130,"158,703",0,27,69,642,"1,169,627",183,"131,901",458,0,105,405,395,25,569,139,0,387,242,236,215,33,27,22,0,0,0,0
CA,06,"=""90025""","1,685",84,"1,685","1,975,309",194,"147,393",393,"460,712",28,81,131,"1,360","3,090,559",324,"255,121",954,0,223,682,956,47,"1,148",339,0,777,359,483,395,122,86,65,67,62,45,0
CA,06,"=""90026""","6,662",226,"6,662","13,680,932","1,275","878,725","2,960","3,529,331",178,340,336,"5,871","20,116,493",790,"598,955","4,570",0,"1,559","1,587","4,913",162,"4,590","1,578",0,"2,477",764,"1,503","1,648",788,597,480,380,289,207,0
CA,06,"=""90027""","3,686",113,"3,686","5,288,416",357,"266,828",958,"1,151,592",45,145,229,"3,033","7,345,372",646,"468,416","2,187",0,475,"1,279","2,338",69,"2,431",696,0,"1,690",748,"1,016",904,349,207,144,129,112,75,0
CA,06,"=""90028""","3,157",146,"3,157","4,134,004",292,"206,913",719,"885,357",43,103,187,"2,688","6,041,070",468,"324,998","2,056",0,651,"1,279","1,809",69,"2,020",554,0,"1,263",701,896,792,261,147,137,97,82,44,0
CA,06,"=""90029""","4,523",168,"4,523","9,499,905",836,"572,392","1,979","2,373,346",104,203,190,"3,921","13,321,804",600,"403,874","2,988",0,"1,054",960,"3,471",92,"3,108","1,039",0,"1,826",494,"1,001","1,172",577,395,312,264,181,116,0
CA,06,"=""90031""","5,271",208,"5,271","13,362,492","1,134","767,949","2,847","3,626,706",193,260,152,"4,908","19,343,030",362,"281,222","3,866",0,"1,226",899,"4,234",138,"3,221","1,681",0,"1,436",376,971,"1,248",836,540,445,376,256,214,0
CA,06,"=""90032""","5,210",192,"5,210","12,978,905","1,254","883,069","2,936","3,706,662",247,318,164,"4,898","19,772,991",310,"248,334","4,020",0,"1,474","1,088","3,955",167,"3,313","1,592",0,"1,423",379,901,"1,207",705,572,524,413,292,208,0
CA,06,"=""90033""","5,930",282,"5,930","16,472,458","1,413","957,196","3,741","4,726,401",210,296,102,"5,659","24,055,710",271,"212,575","4,653",0,"2,086",909,"4,821",199,"3,977","1,679",0,"1,665",337,"1,051","1,400",942,707,541,445,293,204,0
CA,06,"=""90034""","3,876",151,"3,876","6,815,980",654,"476,562","1,487","1,762,507",134,203,298,"3,312","10,017,261",561,"413,509","2,578",0,765,"1,354","2,431",91,"2,589",930,0,"1,676",600,865,956,415,277,246,234,156,121,0
CA,06,"=""90035""","1,393",56,"1,393","2,301,912",174,"123,977",470,"645,218",38,54,102,"1,139","3,073,413",252,"194,598",800,0,221,521,835,36,"1,022",230,0,723,251,311,359,128,90,78,83,57,35,0
CA,06,"=""90036""","1,588",85,"1,588","2,101,147",193,"149,967",444,"614,808",53,54,137,"1,278","3,034,811",310,"262,166",980,0,244,626,935,27,"1,174",235,0,860,356,407,388,104,81,70,67,65,49,0
CA,06,"=""90037""","9,177",385,"9,177","26,753,804","2,065","1,350,189","6,043","7,617,350",301,465,171,"8,709","37,470,945",468,"396,985","7,232",60,"3,670","1,625","7,423",129,"6,449","2,407",0,"3,353",508,"1,598","2,427","1,498",998,852,600,422,260,0
