"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CO,08,"=""80001""",54,0,54,"78,107",9,"11,923",9,"24,941",0,0,0,46,"149,159",0,"5,360",34,0,0,26,25,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,"=""80002""","1,431",34,"1,431","3,210,029",408,"319,244",794,"1,004,354",60,54,84,"1,360","5,294,714",71,"70,403","1,165",0,527,722,652,57,716,587,0,310,148,238,291,204,140,129,117,95,64,0
CO,08,"=""80003""","2,861",38,"2,861","6,203,240",944,"749,417","1,590","2,011,227",146,136,209,"2,714","10,497,933",147,"139,481","2,381",0,"1,016","1,496","1,269",96,"1,558","1,082",0,652,248,454,528,319,299,304,299,213,182,0
CO,08,"=""80004""","1,967",0,"1,967","4,149,275",607,"497,144","1,024","1,324,962",119,87,156,"1,856","6,952,119",111,"109,743","1,629",0,660,"1,124",809,34,"1,052",740,0,505,189,324,358,200,204,220,180,142,147,0
CO,08,"=""80005""",923,0,923,"1,669,698",237,"193,269",406,"526,932",59,60,84,858,"2,917,618",65,"65,129",714,0,234,543,357,23,515,313,0,251,125,166,165,79,84,79,83,86,55,0
CO,08,"=""80006""",47,0,47,"90,236",9,"11,010",21,"24,473",0,0,0,45,"140,556",0,367,38,0,0,24,21,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,"=""80007""",125,0,125,"176,247",26,"17,802",41,"53,437",0,0,0,111,"308,274",0,"15,614",88,0,26,71,53,0,85,25,0,53,33,23,22,0,0,0,0,0,0,0
CO,08,"=""80010""","5,531",378,"5,531","15,508,253","1,601","1,104,035","3,820","5,294,650",173,206,157,"5,371","24,134,922",159,"152,539","4,694",0,"2,521","1,752","3,561",218,"2,617","2,541",0,"1,145",413,871,"1,102",811,722,613,457,288,245,0
CO,08,"=""80011""","6,234",285,"6,234","16,527,889","2,019","1,485,607","4,213","5,773,623",247,222,231,"6,018","26,648,797",215,"228,682","5,278",0,"2,523","2,350","3,701",183,"3,146","2,674",0,"1,410",435,891,"1,229",887,724,699,569,445,337,0
CO,08,"=""80012""","5,543",224,"5,543","13,483,168","1,789","1,336,746","3,475","4,542,034",317,272,252,"5,312","22,186,466",231,"242,814","4,672",0,"2,042","2,356","3,007",180,"2,789","2,331",0,"1,306",428,862,"1,067",716,627,594,584,380,273,0
