"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CT,09,"=""06001""",305,0,305,"455,495",64,"51,462",108,"126,621",22,0,35,287,"792,804",0,"15,802",210,0,68,164,130,0,178,91,0,79,59,65,51,21,21,30,0,22,0,0
CT,09,"=""06002""","1,388",27,"1,388","2,579,332",391,"306,309",676,"757,719",140,128,117,"1,341","5,126,887",47,"47,157","1,174",0,521,648,619,121,800,457,0,251,156,239,261,136,120,139,165,109,63,0
CT,09,"=""06010""","4,156",48,"4,156","9,068,710","1,150","874,566","2,311","2,727,414",287,210,281,"4,022","16,336,406",134,"145,885","3,636",0,"1,649","2,135","1,847",174,"1,996","1,732",0,740,448,733,828,453,466,382,361,270,208,0
CT,09,"=""06011""",30,0,30,"32,853",2,870,8,"9,318",0,0,0,28,"69,691",0,"3,256",22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,09,"=""06013""",212,0,212,"364,916",49,"42,489",90,"105,442",0,0,27,190,"669,980",21,"16,857",161,0,49,101,110,0,139,50,0,71,30,35,37,26,0,0,21,24,0,0
CT,09,"=""06016""",341,0,341,"757,347",111,"87,180",183,"224,796",30,0,21,336,"1,389,646",0,"10,587",301,0,124,186,140,0,145,163,0,63,41,46,64,40,36,42,30,27,0,0
CT,09,"=""06018""",210,0,210,"417,717",61,"47,589",90,"105,133",0,0,0,190,"692,095",0,"24,605",173,0,76,105,104,0,99,80,0,58,0,32,43,24,28,25,0,0,0,0
CT,09,"=""06019""",245,0,245,"383,576",38,"27,735",94,"106,218",0,0,0,221,"642,680",24,"22,829",178,0,44,131,105,0,150,59,0,86,45,54,55,0,0,0,0,0,0,0
CT,09,"=""06021""",25,0,25,"43,021",9,"7,465",9,"14,629",0,0,0,9,"84,529",0,"9,988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,09,"=""06023""",34,0,34,"60,897",9,"7,180",9,"24,672",0,0,0,32,"116,793",0,"2,290",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,09,"=""06024""",37,0,37,"66,058",9,"6,065",9,"18,502",0,0,0,28,"100,137",0,"11,598",23,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,09,"=""06026""",163,0,163,"303,937",45,"28,368",70,"88,709",0,0,22,152,"571,999",0,"8,692",140,0,43,104,55,0,78,65,0,36,22,22,34,0,0,23,0,0,0,0
CT,09,"=""06027""",41,0,41,"74,352",5,"3,565",9,"27,092",0,0,0,39,"144,988",0,851,34,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,09,"=""06029""",457,0,457,"791,689",127,"113,694",195,"228,093",35,28,45,419,"1,529,197",38,"29,966",379,0,133,265,182,0,241,170,0,92,53,80,95,41,40,36,43,41,27,0
CT,09,"=""06031""",61,0,61,"113,464",9,"10,771",27,"36,518",0,0,0,57,"199,294",0,"3,037",47,0,0,29,29,0,34,24,0,23,0,0,0,0,0,0,0,0,0,0
CT,09,"=""06032""",431,0,431,"709,680",92,"67,110",158,"186,827",22,39,35,387,"1,201,277",44,"46,094",308,0,71,222,194,0,260,129,0,124,66,85,90,34,37,37,30,29,22,0
CT,09,"=""06033""",700,0,700,"1,186,374",168,"133,613",285,"325,886",44,69,58,649,"2,135,468",51,"39,299",549,0,160,369,288,43,404,222,0,176,112,137,136,45,56,59,70,52,31,0
CT,09,"=""06035""",167,0,167,"283,545",38,"31,867",67,"86,482",0,0,0,155,"502,236",0,"12,283",131,0,40,104,61,0,86,55,0,46,22,34,33,0,0,0,0,0,0,0
CT,09,"=""06037""",594,0,594,"1,024,051",139,"105,423",248,"277,821",44,49,43,550,"1,862,234",44,"48,654",457,0,130,293,275,26,328,204,0,145,84,109,126,48,60,52,45,41,29,0
CT,09,"=""06039""",76,0,76,"140,385",26,"20,089",35,"37,505",0,0,0,66,"226,026",0,"13,519",54,0,0,42,30,0,46,22,0,31,0,0,0,0,0,0,0,0,0,0
CT,09,"=""06040""","3,042",60,"3,042","6,555,506",834,"603,424","1,672","1,980,828",222,192,160,"2,950","11,721,248",92,"77,495","2,673",0,"1,213","1,598","1,259",185,"1,516","1,229",0,508,362,545,617,342,306,278,273,195,121,0
