"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
DE,10,"=""19060""",4,0,4,"7,557",1,513,2,"2,293",0,0,0,4,"13,241",0,194,3,0,1,2,2,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0
DE,10,"=""19701""","2,498",41,"2,498","5,320,906",685,"528,193","1,361","1,736,305",283,177,148,"2,405","9,685,537",93,"103,597","2,138",0,871,"1,366","1,000",132,"1,263",994,0,472,223,416,494,255,244,270,255,196,134,0
DE,10,"=""19702""","4,132",95,"4,132","9,525,782","1,206","915,855","2,467","3,144,769",439,295,227,"4,026","16,891,146",105,"105,187","3,655",0,"1,574","2,357","1,510",265,"1,945","1,797",0,697,376,659,734,515,456,447,420,302,214,0
DE,10,"=""19703""","1,379",24,"1,379","3,387,410",403,"302,908",845,"1,073,109",122,70,75,"1,351","5,969,914",27,"24,109","1,212",0,517,783,489,107,648,624,0,204,121,196,292,184,155,134,130,99,66,0
DE,10,"=""19706""",204,0,204,"461,547",60,"48,333",123,"159,235",23,0,0,201,"832,840",0,"5,560",186,0,90,120,71,0,82,101,0,26,21,30,39,29,0,22,0,0,0,0
DE,10,"=""19707""",298,0,298,"451,652",58,"48,787",100,"121,359",0,0,25,272,"761,055",26,"26,755",207,0,61,191,96,0,148,109,0,69,56,57,70,27,0,0,0,0,0,0
DE,10,"=""19709""","1,793",30,"1,793","3,936,051",540,"417,693","1,057","1,335,792",199,131,112,"1,743","7,280,786",49,"40,432","1,556",0,647,"1,040",664,89,858,781,0,336,179,253,327,212,193,188,191,131,116,0
DE,10,"=""19711""","2,012",53,"2,012","3,754,650",532,"403,435",958,"1,135,169",190,127,138,"1,915","6,849,182",97,"78,311","1,640",0,635,"1,187",692,133,974,810,0,340,222,380,412,195,207,183,185,126,97,0
DE,10,"=""19713""","2,548",45,"2,548","5,740,694",752,"585,909","1,472","1,835,469",264,129,131,"2,472","10,203,756",76,"75,866","2,213",0,916,"1,398",964,186,"1,256","1,072",0,403,238,407,485,294,274,286,239,204,114,0
DE,10,"=""19714""",29,0,29,"52,220",5,"3,096",9,"23,148",0,0,0,27,"104,389",0,"1,042",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
